noc,cbo,ca,npm,dam,bug
0,4,1,1,0.833333333,2
0,5,2,14,1.0,0
0,12,10,10,0.0,3
0,4,3,1,0.333333333,2
0,10,6,7,0.75,5
0,5,4,8,0.25,3
0,17,2,22,0.222222222,2
0,10,0,20,0.9,9
0,3,1,3,0.0,2
0,2,1,0,0.0,3
0,35,19,9,0.1875,4
0,2,0,2,0.0,4
0,2,0,4,0.0,2
0,5,4,7,0.0,2
0,5,1,11,0.8,2
0,4,2,1,0.0,0
0,11,1,6,0.666666667,3
0,6,5,8,1.0,2
0,3,0,2,0.0,2
0,3,0,2,0.0,2
0,5,0,2,0.0,1
0,2,1,3,0.0,3
0,4,2,4,0.0,3
1,1,1,5,0.0,2
0,11,7,6,0.333333333,7
0,16,12,13,1.0,2
0,1,1,5,0.0,2
0,7,0,2,0.0,2
0,2,0,2,0.0,2
0,0,0,8,0.0,2
0,1,1,3,1.0,4
0,3,2,4,1.0,4
3,3,3,1,1.0,2
1,4,3,3,0.75,3
0,2,1,8,1.0,1
0,1,0,2,0.0,1
0,2,2,1,0.0,3
0,5,0,6,0.0,2
0,2,2,4,1.0,2
0,19,15,15,0.833333333,2
0,9,1,7,0.7777777779999999,4
0,8,8,1,0.0,2
0,17,13,14,1.0,3
0,5,3,2,0.0,2
0,6,0,17,1.0,4
0,4,4,1,0.0,2
0,1,1,3,1.0,3
1,12,2,10,1.0,4
0,17,16,16,0.42105263200000004,2
0,3,1,4,0.0,2
0,3,0,7,0.0,0
0,1,1,2,0.0,3
2,5,4,2,0.28571428600000004,3
0,11,1,12,0.727272727,5
0,4,1,1,0.0,0
0,5,1,1,0.8,2
0,2,2,2,1.0,2
0,5,0,2,0.0,1
0,3,1,1,0.0,0
0,2,2,0,0.0,2
0,8,8,1,0.0,2
0,3,0,2,0.0,1
0,3,1,3,0.6,2
0,14,12,5,0.2,6
0,43,43,9,0.7142857140000001,2
0,3,0,2,0.0,0
0,12,7,4,1.0,3
0,4,2,4,0.333333333,3
0,8,1,6,1.0,4
0,0,0,3,0.0,1
0,9,1,5,0.666666667,2
0,4,1,6,1.0,2
0,7,0,2,0.0,1
2,9,3,14,1.0,4
0,4,2,1,0.0,2
0,6,0,11,0.375,3
0,55,40,22,0.9655172409999999,2
0,2,1,1,0.0,2
0,21,11,11,0.333333333,2
0,4,0,2,0.0,2
0,2,0,2,0.0,2
0,12,1,10,1.0,2
0,32,29,12,0.0,2
0,7,6,2,0.0,3
0,5,1,1,0.0,2
3,8,6,3,0.0,4
0,0,0,2,0.0,3
0,10,9,1,0.0,2
0,8,3,16,0.181818182,7
0,14,10,3,1.0,2
0,3,0,2,0.0,1
0,5,0,2,0.0,3
0,3,0,2,0.0,0
0,5,0,11,0.0,3
0,1,1,3,1.0,2
0,10,0,2,0.0,3
0,6,0,6,0.0,1
1,7,1,11,0.5555555560000001,2
0,7,0,2,0.0,2
0,5,1,4,0.333333333,0
0,2,1,4,0.0,3
