dit,cbo,rfc,ce,loc,dam,moa,mfa,cam,max_cc,bug
1,9,17,8,69,1.0,1,0.0,0.25,2,1
1,42,105,20,933,0.9,1,0.0,0.144927536,8,1
3,5,9,5,30,1.0,0,0.666666667,0.666666667,1,0
2,14,15,7,46,0.0,0,0.75,0.5,3,0
3,5,15,3,77,0.0,0,0.962962963,0.666666667,2,0
2,10,27,10,148,1.0,0,0.6,0.666666667,10,0
1,7,14,5,128,0.0,0,0.0,0.6,5,0
1,11,23,10,101,1.0,0,0.0,0.333333333,4,0
1,20,25,20,174,1.0,0,0.0,0.5555555560000001,8,1
1,13,1,2,1,0.0,0,0.0,1.0,1,1
1,26,77,26,445,1.0,0,0.0,0.314285714,19,2
1,19,15,15,63,0.0,0,0.0,0.5,7,1
3,7,15,7,46,0.0,0,0.7777777779999999,0.5555555560000001,3,0
1,8,8,7,32,1.0,1,0.0,0.5,2,1
3,31,48,11,389,1.0,0,0.628571429,0.3,29,0
2,12,28,12,137,0.0,0,0.75,0.5555555560000001,8,0
2,6,16,6,97,1.0,0,0.6,0.666666667,7,0
2,28,87,26,595,0.727272727,0,0.36111111100000004,0.2,16,2
5,6,6,5,18,0.0,0,0.99047619,0.5,1,2
1,14,19,12,93,1.0,0,0.0,0.5,7,1
1,13,26,11,147,1.0,0,0.0,0.333333333,12,1
4,82,6,0,17,1.0,0,1.0,0.7777777779999999,0,0
1,11,13,11,35,0.0,0,0.0,0.36111111100000004,1,0
1,11,28,11,148,1.0,0,0.0,0.666666667,8,0
2,8,14,8,46,0.0,0,0.875,0.75,1,0
1,9,29,6,265,1.0,1,0.0,0.333333333,3,0
2,11,16,6,50,0.0,0,0.9285714290000001,0.75,5,0
2,10,16,10,56,0.0,0,0.75,0.5555555560000001,4,1
3,10,23,8,114,0.0,0,0.956521739,0.75,11,0
3,7,4,2,9,0.0,0,0.956521739,0.75,1,0
2,9,27,9,152,0.0,0,0.75,0.5555555560000001,7,1
2,11,34,11,191,1.0,0,0.6,0.666666667,13,0
2,11,29,11,192,0.0,0,0.75,0.5555555560000001,11,0
1,26,63,26,281,1.0,1,0.0,0.333333333,3,1
1,5,2,2,2,0.0,0,0.0,0.75,1,0
1,11,38,11,359,0.75,1,0.0,0.270833333,31,0
1,11,38,10,177,1.0,0,0.0,0.16071428599999998,1,5
1,7,12,2,56,0.0,0,0.0,0.5555555560000001,1,0
1,1,13,0,57,0.0,0,0.0,0.625,1,0
2,11,24,11,140,1.0,0,0.75,0.5555555560000001,6,0
1,4,8,0,8,0.0,0,0.0,1.0,1,0
2,9,26,9,148,0.0,0,0.75,0.5555555560000001,10,0
2,9,22,9,119,0.0,0,0.75,0.5555555560000001,9,0
2,30,103,28,932,0.833333333,0,0.46428571399999996,0.2421875,33,7
2,11,65,11,561,1.0,0,0.35714285700000004,0.38,9,0
2,8,24,8,114,0.0,0,0.75,0.5555555560000001,7,0
2,15,58,13,446,1.0,0,0.46428571399999996,0.3,12,1
1,7,42,4,558,1.0,0,0.0,0.3,12,0
2,9,49,7,564,1.0,0,0.6190476189999999,0.37777777799999995,11,1
2,14,53,10,359,1.0,2,0.25,0.27678571399999996,17,1
1,10,8,3,8,0.0,0,0.0,0.4375,1,0
2,20,62,20,523,1.0,1,0.333333333,0.404761905,4,2
1,4,3,2,3,0.0,0,0.0,0.666666667,1,0
1,39,96,38,556,1.0,0,0.0,0.19642857100000002,6,3
3,17,79,15,563,0.857142857,0,0.6875,0.303030303,16,0
1,5,8,5,21,1.0,0,0.0,0.5,1,1
3,10,27,8,281,1.0,0,0.7333333329999999,0.38888888899999996,10,0
1,2,4,1,17,1.0,0,0.0,0.666666667,1,0
1,7,22,4,169,1.0,2,0.0,0.316666667,7,1
1,4,3,2,3,0.0,0,0.0,0.666666667,1,0
2,10,16,10,56,0.0,0,0.75,0.5555555560000001,4,0
3,9,23,9,100,0.0,0,0.7777777779999999,0.5555555560000001,6,0
1,7,26,6,156,0.25,0,0.0,0.28,4,0
3,5,9,5,31,1.0,0,0.818181818,0.666666667,1,0
1,17,38,17,191,1.0,1,0.0,0.244897959,6,1
2,10,30,10,141,1.0,0,0.6,0.666666667,6,1
2,10,29,10,274,1.0,0,0.6,0.666666667,19,0
2,7,19,7,66,1.0,0,0.6,0.666666667,3,0
1,6,7,3,76,1.0,0,0.0,0.5555555560000001,4,0
3,9,13,9,39,0.0,0,0.8,0.583333333,1,0
2,15,61,11,396,1.0,2,0.17857142899999998,0.223958333,17,1
1,13,22,12,126,1.0,0,0.0,0.333333333,6,0
1,15,37,14,372,1.0,0,0.0,0.375,22,3
1,15,38,14,374,1.0,0,0.0,0.35,19,2
1,8,27,5,165,1.0,2,0.0,0.255102041,5,1
1,11,8,10,42,1.0,0,0.0,0.75,3,1
1,22,33,5,229,1.0,0,0.0,0.380952381,4,0
3,5,5,4,14,0.0,0,0.8,0.5,1,0
1,10,2,2,2,0.0,0,0.0,0.75,1,0
2,9,29,9,141,1.0,0,0.6,0.666666667,6,0
3,5,9,5,31,1.0,0,0.818181818,0.666666667,1,0
3,7,15,7,46,0.0,0,0.7777777779999999,0.5555555560000001,3,0
2,11,24,11,108,0.0,0,0.75,0.5555555560000001,8,0
1,16,46,12,260,1.0,3,0.0,0.22794117600000002,7,1
2,10,23,10,182,1.0,0,0.6,0.666666667,15,0
1,4,1,2,1,0.0,0,0.0,1.0,1,0
3,11,26,11,193,1.0,0,0.666666667,0.666666667,10,0
3,7,16,5,74,0.0,0,0.916666667,0.833333333,8,0
1,10,21,9,159,1.0,2,0.0,0.5,4,0
1,22,66,20,493,1.0,0,0.0,0.41666666700000005,1,0
3,5,12,4,33,0.0,0,0.7777777779999999,0.5555555560000001,2,0
1,6,31,5,177,1.0,0,0.0,0.5,10,0
1,12,10,9,46,1.0,2,0.0,0.25,1,0
2,4,8,4,27,1.0,0,0.6,0.666666667,1,0
1,1,1,0,1,0.0,0,0.0,1.0,1,0
2,8,13,8,61,1.0,0,0.6,0.666666667,3,1
1,8,4,2,4,0.0,0,0.0,0.666666667,1,0
1,12,38,9,280,1.0,2,0.0,0.4,7,1
2,13,60,9,483,0.375,0,0.46428571399999996,0.258928571,8,0
3,8,14,8,45,0.0,0,0.7777777779999999,0.5555555560000001,3,0
1,11,6,3,81,0.0,0,0.0,1.0,0,3
1,74,4,1,4,0.0,0,0.0,0.5,1,0
1,14,22,9,146,0.0,0,0.0,0.5,4,0
1,25,44,25,247,1.0,0,0.0,0.270833333,7,1
1,11,45,11,343,1.0,0,0.0,0.4,1,0
1,14,16,14,102,1.0,0,0.0,0.75,6,1
2,14,74,12,594,1.0,2,0.31707317100000004,0.172413793,22,3
2,6,33,5,206,1.0,0,0.5,0.625,5,0
3,2,7,1,43,0.0,0,0.882352941,0.7777777779999999,2,0
1,46,7,1,7,0.0,0,0.0,0.428571429,1,0
1,11,38,9,336,1.0,1,0.0,0.28,3,0
1,9,44,9,285,0.75,0,0.0,0.41666666700000005,20,0
1,16,55,12,379,1.0,1,0.0,0.333333333,12,0
2,10,29,8,169,1.0,1,0.65,0.270833333,6,0
1,6,11,3,46,0.666666667,1,0.0,0.26666666699999997,1,0
1,15,14,10,91,0.0,0,0.0,0.5,7,1
1,18,70,17,537,0.0,0,0.0,0.181818182,5,0
1,12,60,11,566,1.0,0,0.0,0.3125,39,4
1,13,36,0,225,1.0,0,0.0,0.297142857,1,1
1,20,33,18,105,1.0,0,0.0,0.3,8,1
1,2,28,1,200,1.0,0,0.0,0.36111111100000004,1,0
2,18,46,16,304,1.0,1,0.541666667,0.3,17,0
2,13,60,10,727,0.0,0,0.333333333,0.6785714290000001,23,0
1,8,18,6,143,1.0,0,0.0,0.6,5,0
1,31,36,14,190,1.0,0,0.0,0.346938776,5,1
1,2,1,0,1,0.0,0,0.0,1.0,1,0
1,10,3,1,3,0.0,0,0.0,0.666666667,1,0
1,14,41,10,407,1.0,1,0.0,0.288888889,7,0
2,12,14,5,40,0.0,0,0.857142857,0.666666667,3,0
1,8,17,5,139,1.0,0,0.0,0.566666667,5,0
1,10,1,1,1,0.0,0,0.0,1.0,1,0
1,2,12,1,75,1.0,2,0.0,0.288888889,4,0
1,4,2,2,2,0.0,0,0.0,0.75,1,0
2,19,70,13,421,0.666666667,0,0.5,0.255102041,7,0
2,16,49,14,406,0.666666667,0,0.541666667,0.226190476,25,0
3,11,92,11,865,1.0,0,0.6190476189999999,0.164835165,11,0
2,7,13,7,41,0.0,0,0.75,0.5555555560000001,3,0
3,8,14,8,45,0.0,0,0.7777777779999999,0.5555555560000001,3,0
3,5,9,5,30,1.0,0,0.666666667,0.666666667,1,0
2,8,19,8,88,0.0,0,0.75,0.5555555560000001,8,0
1,2,3,0,12,0.0,0,0.0,1.0,0,0
1,8,11,6,26,1.0,0,0.0,0.5,1,0
1,14,45,12,382,1.0,1,0.0,0.19047619,4,0
2,21,73,19,594,1.0,1,0.393939394,0.185714286,15,0
1,35,101,33,550,1.0,0,0.0,0.37142857100000004,7,3
2,13,28,13,175,1.0,0,0.6,0.666666667,5,0
1,31,96,27,430,0.0,0,0.0,0.2,6,1
2,13,34,13,314,1.0,0,0.6,0.666666667,17,0
1,6,8,4,33,0.0,0,0.0,0.5,3,0
1,10,12,3,70,0.428571429,0,0.0,0.375,1,0
2,12,32,10,157,1.0,0,0.65,0.291666667,10,0
1,5,11,2,53,1.0,1,0.0,0.314285714,2,0
