wmc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,cam,ic,cbm,bug
6,19,19,13,18,1,5,1.0,119,0.333333333,0.6,0,0,1
7,14,30,0,2,13,4,0.25,136,0.0,0.28571428600000004,0,0,0
14,7,31,0,1,7,12,0.46153846200000004,182,1.0,0.19642857100000002,2,2,2
3,14,4,0,13,1,3,0.666666667,25,0.333333333,0.583333333,0,0,1
3,11,13,1,1,10,3,1.0,88,1.0,0.533333333,1,3,1
3,28,5,3,25,3,3,2.0,15,0.0,0.833333333,0,0,1
13,17,14,78,11,8,12,1.041666667,20,0.0,0.42708333299999995,0,0,6
18,40,22,147,40,0,17,0.9215686270000001,314,1.0,0.25,0,0,2
13,16,19,70,15,1,11,0.729166667,121,1.0,0.7692307690000001,0,0,2
2,8,9,1,2,6,0,2.0,64,0.0,0.583333333,1,1,2
3,4,6,0,2,3,3,0.333333333,44,0.0,0.46666666700000003,0,0,0
14,23,29,67,10,22,12,0.897435897,199,0.333333333,0.403846154,0,0,4
2,2,3,1,0,2,2,2.0,7,0.0,0.75,0,0,0
36,23,77,92,18,5,8,0.776870748,1568,0.523809524,0.182857143,1,1,2
17,4,33,42,3,1,10,0.6953125,478,0.625,0.302083333,1,5,0
5,2,8,8,2,0,3,0.5,90,0.0,0.45,1,2,0
26,13,58,0,0,13,22,0.344,719,1.0,0.184615385,0,0,2
5,3,19,0,1,2,5,0.375,100,0.0,0.46666666700000003,1,2,0
3,11,4,3,10,1,0,2.0,6,0.0,0.5555555560000001,0,0,0
11,18,11,55,6,12,11,2.0,11,0.0,0.263636364,0,0,5
4,4,5,0,1,3,3,0.666666667,65,0.666666667,0.47619047600000003,0,0,0
19,29,25,167,26,3,18,0.962962963,343,1.0,0.25,0,0,2
20,9,46,102,2,8,16,0.578947368,454,1.0,0.128125,2,4,6
4,2,17,6,2,0,4,2.0,147,0.0,0.333333333,0,0,1
2,6,4,1,4,2,0,2.0,39,0.0,0.666666667,1,3,1
6,3,18,7,1,2,4,0.85,112,0.5,0.4,1,2,5
13,8,22,38,5,3,10,0.658333333,447,0.0,0.214285714,1,4,0
10,7,30,0,1,6,6,0.574074074,303,1.0,0.228571429,0,0,0
6,14,6,15,14,0,6,2.0,6,0.0,0.375,0,0,1
7,9,8,21,6,4,0,1.0,15,0.0,0.342857143,0,0,0
10,2,12,17,1,1,8,0.5555555560000001,185,0.75,0.36,1,5,0
4,5,10,4,5,0,0,1.243589744,298,0.0,0.444444444,0,0,0
38,30,97,553,22,10,28,0.93799682,729,0.41176470600000004,0.162162162,1,2,11
17,8,28,0,2,6,17,2.0,482,0.0,0.307189542,1,6,5
6,3,16,0,1,2,0,0.46666666700000003,178,1.0,0.611111111,0,0,1
5,10,23,6,1,10,2,0.8,185,0.0,0.333333333,0,0,1
2,8,2,1,8,0,2,2.0,2,0.0,1.0,0,0,0
2,2,4,1,1,1,1,2.0,9,0.0,0.666666667,1,1,0
6,7,14,15,3,5,5,2.0,57,0.0,0.333333333,2,3,6
9,12,21,24,2,12,5,0.916666667,167,0.0,0.270833333,0,0,0
12,10,43,0,4,7,11,0.454545455,292,1.0,0.226190476,2,2,5
5,7,6,10,5,2,0,2.0,8,0.0,0.4,0,0,0
2,17,7,1,17,0,2,2.0,21,0.0,0.5,0,0,1
4,8,12,4,1,7,3,0.666666667,55,1.0,0.5,1,1,3
25,3,35,196,2,2,10,0.968495935,729,0.707317073,0.214285714,0,0,0
17,7,53,38,3,6,9,0.767857143,725,0.857142857,0.197916667,0,0,4
11,2,25,0,1,1,11,0.35,98,0.0,0.24242424199999998,1,5,0
8,1,25,22,1,0,6,0.428571429,126,1.0,0.17857142899999998,0,0,2
2,4,3,1,3,1,2,1.0,16,0.0,0.875,0,0,1
6,2,19,15,2,0,4,1.12,184,0.0,0.5,1,1,1
3,6,4,3,5,1,0,2.0,6,0.0,1.0,0,0,0
23,31,128,39,4,30,0,0.812937063,1901,0.884615385,0.169421488,0,0,4
10,3,23,0,1,2,8,0.75,143,0.5,0.288888889,2,2,0
76,53,185,1998,18,46,0,0.9412021859999999,2835,0.409836066,0.06986666700000001,0,0,9
8,4,21,8,0,4,7,0.28571428600000004,116,1.0,0.4375,2,2,1
2,1,7,1,0,1,2,2.0,37,0.0,0.75,0,0,0
4,10,6,0,9,1,2,0.333333333,22,1.0,0.75,0,0,4
3,0,8,3,0,0,1,1.0,27,0.0,0.333333333,0,0,0
1,12,2,0,12,0,0,2.0,8,0.0,1.0,0,0,0
6,11,18,9,10,1,5,0.2,65,1.0,0.333333333,1,1,1
8,4,19,2,1,3,6,0.17857142899999998,116,1.0,0.34375,0,0,0
6,5,18,5,5,0,1,0.6,88,0.5,0.7,0,0,0
21,6,54,98,3,6,9,0.765,509,1.0,0.204081633,0,0,2
24,20,24,276,19,1,24,2.0,24,0.0,0.291666667,0,0,1
2,1,5,1,1,0,0,1.0,44,0.0,1.0,0,0,4
7,10,27,1,2,8,6,0.333333333,136,1.0,0.342857143,2,3,5
7,4,8,19,4,0,7,0.979166667,49,0.0,0.523809524,0,0,1
3,4,7,3,0,4,3,2.0,20,0.0,0.5555555560000001,2,3,0
6,3,12,3,0,3,6,0.6,69,1.0,0.380952381,0,0,0
6,16,33,3,1,16,6,0.4,297,1.0,0.351851852,2,3,5
9,6,21,2,3,4,7,0.475,278,1.0,0.355555556,1,3,1
7,1,10,21,1,0,7,2.0,155,0.0,0.321428571,0,0,0
7,3,32,1,1,2,6,0.583333333,346,1.0,0.444444444,1,2,0
20,12,77,64,3,10,5,0.71291866,1021,0.818181818,0.205263158,0,0,5
15,17,58,37,4,17,4,0.7792207790000001,751,0.0,0.19047619,0,0,2
19,14,45,79,2,12,6,0.7094017090000001,629,1.0,0.25,0,0,2
14,13,24,69,0,13,12,0.963369963,723,0.571428571,0.205128205,0,0,0
2,6,22,1,0,6,2,2.0,172,0.0,0.5,0,0,0
7,6,9,21,2,5,1,2.0,15,0.0,0.428571429,0,0,3
6,8,8,15,2,8,1,1.0,30,0.0,0.333333333,0,0,0
3,4,7,3,2,2,3,2.0,28,0.0,0.833333333,0,0,0
2,16,3,1,15,1,2,2.0,5,0.0,1.0,0,0,5
1,2,2,0,1,1,0,2.0,18,0.0,1.0,0,0,0
2,2,4,0,0,2,2,0.0,33,1.0,0.666666667,0,0,0
13,41,21,64,41,0,11,0.611111111,197,1.0,0.292307692,0,0,1
5,17,5,10,17,0,5,2.0,5,0.0,0.6,0,0,2
5,7,14,0,3,4,0,0.75,108,0.333333333,0.4,0,0,1
7,2,10,5,1,2,5,0.583333333,1311,1.0,0.41666666700000005,0,0,2
6,5,12,0,4,1,5,0.44,387,0.2,0.4,0,0,0
3,0,25,3,0,0,2,2.0,165,0.0,0.333333333,0,0,0
8,1,15,4,0,1,6,0.5476190479999999,240,0.5,0.30952381,0,0,0
16,9,40,70,2,7,16,0.72,267,1.0,0.5,1,5,0
13,14,52,0,3,14,5,0.7638888890000001,584,0.333333333,0.179487179,0,0,0
4,7,6,0,7,0,2,0.875,83,0.125,0.5555555560000001,1,1,2
6,10,20,0,3,9,6,0.0,84,1.0,0.41666666700000005,2,2,5
8,9,18,0,2,8,7,0.5,228,0.5,0.35714285700000004,1,2,2
6,3,15,11,0,3,6,0.85,110,1.0,0.38888888899999996,0,0,0
6,4,15,0,1,3,6,0.46666666700000003,113,1.0,0.5,1,3,2
23,12,66,99,3,9,2,0.847593583,1164,0.470588235,0.231404959,0,0,0
4,0,18,0,0,0,3,1.166666667,127,0.5,0.333333333,0,0,3
13,4,22,32,3,1,10,0.783333333,135,0.8,0.269230769,1,1,0
5,3,15,2,0,3,3,0.75,708,0.5,0.333333333,1,2,0
25,7,63,208,2,7,11,0.8942307690000001,531,0.7692307690000001,0.17857142899999998,0,0,2
2,3,5,0,2,2,1,1.0,33,1.0,0.5,1,4,0
3,4,8,0,0,4,3,0.0,28,1.0,0.666666667,1,1,1
15,1,16,99,1,0,14,0.857142857,3574,0.0,0.33928571399999996,0,0,2
13,15,96,60,0,15,8,0.7638888890000001,1498,0.5,0.1875,0,0,7
11,3,17,19,3,1,0,0.833333333,133,0.5,0.386363636,0,0,0
5,2,6,10,1,1,4,2.0,15,0.0,1.0,1,2,0
1,8,2,0,8,0,1,2.0,5,0.0,1.0,0,0,0
14,12,22,61,11,1,13,0.692307692,175,0.0,0.320512821,0,0,2
5,12,10,2,2,12,5,0.8125,74,0.0,0.4,0,0,1
166,44,392,6747,16,34,88,0.8865375059999999,8474,0.7377049179999999,0.07003367,0,0,30
11,6,27,0,1,5,11,0.45,348,1.0,0.287878788,2,3,1
3,4,8,3,0,4,3,2.0,31,0.0,0.7777777779999999,1,2,1
14,9,16,91,9,0,14,2.0,228,0.0,0.261904762,0,0,2
10,4,22,0,1,3,1,0.611111111,481,1.0,0.5,0,0,0
16,9,41,2,1,9,15,0.577777778,386,0.333333333,0.3625,1,6,3
9,22,46,0,9,16,4,0.836538462,770,0.0,0.23214285699999998,1,1,1
8,9,9,28,5,5,0,1.0,16,0.0,0.267857143,0,0,0
6,20,8,15,14,7,5,2.0,17,0.0,0.5,1,1,3
9,7,14,8,5,2,6,0.5,103,1.0,0.40740740700000005,1,2,0
37,22,95,0,4,20,21,0.71031746,1118,1.0,0.126689189,2,11,7
81,34,168,2716,1,33,44,0.908333333,3477,0.571428571,0.093421053,0,0,3
11,19,40,17,2,19,2,0.775,599,0.0,0.222222222,0,0,1
64,39,183,1464,13,33,28,0.903737839,2234,0.580645161,0.139194139,2,15,23
3,5,8,3,1,4,3,2.0,31,0.0,0.7777777779999999,1,2,1
20,22,62,172,2,21,5,0.855263158,438,0.75,0.245614035,1,4,3
5,6,25,0,3,3,0,0.375,378,0.0,0.5,1,3,0
8,8,11,8,4,4,8,0.428571429,54,1.0,0.3125,2,2,1
2,23,3,1,23,0,2,2.0,5,0.0,0.666666667,0,0,1
13,13,25,46,3,11,3,0.833333333,364,0.0,0.196969697,0,0,0
7,5,9,21,5,1,6,2.0,18,0.0,0.47619047600000003,0,0,0
14,7,32,0,1,7,12,0.423076923,224,1.0,0.214285714,2,2,4
4,5,15,4,1,4,2,0.75,133,0.5,0.41666666700000005,1,2,0
8,8,19,8,3,6,7,0.428571429,93,1.0,0.25,2,3,6
13,14,31,0,0,14,13,0.0,120,1.0,0.205128205,0,0,2
28,12,57,0,0,12,23,0.0,200,1.0,0.185714286,1,9,2
8,2,27,18,1,1,6,0.428571429,567,1.0,0.314285714,0,0,5
3,3,11,3,1,3,2,1.5,30,0.0,0.5555555560000001,1,1,5
3,5,9,3,2,3,0,2.0,47,0.0,0.5555555560000001,1,3,0
3,21,37,0,8,16,2,0.333333333,340,0.333333333,0.46666666700000003,0,0,3
14,4,22,0,3,1,14,0.23076923100000002,227,1.0,0.428571429,1,1,0
3,4,7,0,2,3,3,0.75,36,0.0,0.6,0,0,0
5,10,7,10,3,8,3,1.0,28,0.0,0.4,0,0,0
10,6,25,0,3,3,10,0.703703704,180,1.0,0.325,0,0,3
5,6,6,10,2,5,4,1.0,11,0.0,0.7,0,0,2
20,23,47,0,10,16,7,0.7850877190000001,1605,0.291666667,0.15789473699999998,0,0,0
33,16,69,0,0,16,24,0.7109375,801,1.0,0.170798898,1,9,5
1,3,2,0,3,0,1,2.0,5,0.0,1.0,0,0,0
7,7,25,0,2,5,5,0.520833333,190,1.0,0.30952381,1,3,3
13,10,48,0,3,9,13,0.583333333,359,1.0,0.21153846199999998,2,2,5
9,13,46,32,2,12,3,0.90625,409,0.5,0.25,0,0,0
4,4,10,0,2,2,0,0.484848485,182,1.0,0.625,1,1,0
5,5,30,0,1,4,0,0.1875,227,0.0,0.3,0,0,1
35,5,51,253,1,4,7,0.7198142409999999,3060,0.21052631600000002,0.405882353,0,0,1
3,7,7,3,4,5,2,2.0,21,0.0,0.666666667,0,0,1
7,11,20,9,5,7,6,0.5,74,0.0,0.265306122,2,3,6
6,38,8,15,37,1,6,2.0,21,0.0,0.583333333,0,0,1
8,3,15,8,2,2,7,0.28571428600000004,48,0.0,0.5,1,1,0
5,7,17,0,2,7,5,0.0,71,1.0,0.533333333,1,1,0
6,13,42,0,2,11,2,0.628571429,599,0.571428571,0.3,0,0,1
9,10,31,0,1,9,7,0.545454545,409,1.0,0.28571428600000004,1,3,4
2,7,12,1,0,7,1,2.0,52,0.0,0.833333333,0,0,1
7,7,21,9,2,6,6,0.7777777779999999,120,0.333333333,0.333333333,2,3,1
25,19,77,170,3,17,0,0.810897436,1041,0.846153846,0.208333333,0,0,4
13,12,14,8,12,0,9,0.444444444,293,1.0,0.46153846200000004,0,0,1
13,54,39,72,51,7,12,0.833333333,249,1.0,0.23076923100000002,0,0,5
5,5,18,4,4,3,4,0.8214285709999999,112,1.0,0.35,0,0,3
17,53,26,124,51,4,16,0.875,94,1.0,0.18125,0,0,4
6,9,28,0,1,8,6,0.0,149,1.0,0.333333333,2,3,3
12,5,32,10,3,3,9,0.977272727,245,0.1875,0.287878788,2,3,4
5,3,19,2,0,3,5,0.7,188,0.8,0.428571429,0,0,0
7,7,21,9,2,6,6,0.7777777779999999,120,0.333333333,0.333333333,2,3,1
7,6,21,0,1,6,5,0.666666667,90,0.666666667,0.375,2,2,0
4,2,10,0,0,2,4,0.0,83,0.0,0.4,0,0,0
27,1,44,13,1,0,13,0.600961538,1158,1.0,0.25308642,0,0,0
4,25,4,6,24,1,4,2.0,4,0.0,0.5,0,0,0
4,4,9,0,2,3,3,0.833333333,31,0.5,0.41666666700000005,0,0,2
7,28,17,19,26,2,5,0.833333333,72,0.0,0.38888888899999996,0,0,7
8,8,29,0,0,8,7,0.14285714300000002,118,1.0,0.375,1,1,1
9,8,38,0,1,7,9,0.083333333,695,1.0,0.314814815,2,2,2
2,2,2,1,1,1,2,2.0,2,0.0,0.666666667,0,0,0
7,6,21,0,1,6,5,0.666666667,97,0.333333333,0.375,2,2,0
7,4,16,0,1,3,6,0.333333333,179,1.0,0.47619047600000003,1,3,2
4,4,18,2,0,4,2,0.7777777779999999,78,0.333333333,0.41666666700000005,1,2,0
11,10,44,1,2,8,0,0.719047619,658,0.523809524,0.36666666700000006,0,0,1
8,3,15,0,1,2,0,0.571428571,158,1.0,0.425,1,3,0
16,22,53,0,2,21,14,0.46666666700000003,577,1.0,0.23125,1,5,5
13,11,39,0,4,7,4,0.761111111,394,0.533333333,0.21153846199999998,1,2,0
17,13,48,12,4,10,13,0.625,413,1.0,0.158823529,2,4,4
7,4,27,7,4,0,4,0.708333333,135,0.5,0.38888888899999996,0,0,2
16,5,26,80,2,5,8,0.8666666670000001,207,0.857142857,0.214285714,0,0,2
6,7,7,15,4,4,0,2.0,9,0.0,0.36666666700000006,0,0,0
4,6,7,0,1,5,3,0.45833333299999995,123,1.0,0.45833333299999995,0,0,0
12,7,37,0,2,5,9,0.454545455,357,1.0,0.41666666700000005,1,3,2
1,2,1,0,2,0,0,2.0,179,0.0,0.0,0,0,0
7,7,8,21,4,4,0,1.0,15,0.0,0.342857143,0,0,0
13,24,64,72,1,24,2,0.8666666670000001,856,0.2,0.15555555599999998,1,1,1
13,14,43,10,4,13,5,0.729166667,498,0.0,0.208333333,0,0,3
4,3,5,0,1,2,3,1.333333333,27,0.0,0.5,1,2,2
9,11,10,2,11,0,8,0.666666667,83,0.666666667,0.5,1,1,1
7,7,21,9,2,6,6,0.7777777779999999,120,0.333333333,0.333333333,2,3,1
2,5,3,1,2,3,2,2.0,5,0.0,0.75,0,0,0
6,7,13,0,2,5,4,0.6,117,1.0,0.5,0,0,1
3,5,7,0,4,1,3,0.35714285700000004,106,0.14285714300000002,0.666666667,0,0,0
3,4,8,3,0,4,3,2.0,31,0.0,0.7777777779999999,1,2,1
29,18,97,114,8,10,24,0.8464285709999999,1037,0.8,0.267857143,1,8,9
6,3,19,7,0,3,3,0.8,107,0.5,0.4,2,3,1
10,7,18,0,6,2,10,0.333333333,104,1.0,0.375,1,1,0
3,2,3,3,2,0,3,2.0,3,0.0,1.0,0,0,0
5,2,12,0,1,1,5,0.125,82,0.5,0.46666666700000003,1,2,0
5,4,7,6,1,3,4,0.75,24,1.0,0.625,0,0,0
1,23,2,0,23,0,1,2.0,12,0.0,1.0,0,0,1
8,4,15,0,3,1,7,0.571428571,133,1.0,0.35,0,0,0
6,8,7,15,6,2,6,2.0,12,0.0,0.444444444,1,1,0
4,3,12,2,0,3,2,0.75,79,0.0,0.4,1,2,0
15,24,41,0,4,20,14,0.35714285700000004,205,0.5,0.18974359,1,3,12
5,3,18,0,2,1,4,0.55,408,0.4,0.4,1,1,1
6,3,8,3,1,2,5,1.2,54,0.0,0.5,1,2,3
6,48,6,15,45,4,6,2.0,6,0.0,0.41666666700000005,0,0,3
6,40,10,13,36,4,4,0.8,44,1.0,0.45833333299999995,0,0,5
76,128,131,2812,104,25,62,0.946666667,722,0.571428571,0.10083333300000001,0,0,17
20,2,29,100,2,1,12,0.671052632,569,1.0,0.233333333,2,11,2
3,5,4,3,5,0,0,2.0,6,0.0,1.0,0,0,0
5,10,16,0,1,9,2,0.75,238,0.14285714300000002,0.41666666700000005,0,0,0
5,3,14,4,2,1,4,0.583333333,145,0.666666667,0.5,0,0,0
2,3,4,1,2,1,1,2.0,9,0.0,0.666666667,1,1,1
55,12,69,0,9,4,54,0.240740741,1531,1.0,0.287878788,1,1,3
15,8,29,0,5,3,9,0.28571428600000004,1538,1.0,0.321428571,0,0,2
24,7,34,140,3,4,21,0.855978261,593,1.0,0.171875,0,0,1
14,7,38,0,2,6,11,0.384615385,318,1.0,0.171428571,2,5,5
7,12,8,17,11,1,5,0.833333333,28,1.0,0.380952381,0,0,0
4,14,5,6,14,0,4,2.0,7,0.0,0.625,0,0,3
12,15,34,26,3,14,5,0.675324675,480,0.9285714290000001,0.321428571,0,0,2
12,8,29,26,1,7,7,0.609090909,461,1.0,0.305555556,1,3,4
10,10,28,0,2,8,10,0.0,122,1.0,0.26666666699999997,2,2,1
3,1,6,3,1,0,2,2.0,62,0.0,0.333333333,0,0,0
5,4,6,0,3,1,5,0.666666667,35,1.0,0.45,0,0,0
8,3,17,0,1,2,6,0.5,236,0.875,0.270833333,1,4,0
24,41,29,270,30,14,23,0.913043478,138,1.0,0.275,0,0,3
4,6,8,4,2,5,2,2.0,42,0.0,0.35,1,1,2
6,15,10,9,14,1,4,0.6,31,1.0,0.5,0,0,4
6,5,17,3,2,3,4,0.2,102,1.0,0.611111111,0,0,2
1,2,2,0,2,0,1,2.0,5,0.0,1.0,0,0,0
3,9,6,0,8,1,2,0.0,20,1.0,0.666666667,0,0,3
7,9,19,0,2,9,5,0.694444444,146,0.0,0.27777777800000003,0,0,0
7,8,15,1,6,2,5,1.075757576,969,0.363636364,0.333333333,0,0,1
2,5,4,1,3,2,0,2.0,51,0.0,0.666666667,1,3,0
13,9,34,0,2,7,6,0.666666667,345,1.0,0.21978022,1,3,4
3,5,11,3,0,5,3,1.0,55,1.0,0.666666667,1,2,5
19,10,36,0,0,10,18,0.537037037,242,0.666666667,0.25,1,2,4
16,11,33,26,9,2,11,0.688888889,332,0.666666667,0.175,1,5,0
1,5,2,0,5,0,1,2.0,5,0.0,1.0,0,0,0
7,12,15,11,4,12,5,0.7666666670000001,84,0.4,0.6,0,0,2
4,1,8,6,1,0,4,2.0,20,0.0,0.666666667,0,0,0
4,29,5,0,29,0,1,0.148148148,172,0.0,0.45,0,0,2
13,14,34,10,3,12,8,0.682291667,455,0.875,0.23076923100000002,0,0,2
2,15,2,1,14,1,2,2.0,2,0.0,1.0,0,0,2
5,2,10,0,1,2,4,0.375,60,1.0,0.6,0,0,0
21,16,56,104,5,15,10,0.65625,500,1.0,0.2375,1,3,6
15,10,43,0,4,7,11,0.614285714,382,1.0,0.19166666699999999,2,3,5
51,25,77,43,23,2,45,0.655384615,1122,0.23076923100000002,0.28571428600000004,1,1,4
4,15,36,4,0,15,2,0.333333333,356,1.0,0.5,0,0,1
1,6,1,0,4,2,1,2.0,1,0.0,1.0,0,0,1
5,9,6,10,6,4,0,2.0,8,0.0,0.46666666700000003,0,0,0
4,4,12,2,0,4,2,0.7777777779999999,58,0.0,0.4,1,2,0
11,4,25,0,1,3,7,0.625,447,1.0,0.287878788,1,3,2
4,5,12,2,2,3,2,0.708333333,354,0.0,0.428571429,0,0,1
7,5,27,9,2,3,4,0.333333333,186,1.0,0.571428571,0,0,3
8,2,16,0,1,1,8,0.0,56,1.0,0.39583333299999995,1,2,1
3,4,8,0,1,3,3,0.0,43,1.0,0.833333333,0,0,1
8,4,15,0,1,4,6,0.8214285709999999,102,0.75,0.23809523800000001,0,0,3
15,9,22,0,8,1,14,0.900793651,286,0.222222222,0.380952381,0,0,7
6,4,18,0,1,3,6,0.4,162,1.0,0.41666666700000005,2,2,5
2,4,2,1,2,2,2,2.0,2,0.0,1.0,0,0,0
14,2,25,3,1,1,13,0.602564103,237,0.0,0.404761905,0,0,0
6,5,20,5,1,4,5,0.825,247,0.0,0.333333333,1,4,1
12,9,18,66,7,2,12,2.0,78,0.0,0.541666667,1,1,2
13,6,29,38,2,4,11,0.716666667,178,0.6,0.28571428600000004,1,2,1
16,3,24,0,2,2,12,0.38333333299999994,361,1.0,0.328125,0,0,1
7,3,10,21,3,1,7,2.0,54,0.0,0.5,1,2,0
10,24,37,7,9,18,4,0.759259259,276,0.0,0.18888888899999998,0,0,0
3,6,6,3,3,5,0,2.0,22,0.0,0.571428571,1,2,2
