wmc,cbo,rfc,ca,ce,npm,lcom3,dam,moa,cam,max_cc,avg_cc,bug
6,4,12,3,1,6,2.0,0.0,0,0.41666666700000005,2,1.5,0
12,12,92,4,11,2,0.843434343,0.8888888890000001,1,0.214285714,9,2.6667,0
13,7,13,7,0,13,2.0,0.0,0,0.43076923100000003,1,1.0,0
1,6,2,6,0,0,2.0,0.0,1,1.0,0,0.0,1
5,2,41,1,1,5,0.65,1.0,0,0.7,2,1.0,0
12,12,58,5,11,1,0.8,1.0,1,0.25,3,1.5833,0
6,8,46,3,8,3,0.8,1.0,0,0.38888888899999996,1,0.8333,0
6,11,33,5,7,2,0.85,1.0,3,0.3,2,1.0,2
1,9,22,7,3,1,2.0,0.0,0,1.0,0,0.0,0
7,5,12,5,0,6,0.5,1.0,0,0.166666667,4,1.5714,0
4,3,13,1,3,3,0.666666667,1.0,0,0.333333333,4,2.25,1
17,15,90,3,15,3,0.75,1.0,3,0.22875817,15,2.5294,1
1,3,2,2,1,1,2.0,0.0,0,1.0,0,0.0,0
2,5,2,4,1,2,2.0,0.0,0,0.625,1,1.0,0
11,4,24,2,2,10,0.533333333,0.333333333,1,0.272727273,14,3.2727,0
3,5,4,5,0,2,1.4375,0.0,2,0.5,2,1.0,0
86,8,95,0,8,84,2.0,0.0,0,0.05620155,3,1.0233,0
2,5,4,1,4,2,2.0,0.0,0,0.75,1,0.5,0
7,7,28,1,7,3,0.621212121,0.636363636,2,0.265306122,5,3.2857,0
21,17,78,11,15,8,0.8615384620000001,1.0,3,0.23809523800000001,5,1.5714,7
3,4,8,1,3,0,0.5,1.0,0,0.444444444,5,2.0,0
2,3,2,3,1,2,2.0,0.0,0,1.0,1,1.0,0
4,2,5,1,1,3,0.0,1.0,0,0.666666667,3,1.75,0
11,18,26,14,5,11,0.45,0.0,0,0.363636364,2,1.0,0
5,3,12,2,1,3,0.53125,1.0,0,0.6,10,3.8,0
8,18,38,1,17,1,2.0,0.0,0,0.363636364,1,0.875,0
2,12,19,1,11,1,2.0,0.0,0,0.625,1,0.5,0
3,6,9,4,2,3,0.0,1.0,0,0.666666667,1,0.6667,0
2,8,5,2,6,1,1.0,0.0,0,0.666666667,1,0.5,0
5,10,47,1,9,1,0.7105263159999999,1.0,2,0.41666666700000005,1,0.6,3
5,6,17,3,3,5,0.65625,0.0,1,0.533333333,2,1.0,0
2,10,9,1,9,1,1.0,0.0,0,0.625,1,0.5,0
3,11,18,1,10,1,1.0,0.0,0,0.533333333,1,0.6667,0
3,6,33,3,4,3,2.0,0.0,0,0.5555555560000001,1,0.6667,0
13,13,26,12,1,12,0.45833333299999995,1.0,0,0.384615385,2,1.0,3
3,6,20,1,6,1,2.0,0.0,0,0.5555555560000001,14,5.3333,1
7,6,40,3,5,4,0.611111111,1.0,1,0.3,8,2.1429,0
114,184,374,157,59,79,0.923830594,1.0,8,0.051769912,68,4.0614,15
2,12,10,1,11,1,1.125,0.625,4,0.625,1,0.5,0
7,16,17,8,8,6,0.333333333,0.0,0,0.457142857,1,0.8571,0
6,4,22,1,3,5,0.88,0.8,0,0.541666667,4,1.6667,2
4,11,28,2,9,3,0.611111111,0.833333333,3,0.666666667,9,2.5,0
9,18,44,4,18,2,0.75,1.0,4,0.23456790100000002,11,2.7778,0
6,5,18,2,3,0,0.0,1.0,0,0.583333333,3,2.1667,0
7,6,18,2,4,5,2.0,0.0,0,0.4,2,1.0,0
18,15,53,9,10,16,0.7899159659999999,1.0,2,0.208333333,14,2.5556,0
4,6,22,0,6,3,0.833333333,1.0,0,0.3,5,2.25,0
407,47,494,1,47,83,0.7220689659999999,0.8,8,0.18386568399999997,28,4.8894,0
11,3,16,2,1,9,2.0,0.0,0,0.363636364,6,3.5455,0
4,1,8,1,0,4,1.0,0.0,0,0.35,1,0.75,0
13,11,61,4,10,6,0.833333333,1.0,0,0.180555556,6,2.6154,1
2,7,7,1,6,1,2.0,0.0,0,0.625,1,0.5,0
7,6,38,4,4,3,0.7666666670000001,1.0,1,0.28571428600000004,2,1.1429,0
5,8,49,1,8,4,0.5,1.0,1,0.46666666700000003,4,1.8,0
2,10,9,1,9,2,2.0,0.0,0,0.625,1,0.5,0
11,6,31,4,4,10,0.725,0.75,1,0.425,3,1.5455,0
6,5,25,1,5,4,0.771428571,1.0,0,0.7222222220000001,7,3.0,0
2,2,2,2,0,2,2.0,0.0,0,0.625,1,1.0,0
5,3,23,1,2,3,0.375,1.0,0,0.5,6,3.0,0
2,4,3,1,3,1,2.0,0.0,0,0.75,1,0.5,0
37,69,102,64,10,33,0.944444444,1.0,0,0.122850123,17,4.2162,5
3,4,9,1,3,0,0.5,1.0,0,0.444444444,11,4.0,0
43,15,111,6,14,37,0.956190476,0.88,3,0.121645796,31,1.8837,2
4,12,21,1,11,1,1.0,0.0,0,0.45,4,2.25,0
10,15,26,10,8,7,0.5555555560000001,0.0,3,0.26666666699999997,3,1.1,0
2,12,22,1,11,1,2.0,0.0,0,0.625,1,0.5,0
2,10,7,1,9,1,1.0,0.0,0,0.625,1,0.5,0
18,22,131,8,22,6,0.764705882,1.0,0,0.194444444,8,1.6111,0
7,5,15,1,4,7,0.7222222220000001,1.0,1,0.35714285700000004,1,0.8571,0
25,9,75,4,8,8,0.818181818,1.0,3,0.152727273,8,1.64,1
3,14,10,5,9,2,2.0,0.0,0,0.6,1,0.6667,0
41,86,152,74,23,35,0.94375,0.375,1,0.11964285699999999,16,3.122,2
1,36,1,36,1,1,2.0,0.0,0,1.0,1,1.0,0
4,6,16,5,1,3,1.095238095,1.0,0,0.333333333,60,20.0,0
12,7,58,1,7,10,0.709090909,1.0,2,0.27777777800000003,3,1.3333,0
19,30,126,17,20,12,0.537037037,1.0,5,0.21052631600000002,22,3.0526,3
6,6,9,4,3,6,2.0,0.0,0,0.5555555560000001,2,1.0,0
17,16,73,5,16,4,0.78125,1.0,2,0.34117647100000004,9,1.4118,2
15,7,55,3,7,4,0.8888888890000001,0.8888888890000001,1,0.283333333,3,1.0667,0
4,2,6,2,0,3,2.0,0.0,0,0.5625,3,1.25,0
22,29,94,10,21,17,0.7857142859999999,1.0,3,0.22727272699999998,14,2.0909,2
5,6,13,3,4,4,0.875,0.25,0,0.5,1,0.6,0
3,11,13,1,10,1,1.0,0.0,0,0.444444444,6,2.3333,0
13,8,31,6,7,11,0.666666667,1.0,3,0.23076923100000002,11,3.3077,3
12,28,18,27,3,12,0.727272727,1.0,0,0.3125,1,0.9167,2
6,8,54,3,7,3,0.75,1.0,0,0.305555556,12,3.6667,2
1,13,1,13,0,0,2.0,0.0,0,0.0,0,0.0,0
3,4,9,1,3,0,0.5,1.0,0,0.444444444,6,2.3333,0
1,4,2,2,2,1,2.0,0.0,0,1.0,0,0.0,0
4,3,5,2,1,3,0.111111111,1.0,0,0.5,4,2.5,0
19,14,64,13,9,8,0.916666667,1.0,1,0.20394736800000002,3,1.0526,1
8,15,32,8,9,3,0.7662337659999999,0.0,1,0.375,1,0.375,0
3,4,8,1,3,0,0.75,0.5,0,0.444444444,18,7.3333,0
5,7,32,3,6,1,0.8,1.0,2,0.35,1,0.8,0
3,9,7,3,6,1,1.0,0.0,0,0.666666667,1,0.3333,0
5,6,34,2,5,1,0.46428571399999996,1.0,2,0.5,4,1.8,1
2,14,28,3,14,2,2.0,0.0,0,0.75,8,4.0,0
6,2,41,0,2,5,0.6,0.0,0,0.28,11,3.0,0
2,1,5,0,1,2,2.0,0.0,0,0.75,1,0.5,0
3,3,17,1,2,3,0.5,1.0,0,1.0,5,2.0,1
9,10,25,9,5,6,0.583333333,1.0,0,0.208333333,3,1.3333,0
10,12,46,10,3,8,0.622222222,1.0,0,0.35,10,2.8,0
7,4,21,1,3,0,0.541666667,1.0,1,0.333333333,16,4.7143,0
6,3,11,1,3,5,0.488888889,1.0,3,0.333333333,6,1.6667,0
6,16,14,8,8,5,0.666666667,1.0,0,0.444444444,1,0.8333,0
5,5,22,1,4,0,0.125,1.0,0,0.35,11,4.0,0
4,10,22,2,8,3,0.5555555560000001,0.333333333,0,0.5,1,0.75,0
8,9,21,2,7,6,0.28571428600000004,1.0,0,0.40625,2,1.375,0
4,2,7,1,1,3,0.222222222,1.0,0,0.666666667,3,1.75,0
6,4,6,4,1,6,2.0,0.0,0,1.0,1,1.0,0
1,4,2,2,2,1,2.0,0.0,0,1.0,0,0.0,1
9,10,12,10,2,7,0.75,1.0,1,0.26666666699999997,1,0.8889,0
5,15,24,2,13,1,1.071428571,0.0,0,0.72,1,0.8,0
65,52,205,26,37,27,0.9417613640000001,0.8787878790000001,5,0.115384615,12,2.2462,9
5,6,42,2,5,3,0.75,1.0,1,1.0,2,1.0,0
12,5,36,3,2,7,0.818181818,0.666666667,0,0.39583333299999995,4,1.5833,0
54,59,139,45,21,45,0.7857935629999999,0.117647059,5,0.134433962,33,1.6296,0
25,18,123,11,14,11,0.818452381,1.0,3,0.19555555600000002,12,2.28,4
3,4,21,1,3,1,0.5,1.0,1,1.0,1,0.6667,1
14,7,35,4,4,11,0.7606837609999999,1.0,1,0.22448979600000002,8,1.7143,1
1,9,2,7,2,1,2.0,0.0,0,1.0,0,0.0,0
10,23,27,21,2,8,0.805555556,1.0,0,0.5,2,1.1,0
8,15,9,13,2,0,0.761904762,1.0,2,0.35416666700000005,3,1.25,0
4,2,24,1,1,3,0.444444444,1.0,0,0.375,2,1.25,0
11,13,104,2,13,3,0.914285714,0.333333333,3,0.23636363600000002,19,5.4545,0
28,25,104,7,21,22,0.875,1.0,2,0.114478114,8,2.25,4
4,4,4,4,1,4,2.0,0.0,0,0.916666667,1,1.0,0
3,3,16,1,2,3,2.0,0.0,0,1.0,1,0.6667,0
3,6,18,5,2,1,2.0,0.0,0,0.444444444,2,1.0,0
4,9,5,9,0,4,2.0,0.0,0,0.75,1,0.75,0
1,2,1,2,0,0,2.0,0.0,0,0.0,0,0.0,0
33,36,121,10,29,30,0.646875,1.0,2,0.13636363599999998,27,3.7879,1
50,5,66,1,4,6,0.75170068,0.166666667,1,0.5,84,6.72,0
4,2,7,1,1,3,0.0,1.0,0,0.666666667,3,1.75,0
4,11,5,11,0,4,0.666666667,1.0,0,0.5,1,0.75,1
7,7,10,7,1,2,0.625,1.0,1,0.428571429,2,1.1429,0
47,38,109,16,25,26,0.944816054,0.46153846200000004,2,0.23007246399999998,11,1.766,0
1,3,2,1,2,1,2.0,0.0,0,1.0,0,0.0,0
6,4,22,1,3,0,1.0625,0.0,0,0.28571428600000004,25,5.1667,0
5,4,18,0,4,5,0.375,1.0,2,0.36666666700000006,7,2.6,0
12,7,36,1,7,8,0.869565217,1.0,4,0.319444444,13,3.5833,0
1,5,2,3,2,1,2.0,0.0,0,1.0,0,0.0,0
27,3,40,3,0,21,0.529411765,0.705882353,0,0.296296296,7,1.5556,0
4,4,8,1,3,0,0.666666667,1.0,0,0.375,6,2.0,0
54,47,138,37,18,38,0.938903863,0.80952381,4,0.110987791,6,1.6296,0
28,19,89,16,6,15,0.772486772,1.0,1,0.219387755,12,2.25,1
6,4,8,4,0,6,0.5,1.0,0,0.75,2,1.0,0
9,5,20,3,2,9,0.5,1.0,0,0.25925925899999996,3,1.5556,0
12,3,25,2,1,0,0.436363636,1.0,0,0.39583333299999995,3,1.3333,0
26,10,38,7,3,23,0.8733333329999999,1.0,1,0.16,3,1.1923,0
2,2,3,2,0,0,1.0,0.0,0,0.75,0,0.0,0
4,5,4,5,0,4,2.0,0.0,0,1.0,1,1.0,0
5,5,12,2,3,0,0.375,1.0,0,0.3,4,1.6,0
5,6,39,3,4,3,0.75,1.0,0,0.3,1,0.8,0
5,4,18,0,4,5,0.375,1.0,2,0.36666666700000006,7,2.6,0
11,2,24,1,1,7,0.8666666670000001,0.666666667,0,0.303030303,4,1.4545,0
6,6,36,3,4,3,0.533333333,1.0,1,0.32,8,2.3333,0
2,4,2,3,2,2,2.0,0.0,0,1.0,1,1.0,0
45,41,77,36,5,28,0.795454545,0.5,2,0.083333333,12,1.7111,0
37,24,112,12,15,14,2.0,0.0,0,0.153846154,28,3.0811,0
10,2,16,2,0,8,0.222222222,1.0,0,0.44,6,2.3,0
1,1,2,1,0,0,2.0,0.0,0,1.0,0,0.0,0
22,14,52,13,5,9,0.8660714290000001,0.8125,5,0.166666667,12,2.9545,0
2,3,2,3,0,2,2.0,0.0,0,1.0,1,1.0,0
17,5,76,3,4,4,0.875,1.0,0,0.1875,5,1.1765,0
3,11,15,2,10,2,0.875,0.0,2,0.5555555560000001,1,0.6667,0
3,20,13,20,3,3,1.0,1.0,1,0.5,1,0.6667,0
14,9,16,7,2,14,2.0,0.0,0,0.41428571399999997,1,0.9286,0
5,8,13,4,4,4,0.833333333,0.333333333,0,0.5,1,0.6,0
8,6,58,2,6,3,0.8,1.0,0,0.375,5,1.375,0
11,18,24,17,1,9,0.977777778,1.0,0,0.1,3,1.7273,0
5,11,33,1,10,1,0.625,0.0,0,0.433333333,1,0.8,0
2,9,7,1,8,1,1.0,0.0,0,0.625,1,0.5,0
28,27,78,17,17,20,0.9259259259999999,0.642857143,5,0.206349206,11,2.2143,6
2,10,6,5,5,1,2.0,0.0,0,0.625,1,0.5,0
5,11,27,4,8,0,0.5,0.0,0,0.46666666700000003,5,1.8,2
8,5,31,4,1,8,0.571428571,1.0,0,0.625,12,3.0,0
3,4,13,2,3,2,0.5,1.0,1,0.4,1,0.6667,0
12,10,65,3,9,1,0.7840909090000001,1.0,0,0.5,8,2.0833,2
2,7,4,7,0,2,2.0,0.0,0,0.75,0,0.0,0
11,6,28,1,5,7,0.8,1.0,1,0.333333333,8,2.2727,0
2,8,24,2,8,2,2.0,0.0,0,0.75,9,4.5,0
13,17,86,5,17,7,0.869047619,1.0,1,0.24175824199999998,10,2.0769,6
2,7,6,1,6,1,2.0,0.0,0,0.625,1,0.5,0
4,5,26,2,5,1,0.666666667,1.0,0,0.41666666700000005,1,0.75,3
1,1,2,1,0,0,2.0,0.0,0,1.0,0,0.0,0
21,12,94,5,9,20,1.0,0.5,0,0.380952381,16,3.3810000000000002,0
5,4,35,2,3,3,0.7142857140000001,1.0,0,0.5,5,1.8,0
14,13,78,2,12,4,0.788461538,1.0,0,0.214285714,6,1.7857,0
19,50,31,46,7,19,0.8888888890000001,0.5,4,0.233082707,4,1.5263,0
1,3,2,1,2,1,2.0,0.0,0,1.0,0,0.0,0
2,10,9,2,8,1,2.0,0.0,0,0.6,1,0.5,0
2,5,2,5,1,2,2.0,0.0,0,1.0,1,1.0,0
20,11,30,7,4,20,0.935222672,1.0,5,0.155,3,1.2,1
5,10,33,5,7,2,0.666666667,1.0,2,0.5,1,0.8,0
7,7,32,4,6,0,0.7777777779999999,1.0,3,0.28571428600000004,1,0.8571,0
11,2,14,2,1,11,0.8,1.0,1,0.454545455,1,0.9091,0
6,12,14,9,5,5,0.938461538,0.153846154,1,0.4,1,0.6667,0
5,8,5,8,1,5,2.0,0.0,0,0.6,1,1.0,0
2,2,2,2,1,2,2.0,0.0,0,0.75,1,1.0,0
5,9,14,8,2,0,0.0,1.0,0,0.46666666700000003,4,2.0,1
6,2,20,2,0,4,1.12,0.0,0,0.5,14,2.8333,0
11,39,25,38,2,11,0.0,1.0,0,0.484848485,2,1.1818,0
14,19,67,10,16,8,0.8205128209999999,0.833333333,1,0.257142857,10,1.8571,2
6,16,46,3,13,6,2.0,0.0,0,0.229166667,1,0.8333,0
