wmc,noc,cbo,rfc,ce,npm,loc,moa,cam,ic,cbm,max_cc,avg_cc,bug
3,0,5,9,5,3,28,1,0.5555555560000001,0,0,1,0.6667,6
2,0,3,7,2,2,21,0,0.666666667,0,0,1,0.5,0
2,0,5,11,4,2,39,1,0.666666667,0,0,1,0.5,0
3,0,3,21,2,1,88,0,0.5,0,0,5,1.6667,0
23,0,22,40,21,23,118,3,0.178743961,0,0,1,0.9565,0
3,0,6,7,5,3,29,0,0.533333333,0,0,1,0.6667,0
10,0,9,20,9,7,96,1,0.314285714,0,0,2,1.1,0
5,0,14,29,14,2,129,1,0.4375,1,1,5,1.4,0
2,0,2,5,2,1,15,0,0.625,1,1,1,0.5,0
3,0,5,12,4,3,54,1,0.46666666700000003,0,0,2,1.0,0
27,0,12,71,3,24,292,0,0.082840237,0,0,1,0.9259,3
21,0,19,52,19,13,287,4,0.166666667,1,2,5,1.6667,0
5,0,4,11,2,5,43,1,0.6,0,0,1,0.8,0
3,0,1,5,1,3,12,0,0.666666667,1,2,1,0.3333,0
19,0,72,19,9,19,19,0,0.15789473699999998,0,0,1,1.0,1
6,0,8,37,8,4,150,1,0.305555556,1,1,1,0.8333,0
10,0,8,17,7,9,86,0,0.311111111,0,0,3,1.0,0
17,1,37,45,27,11,230,1,0.229166667,2,3,5,1.1765,0
5,0,16,8,3,5,31,1,0.46666666700000003,0,0,1,0.8,0
10,0,4,19,3,9,120,0,0.425,1,2,1,0.8,3
3,0,13,17,13,3,70,2,0.666666667,0,0,3,2.0,0
13,0,18,42,18,9,183,2,0.23076923100000002,0,0,5,1.3077,0
12,0,7,16,7,11,83,2,0.26666666699999997,0,0,2,1.0,0
4,0,4,13,3,2,39,0,0.5,0,0,1,0.5,0
2,0,5,2,0,2,2,0,1.0,0,0,1,1.0,0
7,0,4,12,3,6,55,0,0.314285714,1,2,3,1.0,2
2,0,20,32,20,1,202,2,0.666666667,1,1,1,0.5,0
1,0,0,2,0,0,23,0,1.0,0,0,0,0.0,0
5,0,14,9,6,5,41,0,0.44,1,1,1,0.6,0
9,0,9,31,8,5,140,2,0.28571428600000004,0,0,3,1.2222,0
4,3,3,11,0,4,31,0,0.625,0,0,1,0.75,0
6,0,11,10,6,5,48,1,0.36666666700000006,0,0,1,0.6667,0
45,0,22,81,19,39,555,1,0.146694215,1,2,7,1.1778,5
3,0,4,5,4,3,18,0,0.833333333,0,0,1,0.6667,0
9,0,9,23,7,9,94,0,0.27777777800000003,2,3,1,0.5556,3
5,0,16,7,2,5,30,0,0.7,0,0,1,0.8,0
5,0,4,10,4,5,28,0,0.36,0,0,1,0.8,0
3,0,5,11,4,3,53,0,0.5,0,0,1,0.6667,0
1,0,3,1,1,1,1,0,1.0,0,0,1,1.0,0
8,0,8,25,7,7,105,1,0.326530612,0,0,1,0.375,1
5,0,18,47,18,3,172,1,0.46666666700000003,1,1,1,0.8,0
3,0,7,13,6,2,72,0,0.6,0,0,6,2.0,0
1,0,0,1,0,1,1,0,1.0,0,0,1,1.0,0
28,0,25,74,24,24,323,1,0.148148148,1,2,2,1.0,0
8,0,15,54,14,2,378,0,0.342857143,0,0,5,1.875,0
2,0,3,7,1,2,25,0,0.666666667,0,0,1,0.5,0
2,1,4,4,3,1,11,0,0.666666667,1,1,1,0.5,0
17,0,21,34,17,16,138,0,0.19607843100000003,0,0,1,0.9412,0
3,0,4,5,4,3,20,0,0.833333333,0,0,1,0.6667,0
15,0,20,21,18,15,123,0,0.138095238,1,1,1,0.9333,0
19,1,7,35,6,16,183,1,0.15789473699999998,0,0,2,1.0,1
3,0,5,7,4,1,24,1,0.5,1,1,1,0.6667,0
4,0,3,9,2,4,45,1,0.4375,0,0,1,0.75,0
1,0,5,1,1,1,1,0,1.0,0,0,1,1.0,0
22,0,14,66,14,11,603,1,0.164502165,1,1,15,2.6818,8
1,0,6,1,0,1,1,0,1.0,0,0,1,1.0,0
3,0,2,4,1,3,15,0,0.666666667,0,0,1,0.6667,0
5,0,1,6,0,5,24,0,0.7,0,0,1,0.8,0
15,0,22,47,20,14,218,0,0.1875,0,0,2,0.9333,0
4,0,2,11,1,4,52,0,0.5,0,0,2,1.0,0
7,2,4,8,2,7,37,1,0.35714285700000004,0,0,1,0.8571,0
0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0
2,0,5,10,4,1,42,0,0.6,0,0,3,1.5,0
2,0,3,3,1,2,6,0,0.75,0,0,1,0.5,0
14,1,6,22,1,14,176,0,0.535714286,0,0,5,1.2857,0
1,0,6,1,1,1,1,0,1.0,0,0,1,1.0,0
10,0,11,24,10,6,126,3,0.27777777800000003,1,1,2,0.9,0
7,0,14,27,11,3,95,2,0.38888888899999996,1,1,1,0.7143,0
4,0,1,5,1,3,16,1,0.666666667,1,1,1,0.5,0
24,36,53,61,16,16,301,1,0.316770186,1,1,3,1.0,5
2,0,2,5,1,2,16,0,0.666666667,0,0,3,1.5,0
3,0,3,5,3,3,12,0,0.666666667,1,2,1,0.6667,0
2,0,2,2,0,2,2,0,0.75,0,0,1,1.0,0
1,0,5,1,0,1,1,0,1.0,0,0,1,1.0,0
3,0,4,6,4,2,16,0,0.5,1,1,1,0.3333,0
17,0,25,46,23,9,229,4,0.173611111,0,0,3,1.2353,0
9,0,1,14,0,9,59,0,0.288888889,0,0,1,0.7778,0
10,3,12,29,9,6,151,1,0.37037037,0,0,1,0.6,2
5,0,0,7,0,5,32,0,0.46666666700000003,0,0,1,0.8,0
2,0,1,7,1,2,26,0,0.75,0,0,1,0.5,0
6,0,3,16,2,5,80,0,0.41666666700000005,0,0,3,1.1667,0
6,0,5,16,5,2,59,0,0.36,1,1,2,0.8333,0
3,0,0,13,0,3,57,0,0.444444444,0,0,1,0.6667,0
30,0,41,61,29,29,193,0,0.133333333,0,0,1,0.9667,3
1,0,5,1,1,1,1,0,1.0,0,0,1,1.0,0
15,1,7,25,6,12,139,1,0.276190476,0,0,2,1.0,0
6,0,11,27,11,3,115,2,0.46666666700000003,1,2,2,0.8333,2
8,0,5,12,3,7,68,0,0.541666667,0,0,2,1.25,0
9,0,9,28,9,7,224,4,0.275,0,0,4,1.3333,0
4,0,11,7,6,4,34,1,0.541666667,0,0,1,0.5,0
3,0,6,8,6,2,22,0,0.666666667,1,1,1,0.3333,0
13,0,34,77,33,2,672,0,0.305555556,2,2,5,2.1538,0
2,0,18,2,0,2,2,0,0.833333333,0,0,1,1.0,0
6,0,3,14,2,4,57,0,0.666666667,0,0,3,1.0,0
2,0,3,5,3,2,12,0,1.0,0,0,1,0.5,0
13,3,4,26,1,10,112,1,0.472222222,0,0,2,1.0769,1
7,0,6,12,4,5,52,0,0.30952381,1,4,2,1.0,0
2,0,2,2,1,2,2,0,1.0,0,0,1,1.0,0
49,0,20,93,17,42,620,3,0.128728414,0,0,6,1.4082,0
6,0,5,11,3,5,46,1,0.583333333,0,0,2,1.0,0
38,0,109,111,4,36,923,0,0.090733591,0,0,8,3.1579,5
7,0,10,14,5,5,45,1,0.428571429,1,1,1,0.8571,0
19,0,16,26,15,18,111,0,0.215277778,1,1,1,0.7895,0
57,0,14,94,13,45,738,0,0.125,0,0,6,1.2105,0
17,0,8,32,7,13,162,1,0.18300653600000003,0,0,3,1.1765,5
14,0,10,27,9,14,167,0,0.3,1,1,5,1.2857,1
4,0,10,17,9,3,71,2,0.833333333,0,0,1,0.5,0
1,0,0,1,0,1,1,0,1.0,0,0,1,1.0,0
12,0,7,22,7,12,63,1,0.106060606,0,0,1,0.9167,0
2,0,6,8,6,2,23,0,0.75,0,0,1,0.5,0
10,0,8,46,8,3,334,1,0.314814815,1,1,1,0.8,0
17,0,2,18,1,17,84,0,0.367647059,0,0,1,0.9412,0
2,0,3,4,3,2,11,0,0.833333333,0,0,0,0.0,0
8,1,31,42,30,6,207,1,0.35,0,0,1,0.875,0
1,0,6,1,2,1,1,0,1.0,0,0,1,1.0,0
1,0,0,1,0,1,1,0,1.0,0,0,1,1.0,0
15,0,5,22,5,13,113,0,0.35,2,6,2,0.9333,0
4,0,7,4,2,4,4,0,0.583333333,0,0,1,1.0,0
4,0,3,9,3,4,34,0,0.5,0,0,2,1.0,0
14,31,35,28,2,7,200,0,0.380952381,0,0,3,1.2143,1
4,0,8,10,4,3,31,0,0.3125,0,0,1,0.75,0
0,0,3,0,0,0,0,0,0.0,0,0,0,0.0,2
5,0,6,12,5,5,28,0,0.6,1,1,1,0.8,0
6,0,6,11,0,6,57,0,0.5,0,0,2,0.8333,0
1,0,4,1,3,1,1,0,1.0,0,0,1,1.0,0
6,0,2,14,0,6,52,0,0.5,0,0,1,0.6667,1
0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
4,0,14,18,12,2,88,0,0.833333333,0,0,2,0.75,0
5,0,4,11,3,4,56,0,0.44,0,0,1,0.8,2
2,0,6,7,6,2,24,1,0.6,0,0,1,0.5,0
7,0,11,19,11,7,75,3,0.35714285700000004,0,0,1,0.8571,0
0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
3,0,4,8,3,3,32,2,0.5555555560000001,0,0,1,0.6667,0
2,0,12,7,4,1,23,0,0.5,0,0,1,0.5,0
3,0,4,6,2,2,33,1,0.666666667,0,0,2,1.0,0
12,0,13,23,13,10,138,1,0.272727273,0,0,8,1.4167,0
3,0,8,11,7,2,41,0,0.75,0,0,1,0.3333,0
14,0,25,62,21,11,461,0,0.192307692,0,0,6,1.9286,0
3,0,4,8,4,1,26,1,0.5555555560000001,1,1,1,0.6667,0
3,0,3,6,3,3,13,0,0.333333333,0,0,1,1.0,0
3,1,9,15,8,1,52,0,0.666666667,2,2,1,0.6667,0
13,1,15,25,13,11,120,1,0.24175824199999998,0,0,1,0.7692,0
3,0,5,4,3,3,21,2,0.5,0,0,1,0.6667,0
3,0,4,5,4,3,12,0,0.833333333,0,0,1,0.6667,0
10,0,9,38,7,8,216,0,0.283333333,0,0,4,2.4,0
2,0,2,6,1,2,21,0,0.75,0,0,1,0.5,0
27,0,18,60,17,24,303,3,0.116049383,2,3,2,0.8889,7
5,0,4,5,0,5,5,0,1.0,0,0,1,1.0,1
9,0,4,17,4,5,125,2,0.444444444,0,0,2,1.0,0
10,0,3,16,2,10,69,1,0.425,0,0,1,0.7,0
10,0,9,18,9,10,68,0,0.35,1,1,1,0.8,0
2,0,3,2,1,2,2,0,1.0,0,0,1,1.0,0
7,0,10,25,2,6,166,0,0.5,0,0,1,0.5714,0
14,1,10,71,7,7,799,0,0.316239316,0,0,14,3.3571,3
6,0,4,9,4,5,41,0,0.41666666700000005,0,0,2,1.0,0
1,0,0,1,0,1,1,0,1.0,0,0,1,1.0,0
49,0,9,86,8,37,758,0,0.143939394,0,0,7,1.7143,0
10,0,7,17,6,10,82,1,0.375,1,1,2,0.8,1
4,0,7,17,6,4,78,1,0.4,0,0,2,1.0,0
3,0,63,3,2,3,3,0,0.5555555560000001,0,0,1,1.0,0
31,1,16,59,15,28,251,2,0.13399503699999998,0,0,2,1.0,3
9,0,35,101,35,3,571,2,0.234375,1,1,10,1.7778,0
17,0,9,20,7,13,99,1,0.235294118,1,3,1,0.8235,0
2,0,2,3,1,1,7,0,0.75,0,0,1,0.5,0
4,0,11,20,9,3,94,0,0.583333333,1,2,3,1.25,0
1,0,27,1,3,1,1,0,1.0,0,0,1,1.0,0
6,0,4,17,4,4,80,0,0.444444444,1,1,3,1.1667,0
29,0,5,56,5,29,342,0,0.199233716,1,3,1,0.8966,1
13,0,24,41,9,12,218,0,0.46153846200000004,0,0,2,1.2308,1
1,0,2,6,1,1,14,0,1.0,0,0,0,0.0,0
8,0,16,56,16,4,297,0,0.37142857100000004,0,0,6,2.25,0
6,0,6,15,6,4,54,1,0.444444444,1,1,1,0.8333,0
6,0,8,29,7,3,143,0,0.35714285700000004,0,0,1,0.6667,0
1,0,21,1,0,1,1,0,1.0,0,0,1,1.0,0
6,6,11,14,5,5,49,2,0.375,0,0,2,1.0,0
3,0,8,16,7,2,44,0,0.75,0,0,1,0.3333,0
12,3,8,25,7,8,102,1,0.226190476,0,0,2,1.1667,0
4,0,2,5,2,4,28,2,0.4375,0,0,1,0.75,0
20,0,18,53,17,14,299,2,0.16,1,1,2,1.05,0
4,2,5,24,3,1,93,0,0.4,0,0,4,1.5,0
2,2,7,4,5,2,17,1,0.875,0,0,0,0.0,0
2,0,4,4,4,1,9,0,0.75,1,1,1,0.5,0
1,0,2,2,1,1,5,0,1.0,0,0,0,0.0,0
3,0,2,6,1,3,16,0,0.7777777779999999,0,0,0,0.0,0
23,0,11,40,1,22,249,0,0.286956522,0,0,3,1.087,0
15,0,19,32,17,10,189,1,0.1875,0,0,1,0.8667,0
4,0,3,23,3,2,93,0,1.0,1,2,1,0.75,0
8,0,8,15,8,7,79,0,0.325,0,0,2,0.875,0
3,0,1,5,1,3,12,0,0.666666667,1,2,1,0.3333,0
4,3,10,8,0,4,20,0,0.666666667,0,0,0,0.0,0
2,0,4,6,4,2,18,0,1.0,0,0,1,0.5,0
3,0,4,8,4,2,24,0,0.444444444,1,2,1,0.6667,0
1,0,1,1,1,1,1,0,1.0,0,0,1,1.0,0
4,0,1,6,1,4,22,0,0.583333333,0,0,1,0.5,0
14,0,10,42,10,10,192,0,0.30612244899999996,0,0,2,1.0714,0
20,0,20,85,13,13,587,2,0.21052631600000002,0,0,9,1.7,0
25,0,14,39,10,20,204,0,0.246666667,1,3,1,0.88,0
15,0,1,18,0,12,106,0,0.37777777799999995,0,0,1,0.9333,0
5,0,6,13,2,3,67,0,0.36,0,0,2,1.0,0
7,0,10,15,9,4,61,0,0.261904762,1,1,1,0.8571,0
1,0,5,1,3,1,1,0,1.0,0,0,1,1.0,0
2,0,17,2,1,2,2,0,0.7,0,0,1,1.0,0
2,0,2,6,1,2,22,0,0.666666667,0,0,1,0.5,0
4,0,8,18,7,2,131,2,0.7777777779999999,0,0,3,1.5,0
10,0,5,29,5,5,235,1,0.42222222200000004,0,0,4,1.2,0
6,0,12,22,12,1,99,1,0.3,1,1,1,0.6667,0
9,0,21,46,21,2,272,1,0.28125,1,1,2,0.8889,0
10,0,15,40,12,5,177,0,0.271604938,0,0,5,1.5,2
64,2,28,127,25,50,1188,2,0.096119929,0,0,6,1.2031,4
12,0,19,57,18,7,479,1,0.418181818,0,0,17,3.25,0
9,0,5,20,5,7,87,1,0.311111111,1,2,1,0.6667,0
5,0,7,15,7,5,41,0,0.46666666700000003,2,3,1,0.6,1
3,0,3,10,3,2,30,0,0.666666667,0,0,1,0.3333,0
18,0,16,63,16,10,389,1,0.209150327,1,1,3,0.9444,0
9,0,7,17,7,9,78,1,0.40740740700000005,0,0,1,0.8889,0
5,0,9,21,9,3,91,1,0.44,2,5,1,0.8,0
4,0,6,7,5,4,23,0,0.5,0,0,1,0.75,0
0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
11,0,12,34,11,4,180,1,0.2,1,1,3,1.0909,0
1,0,135,1,1,1,1,0,1.0,0,0,1,1.0,0
13,0,6,43,3,11,180,0,0.1,0,0,1,0.8462,2
31,0,24,52,23,31,165,3,0.148387097,0,0,1,0.9677,0
9,0,3,18,2,8,79,0,0.355555556,0,0,1,0.7778,0
7,0,29,58,29,3,190,2,0.41666666700000005,0,0,1,0.7143,0
8,0,12,33,11,3,304,2,0.37142857100000004,1,1,2,0.875,0
3,0,5,7,5,3,19,0,0.533333333,0,0,1,0.6667,0
11,0,8,30,4,11,163,0,0.4,0,0,4,1.2727,1
2,0,5,7,3,1,24,0,0.666666667,1,1,1,0.5,0
4,0,1,6,0,3,87,0,0.41666666700000005,0,0,2,1.0,0
3,0,6,10,6,3,41,0,0.833333333,0,0,2,1.0,1
7,0,3,17,1,7,66,0,0.39285714299999996,0,0,2,1.0,0
1,0,0,1,0,1,1,0,1.0,0,0,1,1.0,0
9,0,12,44,12,4,300,1,0.270833333,1,1,1,0.7778,0
5,0,10,16,8,4,61,1,0.45,1,1,3,0.8,2
13,0,6,24,4,13,123,0,0.292307692,1,2,1,0.8462,0
1,0,4,1,3,1,1,0,1.0,0,0,1,1.0,0
4,0,3,5,2,3,17,1,0.5,0,0,1,0.5,0
4,2,6,24,4,1,96,0,0.45,0,0,3,1.5,0
15,0,11,47,10,11,465,0,0.193333333,0,0,3,1.1333,0
5,0,8,11,5,5,39,0,0.7,0,0,1,0.8,0
8,0,14,17,7,6,69,1,0.3,1,1,2,1.0,0
18,0,13,37,13,17,162,0,0.17901234600000002,1,1,3,1.0556,0
12,1,13,35,12,3,217,1,0.261363636,0,0,4,1.0,0
1,0,1,2,1,1,6,0,1.0,0,0,0,0.0,0
52,3,31,121,28,45,737,2,0.106617647,0,0,7,1.0962,0
3,0,4,6,4,2,17,0,0.5,1,1,1,0.3333,0
9,0,3,15,3,8,82,2,0.41666666700000005,1,2,3,0.8889,0
13,0,4,23,3,13,70,1,0.326923077,0,0,1,0.9231,0
15,0,14,46,14,8,217,0,0.261904762,2,3,2,0.8667,0
2,0,5,14,4,2,47,0,0.75,0,0,1,0.5,3
3,0,1,20,0,2,106,0,0.7777777779999999,0,0,9,3.6667,0
3,0,6,5,3,3,12,0,0.666666667,1,2,1,0.6667,1
9,7,11,17,4,5,125,2,0.444444444,0,0,2,1.0,0
2,0,6,3,2,2,7,0,0.75,0,0,1,0.5,1
2,0,4,4,4,1,9,0,0.75,1,1,1,0.5,0
3,0,2,15,1,0,63,0,0.5,0,0,1,0.6667,0
7,1,9,13,5,5,41,1,0.47619047600000003,1,1,1,0.7143,0
8,0,5,12,5,8,66,1,0.34375,1,2,4,1.25,0
8,27,32,16,5,6,47,1,0.34375,1,1,1,0.875,0
13,0,16,26,14,12,80,0,0.326923077,0,0,1,0.9231,2
16,1,7,30,5,12,151,2,0.26666666699999997,0,0,4,1.3125,0
44,0,12,72,8,44,345,0,0.261363636,1,2,1,0.9773,3
4,1,1,9,0,4,27,0,1.0,0,0,1,0.75,0
9,1,11,23,8,7,127,1,0.375,0,0,2,0.6667,0
1,0,5,1,0,1,1,0,1.0,0,0,1,1.0,0
6,0,20,55,18,3,323,0,0.457142857,0,0,4,1.6667,0
24,0,23,43,23,24,127,3,0.180555556,0,0,1,0.9583,0
15,1,14,29,10,12,169,5,0.35,0,0,3,1.2,0
4,0,13,7,1,2,89,7,0.444444444,1,1,1,0.5,1
7,0,4,9,3,7,48,2,0.39285714299999996,0,0,3,1.0,0
3,0,7,15,7,1,45,0,0.5555555560000001,1,3,1,0.6667,0
14,0,9,37,9,13,236,1,0.257142857,1,15,6,1.5,1
7,2,7,10,5,4,44,0,0.28571428600000004,0,0,3,1.0,0
4,0,1,6,1,3,21,0,0.625,2,2,1,0.75,0
1,0,11,1,2,1,1,0,1.0,0,0,1,1.0,0
6,0,5,10,5,5,43,0,0.444444444,0,0,1,0.5,0
1,0,5,1,2,1,1,0,1.0,0,0,1,1.0,0
2,0,6,7,4,1,21,0,0.5,0,0,1,0.5,0
1,0,30,1,0,1,1,0,1.0,0,0,1,1.0,0
4,0,6,4,2,4,5,0,0.5625,0,0,1,1.0,0
2,1,9,9,8,1,26,0,0.666666667,1,1,1,0.5,0
2,0,7,6,7,1,19,0,0.666666667,1,1,1,0.5,0
3,0,3,5,1,3,17,1,0.666666667,0,0,1,0.6667,0
23,0,19,33,18,23,247,3,0.24154589399999998,1,2,2,1.0,0
3,0,10,22,9,2,141,1,0.666666667,0,0,6,2.0,1
16,0,9,43,4,14,273,0,0.4875,0,0,1,0.875,1
2,0,2,6,1,2,21,0,0.75,0,0,1,0.5,0
9,1,7,18,6,7,66,1,0.38888888899999996,1,1,1,0.7778,1
5,0,4,8,4,4,35,0,0.44,0,0,1,0.6,0
141,13,102,286,69,130,1747,3,0.057142857000000005,0,0,6,1.156,17
5,0,8,19,7,2,63,1,0.4,2,4,1,0.6,0
2,0,2,19,1,2,121,0,0.666666667,0,0,13,6.5,0
11,0,11,17,11,8,73,0,0.25,0,0,1,0.7273,0
2,0,2,2,1,2,2,0,1.0,0,0,1,1.0,0
3,0,6,4,4,3,10,0,0.5555555560000001,0,0,1,0.6667,0
3,0,12,3,1,3,3,0,0.833333333,0,0,1,1.0,0
11,0,6,22,6,11,99,2,0.393939394,0,0,5,1.2727,0
3,0,1,5,1,3,12,0,0.666666667,1,2,1,0.3333,0
32,0,23,52,22,32,171,3,0.13636363599999998,0,0,1,0.9688,0
6,0,6,17,5,4,85,1,0.4,1,2,1,0.8333,1
13,0,9,35,8,9,214,2,0.307692308,1,1,8,1.3846,2
17,0,9,36,8,16,187,0,0.245098039,2,9,5,1.3529,0
4,0,3,22,3,2,86,0,0.4375,2,3,3,1.25,0
6,4,5,7,0,5,23,0,0.5,0,0,1,0.6667,0
9,2,16,44,14,2,217,0,0.37037037,0,0,2,1.0,0
4,0,8,18,4,3,62,0,0.45833333299999995,0,0,3,1.25,0
4,0,10,19,10,3,76,0,0.25,0,0,1,0.75,0
7,0,7,26,6,5,84,2,0.28571428600000004,1,1,1,0.8571,2
6,0,4,23,4,1,102,0,0.6,2,2,2,0.8333,0
1,0,9,1,1,1,1,0,1.0,0,0,1,1.0,0
3,2,5,9,3,2,28,0,0.7777777779999999,1,1,1,0.6667,0
61,1,26,137,24,55,615,3,0.08916666699999999,2,4,5,1.0492,0
0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0
4,0,0,14,0,1,79,0,0.375,0,0,5,2.0,0
19,0,13,35,11,16,157,4,0.173684211,1,1,3,1.0526,2
26,1,9,47,5,24,236,1,0.258241758,0,0,2,1.0,3
0,0,0,0,0,0,15,0,0.0,0,0,0,0.0,0
12,4,12,30,7,8,172,1,0.25,0,0,3,1.1667,0
11,0,4,20,3,10,124,1,0.363636364,0,0,3,1.2727,0
22,0,163,22,1,22,22,0,0.25974026,0,0,1,1.0,0
12,0,15,28,12,7,152,2,0.25974026,0,0,2,0.75,0
3,0,3,8,2,3,29,0,0.666666667,0,0,1,0.6667,0
2,0,5,8,4,2,50,0,0.75,0,0,1,0.5,0
3,0,18,25,18,2,136,2,0.666666667,0,0,1,0.3333,0
7,0,11,21,5,6,90,0,0.375,0,0,2,1.0,0
14,0,4,33,4,13,231,0,0.26153846199999997,0,0,1,0.8571,0
2,0,4,12,3,2,52,0,0.666666667,0,0,3,1.5,0
2,0,2,3,2,2,7,0,0.75,0,0,1,0.5,0
2,1,9,3,4,2,5,0,0.75,0,0,1,0.5,0
43,0,9,101,7,35,792,1,0.261904762,0,0,1,0.8372,0
18,0,1,34,0,18,114,0,0.18333333300000001,0,0,2,1.0556,0
15,0,6,32,5,14,168,0,0.36666666700000006,1,2,2,0.9333,1
6,0,6,12,6,5,45,0,0.3,0,0,1,0.3333,0
6,0,10,42,10,5,203,0,0.4,0,0,1,0.6667,0
18,0,13,33,6,16,144,1,0.235294118,0,0,2,1.1111,0
1,0,12,1,1,1,1,0,1.0,0,0,1,1.0,0
3,0,1,5,1,3,12,0,0.666666667,1,2,1,0.3333,0
10,0,7,17,6,10,82,1,0.375,1,1,2,0.8,1
8,1,10,24,9,7,198,0,0.3125,0,0,4,1.125,0
16,0,3,24,3,15,134,0,0.175,0,0,1,0.8125,0
6,0,2,9,1,6,41,0,0.5,0,0,2,0.8333,0
10,2,9,18,7,10,86,3,0.28571428600000004,0,0,3,1.2,0
11,2,8,30,6,4,127,0,0.3,1,1,1,0.8182,0
13,2,18,53,14,8,340,1,0.21367521399999997,1,1,2,0.8462,4
62,1,50,135,40,48,1182,8,0.075260805,1,1,7,1.3548,6
14,2,17,21,9,11,106,2,0.265306122,1,1,2,0.8571,0
9,0,6,20,6,8,49,0,0.14285714300000002,0,0,1,0.8889,0
18,0,14,60,14,10,369,1,0.209150327,1,1,3,0.9444,0
8,0,14,26,11,5,142,3,0.39285714299999996,1,1,3,1.0,0
6,0,3,6,0,6,6,0,0.5555555560000001,0,0,1,1.0,0
5,0,6,9,1,3,75,5,0.41666666700000005,1,1,1,0.6,0
3,0,4,9,3,3,23,0,1.0,1,1,1,0.6667,0
1,0,8,1,1,1,1,0,1.0,0,0,1,1.0,0
2,0,4,4,4,2,10,0,0.666666667,0,0,1,0.5,0
3,0,10,25,10,2,136,0,0.5,1,1,2,1.0,0
1,0,0,1,0,1,1,0,1.0,0,0,1,1.0,0
1,0,43,1,0,1,1,0,1.0,0,0,1,1.0,0
3,0,4,5,4,3,18,0,0.833333333,0,0,1,0.6667,0
11,0,4,22,3,10,86,0,0.181818182,0,0,1,0.9091,2
14,0,9,18,6,11,71,0,0.33928571399999996,1,3,1,0.8571,0
14,0,7,25,6,12,131,1,0.33846153799999995,1,2,4,1.0,0
3,9,9,4,0,3,14,0,0.666666667,0,0,1,0.6667,0
2,0,5,10,4,2,58,0,0.75,0,0,1,0.5,0
3,0,12,17,12,1,67,0,0.666666667,1,3,1,0.6667,1
6,0,4,10,3,6,46,0,0.333333333,0,0,1,0.8333,0
3,0,2,4,1,3,15,0,0.666666667,0,0,1,0.6667,0
118,0,38,198,28,111,1327,2,0.081871345,0,0,32,1.5169,0
20,0,8,30,8,20,148,0,0.20625,0,0,2,0.95,0
11,0,8,22,6,7,98,0,0.283333333,1,4,3,1.0909,0
6,0,12,23,11,4,90,1,0.44,0,0,1,0.5,0
3,0,3,16,2,1,60,0,0.5,0,0,3,1.0,0
