wmc,dit,cbo,rfc,ca,ce,npm,loc,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
1,1,0,2,0,0,1,18,0.0,1.0,0,0,3.0,0,0.0,0
1,1,0,2,0,0,1,5,0.0,1.0,0,0,3.0,0,0.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,17,0.0,0.0,0,0,12.0,0,0.0,0
6,3,11,23,0,11,6,122,0.8863636359999999,0.333333333,2,6,18.66666667,9,2.5,0
2,3,2,6,1,1,1,23,0.9714285709999999,1.0,2,2,10.0,1,0.5,0
3,3,8,12,1,7,2,47,0.9523809520000001,0.5555555560000001,3,3,14.66666667,4,1.6667,0
11,1,3,13,2,1,11,74,0.0,0.5,0,0,5.6363636360000005,1,0.9091,0
14,1,17,32,3,15,11,277,0.0,0.435897436,0,0,18.21428571,2,1.1429,0
4,3,17,21,1,16,2,94,0.9302325579999999,0.4375,3,4,22.0,2,1.0,0
3,4,8,26,1,7,2,98,0.953488372,0.5555555560000001,2,3,31.33333333,7,2.6667,0
7,1,19,45,0,19,4,313,0.75,0.333333333,1,2,42.0,6,2.1429,0
5,3,8,18,1,7,2,67,0.9090909090000001,0.45,3,7,12.4,1,0.8,0
7,1,25,51,0,25,4,283,0.75,0.333333333,1,2,38.14285714,7,2.1429,0
8,3,28,67,1,27,3,399,0.85106383,0.333333333,3,9,48.0,5,1.875,0
8,1,3,10,2,1,8,53,0.0,0.5,0,0,5.5,1,0.875,0
4,2,8,18,2,7,2,70,0.9259259259999999,0.46666666700000003,1,4,16.0,3,1.0,0
6,3,13,62,1,12,3,193,0.894736842,0.4,2,5,30.83333333,5,1.3333,0
24,1,5,26,4,1,24,165,0.0,0.5,0,0,5.833333333,1,0.9583,0
5,2,14,52,1,13,2,291,0.892857143,0.45833333299999995,1,9,56.6,8,3.4,0
35,1,2,37,1,1,35,242,0.0,0.5,0,0,5.885714286,1,0.9714,0
8,1,1,77,0,1,2,911,0.0,0.37142857100000004,1,1,112.25,5,1.625,0
3,3,6,12,1,5,2,45,0.9523809520000001,0.5555555560000001,3,3,13.66666667,1,0.6667,0
3,3,2,9,1,1,1,219,0.9523809520000001,0.666666667,3,5,71.66666667,1,0.6667,0
4,1,11,31,0,11,1,153,0.0,0.333333333,0,0,36.25,9,2.75,0
4,2,8,18,1,7,2,70,0.9259259259999999,0.46666666700000003,1,4,16.0,3,1.0,0
4,4,19,50,1,18,2,273,0.931818182,0.4375,3,6,66.75,7,2.5,0
12,1,16,30,2,15,10,180,0.0,0.454545455,0,0,13.5,2,1.0833,0
30,1,2,32,1,1,30,207,0.0,0.5,0,0,5.8666666670000005,1,0.9667,0
7,1,26,54,0,26,4,292,0.75,0.333333333,1,2,39.42857143,7,2.1429,0
4,4,10,26,1,9,2,127,0.953488372,0.5555555560000001,3,4,30.0,4,1.25,0
3,4,12,14,1,11,2,51,0.956521739,0.5555555560000001,2,3,16.0,1,0.6667,0
9,3,27,68,1,26,2,780,0.85106383,0.265625,3,4,83.77777778,18,3.5556,0
7,3,21,46,1,20,3,204,0.869565217,0.333333333,3,6,27.71428571,3,1.4286,0
7,1,25,52,0,25,4,308,0.75,0.333333333,1,2,41.71428571,7,2.2857,0
4,4,19,54,1,18,2,225,0.9361702129999999,0.4375,4,9,54.75,6,2.0,0
4,2,13,38,0,13,2,162,0.9090909090000001,0.375,2,6,38.5,1,0.75,0
8,1,6,10,5,1,8,53,0.0,0.5,0,0,5.5,1,0.875,0
5,3,24,59,1,23,3,771,0.9090909090000001,0.4,3,7,150.8,31,6.8,0
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
0,1,0,0,0,0,0,242,0.0,0.0,0,0,0.0,0,0.0,1
1,1,0,5,0,0,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,16,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,22,0.0,0.0,0,0,12.0,0,0.0,0
2,1,7,16,0,7,2,108,0.0,0.625,0,0,52.0,10,5.0,0
1,1,1,5,0,1,0,31,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
2,1,8,22,0,8,2,122,0.0,0.625,0,0,58.5,10,5.0,0
1,1,1,5,0,1,0,22,0.0,0.0,0,0,12.0,0,0.0,1
3,1,14,33,0,14,3,151,0.0,0.666666667,0,0,47.66666667,5,2.0,0
3,1,9,19,0,9,3,233,0.0,0.75,0,0,75.33333333,12,7.3333,0
1,1,0,5,0,0,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,19,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,16,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,31,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,37,0.0,0.0,0,0,12.0,0,0.0,0
4,1,10,23,0,10,3,107,0.0,0.666666667,0,0,24.5,4,1.25,0
1,1,0,5,0,0,0,23,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,18,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,55,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,24,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,30,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,101,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,23,0.0,0.0,0,0,12.0,0,0.0,0
1,1,0,5,0,0,0,17,0.0,0.0,0,0,12.0,0,0.0,0
1,1,1,5,0,1,0,20,0.0,0.0,0,0,12.0,0,0.0,1
1,1,0,5,0,0,0,19,0.0,0.0,0,0,12.0,0,0.0,0
2,3,3,13,0,3,1,39,0.9285714290000001,0.75,1,1,18.0,2,1.0,0
2,3,8,13,0,8,1,49,0.9285714290000001,0.75,1,1,22.5,4,2.0,0
2,1,9,18,0,9,2,68,0.0,0.666666667,0,0,32.5,5,2.5,0
2,1,5,8,0,5,2,23,0.0,0.666666667,0,0,10.5,1,0.5,0
3,1,10,14,4,6,2,98,0.0,0.46666666700000003,0,0,30.66666667,8,3.6667,0
4,3,13,19,0,13,3,87,0.818181818,0.5555555560000001,2,2,20.0,4,1.25,0
2,1,9,18,0,9,2,68,0.0,0.666666667,0,0,32.5,5,2.5,0
6,4,24,23,3,21,2,97,0.615384615,0.444444444,2,2,14.66666667,3,1.1667,0
3,1,15,32,0,15,3,174,0.0,0.7777777779999999,0,0,55.66666667,7,3.0,0
2,1,3,6,0,3,1,16,0.0,0.5,0,0,7.0,1,0.5,0
2,5,7,15,0,7,1,84,0.979166667,0.75,1,1,40.0,7,3.5,0
2,3,2,6,0,2,1,14,0.9285714290000001,0.75,1,1,5.5,1,0.5,0
4,1,14,33,0,14,3,178,0.0,0.5625,0,0,43.0,5,2.75,0
2,4,3,6,0,3,2,18,0.833333333,0.75,1,1,8.0,1,0.5,0
2,2,15,19,0,15,2,83,0.5,0.75,0,0,40.0,5,2.5,0
12,4,12,28,1,11,2,131,0.8472222220000001,0.26666666699999997,1,3,9.833333332999999,6,1.3333,0
0,1,0,0,0,0,0,10,0.0,0.0,0,0,0.0,0,0.0,0
2,1,19,37,0,19,2,150,0.0,0.666666667,0,0,73.0,6,3.0,0
2,1,12,21,0,12,2,93,0.0,0.666666667,0,0,44.5,4,2.0,0
2,1,12,18,0,12,2,78,0.0,0.666666667,0,0,37.0,3,1.5,0
3,1,14,20,0,14,2,98,0.0,0.666666667,0,0,30.33333333,4,1.3333,0
2,4,9,17,0,9,1,77,0.978723404,0.75,1,1,36.5,7,3.5,0
0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
3,2,13,16,0,13,3,76,0.666666667,0.5555555560000001,1,1,23.66666667,4,1.6667,0
3,4,7,18,0,7,1,86,0.978723404,0.75,1,1,25.66666667,7,2.3333,0
2,3,6,5,0,6,1,22,0.9285714290000001,0.75,1,1,9.5,4,2.0,0
3,2,7,8,0,7,3,28,0.666666667,0.5555555560000001,1,1,8.333333332999999,2,1.0,0
3,2,19,66,0,19,2,188,0.5,0.533333333,1,1,61.0,4,2.0,0
3,5,3,10,0,3,2,33,0.990566038,0.666666667,1,1,9.333333332999999,1,0.3333,0
3,1,12,15,0,12,2,51,0.0,0.46666666700000003,0,0,15.66666667,2,1.0,0
5,4,15,17,0,15,2,70,0.666666667,0.4,2,2,12.4,2,1.0,0
2,1,14,33,0,14,2,225,0.0,0.666666667,0,0,108.5,14,7.0,1
3,4,19,35,0,19,1,255,0.958333333,0.5555555560000001,1,1,80.66666667,15,6.3333,0
3,2,13,16,0,13,3,76,0.666666667,0.5555555560000001,1,1,23.66666667,4,1.6667,0
3,1,14,20,0,14,2,98,0.0,0.666666667,0,0,30.33333333,4,1.3333,0
13,3,11,39,0,11,8,339,0.78,0.316666667,3,7,23.92307692,7,2.3077,0
4,5,17,25,0,17,2,148,0.971698113,0.625,2,3,35.25,9,4.25,0
3,3,6,7,0,6,3,23,0.818181818,0.5555555560000001,2,2,6.666666667,2,1.0,0
5,4,15,17,0,15,2,70,0.666666667,0.4,2,2,12.4,2,1.0,0
2,2,1,3,0,1,2,8,0.75,1.0,1,1,2.5,1,0.5,0
3,2,13,16,0,13,3,76,0.666666667,0.5555555560000001,1,1,23.66666667,4,1.6667,0
3,1,13,19,0,13,2,94,0.0,0.666666667,0,0,29.0,4,1.3333,0
3,4,12,27,0,12,1,117,0.978723404,0.75,1,1,36.33333333,7,2.3333,0
3,4,9,28,0,9,1,124,0.978723404,0.75,1,1,38.66666667,7,2.3333,0
3,1,8,18,0,8,3,57,0.0,0.7777777779999999,0,0,17.66666667,2,1.0,0
3,4,9,26,0,9,1,148,0.978723404,0.75,1,1,46.0,7,2.3333,0
2,4,8,16,0,8,1,75,0.978723404,0.75,1,1,35.5,7,3.5,0
3,1,14,16,1,13,2,55,0.0,0.46666666700000003,0,0,17.0,3,1.3333,0
6,1,10,19,0,10,6,60,0.0,0.4,0,0,8.833333332999999,1,0.8333,0
4,3,2,8,2,0,4,21,1.0,0.666666667,0,0,4.0,0,0.0,0
3,4,1,4,0,1,1,10,0.8,1.0,1,1,2.333333333,1,0.6667,0
3,1,12,15,0,12,2,51,0.0,0.46666666700000003,0,0,15.66666667,2,1.0,0
0,1,0,0,0,0,0,2,0.0,0.0,0,0,0.0,0,0.0,0
0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
2,1,9,14,0,9,2,63,0.0,0.666666667,0,0,29.5,3,1.5,0
2,1,10,24,0,10,2,105,0.0,0.666666667,0,0,50.5,5,2.5,0
2,4,5,6,0,5,1,20,0.978723404,0.75,1,1,9.0,2,1.0,0
2,1,9,16,0,9,2,54,0.0,0.666666667,0,0,26.0,2,1.0,0
3,1,12,15,0,12,2,51,0.0,0.46666666700000003,0,0,15.66666667,2,1.0,0
3,4,10,24,1,9,1,134,0.978723404,0.75,1,1,42.33333333,11,3.6667,0
0,1,0,0,0,0,0,2,0.0,0.0,0,0,0.0,0,0.0,0
5,1,22,24,11,11,4,95,0.0,0.666666667,0,0,17.8,2,1.0,0
22,4,20,71,1,19,2,549,0.696969697,0.16883116899999998,2,4,23.81818182,4,1.4091,0
5,6,27,51,0,27,3,223,0.974789916,0.625,3,6,43.2,7,1.8,0
2,1,5,8,0,5,2,23,0.0,0.666666667,0,0,10.5,1,0.5,0
2,3,8,15,0,8,1,55,0.9285714290000001,0.75,1,1,25.5,3,1.5,0
3,1,7,14,1,6,2,72,0.0,0.75,0,0,22.66666667,6,2.0,0
3,2,13,16,0,13,3,76,0.666666667,0.5555555560000001,1,1,23.66666667,4,1.6667,0
3,4,6,12,0,6,1,68,0.958333333,0.5555555560000001,1,1,20.66666667,4,2.3333,0
3,2,13,16,0,13,3,76,0.666666667,0.5555555560000001,1,1,23.66666667,4,1.6667,0
3,2,6,7,0,6,3,23,0.666666667,0.5555555560000001,1,1,6.666666667,2,1.0,0
0,1,0,0,0,0,0,11,0.0,0.0,0,0,0.0,0,0.0,0
3,4,1,4,0,1,1,10,0.8,1.0,1,1,2.333333333,1,0.6667,0
2,1,5,8,0,5,2,23,0.0,0.666666667,0,0,10.5,1,0.5,0
3,1,12,11,0,12,2,46,0.0,0.666666667,0,0,13.33333333,2,0.6667,0
4,4,10,21,0,10,3,148,0.9411764709999999,0.5,2,6,36.0,11,3.75,0
2,1,9,18,0,9,2,68,0.0,0.666666667,0,0,32.5,5,2.5,0
5,4,12,23,2,10,1,87,0.942028986,1.0,1,3,15.8,1,0.8,0
2,1,7,13,0,7,2,35,0.0,0.666666667,0,0,16.0,2,1.0,0
2,1,6,13,0,6,2,58,0.0,0.666666667,0,0,28.0,5,2.5,0
2,1,16,29,0,16,2,112,0.0,0.666666667,0,0,54.0,9,4.5,0
3,1,13,19,0,13,2,94,0.0,0.666666667,0,0,29.0,4,1.3333,0
3,4,1,4,0,1,1,10,0.8,1.0,1,1,2.333333333,1,0.6667,0
2,4,9,13,0,9,1,41,0.978723404,0.75,1,1,19.5,4,2.0,0
0,1,0,0,0,0,0,3,0.0,0.0,0,0,0.0,0,0.0,0
3,1,17,23,4,13,2,140,0.0,0.41666666700000005,0,0,45.33333333,7,4.0,0
3,2,6,7,0,6,3,23,0.666666667,0.5555555560000001,1,1,6.666666667,2,1.0,0
3,1,11,22,0,11,2,247,0.0,0.666666667,0,0,75.33333333,18,6.0,0
2,4,5,11,0,5,1,39,0.978723404,0.75,1,1,18.0,3,1.5,0
3,1,19,33,0,19,3,126,0.0,0.7777777779999999,0,0,40.0,4,1.6667,0
3,5,4,5,0,4,1,13,0.8666666670000001,0.666666667,1,1,3.333333333,1,0.6667,0
3,1,12,17,0,12,2,68,0.0,0.666666667,0,0,20.66666667,3,1.0,0
0,1,0,0,0,0,0,3,0.0,0.0,0,0,0.0,0,0.0,0
3,3,9,17,0,9,2,58,0.9770114940000001,1.0,1,1,18.0,2,1.3333,2
0,1,0,0,0,0,0,17,0.0,0.0,0,0,0.0,0,0.0,0
2,4,12,10,0,12,2,43,0.833333333,0.75,1,1,19.5,1,0.5,0
14,4,14,35,1,13,3,196,0.826666667,0.226190476,1,4,12.92857143,6,1.5714,0
2,4,6,7,0,6,2,30,0.9795918370000001,1.0,2,6,14.0,4,2.0,0
3,1,12,18,0,12,2,91,0.0,0.666666667,0,0,27.66666667,4,1.3333,0
0,1,0,0,0,0,0,2,0.0,0.0,0,0,0.0,0,0.0,0
4,1,8,19,1,7,4,71,0.0,0.666666667,0,0,16.5,2,1.0,0
2,4,9,17,0,9,1,77,0.978723404,0.75,1,1,36.5,7,3.5,0
3,1,8,19,0,8,3,63,0.0,0.7777777779999999,0,0,19.66666667,2,1.0,0
3,1,20,28,0,20,3,110,0.0,0.7777777779999999,0,0,35.0,3,1.3333,0
3,5,4,5,0,4,1,13,0.8666666670000001,0.666666667,1,1,3.333333333,1,0.6667,0
5,4,15,17,0,15,2,70,0.666666667,0.4,2,2,12.4,2,1.0,0
2,4,5,6,0,5,1,27,0.978723404,0.75,1,1,12.5,3,1.5,0
2,4,14,23,0,14,1,157,0.978723404,0.75,1,1,76.0,15,7.5,0
0,1,0,0,0,0,0,3,0.0,0.0,0,0,0.0,0,0.0,0
3,1,8,15,0,8,3,59,0.0,0.7777777779999999,0,0,18.0,3,1.3333,0
0,1,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0
3,4,1,4,0,1,1,10,0.8,1.0,1,1,2.333333333,1,0.6667,0
6,3,6,14,0,6,6,73,0.8863636359999999,0.333333333,2,6,10.83333333,3,1.5,0
3,4,1,4,0,1,1,10,0.8,1.0,1,1,2.333333333,1,0.6667,0
3,5,4,5,0,4,1,13,0.8666666670000001,0.666666667,1,1,3.333333333,1,0.6667,0
2,4,3,6,0,3,2,18,0.833333333,0.75,1,1,8.0,1,0.5,0
3,1,12,28,2,10,1,111,0.0,0.5,0,0,35.0,7,2.3333,0
4,3,6,10,0,6,3,34,0.818181818,0.5555555560000001,2,2,7.25,2,0.75,0
6,2,28,44,5,23,2,201,0.444444444,0.36111111100000004,1,1,32.16666667,5,2.3333,0
2,2,15,26,0,15,1,84,0.9090909090000001,0.75,1,1,41.0,4,2.0,0
3,1,3,7,1,2,2,34,0.0,0.75,0,0,10.0,2,0.6667,0
0,1,0,0,0,0,0,5,0.0,0.0,0,0,0.0,0,0.0,0
2,1,7,12,1,6,1,111,0.0,0.5,0,0,52.5,12,6.0,0
2,2,15,19,0,15,2,83,0.5,0.75,0,0,40.0,5,2.5,0
2,4,11,20,0,11,2,111,0.978723404,0.75,1,1,52.5,6,3.0,0
0,1,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0.0,0
4,5,13,28,0,13,1,167,0.959183673,0.5,1,1,39.0,7,2.5,0
2,4,8,18,0,8,1,79,0.978723404,0.75,1,1,37.5,7,3.5,0
3,4,16,30,2,14,1,175,0.978723404,0.75,1,1,54.33333333,8,2.6667,0
2,1,6,11,0,6,2,61,0.0,0.666666667,0,0,28.5,4,2.0,0
3,3,7,8,0,7,3,28,0.818181818,0.5555555560000001,2,2,8.333333332999999,2,1.0,0
0,1,0,0,0,0,0,3,0.0,0.0,0,0,0.0,0,0.0,0
3,2,7,8,0,7,3,28,0.666666667,0.5555555560000001,1,1,8.333333332999999,2,1.0,0
2,1,12,18,0,12,2,78,0.0,0.666666667,0,0,37.0,3,1.5,0
6,6,27,52,0,27,3,249,0.966666667,0.6,4,9,40.0,7,1.8333,0
7,1,17,33,4,13,5,168,0.0,0.261904762,0,0,22.42857143,8,2.2857,0
5,4,26,37,0,26,2,134,0.666666667,0.4,2,2,25.2,5,1.6,0
3,3,7,8,0,7,3,28,0.818181818,0.5555555560000001,2,2,8.333333332999999,2,1.0,0
3,4,1,4,0,1,1,10,0.8,1.0,1,1,2.333333333,1,0.6667,0
3,4,9,24,0,9,1,104,0.978723404,0.75,1,1,32.0,5,1.6667,0
2,1,6,14,0,6,2,42,0.0,0.666666667,0,0,19.5,1,0.5,0
2,5,13,26,0,13,2,66,0.9921875,1.0,1,1,32.0,5,2.5,0
5,4,15,17,0,15,2,70,0.666666667,0.4,2,2,12.4,2,1.0,0
3,2,20,5,13,7,3,16,0.666666667,0.666666667,1,1,4.333333333,1,0.6667,0
2,3,7,8,0,7,2,24,0.857142857,0.625,1,1,11.0,1,0.5,0
2,4,17,17,0,17,2,60,0.9285714290000001,0.625,1,1,28.5,1,0.5,0
2,4,8,7,0,8,2,24,0.9285714290000001,0.625,1,1,11.0,1,0.5,0
2,3,24,24,0,24,2,106,0.857142857,0.625,1,1,52.0,1,0.5,0
7,5,23,32,0,23,3,140,0.8,0.4,4,6,18.42857143,4,1.1429,0
2,3,12,11,0,12,2,37,0.857142857,0.625,1,1,17.5,1,0.5,0
3,4,5,7,4,1,1,23,0.9259259259999999,1.0,2,2,6.333333333,2,1.0,0
6,4,14,17,0,14,2,59,0.826086957,0.6,2,4,8.333333332999999,1,0.6667,0
6,4,15,19,0,15,2,69,0.826086957,0.6,2,4,10.0,1,0.6667,0
2,3,21,47,0,21,2,221,0.857142857,0.625,2,2,109.0,18,9.0,1
5,1,4,13,2,2,3,59,0.0,0.5,0,0,10.4,3,1.2,0
6,4,20,24,0,20,2,80,0.826086957,0.6,2,4,11.83333333,1,0.6667,0
2,4,15,13,0,15,2,69,0.9285714290000001,0.625,1,1,32.0,1,0.5,0
4,5,2,9,0,2,3,32,0.935483871,1.0,1,1,6.25,1,0.5,0
12,5,38,73,5,33,8,661,0.8245614040000001,0.8787878790000001,2,4,53.75,1,0.8333,1
2,3,12,12,0,12,2,36,0.857142857,0.625,1,1,16.5,3,1.5,0
3,4,39,54,0,39,2,395,0.9285714290000001,0.625,1,1,129.3333333,1,0.3333,0
5,1,15,18,2,13,4,153,0.0,0.44,0,0,29.6,1,0.8,0
2,3,8,6,0,8,2,21,0.857142857,0.625,1,1,9.5,2,1.0,0
8,5,23,42,2,21,7,207,0.818181818,0.607142857,3,4,24.5,1,0.75,0
5,5,25,35,2,23,4,183,0.94,0.666666667,2,4,34.8,1,0.6,0
5,4,14,11,9,5,4,37,0.896551724,0.625,0,0,6.0,1,0.6,0
2,4,14,12,0,14,2,101,0.9285714290000001,0.625,1,1,48.0,1,0.5,0
4,5,19,38,1,18,3,196,0.959183673,0.5555555560000001,2,4,47.25,1,0.5,0
2,2,11,9,0,11,2,58,0.8,0.666666667,1,1,28.0,1,0.5,0
6,7,10,14,1,9,4,46,0.8857142859999999,0.7,5,5,6.166666667,1,0.6667,0
2,5,19,19,0,19,2,90,0.9375,0.6,1,1,44.0,3,1.5,0
2,6,3,4,0,3,1,9,0.978723404,0.625,2,2,3.5,1,0.5,0
2,3,11,10,0,11,2,34,0.857142857,0.625,1,1,16.0,3,1.5,0
2,5,10,13,2,8,1,42,0.970588235,0.666666667,1,1,19.5,2,1.0,0
2,4,6,3,0,6,2,7,0.9285714290000001,0.625,1,1,2.5,1,0.5,0
2,4,17,21,0,17,2,83,0.8888888890000001,0.6,1,1,40.0,3,1.5,0
7,5,14,20,0,14,2,76,0.807692308,0.666666667,2,4,9.428571429,1,0.7143,1
2,3,16,14,0,16,2,46,0.857142857,0.625,1,1,22.0,1,0.5,0
2,3,31,31,0,31,2,145,0.857142857,0.625,1,1,70.0,1,0.5,0
5,5,10,15,0,10,2,52,0.869565217,0.5,3,3,8.8,1,0.6,0
