wmc,dit,cbo,rfc,ca,ce,npm,loc,dam,cam,amc,max_cc,avg_cc,bug
3,3,11,10,0,11,2,31,0.0,0.5555555560000001,9.333333332999999,1,0.6667,0
1,1,0,2,0,0,1,4,0.0,1.0,3.0,0,0.0,0
4,4,12,13,0,12,1,49,0.0,0.4,11.25,1,0.75,0
7,5,23,30,0,23,3,134,0.0,0.4,17.71428571,2,0.8571,0
45,1,50,221,1,49,6,2883,0.538461538,0.276859504,62.77777778,8,1.7556,1
6,4,29,37,5,24,3,188,0.25,0.533333333,29.66666667,2,0.8333,0
8,5,25,26,0,25,3,114,0.0,0.666666667,12.875,1,0.75,0
2,3,34,45,0,34,2,187,0.0,0.666666667,92.5,1,0.5,0
7,4,21,35,3,18,5,194,0.0,0.611111111,26.14285714,2,0.8571,0
2,3,6,6,0,6,2,20,0.0,0.625,9.0,1,0.5,0
2,3,11,7,6,5,2,17,0.0,0.666666667,7.5,1,0.5,0
2,3,14,8,0,14,2,32,0.0,0.6,15.0,1,0.5,1
2,3,19,18,0,19,2,78,0.0,0.6,38.0,3,1.5,0
3,1,2,11,0,2,1,36,0.0,0.5,10.33333333,2,0.6667,0
2,3,17,12,0,17,2,76,0.0,0.6,37.0,2,1.0,0
4,5,6,11,0,6,1,37,0.0,0.5555555560000001,7.5,1,0.5,0
5,5,12,17,0,12,1,64,0.0,0.666666667,11.2,1,0.6,0
2,4,33,41,0,33,2,244,1.0,0.625,120.5,1,0.5,0
13,4,49,59,23,26,10,372,0.25,0.41666666700000005,27.30769231,2,1.0,0
2,3,14,15,0,14,2,61,0.0,0.625,29.5,1,0.5,0
9,4,13,22,2,11,7,152,0.0,0.53125,15.33333333,2,0.8889,0
4,3,5,16,0,5,3,66,0.333333333,0.666666667,14.75,2,0.75,0
5,5,3,17,0,3,1,57,0.0,1.0,10.4,1,0.8,0
4,3,10,18,0,10,2,120,0.5,0.5,28.0,3,1.0,0
5,5,7,12,0,7,2,50,0.0,0.5,8.4,1,0.6,0
5,5,3,18,0,3,1,67,0.0,1.0,12.4,1,0.8,0
2,3,12,8,0,12,2,34,0.0,0.625,16.0,3,1.5,0
4,5,9,13,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
9,1,14,44,2,12,5,267,0.25,0.35,28.22222222,6,1.6667,0
6,5,13,19,0,13,2,74,0.0,0.6,10.83333333,1,0.6667,0
2,4,15,14,0,15,2,56,0.0,0.666666667,27.0,1,0.5,0
2,2,7,9,0,7,2,29,0.0,0.666666667,13.5,1,0.5,0
2,4,11,9,0,11,2,32,0.0,0.666666667,15.0,1,0.5,0
4,5,15,22,0,15,1,83,0.0,0.5555555560000001,19.0,1,0.5,0
2,4,1,3,0,1,1,7,0.0,1.0,2.5,1,0.5,0
4,5,15,17,0,15,1,53,0.0,0.5555555560000001,11.5,1,0.5,0
2,3,6,6,0,6,2,15,0.0,0.6,6.5,1,0.5,0
6,5,22,27,0,22,2,95,0.0,0.44,14.33333333,3,1.0,0
2,1,14,10,0,14,2,46,0.0,0.75,22.0,5,2.5,0
3,4,18,21,0,18,2,185,0.0,0.5,60.66666667,2,1.0,2
34,1,89,234,2,87,12,2517,0.7777777779999999,0.30909090899999997,72.76470588,7,1.6176,0
4,3,17,38,0,17,1,367,0.2,0.666666667,89.5,17,5.75,0
2,3,9,8,0,9,2,25,0.0,0.625,11.5,2,1.0,0
19,5,25,34,0,25,19,262,1.0,0.21052631600000002,12.73684211,10,2.5789,0
2,3,8,8,0,8,2,22,0.0,0.666666667,10.0,1,0.5,0
7,4,15,34,1,14,5,191,0.0,0.611111111,25.71428571,2,0.8571,0
4,3,11,17,0,11,2,84,0.0,0.41666666700000005,20.0,5,1.75,0
3,3,9,15,0,9,2,71,0.0,0.5,22.66666667,1,0.6667,0
3,3,15,22,0,15,2,184,1.0,0.6,59.33333333,24,8.0,0
2,4,9,8,0,9,2,31,0.0,0.625,14.5,1,0.5,0
6,5,20,30,0,20,2,119,0.0,0.6,18.33333333,1,0.6667,0
8,6,19,41,0,19,1,157,0.25,0.666666667,18.125,1,0.75,0
4,5,6,11,0,6,1,37,0.0,0.5555555560000001,7.5,1,0.5,0
2,4,1,3,0,1,1,7,0.0,1.0,2.5,1,0.5,0
6,5,23,23,0,23,2,79,0.0,0.666666667,11.66666667,1,0.6667,0
7,3,25,46,2,23,7,413,0.235294118,0.37142857100000004,55.57142857,8,2.7143,1
10,1,5,15,2,3,9,151,0.0,0.2,14.1,6,2.8,0
2,3,13,18,0,13,2,63,0.0,0.666666667,30.5,5,2.5,0
6,5,17,27,0,17,2,99,0.0,0.6,15.0,1,0.6667,0
4,4,11,27,0,11,2,207,0.666666667,0.46666666700000003,49.25,6,1.75,0
2,1,6,2,5,1,2,2,0.0,0.875,0.0,1,1.0,0
2,3,22,16,0,22,2,85,0.0,0.625,41.5,6,3.0,0
7,4,20,46,1,19,5,238,0.0,0.611111111,32.42857143,2,0.8571,0
3,3,14,30,0,14,2,187,0.333333333,0.583333333,60.33333333,8,2.6667,0
6,3,13,19,0,13,4,96,0.0,0.533333333,14.33333333,2,0.8333,0
6,5,9,16,0,9,1,63,0.0,0.7333333329999999,9.0,1,0.6667,0
6,5,21,22,0,21,2,76,0.0,0.666666667,11.16666667,1,0.6667,0
6,5,25,29,0,25,2,102,0.0,0.44,15.5,1,0.6667,0
2,4,24,18,0,24,2,91,0.0,0.666666667,44.5,1,0.5,0
5,6,9,14,0,9,1,46,0.0,0.5,7.6,1,0.6,0
5,5,12,16,0,12,2,48,0.0,0.4,8.0,1,0.6,0
5,1,2,27,0,2,2,143,0.333333333,0.333333333,27.0,1,0.6,0
15,4,22,51,6,16,13,404,0.0,0.542857143,25.66666667,2,1.0,0
4,1,14,32,0,14,3,148,1.0,0.55,35.5,6,3.0,0
4,3,8,18,0,8,2,73,1.0,0.666666667,17.0,4,1.75,0
4,1,25,21,14,11,3,80,0.0,0.5,19.0,1,0.75,0
5,5,15,28,0,15,1,149,0.0,0.4375,28.2,3,1.0,0
7,4,22,31,1,21,5,165,0.0,0.611111111,22.0,2,0.8571,0
7,4,14,22,2,12,5,143,0.0,0.5,18.85714286,2,0.8571,0
2,2,12,11,0,12,2,33,0.0,0.666666667,15.5,1,0.5,0
5,6,9,15,0,9,1,46,0.0,0.5,7.6,1,0.6,0
3,1,3,9,0,3,2,31,0.0,0.333333333,9.0,2,1.0,0
4,1,10,25,1,10,3,213,0.25,0.333333333,51.25,8,3.75,0
18,1,37,76,15,22,11,633,0.25,0.222222222,33.94444444,9,2.2778,1
5,5,12,16,0,12,2,48,0.0,0.4,8.0,1,0.6,0
2,2,18,10,0,18,2,33,0.0,0.666666667,15.5,1,0.5,0
2,3,5,7,0,5,2,16,0.0,0.625,7.0,1,0.5,0
4,5,9,13,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
1,1,4,1,2,2,1,1,0.0,1.0,0.0,1,1.0,0
9,6,7,17,0,7,1,46,0.0,0.625,4.1111111110000005,1,0.7778,0
3,3,16,22,0,16,2,88,0.0,0.444444444,28.33333333,7,3.3333,0
2,3,15,18,0,15,2,124,0.0,0.6,60.0,9,4.5,0
7,4,33,40,12,21,5,185,0.25,0.444444444,24.85714286,2,1.0,0
6,6,23,33,0,23,1,149,0.0,0.6,23.33333333,1,0.6667,0
4,5,18,28,0,18,1,125,0.0,0.5555555560000001,29.5,1,0.5,0
2,2,9,10,0,9,2,33,0.0,0.666666667,15.5,1,0.5,0
8,6,35,76,4,31,7,699,0.0,0.80952381,86.0,1,0.75,0
5,1,3,33,0,3,3,194,0.8,0.24,36.8,4,1.6,0
8,1,9,54,0,9,2,865,0.75,0.37142857100000004,106.625,4,1.75,0
10,1,6,40,3,4,4,460,0.444444444,0.4,44.1,3,1.0,0
2,2,17,62,1,16,2,495,0.35714285700000004,0.625,239.5,1,0.5,0
9,1,10,61,0,10,2,592,0.857142857,0.275,64.0,3,1.6667,0
3,1,3,11,0,3,2,115,0.0,0.333333333,35.66666667,5,2.3333,0
4,1,13,28,0,13,3,416,0.333333333,0.666666667,102.25,14,3.75,0
13,2,32,71,1,31,12,624,0.27777777800000003,0.287037037,45.61538462,8,2.2308,0
3,6,7,17,1,6,3,140,0.0,0.5,45.33333333,3,1.3333,0
4,1,1,31,0,1,2,139,0.75,0.333333333,32.75,4,1.5,0
4,6,28,57,0,28,4,348,0.666666667,0.41666666700000005,85.25,3,1.25,0
5,2,15,40,0,15,4,269,0.666666667,0.583333333,52.2,18,4.6,0
7,1,24,62,0,24,2,648,0.5,0.6,91.28571429,20,4.5714,0
5,6,28,77,0,28,5,340,0.5,0.36666666700000006,66.6,3,1.6,0
3,1,3,11,0,3,2,94,0.0,0.333333333,29.0,4,2.0,0
5,3,2,9,0,2,3,18,0.0,0.625,2.6,1,0.4,0
23,4,29,122,0,29,4,1349,0.8235294120000001,0.310606061,56.91304348,4,1.1304,0
5,4,3,18,0,3,0,47,0.0,0.4,8.4,1,0.8,0
6,1,5,17,0,5,5,58,0.5,0.46666666700000003,8.333333332999999,1,0.6667,0
101,1,19,106,0,19,100,303,0.0,0.066606661,1.99009901,1,0.9901,0
3,1,3,9,0,3,2,31,0.0,0.333333333,9.0,2,1.0,0
3,1,3,11,0,3,2,73,0.0,0.333333333,22.33333333,3,1.6667,0
3,1,3,11,0,3,3,52,0.0,0.333333333,15.66666667,2,1.3333,0
68,0,15,172,0,15,39,4556,0.9523809520000001,0.168449198,65.69117647,46,2.7941,0
9,3,12,40,2,10,3,201,1.0,0.5,21.11111111,2,0.8889,0
3,1,3,9,0,3,2,31,0.0,0.333333333,9.0,2,1.0,0
57,1,116,355,0,116,10,5070,0.5555555560000001,0.050382653,86.84210526,71,5.3333,0
3,1,3,11,0,3,2,73,0.0,0.333333333,22.33333333,3,1.6667,0
2,1,2,3,0,2,2,7,0.0,1.0,2.5,1,0.5,0
3,3,6,10,0,6,2,42,0.0,0.583333333,13.0,4,1.6667,0
7,4,15,34,0,15,5,212,0.0,0.611111111,28.71428571,2,0.8571,0
7,7,15,24,0,15,1,95,0.0,0.666666667,12.14285714,1,0.7143,0
7,5,14,22,0,14,2,78,0.0,0.4,9.714285713999999,3,1.0,0
2,3,16,17,0,16,2,124,0.0,0.6,61.0,7,3.5,0
8,4,26,51,4,22,6,313,0.0,0.666666667,37.625,2,0.875,0
2,3,9,8,0,9,2,24,0.0,0.6,11.0,1,0.5,0
2,3,6,8,0,6,2,30,0.0,0.666666667,14.0,3,1.5,0
2,3,10,10,0,10,2,34,0.0,0.625,16.0,2,1.0,0
2,3,14,19,0,14,2,72,0.0,0.625,34.5,3,1.5,0
2,2,14,10,0,14,2,37,0.0,0.666666667,17.5,1,0.5,0
2,4,22,28,0,22,2,126,0.0,0.625,61.5,1,0.5,0
3,5,11,11,0,11,3,36,0.0,0.5555555560000001,11.0,2,1.0,0
5,1,7,13,2,5,2,49,0.0,0.5,8.4,1,0.6,0
12,5,51,92,8,43,9,582,0.0,0.787878788,47.16666667,2,0.9167,0
5,3,42,61,0,42,2,352,0.2,0.35714285700000004,68.4,14,4.8,0
2,3,16,18,0,16,2,64,0.0,0.6,30.5,2,1.0,0
2,3,14,12,0,14,2,44,0.0,0.625,21.0,3,1.5,0
12,4,41,72,9,32,9,468,0.0,0.727272727,37.66666667,2,0.9167,0
4,3,21,29,0,21,2,135,0.0,0.41666666700000005,32.75,5,2.75,0
2,3,16,10,0,16,2,49,0.0,0.625,23.5,3,1.5,0
4,1,8,4,6,2,4,4,0.0,0.4375,0.0,1,1.0,0
3,4,8,7,0,8,1,19,0.0,0.666666667,5.333333333,1,0.6667,0
2,2,6,7,0,6,2,26,0.0,0.666666667,12.0,1,0.5,0
17,2,34,64,1,33,3,1041,1.0,0.897058824,60.17647059,4,1.9412,0
0,1,0,0,0,0,0,29,0.0,0.0,0.0,0,0.0,2
6,3,13,19,0,13,4,96,0.0,0.533333333,14.33333333,2,0.8333,0
6,5,11,16,1,10,1,55,0.0,0.7333333329999999,7.666666667,2,0.8333,0
6,4,36,72,1,36,2,1237,1.0,0.333333333,204.83333330000002,27,9.1667,1
0,1,5,0,5,0,0,15,0.0,0.0,0.0,0,0.0,7
5,5,7,12,0,7,2,54,0.0,0.5,9.2,1,0.6,0
3,2,22,36,2,20,2,248,0.545454545,0.583333333,78.0,5,2.0,0
2,3,10,8,0,10,2,20,0.0,0.6,9.0,2,1.0,0
7,4,12,28,0,12,5,177,0.0,0.611111111,23.71428571,2,0.8571,0
2,3,7,5,0,7,2,19,0.0,0.625,8.5,1,0.5,0
6,5,22,27,0,22,2,106,0.0,0.44,16.16666667,1,0.6667,0
2,3,14,12,0,14,2,56,0.0,0.6,27.0,5,2.5,0
2,3,10,10,0,10,2,29,0.0,0.625,13.5,1,0.5,0
8,4,23,44,4,19,6,270,0.0,0.571428571,32.25,2,0.875,0
6,4,13,18,2,11,4,105,0.0,0.533333333,15.83333333,2,0.8333,0
3,3,13,11,0,13,2,34,0.0,0.46666666700000003,10.33333333,1,0.6667,0
2,3,14,15,0,14,2,45,0.0,0.6,21.5,4,2.0,0
8,4,39,64,2,37,6,339,0.0,0.666666667,40.875,2,0.875,0
6,5,13,20,0,13,2,88,0.0,0.6,13.16666667,1,0.6667,0
4,2,38,52,0,38,2,343,0.0,0.4,83.25,7,2.75,0
2,3,17,25,0,17,2,115,0.0,0.6,56.5,8,4.0,0
2,3,12,13,0,12,2,73,0.0,0.6,34.5,4,2.0,0
2,5,12,12,0,12,1,45,0.0,0.666666667,21.5,1,0.5,0
7,4,22,35,2,20,5,194,0.0,0.611111111,26.14285714,2,0.8571,0
2,3,18,24,0,18,2,95,0.0,0.6,46.5,7,3.5,0
2,5,12,6,8,4,2,18,0.0,0.666666667,8.0,1,0.5,0
5,7,9,15,0,9,1,48,0.0,0.5,8.0,1,0.6,0
6,5,20,21,0,20,2,72,0.0,0.44,10.5,1,0.6667,0
6,5,14,23,0,14,1,80,0.0,0.6,11.83333333,1,0.6667,2
2,3,2,4,0,2,1,10,0.0,0.75,4.0,1,0.5,0
2,3,11,12,0,11,2,33,0.0,0.625,15.5,2,1.0,0
3,2,19,24,1,19,2,88,1.0,0.666666667,28.0,1,0.3333,1
2,2,6,9,0,6,2,32,0.0,0.666666667,15.0,1,0.5,0
2,3,9,14,0,9,2,53,0.0,0.6,25.5,6,3.0,0
2,3,16,16,0,16,2,57,0.0,0.6,27.5,5,2.5,0
3,3,9,28,0,9,2,105,0.5,0.666666667,33.33333333,1,0.3333,0
2,2,21,21,0,21,2,72,0.0,0.666666667,35.0,1,0.5,0
2,3,4,4,0,4,2,11,0.0,0.666666667,4.5,1,0.5,0
2,3,12,10,0,12,2,38,0.0,0.6,18.0,3,1.5,0
2,2,12,14,0,12,2,48,0.0,0.666666667,23.0,1,0.5,0
2,4,10,6,1,9,1,19,0.0,0.666666667,8.5,2,1.0,0
3,3,28,36,0,28,3,207,0.0,0.444444444,66.33333333,6,2.3333,0
2,3,26,21,0,26,2,81,0.0,0.6,39.5,3,1.5,0
2,1,3,2,2,1,2,2,0.0,1.0,0.0,1,1.0,0
2,3,12,8,0,12,2,28,0.0,0.6,13.0,2,1.0,0
1,1,0,2,0,0,1,4,0.0,1.0,3.0,0,0.0,0
6,6,18,29,0,18,1,123,0.0,0.6,18.83333333,1,0.6667,0
2,4,45,48,0,45,2,340,1.0,0.625,168.5,1,0.5,0
7,6,18,36,0,18,2,132,0.0,0.5555555560000001,17.42857143,1,0.7143,0
2,4,11,9,0,11,2,32,0.0,0.666666667,15.0,1,0.5,0
4,5,9,13,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
6,5,12,17,1,11,1,61,0.0,0.7333333329999999,8.666666667000001,2,0.8333,0
6,6,24,48,3,21,4,204,0.0,0.325,32.33333333,9,2.3333,0
6,5,18,20,0,18,2,69,0.0,0.44,10.0,1,0.6667,0
7,1,12,34,1,11,3,176,0.5,0.433333333,23.57142857,6,1.8571,0
8,6,35,76,4,31,7,690,0.0,0.80952381,84.875,1,0.75,0
4,3,5,16,0,5,3,66,0.333333333,0.666666667,14.75,2,0.75,0
4,5,20,44,0,20,2,445,0.090909091,0.46666666700000003,107.5,3,1.0,1
2,4,16,14,0,16,2,64,0.0,0.666666667,31.0,1,0.5,0
3,4,8,7,0,8,1,19,0.0,0.666666667,5.333333333,1,0.6667,0
3,2,11,16,0,11,2,74,0.0,0.5,23.33333333,3,1.3333,0
2,3,14,8,0,14,2,41,0.0,0.6,19.5,3,1.5,0
2,3,8,8,0,8,2,27,0.0,0.666666667,12.5,1,0.5,0
2,3,15,12,0,15,2,38,0.0,0.6,18.0,2,1.0,0
7,3,23,21,9,14,5,104,0.2,0.444444444,13.14285714,2,1.0,0
10,1,15,25,1,14,7,3463,0.21052631600000002,0.15555555599999998,343.4,6,1.8,1
3,4,17,32,0,17,2,193,0.333333333,0.6,62.33333333,9,3.0,0
2,3,18,17,0,18,2,80,0.0,0.6,39.0,3,1.5,0
3,3,7,9,0,7,2,52,0.0,0.583333333,16.33333333,7,2.6667,0
3,2,258,6,249,9,3,21,0.0,0.6,6.0,1,0.6667,0
2,3,6,6,0,6,2,17,0.0,0.6,7.5,1,0.5,0
11,1,12,11,8,4,11,12,0.0,0.545454545,0.0,1,1.0,0
1,1,3,1,2,1,1,1,0.0,1.0,0.0,1,1.0,0
11,4,37,69,5,32,9,522,0.0,0.7666666670000001,46.09090909,2,0.9091,0
3,5,16,21,0,16,3,107,0.0,0.666666667,34.33333333,5,2.6667,0
11,4,15,47,0,15,6,562,0.5,0.26666666699999997,49.18181818,6,1.8182,0
6,5,17,28,0,17,2,136,0.0,0.333333333,21.16666667,3,1.0,0
2,4,26,53,0,26,2,433,0.0,0.625,215.5,1,0.5,0
7,4,17,23,2,15,5,145,0.0,0.611111111,19.14285714,2,0.8571,3
2,3,12,11,0,12,2,40,0.0,0.666666667,19.0,1,0.5,0
4,5,9,14,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
7,1,10,37,3,7,2,185,0.6,0.333333333,24.71428571,4,1.5714,0
3,1,5,15,1,4,3,135,0.0,0.666666667,44.0,13,8.6667,0
2,3,16,10,0,16,2,49,0.0,0.625,23.5,3,1.5,0
10,4,38,60,7,31,8,373,0.0,0.740740741,35.9,2,0.9,0
6,6,12,18,0,12,1,66,0.0,0.6,9.5,1,0.6667,0
2,3,36,44,0,36,2,191,0.0,0.666666667,94.5,1,0.5,0
9,3,14,34,0,14,4,650,0.636363636,0.390625,70.0,2,1.2222,0
2,3,19,18,0,19,2,77,0.0,0.625,37.5,5,2.5,0
2,4,19,12,0,19,2,41,0.0,0.625,19.5,1,0.5,0
4,5,24,49,0,24,2,443,0.1,0.5,107.25,5,1.5,1
15,4,48,115,11,37,13,1103,0.0,0.833333333,72.26666667,2,0.9333,0
2,3,16,16,0,16,2,58,0.0,0.625,28.0,1,0.5,0
4,5,9,13,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
3,1,6,16,0,6,2,58,0.5,1.0,17.66666667,3,1.0,0
7,4,27,46,2,25,5,270,0.0,0.611111111,37.0,2,0.8571,0
6,4,12,22,1,11,4,120,0.0,0.533333333,18.33333333,2,0.8333,0
2,4,16,14,0,16,2,56,0.0,0.666666667,27.0,1,0.5,0
3,3,12,10,0,12,2,36,0.0,0.46666666700000003,11.0,1,0.6667,0
2,3,27,21,0,27,2,81,0.0,0.625,39.5,5,2.5,0
6,4,13,23,1,12,4,120,0.0,0.533333333,18.33333333,2,0.8333,0
7,1,7,36,2,5,3,168,0.333333333,0.333333333,22.57142857,5,1.7143,0
2,3,4,10,0,4,2,35,0.0,0.625,16.5,1,0.5,0
2,2,19,17,0,19,2,55,0.0,0.666666667,26.5,1,0.5,0
2,4,24,33,0,24,2,258,0.0,0.625,128.0,1,0.5,0
3,2,13,32,2,11,3,92,0.0,0.41666666700000005,29.66666667,4,1.6667,0
3,1,10,3,4,6,3,3,0.0,0.481481481,0.0,1,1.0,0
8,5,24,30,0,24,3,103,0.0,0.457142857,11.5,1,0.75,0
3,4,6,11,0,6,1,38,0.0,0.5555555560000001,11.33333333,3,1.3333,0
7,5,21,24,0,21,3,89,0.0,0.611111111,11.28571429,1,0.7143,0
2,2,15,13,0,15,2,54,0.0,0.666666667,26.0,4,2.0,0
4,3,16,38,0,16,1,361,0.2,0.666666667,88.0,16,5.5,0
2,3,9,8,0,9,2,25,0.0,0.625,11.5,2,1.0,0
2,3,26,22,0,26,2,112,0.0,0.6,55.0,7,3.5,0
8,3,24,60,1,23,6,335,0.0,0.5,40.375,2,0.875,0
6,5,15,19,0,15,2,77,0.0,0.6,11.33333333,1,0.6667,0
8,5,23,41,0,23,2,191,0.0,0.35714285700000004,22.5,3,1.25,0
3,5,4,5,0,4,1,13,0.0,0.5555555560000001,3.333333333,1,0.6667,0
4,5,9,13,0,9,1,43,0.0,0.5555555560000001,9.0,1,0.5,0
6,1,6,14,3,3,6,94,1.0,0.444444444,14.16666667,4,1.3333,0
11,5,48,87,5,43,9,612,0.0,0.7666666670000001,54.27272727,2,0.9091,0
2,4,3,6,0,3,2,16,0.0,0.666666667,7.0,2,1.0,0
7,5,28,40,1,27,5,207,0.0,0.611111111,27.85714286,2,0.8571,0
2,1,4,6,2,2,1,11,0.0,0.5,4.5,1,0.5,0
2,4,38,48,0,38,2,313,1.0,0.625,155.0,1,0.5,0
2,3,9,7,0,9,2,27,0.0,0.6,12.5,3,1.5,0
2,2,17,15,0,17,2,59,0.0,0.666666667,28.5,1,0.5,0
3,1,7,7,1,6,2,36,0.0,0.5,11.0,3,1.6667,0
3,1,3,5,1,2,3,13,0.0,0.666666667,3.333333333,1,0.6667,0
4,2,32,52,0,32,2,461,0.166666667,0.666666667,111.25,11,3.0,1
8,5,22,34,0,22,3,127,0.0,0.457142857,14.5,3,1.0,0
2,3,12,14,0,12,2,47,0.0,0.625,22.5,5,2.5,0
2,3,21,17,0,21,2,62,0.0,0.625,30.0,2,1.0,0
7,5,24,25,0,24,2,96,0.0,0.7222222220000001,12.28571429,1,0.7143,0
4,4,11,28,0,11,3,124,0.25,0.7777777779999999,29.0,4,1.25,0
4,5,12,31,0,12,1,123,0.0,0.5555555560000001,29.0,1,0.5,0
2,3,15,12,0,15,2,62,0.0,0.6,30.0,3,1.5,0
2,3,9,8,0,9,2,25,0.0,0.625,11.5,2,1.0,0
2,3,13,11,0,13,2,47,0.0,0.625,22.5,6,3.0,0
4,4,8,10,0,8,1,29,0.0,0.4,6.25,1,0.75,0
7,4,15,23,3,12,5,145,0.0,0.611111111,19.14285714,2,0.8571,0
2,3,24,17,0,24,2,70,0.0,0.6,34.0,3,1.5,1
2,4,6,4,2,4,2,10,0.0,0.666666667,4.0,1,0.5,0
2,4,24,18,0,24,2,132,0.0,0.666666667,65.0,1,0.5,0
7,5,21,23,0,21,2,87,0.0,0.46666666700000003,11.0,1,0.7143,0
3,2,34,5,27,7,3,15,0.0,0.583333333,4.0,1,0.6667,0
2,3,12,10,0,12,2,31,0.0,0.6,14.5,1,0.5,0
2,4,16,14,0,16,2,52,0.0,0.625,25.0,1,0.5,0
13,3,10,34,0,10,4,239,0.5,0.236111111,16.76923077,3,1.2308,1
5,5,10,14,0,10,2,53,0.0,0.5,9.0,1,0.6,0
3,3,16,20,0,16,2,81,0.0,0.444444444,26.0,6,3.0,0
9,6,7,17,0,7,1,46,0.0,0.625,4.1111111110000005,1,0.7778,0
4,3,14,25,0,14,2,177,0.5,0.583333333,42.75,3,1.0,0
2,4,14,13,0,14,2,92,0.0,0.666666667,45.0,1,0.5,0
3,5,12,12,0,12,3,36,0.0,0.5555555560000001,11.0,2,1.0,0
2,3,12,8,0,12,2,34,0.0,0.6,16.0,2,1.0,0
7,2,20,48,1,20,2,423,1.0,0.30612244899999996,59.28571429,13,4.4286,1
0,1,2,0,2,0,0,27,0.0,0.0,0.0,0,0.0,0
2,3,22,13,0,22,2,46,0.0,0.6,22.0,3,1.5,0
2,2,23,19,2,21,2,121,0.0,0.625,59.5,1,0.5,0
2,3,19,30,0,19,2,127,0.0,0.6,62.5,11,5.5,0
18,2,29,84,6,23,7,763,0.333333333,0.248366013,41.05555556,7,1.6667,0
8,4,17,37,6,11,6,191,0.25,0.523809524,22.375,2,0.875,0
5,7,9,14,0,9,1,44,0.0,0.5,7.2,1,0.6,1
