wmc,cbo,rfc,ca,npm,lcom3,loc,dam,moa,cam,cbm,amc,max_cc,avg_cc,bug
3,4,7,1,3,1.5,17,1.0,0,0.5555555560000001,1,4.333333333,1,0.6667,0
5,4,10,3,5,0.583333333,56,1.0,1,0.4,0,9.6,1,0.8,0
6,4,18,1,3,0.833333333,104,1.0,1,0.5,0,15.33333333,4,1.6667,0
13,3,30,0,13,0.291666667,206,1.0,1,0.252747253,1,14.69230769,1,0.8462,0
1,0,2,0,1,2.0,5,0.0,0,1.0,0,3.0,0,0.0,0
12,2,25,1,0,0.436363636,212,1.0,0,0.39583333299999995,0,16.25,3,1.3333,0
8,3,26,1,6,0.6190476189999999,221,1.0,1,0.5,0,26.25,3,1.375,0
7,11,38,0,2,0.666666667,351,1.0,1,0.36666666700000006,0,48.71428571,3,1.1429,0
2,1,17,0,2,2.0,160,0.0,0,0.6,0,79.0,1,0.5,0
2,1,10,0,2,2.0,54,1.0,0,0.6,0,25.5,1,0.5,0
42,53,104,49,39,0.76508344,1169,0.7894736840000001,3,0.148558758,2,26.38095238,13,2.5952,0
4,2,13,0,4,0.0,58,1.0,0,0.625,1,13.25,1,0.75,0
6,1,22,1,4,1.12,184,0.0,0,0.5,1,28.83333333,14,2.8333,0
0,8,0,8,0,2.0,57,0.0,0,0.0,0,0.0,0,0.0,0
5,3,13,1,5,0.75,101,1.0,0,0.45,2,19.0,10,2.8,0
5,0,7,0,5,0.625,33,1.0,0,0.5,0,5.2,1,0.6,0
4,5,31,0,4,0.0,125,1.0,0,0.625,2,30.0,1,0.75,0
12,4,119,4,3,0.833333333,1190,0.666666667,0,0.24675324699999998,4,97.66666667,1,0.8333,2
9,5,50,2,1,0.75,375,1.0,1,0.4,7,40.33333333,16,2.6667,0
17,0,17,0,17,1.0625,58,0.0,0,0.470588235,0,0.0,1,1.0,0
23,5,31,0,21,0.827272727,189,1.0,0,0.695652174,0,6.7826086960000005,5,1.1304,0
6,9,33,0,5,0.8,212,1.0,1,0.7,0,33.66666667,3,1.6667,0
3,4,8,1,3,2.0,21,0.0,0,0.666666667,2,6.0,1,0.6667,0
32,11,85,3,28,0.666666667,865,1.0,0,0.193548387,15,25.84375,12,1.75,0
5,2,11,1,5,0.0,43,1.0,1,0.46666666700000003,0,7.4,3,1.2,0
3,3,15,1,2,0.833333333,64,1.0,0,0.5,0,19.33333333,1,0.3333,0
8,1,13,1,7,0.571428571,2144,1.0,0,0.5,0,266.75,1,0.75,0
68,4,69,1,68,2.0,170,0.0,0,0.136029412,0,1.5,1,0.9853,0
55,1,56,1,54,1.0185185190000001,329,0.0,0,0.5,0,3.9090909089999997,1,0.9818,0
37,39,175,2,30,0.944444444,1350,1.0,0,0.433333333,0,35.40540541,4,1.1081,0
5,8,16,1,4,1.041666667,88,0.166666667,1,0.625,0,15.4,1,0.6,0
7,0,8,0,7,1.166666667,20,0.0,0,0.428571429,0,1.571428571,1,0.8571,0
38,5,54,1,7,0.7762162159999999,3880,0.16,1,0.405405405,0,100.4473684,95,7.8947,0
10,1,11,0,10,1.111111111,19,0.0,0,0.3,0,0.3,1,0.9,0
3,2,5,1,2,0.5,16,0.0,1,0.5555555560000001,0,4.0,1,0.6667,0
12,4,12,3,12,2.0,12,0.0,0,0.41666666700000005,0,0.0,1,1.0,0
4,2,13,0,4,0.0,58,1.0,0,0.625,1,13.25,1,0.75,0
3,6,6,1,2,2.0,16,0.0,0,0.666666667,0,4.333333333,1,0.6667,0
9,8,29,4,2,0.5694444439999999,433,0.8888888890000001,4,0.303571429,0,46.11111111,2,0.8889,1
8,6,27,0,7,0.857142857,90,0.5,0,0.28571428600000004,5,10.0,3,1.0,0
4,3,11,2,4,0.0,60,1.0,0,0.625,0,13.75,2,1.0,0
3,3,11,1,2,0.5,342,1.0,0,0.5,0,112.66666670000001,2,0.6667,0
6,6,17,6,5,0.6,150,1.0,0,0.2,0,23.5,1,0.6667,0
15,6,35,1,14,0.514285714,209,1.0,3,0.18666666699999998,1,12.6,3,1.0,0
8,0,47,0,5,0.37142857100000004,384,1.0,0,0.45833333299999995,3,46.375,4,1.625,0
1,2,1,2,0,2.0,298,0.0,0,0.0,0,240.0,0,0.0,0
11,14,16,13,11,0.6,144,1.0,0,0.727272727,0,11.72727273,4,1.0909,0
5,0,5,0,5,2.0,5,0.0,0,0.4,0,0.0,1,1.0,0
15,0,24,0,15,0.818181818,257,0.9090909090000001,0,0.35,0,15.4,3,0.9333,0
7,0,8,0,7,0.5,76,1.0,1,0.535714286,0,9.428571429,2,0.5714,0
4,2,8,2,4,0.666666667,33,1.0,1,0.5,0,6.75,1,0.75,0
1,0,2,0,1,2.0,41,0.0,0,1.0,0,3.0,0,0.0,0
13,6,15,6,12,0.869047619,390,1.0,0,0.333333333,0,28.46153846,1,0.8462,0
