wmc,noc,rfc,npm,loc,max_cc,avg_cc,bug
5,0,17,3,88,1,0.8,0
7,0,18,4,66,2,0.7143,0
1,0,1,1,1,1,1.0,1
2,0,2,2,2,1,1.0,1
16,0,28,12,154,3,1.1875,2
4,0,11,4,25,1,0.75,3
13,0,25,13,161,5,1.3077,3
4,0,18,3,75,1,0.5,0
1,0,2,1,6,0,0.0,0
1,0,1,1,1,1,1.0,0
1,0,1,1,1,1,1.0,0
15,0,28,13,118,2,1.0667,0
6,0,18,5,102,5,2.8333,3
16,0,47,14,301,1,0.875,2
32,0,67,21,651,7,1.7813,0
2,0,4,2,8,1,0.5,0
6,0,11,6,45,2,0.8333,0
3,0,5,3,12,1,0.3333,0
1,0,1,1,1,1,1.0,1
2,0,10,2,27,1,0.5,1
14,0,22,13,125,1,0.7857,0
1,0,1,1,1,1,1.0,0
12,0,32,9,104,1,0.8333,0
6,0,9,6,41,2,0.8333,0
10,2,18,10,86,3,1.2,0
2,0,8,2,31,2,1.0,1
3,0,9,3,21,1,0.6667,1
8,1,23,5,82,1,0.875,5
52,1,112,38,993,7,1.3846,7
7,0,22,2,88,1,0.7143,0
27,0,62,23,343,3,1.1481,0
9,0,34,8,185,4,1.8889,0
11,2,16,10,85,2,1.0,0
5,0,21,3,84,1,0.8,2
5,0,7,5,32,1,0.8,1
2,0,7,2,26,1,0.5,0
2,0,4,2,9,1,0.5,2
5,0,43,3,157,1,0.8,0
14,0,21,13,126,4,1.2143,2
4,0,8,2,33,1,0.5,0
4,0,7,2,89,1,0.5,0
1,0,6,1,13,0,0.0,0
4,0,6,3,37,2,0.75,0
2,0,2,2,2,1,1.0,0
2,0,14,1,42,1,0.5,0
45,0,85,38,523,4,1.2667,2
1,0,1,1,1,1,1.0,2
3,0,5,3,12,1,0.3333,1
2,0,8,1,33,1,0.5,3
0,0,0,0,0,0,0.0,0
4,0,18,3,81,6,2.25,0
4,0,7,4,34,1,0.5,0
4,0,5,4,22,1,0.75,0
8,1,64,2,388,11,2.125,5
2,0,11,2,54,6,3.0,1
2,0,2,2,2,1,1.0,0
52,0,109,49,435,5,1.0192,0
12,0,26,8,121,2,0.8333,0
2,0,5,2,12,1,0.5,0
10,12,21,7,90,2,1.1,3
26,1,47,24,236,2,1.0,0
4,0,19,3,62,1,0.5,0
10,0,25,6,116,2,0.9,3
23,0,42,22,230,2,1.4348,0
0,0,0,0,0,0,0.0,0
2,0,2,2,2,1,1.0,0
5,0,5,5,5,1,1.0,2
18,0,20,14,100,1,0.8889,0
9,7,17,5,125,2,1.0,0
10,0,16,10,69,1,0.7,1
6,0,18,3,85,2,0.8333,0
45,0,67,38,461,5,1.0889,2
3,0,18,3,65,4,1.6667,0
2,0,8,2,32,1,0.5,0
11,0,52,1,248,10,1.9091,0
3,0,5,3,12,1,0.3333,0
4,0,15,3,38,1,0.25,1
12,0,62,7,507,6,2.3333,6
6,0,9,5,41,2,1.0,1
0,0,0,0,0,0,0.0,0
41,0,54,41,507,1,0.9268,0
1,0,1,1,1,1,1.0,0
2,0,7,2,25,1,0.5,0
4,2,19,2,86,2,1.25,2
16,0,33,15,190,2,0.9375,3
10,0,22,9,81,2,1.1,2
7,0,13,7,108,3,2.0,0
6,0,16,5,80,3,1.1667,0
12,0,29,12,140,2,1.0,0
5,3,9,1,44,4,1.4,0
3,1,6,3,17,0,0.0,0
14,0,23,13,105,2,0.9286,0
4,0,22,2,86,3,1.25,0
6,4,7,5,23,1,0.6667,0
1,0,1,1,1,1,1.0,0
1,0,6,1,14,0,0.0,0
3,0,3,3,3,1,1.0,0
2,0,8,2,22,1,0.5,0
14,27,28,7,200,3,1.2143,1
6,0,39,3,189,5,1.3333,0
2,0,2,2,2,1,1.0,0
3,0,7,3,21,1,0.6667,0
7,4,20,3,108,3,1.0,2
6,0,14,6,52,1,0.6667,1
19,3,44,15,168,2,0.9474,3
3,0,13,2,66,1,0.3333,0
5,0,11,4,56,1,0.8,0
39,11,67,31,405,4,1.3846,4
3,0,9,3,47,2,1.0,0
3,0,5,3,12,1,0.3333,0
4,0,4,4,4,1,1.0,0
7,0,19,7,75,1,0.8571,0
4,0,7,2,56,1,0.5,0
3,0,8,3,32,1,0.6667,0
21,1,49,12,276,3,1.0,0
1,0,1,1,1,1,1.0,0
2,0,4,2,9,1,0.5,2
13,0,77,5,614,8,2.6154,9
6,0,15,6,42,1,0.5,3
4,6,12,3,37,2,1.0,0
3,0,25,2,134,2,1.0,0
17,0,57,8,496,12,1.8235,0
5,0,10,5,57,2,1.0,1
6,0,22,5,87,1,0.8333,0
2,0,3,2,17,1,0.5,1
24,0,56,20,275,4,1.0417,5
8,0,32,5,115,2,0.875,0
0,0,0,0,0,0,0.0,0
3,2,7,1,24,1,0.3333,0
7,0,23,6,112,4,2.0,0
6,0,11,3,43,1,0.6667,0
2,0,10,2,40,1,0.5,0
7,0,12,7,59,1,0.8571,0
24,0,37,19,186,1,0.875,0
14,0,29,13,132,2,1.1429,0
6,0,28,3,128,1,0.8333,0
5,0,35,5,163,1,0.8,0
12,9,25,10,98,2,1.1667,1
18,0,33,16,144,2,1.1111,0
30,1,55,27,251,2,1.0333,2
16,0,33,14,188,4,1.3125,0
3,3,12,2,47,1,0.6667,0
7,0,22,1,138,9,2.2857,0
7,0,28,2,227,3,1.0,0
11,3,16,10,91,1,0.8182,2
15,0,22,13,113,2,0.9333,0
7,0,17,7,83,1,0.5714,2
47,0,100,38,1056,6,1.3617,7
2,0,4,2,9,1,0.5,1
21,0,31,20,215,5,1.1905,0
14,0,52,9,349,4,1.4286,0
3,0,10,3,34,1,0.6667,0
3,0,7,1,308,1,0.6667,0
20,0,39,20,168,2,1.5,0
7,0,12,7,47,1,0.7143,0
2,0,2,2,2,1,1.0,1
9,0,17,9,78,1,0.8889,0
4,0,14,4,52,2,1.0,1
1,0,1,1,1,1,1.0,1
4,0,6,4,24,1,0.5,0
29,0,50,29,304,1,0.8966,2
5,0,19,4,63,2,1.0,3
1,3,2,1,7,0,0.0,0
2,0,5,1,23,3,1.5,0
6,0,19,4,78,2,1.0,0
3,0,7,1,77,1,0.6667,0
1,0,1,1,1,1,1.0,1
6,4,14,5,49,2,1.0,0
2,0,7,2,21,1,0.5,1
25,0,64,22,318,3,1.04,3
2,0,11,2,39,1,0.5,0
20,0,53,14,299,2,1.05,0
4,2,24,1,93,4,1.5,0
7,0,14,6,63,2,1.1429,0
24,0,34,22,199,1,0.8333,0
5,0,29,2,129,5,1.4,0
2,0,5,1,15,1,0.5,0
3,0,12,3,54,2,1.0,1
3,0,6,3,16,0,0.0,0
5,0,11,5,43,1,0.8,0
3,0,5,3,12,1,0.3333,1
2,0,5,1,17,1,0.5,0
8,0,31,1,396,7,3.125,0
2,0,4,1,11,1,0.5,0
17,2,45,11,257,2,1.0,4
1,0,1,1,1,1,1.0,0
3,0,4,3,15,1,0.6667,0
2,0,5,1,13,0,0.0,0
2,0,6,2,30,1,0.5,0
89,0,152,83,1002,29,1.4831,0
2,0,6,2,22,1,0.5,0
4,0,18,2,131,3,1.5,1
9,0,9,9,9,1,1.0,2
3,0,5,3,12,1,0.3333,2
4,0,7,2,111,1,0.5,0
3,0,5,1,14,1,0.3333,0
5,0,6,5,24,1,0.8,0
26,0,41,25,216,2,1.0769,1
1,0,2,1,7,0,0.0,0
4,0,10,4,28,1,0.75,1
4,0,19,4,43,1,0.75,7
5,0,15,5,36,1,0.4,2
2,0,3,2,7,1,0.5,1
1,0,1,1,1,1,1.0,0
12,0,35,11,112,1,0.9167,1
15,0,59,13,519,5,1.5333,1
19,0,24,15,109,1,0.8947,0
4,3,8,4,20,0,0.0,1
6,0,17,6,75,4,2.0,1
1,2,2,1,7,0,0.0,0
3,0,5,1,14,1,0.3333,0
9,0,9,9,9,1,1.0,0
18,0,62,6,356,6,1.6111,0
1,0,1,1,1,1,1.0,0
2,0,2,2,2,1,1.0,0
4,0,6,4,22,1,0.5,0
14,0,42,10,192,2,1.0714,0
8,0,47,5,258,6,1.5,0
4,0,8,4,27,1,0.75,0
4,0,11,3,45,1,0.75,0
13,0,29,4,120,2,1.0,0
2,0,4,2,12,0,0.0,0
11,0,22,11,101,1,0.9091,0
28,0,49,28,241,2,1.0,1
1,0,1,1,1,1,1.0,1
8,0,50,5,295,5,1.375,4
3,0,41,1,221,1,0.6667,0
2,0,7,1,24,1,0.5,0
4,0,10,4,35,1,0.75,1
13,7,25,11,137,2,0.8462,3
1,0,1,1,1,1,1.0,0
0,0,0,0,0,0,0.0,0
9,0,21,9,84,2,0.8889,2
13,0,55,7,327,7,1.8462,0
3,0,10,3,31,1,0.3333,2
24,0,38,22,401,2,1.5,0
3,0,7,2,23,1,0.3333,0
3,0,15,1,50,1,0.6667,0
3,0,8,3,29,1,0.6667,0
1,0,1,1,1,1,1.0,0
2,0,9,2,32,1,0.5,0
9,2,32,4,195,10,2.0,0
1,0,1,1,1,1,1.0,0
15,0,43,11,485,3,1.1333,10
8,0,20,6,176,1,0.75,0
3,0,5,3,20,1,0.6667,0
11,0,18,11,82,1,0.9091,0
8,0,17,6,69,2,1.0,0
15,0,33,14,141,3,1.1333,0
7,0,13,7,73,3,1.1429,2
7,1,8,7,40,2,1.1429,0
7,10,17,5,68,3,1.1429,1
2,0,10,1,42,3,1.5,0
9,1,18,7,66,1,0.7778,1
94,11,186,86,1012,2,1.0745,28
2,0,7,1,17,1,0.5,0
5,0,15,2,47,1,0.6,0
4,0,19,1,71,2,1.0,0
5,0,6,5,36,1,0.8,2
6,0,37,4,151,1,0.8333,0
4,0,12,4,41,1,0.75,1
1,0,1,1,1,1,1.0,0
17,0,42,11,213,5,1.1176,0
5,0,14,5,68,3,1.2,4
11,0,15,10,62,1,0.8182,1
1,0,2,1,7,0,0.0,0
2,0,6,2,20,1,0.5,1
4,0,13,3,47,2,0.75,1
21,0,21,21,21,1,1.0,2
2,0,2,2,2,1,1.0,1
4,0,6,4,14,1,0.75,4
5,0,9,4,34,2,0.8,0
23,0,23,23,23,1,1.0,1
2,0,3,2,7,1,0.5,1
4,0,9,4,36,1,0.75,0
6,0,27,5,160,14,2.8333,2
9,0,29,5,126,3,1.2222,0
4,3,11,4,31,1,0.75,0
5,2,14,3,52,2,0.8,0
13,0,60,8,260,3,0.8462,0
1,0,1,1,1,1,1.0,0
9,0,13,9,92,1,0.6667,0
8,0,22,8,86,1,0.5,3
12,0,24,11,74,1,0.9167,1
12,2,47,3,306,4,1.6667,0
23,0,50,20,295,3,1.0,4
35,0,61,33,343,2,0.9714,0
14,0,39,13,326,8,2.1429,1
17,0,27,17,141,3,1.0,2
2,0,6,2,20,1,0.5,0
1,0,1,1,1,1,1.0,0
6,4,12,3,46,2,0.8333,0
1,0,1,1,1,1,1.0,0
9,0,24,7,108,1,0.6667,0
16,0,52,7,396,10,2.3125,6
22,0,44,20,232,1,0.9091,2
6,0,18,5,69,1,0.8333,0
3,1,16,2,96,3,1.6667,2
7,0,24,5,141,3,1.2857,2
15,0,46,8,217,2,0.8667,0
3,0,7,3,47,5,2.3333,2
7,1,13,6,55,2,0.8571,0
6,0,11,5,46,2,1.0,1
30,0,92,28,693,8,2.7333,8
1,0,1,1,1,1,1.0,0
56,0,88,45,650,6,1.125,0
11,0,43,1,197,9,1.6364,0
1,0,1,1,1,1,1.0,0
1,0,1,1,1,1,1.0,0
3,0,33,2,431,4,2.0,4
9,0,12,9,50,1,0.7778,1
2,0,2,2,2,1,1.0,1
3,0,5,3,17,1,0.6667,1
2,0,2,2,2,1,1.0,1
5,0,12,5,53,1,0.2,0
23,0,33,23,247,2,1.0,0
3,0,22,2,157,6,2.0,1
2,0,8,2,23,1,0.5,0
8,0,22,6,188,2,1.0,0
25,0,74,18,448,4,1.32,0
1,0,1,1,1,1,1.0,0
5,0,10,4,47,1,0.8,0
10,9,18,7,73,1,0.8,0
9,0,18,9,92,2,0.8889,3
5,1,14,4,68,3,1.0,0
2,0,12,2,31,1,0.5,0
10,0,24,6,126,2,0.9,0
7,0,13,5,59,2,0.8571,0
12,24,28,7,139,2,0.9167,3
2,0,5,2,16,3,1.5,0
11,2,30,4,122,1,0.8182,0
2,0,2,2,2,1,1.0,2
5,0,16,2,56,1,0.8,0
1,0,1,1,1,1,1.0,0
3,0,6,2,16,1,0.3333,0
14,0,42,5,182,2,1.0,0
10,3,29,6,151,1,0.6,1
4,0,9,4,34,2,1.0,0
9,0,21,8,51,1,0.8889,0
3,0,6,3,17,0,0.0,0
15,0,47,10,274,3,1.0,0
9,0,27,8,147,2,1.1111,9
4,0,7,3,28,1,0.75,0
1,0,1,1,1,1,1.0,0
5,0,5,5,5,1,1.0,4
27,0,72,23,315,2,1.037,0
10,0,27,9,103,4,1.2,3
3,0,5,3,12,1,0.3333,0
18,0,36,17,154,3,1.0556,0
2,0,2,2,2,1,1.0,0
2,0,2,2,2,1,1.0,2
4,0,18,3,62,3,1.25,0
6,0,23,3,88,2,0.8333,2
7,0,26,5,84,1,0.8571,0
8,0,24,7,100,3,1.125,0
6,0,23,1,99,2,0.8333,4
1,0,1,1,1,1,1.0,0
13,0,36,13,183,6,1.5385,4
7,0,36,2,213,4,1.1429,0
13,0,41,8,236,2,1.0769,1
3,2,6,2,17,1,0.6667,1
6,0,32,1,161,6,1.5,1
8,0,30,5,114,2,0.875,0
3,0,7,3,31,1,0.6667,0
2,2,10,0,49,3,1.5,0
3,0,3,3,3,1,1.0,1
11,0,24,11,101,1,0.9091,0
0,0,0,0,10,0,0.0,0
3,0,5,3,12,1,0.3333,1
6,0,13,4,46,1,0.8333,0
11,0,20,10,124,3,1.2727,0
13,0,47,10,248,2,0.8462,9
3,0,7,1,330,1,0.6667,0
15,0,15,15,15,1,1.0,2
2,0,3,2,12,1,0.5,1
8,0,12,8,43,1,0.875,0
16,13,32,16,167,3,1.0625,3
2,0,2,2,2,1,1.0,0
6,0,25,5,166,1,0.5,2
3,0,8,3,29,1,0.6667,0
2,0,2,2,2,1,1.0,0
7,0,21,6,90,2,1.0,0
14,0,33,13,231,1,0.8571,0
3,0,8,3,26,1,0.3333,1
2,0,12,2,52,3,1.5,1
2,0,3,2,7,1,0.5,0
12,0,19,9,101,3,1.1667,0
2,1,3,2,5,1,0.5,4
23,0,34,21,230,4,0.9565,0
43,0,100,35,785,1,0.8372,2
9,0,21,8,140,3,1.0,0
8,0,26,5,142,3,1.0,1
5,0,7,5,29,1,0.8,0
5,0,13,4,64,1,0.8,0
13,0,35,9,214,8,1.3846,1
3,0,13,3,57,1,0.6667,0
17,0,45,16,275,4,1.4706,5
28,0,57,27,183,1,0.9643,3
3,0,7,3,22,1,0.6667,1
10,2,46,2,221,2,0.9,0
2,0,6,2,21,1,0.5,1
3,0,8,2,23,1,0.6667,0
2,0,2,2,2,1,1.0,0
2,0,2,2,2,1,1.0,0
2,1,10,1,44,2,1.0,0
4,0,11,4,25,1,0.75,3
6,0,11,6,57,2,0.8333,0
1,0,2,1,5,0,0.0,1
3,0,8,3,32,1,0.6667,0
31,0,45,30,251,2,0.9677,0
0,0,0,0,0,0,0.0,0
5,0,16,5,62,2,1.0,0
28,0,49,28,271,9,1.4643,0
2,0,7,2,24,1,0.5,2
6,0,54,5,256,5,2.3333,0
19,0,85,12,720,11,2.6316,3
2,0,7,2,25,1,0.5,1
3,0,9,3,31,1,0.6667,0
8,0,36,8,190,4,1.875,0
2,0,7,1,23,1,0.5,1
13,0,27,10,119,2,0.9231,0
10,0,17,9,80,1,0.8,0
2,0,4,2,10,1,0.5,0
11,0,51,8,355,5,1.4545,0
3,0,8,1,26,1,0.6667,0
2,0,6,2,14,1,0.5,0
4,0,12,3,28,1,0.75,4
3,1,15,1,50,1,0.6667,0
1,0,1,1,1,1,1.0,0
1,0,1,1,1,1,1.0,1
2,0,9,2,48,4,2.0,2
11,0,22,10,86,1,0.9091,0
15,0,48,10,243,6,1.2667,0
13,0,18,12,105,3,1.0,0
3,4,4,3,14,1,0.6667,1
2,0,6,2,21,1,0.5,0
14,0,32,14,154,1,0.7143,5
23,0,44,19,203,2,1.1304,0
4,0,15,1,62,4,1.25,2
5,0,54,3,274,1,0.6,0
5,0,17,5,46,1,0.4,3
9,0,18,9,92,2,0.8889,3
3,0,3,3,3,1,1.0,0
5,0,10,3,31,1,0.8,0
3,0,8,2,29,1,0.3333,2
9,0,30,3,164,1,0.8889,0
7,0,64,3,357,3,1.1429,0
16,0,20,12,94,1,0.875,0
15,0,61,8,479,8,2.3333,0
4,0,7,2,45,1,0.5,0
5,0,20,2,66,1,0.4,0
11,0,48,5,229,5,1.7273,0
5,0,10,4,36,1,0.6,1
12,0,57,7,479,17,3.25,3
3,0,5,3,24,1,0.6667,0
9,0,18,7,75,1,0.6667,0
9,2,24,7,97,2,1.0,0
3,0,10,3,33,1,0.3333,1
4,0,33,2,154,6,1.75,0
15,0,46,10,279,3,1.0,0
3,0,10,3,37,1,0.6667,1
8,0,24,8,139,3,1.25,0
4,0,15,1,226,6,1.75,1
24,0,47,23,244,1,0.9583,5
6,0,17,4,80,3,1.1667,0
3,3,10,2,34,2,1.0,1
3,0,9,3,27,1,0.6667,0
1,0,6,1,14,0,0.0,0
2,0,3,2,7,1,0.5,0
1,0,4,1,12,0,0.0,1
3,0,9,3,33,1,0.6667,0
9,0,20,6,81,2,0.7778,0
20,0,25,15,114,1,0.9,0
9,0,19,7,118,3,1.2222,2
2,0,7,1,37,3,1.5,1
1,0,1,1,1,1,1.0,0
6,0,11,6,45,2,0.8333,0
3,0,3,3,3,1,1.0,0
8,0,15,8,96,3,1.125,3
2,2,4,2,17,0,0.0,0
1,0,1,1,1,1,1.0,0
1,0,2,1,5,0,0.0,1
22,0,52,20,205,1,0.9091,1
1,0,1,1,1,1,1.0,0
2,0,12,2,49,1,0.5,0
23,0,38,22,241,3,1.0435,0
10,0,41,3,218,3,1.1,0
5,0,12,5,57,1,0.8,1
1,0,1,1,1,1,1.0,0
15,0,18,12,106,1,0.9333,0
6,0,10,6,46,1,0.8333,0
5,0,13,3,67,2,1.0,1
1,0,1,1,1,1,1.0,0
2,0,2,2,2,1,1.0,0
2,0,4,1,9,1,0.5,1
18,0,25,18,123,2,1.0,1
10,0,29,5,235,4,1.2,0
5,0,20,1,74,1,0.6,0
8,0,20,7,83,2,1.0,0
7,0,43,2,219,1,0.7143,0
16,0,41,14,131,2,1.0,0
48,0,111,47,729,2,1.0,3
4,0,5,3,16,1,0.5,0
3,0,11,3,48,1,0.6667,0
1,2,2,1,6,0,0.0,0
0,0,0,0,0,0,0.0,0
12,0,35,4,184,3,1.0833,0
6,2,27,2,161,1,0.6667,0
4,0,7,2,56,1,0.5,0
7,0,13,6,62,2,1.0,0
3,0,5,3,12,1,0.3333,0
2,0,5,1,30,2,1.0,0
7,0,13,7,46,1,0.8571,0
6,2,14,5,50,2,1.0,1
3,0,5,3,12,1,0.3333,0
7,0,25,5,94,1,0.7143,0
4,0,12,4,52,1,0.75,0
1,0,1,1,1,1,1.0,1
26,0,38,25,241,6,1.2308,0
3,0,6,3,14,1,0.6667,0
4,0,13,3,27,1,0.5,0
6,0,24,3,85,1,0.8333,1
