wmc,dit,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,mfa,cam,amc,max_cc,avg_cc,bug
3,3,26,34,3,0,26,2,1.0,182,0.75,0.46666666700000003,59.33333333,3,1.3333,0
6,7,12,18,15,0,12,1,1.066666667,96,0.894736842,0.4,14.5,1,0.6667,0
6,6,15,22,3,0,15,1,0.8666666670000001,83,0.84,0.7333333329999999,12.33333333,1,0.6667,0
29,1,58,150,388,6,52,13,1.025,5499,0.0,0.125,186.2068966,41,4.4828,2
3,3,9,12,3,1,8,2,0.5,42,0.923076923,0.666666667,12.66666667,2,1.0,0
2,3,19,26,1,0,19,2,1.0,121,0.857142857,0.625,59.0,1,0.5,0
2,3,24,27,1,0,24,2,2.0,134,0.857142857,0.625,66.0,1,0.5,0
5,3,35,63,10,1,34,2,1.25,476,0.6,0.4,93.8,1,0.8,0
4,2,16,10,6,9,7,3,1.0,37,0.666666667,0.666666667,7.75,1,0.5,0
2,3,27,37,1,0,27,2,1.0,231,0.857142857,0.625,112.0,9,4.5,1
2,3,14,13,1,0,14,2,2.0,58,0.857142857,0.625,28.0,1,0.5,0
4,5,12,24,4,1,11,3,1.0,115,0.9607843140000001,0.5555555560000001,27.0,1,0.5,0
2,3,8,10,1,0,8,2,2.0,37,0.857142857,0.625,17.5,1,0.5,0
4,6,3,9,6,1,2,2,1.111111111,32,0.962264151,1.0,6.25,1,0.5,0
3,6,25,28,3,0,25,3,1.0,95,0.9655172409999999,0.666666667,30.33333333,2,1.0,0
3,6,4,8,3,1,3,1,2.0,18,0.9655172409999999,1.0,5.0,1,0.6667,0
2,3,14,22,1,0,14,2,2.0,85,0.857142857,0.625,41.5,1,0.5,1
5,5,13,27,8,1,12,3,1.0,123,0.942307692,0.5,23.0,1,0.6,0
4,5,33,42,4,0,33,3,1.0,193,0.9607843140000001,0.5555555560000001,46.5,1,0.5,1
4,6,8,13,4,0,8,1,1.0,42,0.916666667,0.5555555560000001,8.75,1,0.5,0
5,6,9,14,8,0,9,1,1.0,48,0.88,0.5,8.0,1,0.6,0
3,1,4,19,1,1,3,1,0.875,128,0.0,0.5,40.33333333,4,2.0,0
5,4,28,57,8,2,26,3,1.0,196,0.9,0.5,37.6,2,0.8,0
7,3,17,95,19,7,10,5,0.8888888890000001,300,0.8275862070000001,0.333333333,41.42857143,2,1.0,0
3,6,13,28,3,0,13,2,1.0,273,0.9636363640000001,0.46666666700000003,87.66666667,12,4.6667,0
2,3,8,6,1,0,8,2,2.0,18,0.857142857,0.625,8.0,1,0.5,0
4,4,27,37,6,0,27,3,0.666666667,204,0.8235294120000001,0.75,49.25,2,1.0,2
2,3,15,16,1,0,15,2,2.0,58,0.857142857,0.625,28.0,1,0.5,0
5,6,8,14,8,0,8,1,1.0,45,0.875,0.5,7.4,1,0.6,0
7,5,45,160,9,6,39,5,0.875,1044,0.907407407,0.433333333,147.5714286,2,0.8571,0
2,3,14,14,1,0,14,2,2.0,47,0.857142857,0.625,22.5,1,0.5,0
2,3,19,11,1,0,19,2,2.0,34,0.857142857,0.625,16.0,1,0.5,0
5,3,10,24,8,1,9,3,0.833333333,90,0.8888888890000001,0.5,16.4,2,1.0,0
2,3,26,36,1,0,26,2,1.0,177,0.857142857,0.625,87.0,1,0.5,0
5,3,13,55,8,4,9,3,0.833333333,184,0.8888888890000001,0.5,35.2,2,1.0,0
5,1,12,19,8,1,11,3,0.875,108,0.0,0.25,20.2,5,2.2,0
2,3,18,21,1,0,18,2,1.0,91,0.857142857,0.625,44.0,1,0.5,0
2,3,14,17,1,0,14,2,2.0,72,0.857142857,0.625,35.0,1,0.5,0
2,3,23,22,1,0,23,2,1.0,90,0.857142857,0.625,43.5,1,0.5,0
3,4,13,19,3,0,13,1,1.0,204,0.931034483,1.0,65.66666667,5,2.0,0
2,3,14,19,1,0,14,2,1.0,74,0.857142857,0.625,35.5,1,0.5,0
2,3,7,5,1,0,7,2,2.0,14,0.857142857,0.625,6.0,1,0.5,0
2,3,12,15,1,0,12,2,2.0,58,0.857142857,0.625,28.0,1,0.5,0
4,6,8,13,4,0,8,1,1.0,42,0.913043478,0.5555555560000001,8.75,1,0.5,0
3,3,28,33,3,0,28,2,2.0,142,0.75,0.444444444,46.33333333,3,1.3333,0
2,4,27,26,1,0,27,2,1.0,281,0.933333333,0.6,138.5,1,0.5,0
4,5,21,37,4,1,20,3,1.0,182,0.9607843140000001,0.5555555560000001,43.75,1,0.5,2
7,3,13,106,9,4,9,5,0.7777777779999999,601,0.8275862070000001,0.5555555560000001,84.42857143,2,1.2857,0
2,3,8,10,1,0,8,2,2.0,37,0.857142857,0.625,17.5,1,0.5,0
5,5,9,12,10,0,9,1,2.0,32,0.8857142859999999,0.7,5.4,2,1.0,0
5,5,8,15,10,0,8,1,1.0,45,0.8857142859999999,0.7,7.8,2,1.0,0
5,4,24,62,4,1,23,4,0.916666667,268,0.9,0.5,52.0,1,0.6,0
6,7,15,19,9,2,13,1,0.933333333,66,0.851851852,0.6,9.5,1,0.6667,1
2,2,18,16,1,0,18,2,2.0,67,0.8,0.666666667,32.5,1,0.5,0
2,3,18,18,1,0,18,2,2.0,78,0.857142857,0.625,38.0,1,0.5,0
4,6,8,13,4,0,8,1,1.0,42,0.913043478,0.5555555560000001,8.75,1,0.5,0
3,2,7,12,1,1,6,3,2.0,60,0.8666666670000001,0.666666667,19.0,4,1.6667,0
5,6,8,14,8,0,8,1,1.0,45,0.875,0.5,7.4,1,0.6,0
2,3,10,19,1,0,10,2,2.0,70,0.857142857,0.625,33.5,1,0.5,0
2,3,16,18,1,0,16,2,2.0,81,0.857142857,0.625,39.5,1,0.5,0
3,3,14,26,1,0,14,2,0.833333333,146,0.9411764709999999,0.625,46.66666667,1,0.3333,0
2,3,24,27,1,0,24,2,1.0,169,0.9,0.625,82.0,1,0.5,1
1,8,1,2,0,0,1,1,2.0,5,1.0,1.0,3.0,0,0.0,0
2,3,30,46,1,0,30,2,1.0,261,0.9,0.625,129.0,1,0.5,1
2,3,16,20,1,0,16,2,2.0,134,0.857142857,0.625,66.0,1,0.5,0
2,3,9,17,1,0,9,2,2.0,64,0.857142857,0.625,31.0,1,0.5,0
0,1,6,0,0,6,0,0,2.0,30,0.0,0.0,0.0,0,0.0,0
2,3,21,24,1,0,21,2,1.0,102,0.857142857,0.625,49.5,1,0.5,0
2,1,3,5,1,1,2,2,2.0,17,0.0,0.75,7.5,1,0.5,0
2,3,33,70,1,0,33,2,1.333333333,456,0.857142857,0.625,225.5,1,0.5,0
2,3,11,18,1,0,11,2,2.0,86,0.857142857,0.625,42.0,1,0.5,0
19,1,65,72,159,33,32,17,0.988888889,398,0.0,0.092592593,19.68421053,6,1.9474,0
4,6,14,18,4,0,14,1,1.0,63,0.913043478,0.5555555560000001,14.0,1,0.5,0
6,4,16,23,15,0,16,1,1.0,172,0.848484848,0.38888888899999996,27.5,3,1.3333,0
7,1,14,29,19,5,9,5,0.944444444,165,0.0,0.26666666699999997,22.14285714,4,1.4286,0
2,3,9,16,1,0,9,2,2.0,57,0.857142857,0.625,27.5,3,1.5,0
2,3,8,6,1,0,8,2,2.0,16,0.857142857,0.625,7.0,1,0.5,0
2,3,23,29,1,0,23,2,2.0,257,0.857142857,0.625,127.5,1,0.5,2
2,4,4,4,1,0,4,1,2.0,11,0.9090909090000001,1.0,4.5,1,0.5,0
3,3,9,16,1,0,9,2,0.75,63,0.9722222220000001,0.6,19.33333333,3,1.0,0
5,5,8,15,10,0,8,1,1.0,45,0.8857142859999999,0.7,7.8,2,1.0,0
2,4,22,20,1,0,22,2,1.0,73,0.933333333,0.6,35.0,1,0.5,0
4,5,45,15,6,35,10,2,1.0,67,0.9090909090000001,0.5555555560000001,15.25,4,1.25,0
5,6,8,14,8,0,8,1,1.0,45,0.88,0.5,7.4,1,0.6,0
4,2,21,45,4,0,21,3,0.7777777779999999,329,0.942857143,0.7333333329999999,80.5,18,5.0,0
2,3,9,9,1,0,9,2,2.0,35,0.857142857,0.625,16.5,4,2.0,1
3,3,6,24,1,0,6,2,0.75,124,0.9722222220000001,0.6,39.66666667,7,2.3333,0
6,3,21,21,15,0,21,2,2.0,79,0.8214285709999999,0.583333333,12.16666667,1,0.8333,0
4,2,46,87,0,0,46,2,0.8888888890000001,912,0.8666666670000001,0.666666667,224.0,25,6.5,0
2,3,18,27,1,0,18,2,1.0,135,0.857142857,0.625,66.0,1,0.5,0
2,4,23,19,1,0,23,2,1.0,72,0.933333333,0.6,34.5,1,0.5,0
2,3,16,28,1,0,16,2,2.0,113,0.857142857,0.625,55.5,1,0.5,1
2,3,27,37,1,0,27,2,1.0,179,0.857142857,0.625,87.0,1,0.5,0
5,4,7,10,10,0,7,1,2.0,24,0.875,0.55,3.8,1,0.8,0
5,6,21,24,4,0,21,1,0.916666667,81,0.875,0.666666667,14.6,1,0.6,0
2,3,26,21,1,0,26,2,1.0,87,0.857142857,0.625,41.5,1,0.5,0
1,8,1,2,0,0,1,1,2.0,5,1.0,1.0,3.0,0,0.0,0
2,3,17,18,1,0,17,2,1.0,72,0.857142857,0.625,34.5,1,0.5,0
4,4,13,24,4,0,13,1,0.666666667,633,0.9,1.0,156.25,5,2.75,0
7,5,16,37,15,1,15,4,0.944444444,153,0.907407407,0.5,20.42857143,1,0.7143,0
4,7,13,27,4,0,13,3,1.0,109,0.968253968,0.5555555560000001,25.5,1,0.5,0
6,4,22,42,0,0,22,2,0.8714285709999999,458,0.846153846,0.36666666700000006,73.0,2,0.8333,0
5,6,9,14,8,0,9,1,1.0,46,0.875,0.5,7.6,1,0.6,0
3,1,25,48,1,0,25,2,0.9,238,0.0,0.75,76.66666667,7,2.3333,0
5,4,15,26,10,1,14,1,1.0,123,0.818181818,0.533333333,23.4,5,2.2,0
6,5,29,35,13,13,16,1,0.966666667,188,0.943396226,0.325,29.33333333,5,1.5,0
4,7,13,27,4,0,13,3,1.0,114,0.968253968,0.5555555560000001,26.75,1,0.5,0
9,1,46,102,34,3,43,1,0.925,977,0.0,0.375,107.0,2,0.8889,0
2,3,13,16,1,0,13,2,2.0,63,0.857142857,0.625,30.5,6,3.0,0
2,3,13,17,1,0,13,2,2.0,49,0.857142857,0.625,23.5,1,0.5,0
5,6,8,14,8,0,8,1,1.0,45,0.88,0.5,7.4,1,0.6,0
5,6,15,20,4,0,15,1,0.916666667,68,0.875,0.666666667,12.0,1,0.6,0
2,4,17,16,1,0,17,2,2.0,70,0.933333333,0.6,34.0,1,0.5,0
2,3,14,17,1,0,14,2,1.0,69,0.857142857,0.625,33.0,5,2.5,1
4,5,23,45,4,3,20,3,1.0,201,0.9607843140000001,0.5555555560000001,48.5,1,0.5,0
2,3,7,6,1,0,7,2,2.0,29,0.857142857,0.625,13.5,1,0.5,0
7,3,27,57,17,0,27,6,0.962962963,278,0.8214285709999999,0.5,37.42857143,7,2.2857,0
2,3,13,14,1,0,13,2,2.0,47,0.857142857,0.625,22.5,1,0.5,1
3,6,11,19,3,0,11,3,1.0,66,0.9636363640000001,0.666666667,20.66666667,4,1.6667,0
2,3,15,17,1,0,15,2,1.0,104,0.857142857,0.625,49.5,1,0.5,0
0,1,1,0,0,1,0,0,2.0,4,0.0,0.0,0.0,0,0.0,0
2,3,14,14,1,0,14,2,2.0,41,0.857142857,0.625,19.5,1,0.5,0
2,3,8,13,1,0,8,2,2.0,50,0.857142857,0.625,24.0,5,2.5,0
6,6,16,24,3,0,16,1,0.8666666670000001,103,0.84,0.7333333329999999,15.66666667,1,0.6667,0
5,5,8,11,10,0,8,1,2.0,32,0.8857142859999999,0.7,5.4,2,1.0,0
5,4,38,99,4,0,38,2,0.5625,1776,0.7333333329999999,0.65,353.4,1,0.8,1
2,3,18,16,1,0,18,2,1.0,84,0.857142857,0.625,40.5,1,0.5,0
2,3,13,16,1,0,13,2,2.0,74,0.857142857,0.625,36.0,1,0.5,0
2,3,17,17,1,0,17,2,2.0,79,0.857142857,0.625,38.5,1,0.5,0
2,3,9,13,1,0,9,2,2.0,53,0.857142857,0.625,25.5,1,0.5,0
4,6,12,24,2,0,12,3,0.8666666670000001,106,0.9636363640000001,0.666666667,24.25,2,1.0,0
2,3,3,4,1,0,3,1,2.0,8,0.833333333,1.0,3.0,1,0.5,0
4,4,9,14,4,0,9,3,1.0,55,0.931034483,0.5555555560000001,12.0,1,0.5,0
2,4,30,32,1,0,30,2,1.0,140,0.933333333,0.6,68.5,1,0.5,0
2,3,23,29,1,0,23,2,2.0,147,0.857142857,0.625,72.5,1,0.5,1
2,3,16,19,1,0,16,2,1.0,72,0.857142857,0.625,34.5,1,0.5,0
4,6,8,13,4,0,8,1,1.0,42,0.913043478,0.5555555560000001,8.75,1,0.5,0
2,3,15,15,1,0,15,2,2.0,54,0.857142857,0.625,26.0,1,0.5,0
3,1,8,11,1,1,7,1,0.75,39,0.0,0.5,11.33333333,1,0.3333,0
4,5,14,40,4,1,13,3,1.0,174,0.9607843140000001,0.5555555560000001,41.75,1,0.5,0
2,3,11,15,1,0,11,2,2.0,62,0.857142857,0.625,30.0,1,0.5,1
7,8,14,22,21,0,14,1,1.0555555559999998,110,0.87804878,0.375,14.28571429,1,0.7143,0
2,3,14,17,1,0,14,2,2.0,72,0.857142857,0.625,35.0,1,0.5,0
4,3,26,44,4,0,26,2,0.8205128209999999,558,0.904761905,0.5555555560000001,135.25,13,4.0,0
5,5,12,15,10,0,12,1,2.0,43,0.882352941,0.55,7.6,1,0.8,0
4,6,8,13,4,0,8,1,1.0,42,0.913043478,0.5555555560000001,8.75,1,0.5,0
8,4,23,44,8,6,17,5,0.857142857,220,0.8125,0.535714286,26.125,1,0.75,0
3,4,4,8,3,2,2,2,1.166666667,29,0.974358974,1.0,7.666666667,1,0.3333,1
8,6,22,36,22,2,20,1,0.892857143,179,0.7857142859999999,0.5,20.875,1,0.75,1
2,3,22,32,1,0,22,2,1.0,114,0.857142857,0.625,55.5,1,0.5,0
3,4,3,8,3,1,2,2,1.166666667,29,0.962962963,1.0,7.666666667,1,0.3333,0
3,4,13,20,3,0,13,1,1.0,220,0.931034483,1.0,70.66666667,6,2.3333,0
2,3,18,20,1,0,18,2,2.0,106,0.857142857,0.625,52.0,1,0.5,0
9,5,27,59,0,0,27,8,0.791666667,464,0.875,0.65625,50.22222222,1,0.7778,0
11,1,52,230,53,2,50,1,0.94,1200,0.0,0.2,107.6363636,5,1.3636,2
4,3,26,47,4,0,26,2,0.7777777779999999,286,0.904761905,0.666666667,69.0,7,2.75,0
5,2,20,52,4,1,19,4,0.666666667,680,0.916666667,0.35714285700000004,134.4,21,9.0,0
7,1,39,80,19,1,38,3,0.944444444,704,0.0,0.257575758,99.14285714,1,0.7143,2
4,5,19,36,4,0,19,3,1.0,266,0.9607843140000001,0.5555555560000001,64.75,1,0.5,0
2,3,21,25,1,0,21,2,1.0,105,0.857142857,0.625,51.0,1,0.5,0
2,3,15,13,1,0,15,2,2.0,44,0.958333333,0.666666667,20.5,1,0.5,0
5,7,2,10,10,0,2,1,1.083333333,35,0.9189189190000001,1.0,5.4,1,0.6,0
4,4,20,49,2,0,20,1,0.833333333,363,0.916666667,1.0,88.75,10,2.75,1
6,4,15,21,15,0,15,2,0.8666666670000001,113,0.918367347,0.36111111100000004,17.33333333,2,1.1667,0
2,3,13,10,1,0,13,2,1.0,36,0.857142857,0.625,16.5,1,0.5,0
4,6,3,9,6,1,2,2,1.111111111,32,0.962264151,1.0,6.25,1,0.5,0
4,6,3,9,6,1,2,2,1.111111111,32,0.962264151,1.0,6.25,1,0.5,0
35,1,106,207,593,51,56,33,0.992647059,2112,0.0,0.19004524899999997,59.22857143,58,4.2857,2
5,4,4,8,10,0,4,1,2.0,19,0.875,0.4,2.8,1,0.8,0
4,3,17,32,6,0,17,2,2.0,737,0.666666667,0.53125,183.25,32,14.75,0
2,2,8,7,1,0,8,2,2.0,28,0.8,0.666666667,13.0,1,0.5,0
2,4,21,17,1,0,21,2,1.0,67,0.933333333,0.6,32.0,1,0.5,0
6,6,9,16,13,0,9,1,1.0,52,0.846153846,0.6,7.166666667,1,0.6667,0
4,4,13,23,4,0,13,1,0.666666667,908,0.9,1.0,223.75,10,5.25,0
3,2,39,83,1,0,39,2,0.9285714290000001,506,0.9285714290000001,0.75,165.33333330000002,18,6.0,0
7,4,26,70,19,2,24,3,1.0,733,0.84375,0.333333333,103.1428571,1,0.7143,0
5,5,25,40,8,2,23,3,1.0,142,0.942307692,0.5,26.8,1,0.6,0
2,3,23,51,1,0,23,2,1.0,199,0.857142857,0.625,98.0,8,4.0,1
14,1,55,162,85,2,53,2,1.020979021,2744,0.0,0.147928994,194.21428569999998,18,3.9286,2
5,4,16,19,10,0,16,1,1.0,78,0.875,0.55,14.4,4,1.4,0
5,6,21,24,4,0,21,1,0.916666667,108,0.875,0.666666667,20.0,1,0.6,0
2,3,15,14,1,0,15,2,2.0,47,0.857142857,0.625,22.5,1,0.5,0
11,1,71,70,53,43,28,9,0.975,399,0.0,0.242857143,34.90909091,7,3.0,2
2,3,13,17,1,0,13,2,1.0,56,0.857142857,0.625,26.5,1,0.5,0
2,3,27,23,1,0,27,2,1.0,146,0.857142857,0.625,71.0,1,0.5,1
2,3,18,21,1,0,18,2,2.0,88,0.857142857,0.625,43.0,1,0.5,0
2,2,18,24,1,0,18,2,2.0,91,0.8,0.666666667,44.5,1,0.5,0
2,3,10,4,1,0,10,2,2.0,11,0.9,0.625,4.5,1,0.5,0
2,3,8,10,1,0,8,2,2.0,37,0.857142857,0.625,17.5,1,0.5,0
2,3,12,10,1,0,12,2,2.0,46,0.9,0.625,22.0,1,0.5,1
4,4,23,34,4,3,20,3,1.0,172,0.931034483,0.444444444,41.25,1,0.5,0
4,4,13,40,4,2,11,3,1.0,147,0.935483871,0.5,35.0,1,0.5,0
9,4,26,51,34,1,25,3,1.0,271,0.794117647,0.33928571399999996,28.77777778,1,0.7778,0
4,5,11,24,4,0,11,3,1.0,129,0.9607843140000001,0.5555555560000001,30.5,1,0.5,0
5,5,26,35,8,2,24,4,1.0,178,0.942307692,0.5,34.0,7,1.8,0
2,4,25,24,1,0,25,2,2.0,137,0.933333333,0.6,67.5,1,0.5,0
5,4,9,16,10,0,9,1,1.0,47,0.875,0.55,8.2,2,1.0,0
5,7,7,13,10,0,7,1,1.083333333,53,0.892857143,0.666666667,9.0,1,0.6,0
2,3,13,14,1,0,13,2,2.0,57,0.857142857,0.625,27.5,1,0.5,0
2,3,13,13,1,0,13,2,1.0,46,0.857142857,0.625,21.5,1,0.5,0
7,1,8,27,15,1,7,3,0.666666667,273,0.0,0.5,37.57142857,5,2.0,0
1,7,1,2,0,0,1,1,2.0,4,1.0,1.0,3.0,0,0.0,0
2,4,30,31,1,0,30,2,1.0,280,0.933333333,0.6,137.5,1,0.5,0
6,6,20,26,3,0,20,1,0.8666666670000001,99,0.84,0.7333333329999999,15.0,1,0.6667,0
2,2,10,19,1,1,9,2,1.0,122,0.666666667,0.75,59.5,13,6.5,0
14,4,123,125,33,105,18,10,0.794871795,660,0.7551020409999999,0.28571428600000004,45.92857143,2,1.0714,0
6,4,15,48,3,1,14,5,0.8666666670000001,216,0.870967742,0.52,34.5,1,0.6667,0
2,3,15,15,1,0,15,2,2.0,55,0.857142857,0.625,26.5,1,0.5,0
3,6,15,27,1,0,15,2,0.9,128,0.981481481,0.75,40.0,5,1.6667,0
6,5,16,38,9,1,15,4,0.933333333,262,0.924528302,0.55,42.16666667,1,0.6667,0
6,1,29,43,13,7,22,3,0.9,407,0.0,0.3,66.5,15,3.1667,0
2,3,13,15,1,0,13,2,2.0,119,0.857142857,0.625,58.5,1,0.5,0
7,4,30,70,19,2,29,5,1.0,362,0.838709677,0.533333333,50.14285714,1,0.7143,0
2,2,10,13,1,4,6,2,1.0,54,0.8,0.5,25.5,4,2.0,0
2,3,22,24,1,0,22,2,1.0,107,0.857142857,0.625,52.0,1,0.5,0
2,3,9,14,1,0,9,2,2.0,51,0.857142857,0.625,24.5,3,1.5,0
4,4,14,54,4,1,13,3,1.0,285,0.935483871,0.5,69.5,1,0.5,0
2,3,20,21,1,0,20,2,1.0,87,0.857142857,0.625,42.0,1,0.5,0
18,4,40,148,149,2,38,3,0.9485294120000001,1349,0.627906977,0.307189542,73.5,1,0.8889,4
4,5,12,21,4,0,12,3,1.0,91,0.9607843140000001,0.5555555560000001,21.0,1,0.5,0
2,4,24,31,1,0,24,2,1.0,287,0.933333333,0.6,142.0,1,0.5,0
2,3,18,23,1,0,18,2,1.0,93,0.857142857,0.625,45.0,1,0.5,0
5,6,11,21,10,0,11,1,1.0,61,0.933333333,0.36,11.0,2,1.0,0
7,6,21,48,15,2,19,4,0.944444444,276,0.918032787,0.5,38.0,1,0.7143,0
4,6,8,13,4,0,8,1,1.0,42,0.913043478,0.5555555560000001,8.75,1,0.5,0
4,5,21,17,6,8,13,2,1.0,83,0.9090909090000001,0.7777777779999999,19.25,6,1.75,0
4,3,25,46,4,0,25,2,0.787878788,542,0.904761905,0.5555555560000001,131.75,12,3.75,0
8,2,40,29,28,28,12,5,1.142857143,333,0.684210526,0.430555556,40.125,3,1.75,0
5,1,27,38,6,2,25,3,0.8125,456,0.0,0.41666666700000005,89.4,5,1.4,1
4,6,23,31,4,1,22,3,1.0,109,0.9636363640000001,0.5555555560000001,25.5,1,0.5,0
2,3,46,67,1,0,46,2,1.0,503,0.833333333,0.666666667,249.5,1,0.5,1
5,5,9,11,10,1,8,2,1.083333333,42,0.914285714,0.625,6.8,1,0.6,0
2,3,15,12,1,0,15,2,1.0,77,0.857142857,0.625,36.5,1,0.5,1
3,7,9,10,3,0,9,1,1.5,43,0.935483871,0.833333333,13.0,5,2.0,0
4,6,9,13,4,0,9,1,1.0,43,0.913043478,0.5555555560000001,9.0,1,0.5,0
2,3,8,7,1,0,8,2,2.0,33,0.857142857,0.625,15.5,1,0.5,1
2,3,13,17,1,0,13,2,2.0,57,0.857142857,0.625,27.5,1,0.5,0
4,1,13,27,4,2,11,2,0.833333333,164,0.0,0.5,39.5,12,5.5,3
5,1,41,24,10,37,4,3,1.25,108,0.0,0.44,20.2,4,2.0,0
2,2,5,3,1,4,1,0,1.0,25,1.0,1.0,10.0,0,0.0,0
2,3,17,25,1,0,17,2,2.0,167,0.9,0.625,82.5,1,0.5,0
3,7,5,6,3,0,5,1,2.0,28,0.935483871,0.833333333,8.333333332999999,3,1.3333,1
2,3,19,22,1,0,19,2,1.0,70,0.857142857,0.625,33.5,1,0.5,0
2,3,12,16,1,0,12,2,2.0,76,0.857142857,0.625,37.0,1,0.5,0
2,3,16,17,1,0,16,2,2.0,60,0.857142857,0.625,29.0,1,0.5,0
9,2,33,52,36,1,33,2,1.0,338,0.825,0.25,36.33333333,4,1.1111,0
5,6,14,23,4,2,12,4,0.916666667,107,0.9464285709999999,0.666666667,19.8,1,0.6,0
7,5,17,23,21,2,15,2,1.0555555559999998,92,0.8863636359999999,0.625,11.71428571,1,0.7143,3
15,1,44,145,99,1,43,11,0.9285714290000001,2177,0.0,0.14285714300000002,143.8,21,3.7333,0
2,3,22,22,1,0,22,2,1.0,115,0.857142857,0.625,55.0,1,0.5,0
6,4,8,12,15,0,8,2,2.0,49,0.848484848,0.583333333,7.166666667,1,0.8333,0
2,3,14,17,1,0,14,2,2.0,61,0.857142857,0.625,29.5,1,0.5,1
2,3,16,13,1,0,16,2,1.0,46,0.857142857,0.625,21.5,1,0.5,0
2,3,14,18,1,0,14,2,1.0,74,0.857142857,0.625,35.5,1,0.5,0
6,6,13,32,13,0,13,3,1.0,115,0.93220339,0.4,17.66666667,1,0.6667,0
4,5,12,29,4,0,12,3,1.0,162,0.9607843140000001,0.5555555560000001,38.75,1,0.5,0
4,3,23,45,4,0,23,2,0.8888888890000001,505,0.904761905,0.5555555560000001,122.25,11,3.5,0
4,4,4,7,6,0,4,1,2.0,16,0.9032258059999999,0.4375,3.0,1,0.75,0
