wmc,cbo,rfc,lcom,ce,npm,loc,moa,cam,max_cc,bug
10,34,19,0,1,9,146,0,0.333333333,4,0
8,3,30,12,3,2,228,1,0.321428571,4,1
5,8,26,10,8,2,508,0,0.26666666699999997,3,0
15,20,63,103,6,12,757,0,0.154761905,11,3
4,2,10,0,1,3,43,1,0.666666667,2,2
3,4,6,3,3,3,25,0,0.833333333,2,0
6,5,32,9,5,2,148,1,0.333333333,2,0
16,8,40,0,7,13,306,0,0.322916667,6,3
19,9,43,85,7,13,285,1,0.190789474,5,4
4,3,10,0,2,4,41,0,0.5,1,0
16,5,41,74,5,13,853,0,0.24444444399999998,7,2
5,0,14,4,0,2,80,0,0.25,2,0
2,3,22,1,2,2,128,0,0.75,5,0
5,2,18,8,1,5,88,0,0.45,1,0
50,46,90,637,12,43,778,5,0.14913657800000002,6,9
8,0,10,28,0,8,21,0,0.46875,1,0
12,21,12,66,4,12,12,0,0.236111111,1,0
7,6,22,11,6,3,107,1,0.375,2,0
6,3,9,9,2,6,44,0,0.45833333299999995,2,0
22,9,51,95,7,18,414,1,0.198863636,6,1
4,2,12,4,2,2,38,1,0.333333333,1,0
3,7,3,3,0,3,3,0,0.666666667,1,1
14,17,36,91,11,10,161,0,0.138461538,3,2
4,3,8,0,2,4,38,0,0.4,1,0
6,3,25,13,3,2,202,0,0.27777777800000003,2,0
13,5,38,44,5,11,284,0,0.365384615,5,2
1,3,1,0,1,1,1,0,1.0,1,0
3,1,6,1,0,3,28,0,0.5555555560000001,3,0
5,1,7,8,0,3,22,1,0.75,1,0
15,10,44,3,10,13,334,0,0.241666667,5,1
22,20,35,175,9,21,193,5,0.20129870100000002,4,4
