wmc,cbo,rfc,ce,npm,loc,moa,cam,bug
6,9,16,6,5,43,0,0.26666666699999997,0
16,19,79,19,13,616,1,0.265625,2
22,6,56,5,17,445,1,0.30909090899999997,0
5,9,5,4,5,5,0,0.433333333,0
5,18,6,0,5,30,0,0.8,0
23,5,29,2,23,134,2,0.204968944,1
11,2,11,0,11,11,0,0.954545455,0
36,17,43,4,36,227,6,0.122685185,0
10,4,20,4,7,138,0,0.625,0
2,3,5,3,2,13,0,0.75,0
5,1,6,0,5,24,0,0.7,0
5,4,6,1,5,30,0,0.6,0
4,5,4,3,4,4,0,0.55,0
5,3,34,1,5,149,0,0.228571429,0
0,4,0,1,0,0,0,0.0,0
2,8,11,8,2,32,0,1.0,0
3,3,3,1,3,3,0,1.0,1
3,4,7,0,3,36,0,0.5,0
5,6,22,6,4,102,0,0.4375,0
9,0,10,0,9,45,0,0.481481481,0
0,3,0,1,0,0,0,0.0,0
0,2,0,1,0,0,0,0.0,0
17,6,18,1,17,84,1,0.294117647,0
6,3,21,3,5,63,0,0.4,0
4,2,10,2,4,53,0,0.4375,0
1,2,2,2,1,4,0,1.0,0
6,5,6,3,6,6,0,0.7777777779999999,0
4,3,8,1,4,20,0,0.666666667,0
20,13,20,6,20,20,0,0.32857142899999997,1
2,6,9,4,1,38,0,0.666666667,0
15,7,16,2,15,75,3,0.24444444399999998,0
2,2,3,2,2,7,0,1.0,0
4,4,19,2,4,113,0,0.583333333,0
1,1,2,1,1,8,1,1.0,0
1,9,2,0,1,5,0,1.0,0
1,6,1,0,1,1,0,1.0,0
19,6,20,1,19,94,1,0.294736842,0
14,3,15,0,14,68,0,0.33928571399999996,0
4,6,15,3,4,75,0,0.5,0
10,8,10,2,10,10,0,0.58,0
0,3,0,1,0,0,0,0.0,0
1,2,2,2,1,4,0,1.0,0
19,8,57,8,18,314,2,0.27777777800000003,0
9,7,29,7,8,238,2,0.45,0
14,5,21,1,14,112,1,0.28571428600000004,1
14,19,36,12,11,209,2,0.214285714,0
4,4,14,4,4,68,0,0.4375,0
12,6,34,6,11,132,1,0.238636364,0
10,8,29,8,9,197,2,0.314814815,0
7,1,8,0,7,34,0,0.35714285700000004,0
4,2,8,1,4,20,0,0.666666667,0
44,55,128,32,39,860,0,0.18560606100000002,0
1,1,2,0,1,5,0,1.0,0
3,2,10,2,2,30,0,0.666666667,0
4,4,4,2,4,4,0,0.625,0
4,6,4,2,4,4,0,1.0,0
21,16,53,16,16,389,4,0.176870748,1
7,5,19,5,6,105,1,0.611111111,0
1,2,2,2,1,4,0,1.0,0
8,4,8,2,8,8,0,0.541666667,0
4,2,7,2,3,25,0,0.5555555560000001,0
19,30,93,30,16,506,7,0.13888888900000002,1
4,2,8,0,4,20,0,0.666666667,0
3,4,4,1,3,14,0,0.666666667,0
14,7,15,1,14,86,1,0.342857143,0
0,2,0,1,0,0,0,0.0,0
