wmc,dit,cbo,rfc,ca,ce,npm,lcom3,loc,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
4,4,16,23,1,15,3,1.0,104,0.978723404,0.5555555560000001,3,8,24.25,1,0.5,0
3,3,24,27,3,21,2,1.0,154,0.7777777779999999,0.444444444,1,1,50.0,3,1.3333,0
5,7,15,18,0,15,1,0.916666667,68,0.8888888890000001,0.666666667,2,3,12.0,1,0.6,0
5,7,15,18,1,14,1,0.916666667,79,0.892857143,0.666666667,2,3,14.2,1,0.6,0
2,3,19,18,1,18,2,2.0,83,0.875,0.625,1,1,40.5,1,0.5,0
2,1,3,5,0,3,0,1.0,16,0.0,1.0,0,0,6.0,0,0.0,0
5,6,22,26,1,21,1,0.916666667,128,0.884615385,0.666666667,2,3,24.0,1,0.6,0
2,3,27,36,1,26,2,1.0,161,0.875,0.6,1,1,79.0,1,0.5,0
2,3,12,13,0,12,2,2.0,62,0.875,0.583333333,1,1,30.0,1,0.5,0
28,1,120,157,78,45,18,1.003367003,1442,0.0,0.10239651400000001,0,0,50.10714286,21,3.8214,1
2,1,12,14,0,12,0,1.0,61,0.0,1.0,0,0,24.0,0,0.0,0
2,3,12,8,2,10,2,2.0,46,0.875,0.625,1,1,22.0,4,2.0,0
6,5,17,21,1,16,1,0.933333333,75,0.846153846,0.6,2,7,11.0,2,0.8333,0
2,1,107,109,0,107,0,1.0,536,0.0,1.0,0,0,214.0,0,0.0,0
2,3,36,55,4,32,2,2.0,263,0.875,0.625,2,2,129.5,1,0.5,0
2,4,19,19,1,18,2,2.0,65,0.944444444,0.625,1,2,31.5,1,0.5,0
2,3,13,19,1,12,2,2.0,149,0.875,0.666666667,1,1,73.5,19,9.5,0
5,4,27,40,1,26,3,1.0,233,0.9684210529999999,0.375,3,10,44.6,1,0.6,0
7,6,29,30,3,26,2,0.8888888890000001,128,0.8275862070000001,0.7222222220000001,2,3,16.85714286,1,0.7143,0
3,3,8,14,0,8,2,0.75,46,0.947368421,0.666666667,0,0,13.66666667,2,0.6667,0
4,2,11,17,3,8,2,2.0,149,0.8888888890000001,0.583333333,1,4,36.25,11,3.25,0
2,3,17,20,8,9,2,2.0,91,0.875,0.666666667,1,1,44.5,7,3.5,0
2,3,15,17,1,14,2,2.0,61,0.875,0.666666667,1,1,29.5,5,2.5,0
2,3,10,11,0,10,2,2.0,35,0.875,0.666666667,1,1,16.5,3,1.5,0
5,4,16,58,3,13,3,1.0,258,0.9684210529999999,0.4375,3,9,50.0,1,0.6,0
4,4,10,18,1,9,3,1.0,87,0.978723404,0.5555555560000001,3,9,20.0,1,0.5,0
6,4,26,36,2,24,1,1.0,151,0.857142857,0.404761905,1,3,23.66666667,5,1.5,3
4,4,24,46,1,23,3,1.0,226,0.966666667,0.5555555560000001,3,5,54.75,1,0.5,0
5,5,14,19,1,13,1,0.916666667,70,0.88,0.666666667,2,3,12.4,1,0.6,0
4,5,2,9,0,2,2,1.111111111,32,0.9701492540000001,1.0,4,7,6.25,1,0.5,0
2,3,1,3,0,1,1,2.0,7,0.96,1.0,1,1,2.5,1,0.5,0
4,2,5,5,1,4,3,2.0,27,0.842105263,0.583333333,0,0,5.75,1,0.75,0
5,7,24,24,1,23,1,0.916666667,89,0.892857143,0.666666667,2,3,16.2,1,0.6,0
6,4,13,34,4,9,5,0.8666666670000001,218,0.9411764709999999,0.7333333329999999,3,5,34.83333333,1,0.6667,0
4,4,14,24,1,13,3,1.0,111,0.978723404,0.5555555560000001,3,9,26.0,1,0.5,0
2,3,16,11,2,14,2,2.0,46,0.875,0.625,1,1,22.0,6,3.0,0
6,4,24,39,2,22,5,0.933333333,239,0.958333333,0.7333333329999999,3,9,38.33333333,1,0.6667,0
4,1,25,53,0,25,3,0.857142857,298,0.0,0.7777777779999999,0,0,71.75,8,2.75,0
5,5,14,16,1,13,1,0.916666667,64,0.88,0.666666667,2,3,11.2,1,0.6,0
2,3,15,10,1,14,2,2.0,54,0.875,0.625,1,1,26.0,1,0.5,0
119,1,19,120,1,18,119,0.9915254240000001,363,0.0,0.06684492,0,0,2.0252100840000002,1,0.9916,0
6,6,14,19,1,13,1,0.8666666670000001,77,0.851851852,0.7333333329999999,2,3,11.33333333,1,0.6667,0
5,6,13,18,2,11,1,0.95,73,0.884615385,0.666666667,2,3,12.6,1,0.6,0
5,7,10,14,1,9,1,0.916666667,52,0.892857143,0.666666667,2,3,8.8,1,0.6,0
4,4,9,11,1,8,1,1.333333333,33,0.90625,0.4375,2,2,7.0,1,0.75,0
2,3,5,10,0,5,2,2.0,38,0.875,0.666666667,1,1,18.0,3,1.5,0
5,6,13,16,1,12,1,0.916666667,60,0.884615385,0.666666667,2,3,10.4,1,0.6,0
2,1,18,20,0,18,0,1.0,91,0.0,1.0,0,0,36.0,0,0.0,0
2,3,14,14,1,13,2,2.0,54,0.875,0.625,1,1,26.0,2,1.0,0
2,3,17,16,4,13,2,2.0,54,0.875,0.625,1,1,26.0,3,1.5,0
4,4,11,19,1,10,3,1.0,90,0.978723404,0.5555555560000001,3,9,20.75,1,0.5,0
6,6,22,19,9,13,1,0.8666666670000001,72,0.857142857,0.7333333329999999,2,3,10.5,1,0.6667,0
5,4,10,14,1,9,1,1.0,46,0.869565217,0.5,2,4,7.6,1,0.6,0
5,4,19,46,2,17,4,0.916666667,268,0.9684210529999999,0.666666667,3,10,52.0,1,0.6,0
5,4,32,59,2,30,4,0.9375,382,0.9375,0.583333333,3,4,74.6,1,0.6,0
2,3,8,6,1,7,2,2.0,26,0.875,0.625,1,1,12.0,2,1.0,0
5,4,22,34,2,20,4,0.916666667,187,0.9552238809999999,0.666666667,3,6,35.8,1,0.6,0
5,8,23,24,2,21,1,0.916666667,90,0.896551724,0.666666667,2,3,16.4,1,0.6,0
2,3,25,16,3,22,2,2.0,60,0.875,0.625,1,1,29.0,3,1.5,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
5,6,19,20,1,18,1,0.916666667,75,0.884615385,0.666666667,2,3,13.4,1,0.6,0
4,2,555,10,546,9,3,1.0,37,0.666666667,0.666666667,0,0,7.75,1,0.5,0
4,5,11,16,2,9,3,1.0,60,0.9607843140000001,0.5555555560000001,4,8,13.25,1,0.5,0
7,2,16,46,1,15,2,0.833333333,565,0.761904762,0.291666667,1,3,79.57142857,24,4.8571,0
2,3,16,20,2,14,2,2.0,85,0.875,0.625,1,1,41.5,6,3.0,0
2,3,42,29,4,38,2,1.0,204,0.875,0.625,1,1,100.5,8,4.0,0
5,7,15,18,1,14,1,0.916666667,75,0.892857143,0.666666667,2,3,13.4,1,0.6,0
5,4,15,24,5,10,4,1.0,107,0.9684210529999999,0.666666667,3,13,19.8,1,0.6,0
2,3,16,13,4,12,2,2.0,85,0.875,0.583333333,1,1,41.5,1,0.5,0
2,3,6,7,0,6,2,2.0,16,0.961538462,0.666666667,2,4,7.0,1,0.5,0
6,1,60,14,60,0,6,0.4,78,0.0,0.611111111,0,0,11.66666667,2,1.1667,0
2,1,13,15,0,13,0,1.0,66,0.0,1.0,0,0,26.0,0,0.0,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
3,3,15,26,1,14,2,0.5,174,0.875,0.625,1,1,56.66666667,1,0.3333,0
2,1,4,13,0,4,2,2.0,88,0.0,0.75,0,0,43.0,3,1.5,0
2,3,19,15,2,17,2,2.0,62,0.875,0.625,1,1,30.0,1,0.5,0
0,1,0,0,0,0,0,2.0,12,0.0,0.0,0,0,0.0,0,0.0,0
2,3,15,11,2,13,2,2.0,64,0.875,0.625,1,1,31.0,5,2.5,0
2,3,5,4,1,4,2,2.0,12,0.857142857,0.666666667,1,1,5.0,1,0.5,0
4,4,25,40,1,24,3,1.0,162,0.966666667,0.5555555560000001,3,5,38.75,1,0.5,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
0,1,1,0,1,0,0,2.0,9,0.0,0.0,0,0,0.0,0,0.0,0
2,3,13,23,1,12,2,1.0,100,0.96,0.666666667,0,0,48.0,6,3.0,0
3,3,6,16,0,6,2,0.75,99,0.9411764709999999,0.666666667,0,0,31.33333333,4,1.3333,0
2,3,21,22,6,15,2,2.0,85,0.875,0.625,2,2,41.5,7,3.5,0
2,1,2,4,0,2,0,1.0,11,0.0,1.0,0,0,4.0,0,0.0,0
5,8,17,19,1,16,1,0.916666667,86,0.896551724,0.666666667,2,3,15.6,1,0.6,0
5,7,14,18,2,12,1,0.916666667,65,0.8888888890000001,0.666666667,2,3,11.4,1,0.6,0
2,1,5,7,0,5,0,1.0,26,0.0,1.0,0,0,10.0,0,0.0,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
4,4,28,36,1,27,3,1.0,184,0.966666667,0.5555555560000001,3,7,44.25,1,0.5,0
2,3,19,11,3,16,2,2.0,51,0.875,0.625,1,1,24.5,3,1.5,0
6,5,16,18,1,15,2,0.933333333,69,0.846153846,0.44,2,4,10.0,1,0.6667,0
2,3,15,18,1,14,2,1.0,59,0.875,0.625,1,1,28.0,1,0.5,0
2,3,15,12,4,11,2,2.0,58,0.875,0.583333333,1,1,28.0,1,0.5,0
6,6,21,22,4,17,1,0.8666666670000001,85,0.857142857,0.7333333329999999,2,3,12.66666667,1,0.6667,0
4,4,10,26,0,10,2,0.666666667,132,0.925,0.666666667,0,0,31.75,2,1.25,0
2,4,31,24,2,29,2,2.0,163,0.944444444,0.625,1,2,80.5,1,0.5,0
2,1,16,18,0,16,0,1.0,81,0.0,1.0,0,0,32.0,0,0.0,0
2,1,24,26,0,24,0,1.0,121,0.0,1.0,0,0,48.0,0,0.0,0
5,4,8,13,1,7,1,2.0,45,0.8787878790000001,0.55,2,3,8.0,1,0.8,0
2,3,14,10,3,11,2,2.0,44,0.875,0.625,1,1,20.5,2,1.0,0
2,3,25,35,2,23,2,1.0,158,0.875,0.6,2,2,77.5,12,6.0,0
2,3,18,17,2,16,2,2.0,62,0.875,0.625,1,1,30.0,1,0.5,0
4,7,10,13,2,8,1,1.0,43,0.923076923,0.5555555560000001,2,2,9.0,1,0.5,0
2,4,61,26,30,31,2,2.0,261,0.944444444,0.625,2,2,129.5,1,0.5,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
4,4,14,27,1,13,3,1.0,113,0.978723404,0.5555555560000001,3,11,26.5,1,0.5,0
5,8,15,17,2,13,1,0.916666667,58,0.896551724,0.666666667,2,3,10.0,1,0.6,0
2,3,22,14,1,21,2,2.0,49,0.875,0.6,1,1,23.5,3,1.5,0
5,7,13,16,1,12,1,0.916666667,62,0.8888888890000001,0.666666667,2,3,10.8,1,0.6,0
4,4,20,38,1,19,3,1.0,192,0.978723404,0.5555555560000001,3,11,46.25,1,0.5,0
2,3,18,18,3,15,2,2.0,99,0.875,0.625,1,1,48.5,6,3.0,0
1,4,2,2,1,1,1,2.0,4,1.0,1.0,0,0,3.0,0,0.0,0
2,3,11,8,1,10,2,2.0,26,0.875,0.666666667,1,1,12.0,2,1.0,0
2,3,13,9,2,11,2,2.0,59,0.875,0.625,1,1,28.5,4,2.0,0
2,2,6,9,1,5,2,2.0,37,0.9285714290000001,0.666666667,0,0,17.5,1,0.5,0
6,5,18,31,2,16,1,0.8666666670000001,134,0.846153846,0.7333333329999999,3,4,20.83333333,1,0.6667,0
6,6,20,22,3,17,1,0.8666666670000001,85,0.851851852,0.7333333329999999,2,3,12.66666667,1,0.6667,0
2,3,14,9,2,12,2,2.0,34,0.875,0.625,1,1,16.0,2,1.0,0
5,7,19,20,1,18,1,0.916666667,74,0.892857143,0.666666667,2,3,13.2,1,0.6,0
2,1,4,6,0,4,0,1.0,21,0.0,1.0,0,0,8.0,0,0.0,0
5,5,17,17,4,13,1,0.916666667,58,0.88,0.666666667,2,3,10.0,1,0.6,0
5,3,23,36,2,21,5,1.0,235,0.636363636,0.5,2,2,45.8,1,0.8,0
4,5,10,13,1,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
2,1,37,39,0,37,0,1.0,191,0.0,1.0,0,0,76.0,0,0.0,0
5,4,11,16,2,9,1,1.0,48,0.931818182,0.625,1,1,8.2,1,0.6,0
2,2,16,16,1,15,2,2.0,54,0.8,0.666666667,0,0,26.0,1,0.5,0
4,4,25,40,1,24,3,1.0,162,0.966666667,0.5555555560000001,3,5,38.75,1,0.5,0
5,4,11,11,4,7,1,2.0,25,0.8787878790000001,0.55,2,3,4.0,1,0.8,0
2,6,7,3,5,2,1,0.0,12,0.96875,0.666666667,1,1,4.5,1,0.5,0
10,3,36,69,1,35,2,0.9259259259999999,473,0.46666666700000003,0.358024691,1,1,46.0,7,2.9,0
4,2,2,17,0,2,1,0.833333333,68,0.882352941,0.583333333,2,4,15.5,4,1.5,0
7,5,26,29,1,25,1,0.944444444,125,0.807692308,0.611111111,2,5,16.42857143,1,0.7143,0
2,2,17,19,1,16,2,2.0,76,0.8,0.666666667,0,0,37.0,1,0.5,0
50,2,6,51,0,6,50,2.0,151,0.726256983,0.164444444,0,0,2.02,1,0.98,0
6,6,19,22,2,17,1,0.8666666670000001,85,0.851851852,0.7333333329999999,2,3,12.66666667,1,0.6667,0
2,3,19,20,1,18,2,2.0,75,0.875,0.625,2,2,36.5,4,2.0,0
4,4,38,45,1,37,3,1.0,280,0.966666667,0.5555555560000001,4,8,68.25,1,0.5,0
4,5,12,15,3,9,3,1.0,58,0.9607843140000001,0.5555555560000001,4,8,12.75,1,0.5,0
4,4,28,36,1,27,3,1.0,198,0.966666667,0.5555555560000001,3,7,47.75,1,0.5,0
2,1,3,5,0,3,0,1.0,16,0.0,1.0,0,0,6.0,0,0.0,0
0,1,3,0,3,0,0,2.0,86,0.0,0.0,0,0,0.0,0,0.0,0
4,7,11,13,2,9,1,1.0,43,0.923076923,0.5555555560000001,2,2,9.0,1,0.5,0
2,3,22,30,2,20,2,2.0,134,0.875,0.6,2,2,66.0,1,0.5,1
2,1,10,12,0,10,0,1.0,86,0.0,1.0,0,0,34.0,0,0.0,0
3,3,10,11,0,10,2,1.0,67,0.947368421,0.666666667,0,0,20.33333333,3,1.0,0
2,3,15,21,0,15,2,2.0,87,0.875,0.625,2,2,42.5,1,0.5,0
2,2,2,7,0,2,2,2.0,18,0.75,0.75,0,0,8.0,2,1.0,1
5,1,8,16,0,8,5,2.0,104,0.0,0.433333333,0,0,19.8,2,1.0,1
2,3,20,10,5,15,2,2.0,46,0.875,0.625,1,1,22.0,2,1.0,0
16,4,37,90,4,33,6,1.0,963,0.784615385,0.17222222199999998,3,4,58.8125,3,1.125,0
5,1,5,16,0,5,5,2.0,59,0.0,0.6,0,0,10.8,1,0.8,4
6,6,17,21,0,17,1,0.8666666670000001,79,0.851851852,0.7333333329999999,2,3,11.66666667,1,0.6667,0
5,6,16,18,1,15,1,0.916666667,64,0.884615385,0.666666667,2,3,11.2,1,0.6,0
5,2,42,85,0,42,3,0.854166667,736,0.85,0.583333333,0,0,143.8,16,3.6,0
2,3,9,6,1,8,2,2.0,20,0.875,0.625,1,1,9.0,1,0.5,0
4,5,10,13,1,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
3,4,50,74,0,50,2,2.0,752,0.894736842,0.46666666700000003,2,3,249.66666669999998,12,5.6667,0
2,3,6,4,2,4,2,2.0,12,0.875,0.666666667,1,1,5.0,1,0.5,0
2,3,17,15,1,16,2,2.0,71,0.875,0.6,1,1,34.5,6,3.0,0
2,3,14,15,1,13,2,2.0,43,0.875,0.625,1,1,20.5,1,0.5,0
7,1,51,57,26,25,5,1.0,357,0.0,0.30952381,0,0,49.57142857,8,3.1429,0
5,5,7,9,6,1,5,0.625,42,0.962962963,0.65,1,1,7.0,1,0.2,0
2,3,19,23,3,16,2,2.0,82,0.875,0.625,1,1,40.0,6,3.0,0
5,6,14,17,1,13,1,0.916666667,60,0.884615385,0.666666667,2,3,10.4,1,0.6,0
5,5,16,17,2,14,1,0.916666667,61,0.88,0.666666667,2,3,10.6,1,0.6,0
2,2,9,18,1,8,2,2.0,90,0.9375,0.666666667,1,1,44.0,3,1.5,0
2,3,7,7,0,7,2,2.0,19,0.947368421,0.666666667,0,0,8.5,1,0.5,0
2,1,6,8,0,6,0,1.0,31,0.0,1.0,0,0,12.0,0,0.0,0
2,1,5,7,0,5,0,1.0,26,0.0,1.0,0,0,10.0,0,0.0,0
2,3,17,23,1,16,2,2.0,99,0.875,0.625,1,1,48.5,1,0.5,0
3,4,35,26,7,28,2,2.0,247,0.894736842,0.571428571,1,1,81.33333333,1,0.6667,0
6,6,22,22,5,17,1,0.8666666670000001,85,0.851851852,0.7333333329999999,2,3,12.66666667,1,0.6667,0
5,5,20,17,7,13,1,0.916666667,58,0.88,0.666666667,2,3,10.0,1,0.6,0
5,4,15,18,3,12,4,1.0,70,0.94,0.5,3,6,12.4,1,0.6,0
2,4,27,25,1,26,2,2.0,132,0.944444444,0.625,2,2,65.0,1,0.5,0
8,1,5,26,2,3,3,0.571428571,208,0.0,0.28571428600000004,0,0,24.25,3,1.125,0
5,4,18,42,2,16,4,1.0,186,0.9684210529999999,0.666666667,3,8,35.6,1,0.6,0
2,3,21,23,1,20,2,1.0,101,0.875,0.625,1,1,49.0,1,0.5,0
4,5,11,13,2,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
2,4,16,19,1,15,2,2.0,125,0.944444444,0.625,1,1,61.5,1,0.5,0
5,6,17,19,1,16,1,0.916666667,71,0.884615385,0.666666667,2,3,12.6,1,0.6,0
2,2,16,28,1,15,2,2.0,97,0.8,0.666666667,0,0,47.5,1,0.5,0
4,5,11,13,2,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
4,4,18,27,1,17,3,1.0,116,0.978723404,0.5555555560000001,3,9,27.25,1,0.5,0
4,4,10,18,1,9,3,1.0,73,0.96969697,0.5555555560000001,3,6,16.5,1,0.5,0
2,3,10,8,3,7,2,2.0,30,0.875,0.666666667,1,1,14.0,2,1.0,0
5,6,10,16,1,9,1,0.916666667,62,0.884615385,0.666666667,2,3,10.8,1,0.6,0
7,4,26,32,8,18,4,0.8888888890000001,206,0.921875,0.541666667,3,5,28.0,1,0.7143,0
6,6,14,19,1,13,1,0.8666666670000001,73,0.851851852,0.7333333329999999,2,3,10.66666667,1,0.6667,0
4,5,13,13,4,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
2,3,13,14,1,12,2,2.0,55,0.875,0.625,1,1,26.5,4,2.0,0
5,4,29,43,1,28,3,1.0,232,0.9684210529999999,0.4375,3,9,44.8,1,0.6,0
2,4,120,9,108,12,2,2.0,107,0.944444444,0.625,1,1,49.5,3,1.5,0
6,4,15,27,3,12,4,1.0,131,0.958333333,0.5,3,9,20.33333333,1,0.6667,0
3,5,8,6,1,7,2,2.0,19,0.923076923,0.5555555560000001,1,2,5.333333333,1,0.6667,0
6,6,23,22,6,17,1,0.8666666670000001,85,0.851851852,0.7333333329999999,2,3,12.66666667,1,0.6667,0
2,1,15,17,0,15,0,1.0,76,0.0,1.0,0,0,30.0,0,0.0,0
3,3,20,18,1,19,2,2.0,108,0.7777777779999999,0.444444444,1,1,35.0,3,1.3333,0
2,3,6,4,0,6,2,2.0,10,0.9,0.625,1,1,4.0,1,0.5,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
6,1,27,6,22,5,6,2.0,6,0.0,0.5,0,0,0.0,1,1.0,0
5,1,0,7,0,0,5,0.5,34,0.0,0.7,0,0,5.4,1,0.8,0
2,4,32,19,17,15,2,2.0,69,0.944444444,0.625,1,1,33.5,1,0.5,0
2,3,10,13,3,7,2,2.0,48,0.875,0.666666667,1,1,23.0,4,2.0,0
2,3,19,18,1,18,2,2.0,66,0.875,0.6,1,1,32.0,1,0.5,0
6,6,19,22,2,17,1,0.8666666670000001,98,0.851851852,0.7333333329999999,2,3,14.83333333,1,0.6667,0
2,3,14,18,2,12,2,2.0,70,0.875,0.625,1,1,34.0,6,3.0,0
6,5,19,22,2,17,1,0.8666666670000001,85,0.846153846,0.7333333329999999,2,3,12.66666667,1,0.6667,0
5,5,14,17,1,13,1,0.916666667,60,0.88,0.666666667,2,3,10.4,1,0.6,0
4,6,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
5,7,23,25,1,22,1,0.916666667,96,0.892857143,0.666666667,2,3,17.6,1,0.6,0
2,3,5,7,0,5,2,2.0,25,0.857142857,0.666666667,0,0,11.5,2,1.0,0
2,3,28,32,1,27,2,2.0,167,0.875,0.625,1,1,82.5,1,0.5,0
6,2,2,15,0,2,5,0.8,122,0.80952381,0.6,1,2,19.16666667,4,1.1667,0
2,1,27,29,0,27,0,1.0,136,0.0,1.0,0,0,54.0,0,0.0,0
2,1,13,15,0,13,0,1.0,66,0.0,1.0,0,0,26.0,0,0.0,0
2,3,20,31,4,16,2,2.0,315,0.875,0.583333333,2,2,156.5,1,0.5,0
2,3,13,20,1,12,2,1.0,86,0.875,0.666666667,2,2,41.0,6,3.0,0
2,1,17,19,0,17,0,1.0,86,0.0,1.0,0,0,34.0,0,0.0,0
2,3,17,15,3,14,2,2.0,56,0.875,0.625,1,1,27.0,4,2.0,0
