wmc,cbo,rfc,lcom,ce,npm,lcom3,loc,dam,moa,cam,amc,bug
14,6,38,0,6,11,0.384615385,318,1.0,0,0.171428571,21.57142857,1
4,7,38,0,5,0,0.8888888890000001,224,0.5,3,0.375,53.5,2
8,5,17,0,5,4,0.523809524,108,1.0,1,0.3,12.125,4
9,7,14,8,2,6,0.5,103,1.0,2,0.40740740700000005,10.22222222,0
8,19,8,28,2,8,2.0,8,0.0,0,0.3,0.0,0
40,29,123,576,26,19,0.8838612370000001,1200,0.470588235,8,0.136752137,28.575,11
16,15,55,98,14,4,0.833333333,498,0.75,2,0.296296296,29.875,2
4,2,13,0,2,4,0.166666667,57,1.0,1,0.5625,12.75,1
22,20,60,79,12,19,0.7428571429999999,439,1.0,0,0.11904761900000001,18.72727273,4
5,8,6,0,0,0,0.125,100,0.0,0,0.55,18.2,0
12,58,21,0,0,9,0.13636363599999998,128,0.0,0,0.291666667,9.5,1
7,8,18,9,6,6,0.5,89,1.0,1,0.265306122,11.57142857,1
12,12,29,0,12,12,0.0,113,1.0,1,0.21969697,8.333333332999999,2
24,9,49,0,9,19,0.0,142,1.0,1,0.21875,4.875,4
10,9,27,15,9,4,0.333333333,382,1.0,0,0.3375,37.1,1
3,5,9,3,3,0,2.0,47,0.0,0,0.5555555560000001,14.66666667,0
2,15,7,1,0,2,2.0,21,0.0,0,0.5,9.5,0
1,19,2,0,0,1,2.0,12,0.0,0,1.0,9.0,0
2,3,6,0,3,2,0.0,41,0.0,0,0.666666667,18.5,0
14,19,32,1,17,13,0.346153846,157,0.5,1,0.202380952,10.07142857,2
5,3,18,0,1,4,0.55,387,0.4,1,0.4,75.4,0
6,40,6,15,4,6,2.0,6,0.0,0,0.41666666700000005,0.0,0
9,33,11,34,3,7,0.875,47,1.0,1,0.41666666700000005,4.1111111110000005,0
57,80,108,1504,16,43,0.867346939,724,1.0,3,0.115288221,11.57894737,11
7,6,13,0,5,6,0.5,197,0.5,0,0.333333333,26.85714286,0
9,8,36,8,7,0,0.625,648,1.0,4,0.24691358,70.22222222,2
22,5,38,153,4,7,0.848484848,3709,0.12121212099999999,1,0.380952381,166.0909091,1
6,2,14,0,1,5,0.0,49,0.0,0,0.333333333,7.0,0
3,3,16,3,3,3,2.0,178,0.0,0,0.444444444,58.33333333,1
15,9,22,0,1,14,0.8520408159999999,297,0.28571428600000004,3,0.380952381,17.86666667,0
3,5,6,3,4,2,2.0,16,0.0,0,0.5,4.333333333,0
14,2,25,3,1,13,0.602564103,237,0.0,0,0.404761905,15.5,0
6,5,20,5,4,5,0.825,247,0.0,1,0.333333333,38.83333333,0
14,12,22,61,1,13,0.692307692,175,0.0,3,0.320512821,11.28571429,0
7,3,10,21,1,7,2.0,54,0.0,0,0.5,6.714285714,0
10,5,24,0,5,10,0.444444444,313,1.0,0,0.3,29.8,0
2,7,4,0,1,1,0.0,13,1.0,1,0.75,5.0,0
2,5,4,1,2,0,2.0,37,0.0,0,0.666666667,17.5,1
2,5,10,1,5,2,1.0,48,1.0,0,0.75,22.5,0
1,2,2,0,1,0,2.0,18,0.0,3,1.0,12.0,0
11,33,19,41,0,10,0.6333333329999999,186,1.0,0,0.30909090899999997,15.63636364,2
5,7,14,0,4,0,0.75,108,0.333333333,4,0.4,19.4,0
12,11,23,16,10,8,0.670454545,420,0.875,4,0.197916667,32.66666667,2
14,10,38,43,7,14,0.75,246,1.0,2,0.595238095,16.28571429,1
15,9,43,0,7,11,0.589285714,302,1.0,0,0.19166666699999999,18.86666667,0
22,6,52,95,6,7,0.7489177490000001,563,1.0,5,0.194805195,24.09090909,1
11,12,28,19,11,5,0.64,338,1.0,6,0.324675325,28.81818182,1
3,4,4,3,0,3,1.4375,23,0.0,2,0.5,4.0,0
10,6,27,0,6,9,0.111111111,116,1.0,1,0.214285714,10.5,1
2,2,5,1,0,1,2.0,36,0.0,0,0.5,17.0,0
5,3,8,2,2,5,0.666666667,93,1.0,1,0.36,17.0,2
23,34,28,247,13,22,0.9090909090000001,131,1.0,1,0.273913043,4.652173913,1
3,13,4,3,1,3,2.0,8,0.0,0,0.666666667,1.6666666669999999,0
10,6,34,1,4,8,0.46031746,288,1.0,1,0.5,27.1,1
11,4,25,0,3,6,0.52,241,1.0,1,0.242857143,20.45454545,0
9,3,11,8,1,8,0.5,175,0.75,0,0.333333333,18.0,2
9,7,10,2,0,8,0.666666667,83,0.666666667,1,0.5,7.8888888889999995,0
23,9,34,93,3,22,0.704545455,726,1.0,0,0.19806763300000002,30.04347826,1
2,3,4,1,3,2,2.0,10,0.0,0,0.666666667,4.0,0
26,13,80,53,8,18,0.854545455,938,0.818181818,0,0.29600000000000004,34.65384615,14
10,7,18,0,2,10,0.333333333,107,1.0,2,0.375,9.5,1
