wmc,cbo,rfc,lcom,ce,npm,loc,dam,moa,cam,max_cc,avg_cc,bug
5,5,15,0,1,4,137,1.0,0,0.9,4,1.8,0
1,1,3,0,0,1,6,0.0,0,1.0,0,0.0,0
3,7,14,3,6,1,88,0.0,0,0.444444444,1,0.6667,1
5,2,7,4,0,0,39,1.0,0,0.7,1,0.6,0
16,13,74,50,13,12,635,1.0,1,0.288888889,9,2.6875,0
5,9,24,10,9,3,137,0.0,0,0.4,6,2.8,0
8,80,19,18,1,6,99,0.75,1,0.39285714299999996,3,0.625,0
14,10,44,0,10,14,199,1.0,1,0.255102041,2,1.4286,0
1,6,2,0,0,1,5,0.0,0,1.0,0,0.0,0
2,9,24,1,8,2,147,0.0,0,1.0,1,0.5,0
0,4,0,0,2,0,0,0.0,0,0.0,0,0.0,0
5,1,9,10,0,3,81,1.0,0,0.44,5,2.0,0
30,19,93,317,19,23,949,1.0,5,0.23809523800000001,3,1.1,3
17,8,74,14,5,16,599,0.28571428600000004,1,0.163398693,8,1.5294,1
3,9,11,3,4,3,76,0.0,0,0.666666667,4,1.6667,0
2,3,8,1,3,2,33,0.0,0,1.0,1,0.5,0
24,23,24,276,20,24,24,0.0,0,0.089285714,1,1.0,0
8,4,18,10,4,6,172,1.0,0,0.75,4,1.75,0
6,5,24,1,5,6,137,1.0,0,0.41666666700000005,1,0.8333,0
19,18,40,23,16,19,386,1.0,1,0.119298246,11,1.7368,0
4,3,7,0,2,4,161,1.0,0,0.75,1,0.5,0
5,1,19,0,0,3,108,1.0,0,0.533333333,3,1.4,0
7,7,38,0,7,7,262,1.0,0,0.342857143,1,0.8571,0
9,0,16,34,0,8,60,1.0,0,0.666666667,2,1.0,0
3,2,8,0,0,3,28,1.0,0,0.666666667,1,0.3333,0
7,9,50,21,9,1,686,0.0,0,0.7142857140000001,21,5.4286,0
3,2,3,3,0,3,4,0.0,0,0.666666667,1,1.0,0
8,4,15,6,0,7,286,1.0,0,0.541666667,13,2.375,0
1,3,1,0,1,1,1,0.0,0,1.0,1,1.0,0
3,8,22,3,7,2,152,0.0,0,0.5,1,0.6667,0
9,7,50,14,5,8,348,1.0,1,0.481481481,8,3.4444,0
7,9,26,0,4,7,263,0.0,0,0.342857143,8,3.0,0
12,5,60,16,5,8,720,0.538461538,1,0.305555556,3,1.0833,0
9,4,18,14,1,4,88,1.0,0,0.518518519,1,0.8889,0
48,22,151,498,22,38,1000,1.0,4,0.12222222199999999,2,1.125,3
4,5,16,0,5,4,95,1.0,0,0.75,1,0.75,0
21,2,35,38,0,17,617,0.818181818,0,0.293650794,3,0.8571,1
12,6,34,4,4,6,367,1.0,0,0.3125,1,0.8333,0
4,5,10,2,5,4,48,1.0,0,0.5,1,0.75,0
8,4,39,22,3,6,377,0.5,0,0.166666667,3,1.25,0
10,14,61,19,13,8,543,1.0,0,0.26666666699999997,5,1.4,2
28,23,45,348,23,28,204,1.0,0,0.079192547,4,1.2143,0
4,3,13,6,0,4,86,0.0,0,0.333333333,8,3.5,0
6,11,6,15,1,6,10,0.0,0,0.7222222220000001,1,1.0,0
32,4,40,330,2,2,2011,0.7777777779999999,1,0.20625,26,4.0938,0
37,51,146,654,8,33,2046,0.7777777779999999,0,0.283333333,29,2.8108,8
1,2,1,0,2,1,1,0.0,0,1.0,1,1.0,0
10,3,13,31,2,10,76,1.0,1,0.375,2,1.1,0
28,26,89,246,14,16,817,1.0,0,0.24107142899999998,16,2.4286,4
11,6,26,0,2,11,181,1.0,0,0.409090909,1,0.7273,0
5,4,19,4,3,4,107,1.0,0,0.7,1,0.6,0
10,6,44,21,6,7,367,1.0,0,0.45,2,1.1,0
10,7,26,29,5,6,162,1.0,0,0.5,4,1.2,0
20,11,71,124,6,15,698,0.625,0,0.3,6,2.0,3
3,9,9,3,4,2,23,0.0,0,0.666666667,2,0.6667,0
38,31,169,453,28,22,2236,1.0,2,0.144144144,5,1.2632,6
8,3,38,6,3,8,233,1.0,0,0.375,6,1.75,1
2,3,7,1,3,2,23,0.0,0,1.0,1,0.5,0
6,6,26,3,6,4,134,1.0,0,0.5,2,1.0,0
0,1,0,0,0,0,24,0.0,0,0.0,0,0.0,1
5,5,7,6,0,5,32,1.0,0,0.7,1,0.8,0
7,3,22,0,1,6,112,1.0,0,0.47619047600000003,4,1.4286,0
5,3,20,4,2,4,168,0.666666667,0,0.46666666700000003,1,0.6,1
36,19,106,272,15,26,712,1.0,3,0.175,12,1.3889,0
2,4,2,1,2,2,2,0.0,0,0.75,1,1.0,0
1,5,1,0,1,1,1,0.0,0,1.0,1,1.0,0
8,10,39,0,10,6,330,1.0,1,0.325,1,0.875,1
2,5,30,0,5,0,189,1.0,2,0.6,10,5.0,0
4,3,18,4,3,3,152,1.0,0,0.75,1,0.75,0
31,8,77,317,3,22,615,0.916666667,0,0.14,5,1.5161,2
10,7,57,19,7,9,518,0.875,0,0.34,2,1.0,2
8,11,33,0,5,6,181,1.0,0,0.3125,5,2.0,0
35,14,90,519,10,25,815,1.0,3,0.171428571,7,1.4,0
14,8,19,45,0,14,138,1.0,0,0.37142857100000004,3,0.9286,0
4,8,26,0,8,3,125,1.0,1,0.4,5,1.75,2
7,9,36,1,9,7,250,1.0,2,0.28571428600000004,1,0.8571,1
15,3,37,41,2,14,437,0.75,1,0.311111111,1,0.8,2
1,5,1,0,1,1,1,0.0,0,1.0,1,1.0,0
15,8,71,55,5,9,616,1.0,0,0.219047619,3,0.8667,2
2,6,11,1,5,2,41,0.0,0,1.0,1,0.5,0
6,6,18,5,6,5,95,1.0,0,0.5,1,0.8333,0
4,5,4,6,1,4,4,0.0,0,0.5,1,1.0,0
9,9,34,10,9,7,214,1.0,0,0.3125,6,1.4444,1
7,7,23,0,7,7,145,1.0,0,0.342857143,5,1.4286,0
5,13,5,10,0,5,5,0.0,0,0.533333333,1,1.0,0
19,8,52,119,8,9,523,0.9285714290000001,2,0.169590643,7,1.4737,1
1,13,1,0,1,1,1,0.0,0,1.0,1,1.0,0
7,5,17,0,4,5,107,1.0,0,0.47619047600000003,5,1.2857,0
3,7,9,0,2,3,47,1.0,0,0.666666667,1,0.6667,1
6,10,33,0,10,6,511,1.0,0,0.5555555560000001,1,0.8333,1
10,17,36,3,12,10,253,1.0,2,0.26666666699999997,7,2.3,0
2,3,2,1,0,2,2,0.0,0,0.75,1,1.0,0
20,14,69,130,13,16,819,1.0,4,0.25,25,3.05,3
2,7,9,1,4,2,31,0.0,0,0.666666667,1,0.5,0
8,1,14,28,0,8,271,0.0,0,0.45,7,2.75,0
23,14,113,173,14,5,1964,0.894736842,0,0.144628099,50,4.3913,0
1,8,1,0,2,1,3,0.0,0,1.0,1,1.0,0
9,3,19,8,1,9,119,1.0,0,0.518518519,3,1.4444,0
4,3,17,4,3,3,99,1.0,0,0.75,2,1.0,0
6,1,12,0,0,6,62,1.0,0,0.45833333299999995,1,0.8333,0
3,23,3,3,0,3,3,0.0,0,1.0,1,1.0,0
4,4,15,0,3,4,109,1.0,0,0.5,1,0.75,0
11,11,38,0,11,11,250,1.0,1,0.454545455,2,1.4545,0
18,12,84,83,12,11,1202,1.0,1,0.181818182,8,1.9444,1
5,1,11,6,0,5,153,1.0,0,0.5,5,1.4,1
6,11,23,1,7,5,95,0.666666667,2,0.6,3,1.3333,0
85,35,227,2766,35,78,2412,0.96969697,10,0.13690476199999999,13,1.6706,6
1,1,2,0,1,1,4,0.0,0,1.0,0,0.0,0
6,5,6,15,1,6,6,0.0,0,0.444444444,1,1.0,0
3,1,5,3,0,3,24,0.0,0,0.666666667,4,1.6667,0
3,6,6,1,1,3,25,1.0,0,0.833333333,3,1.3333,0
3,7,14,3,2,3,52,0.0,0,0.5555555560000001,3,1.6667,0
5,5,19,0,5,5,100,1.0,0,0.533333333,1,0.8,0
4,7,22,6,5,2,121,0.0,0,0.75,4,1.5,0
4,4,13,0,3,4,60,1.0,1,0.75,1,0.75,0
7,5,53,19,5,1,404,0.5,1,0.485714286,12,2.4286,1
2,1,6,1,1,1,20,0.0,0,0.75,1,0.5,0
1,2,1,0,1,1,1,0.0,0,1.0,1,1.0,0
20,4,42,130,4,18,376,1.0,1,0.284210526,3,1.15,0
4,6,17,0,4,4,70,0.5,0,0.583333333,3,1.5,0
20,11,91,108,10,15,962,1.0,0,0.2125,3,1.1,2
7,3,25,0,2,7,211,1.0,0,0.47619047600000003,5,2.0,1
13,5,32,70,2,9,158,1.0,1,0.083333333,2,0.9231,0
35,6,73,353,2,34,790,0.7894736840000001,0,0.16,4,1.2,0
1,0,2,0,0,1,6,0.0,0,1.0,0,0.0,0
15,16,78,69,16,10,502,1.0,0,0.233333333,6,1.4,2
5,11,23,10,10,4,130,0.0,0,0.5,1,0.8,0
33,6,44,322,4,5,4238,0.780487805,1,0.257575758,32,5.6061,0
30,34,111,363,22,22,1004,0.7894736840000001,6,0.108374384,11,1.9333,3
11,3,36,51,0,8,314,0.6,0,0.22,4,1.3636,0
8,6,26,0,5,5,173,1.0,0,0.375,4,1.125,0
23,32,57,147,6,19,441,1.0,1,0.313043478,8,1.8696,2
25,32,38,0,27,25,189,1.0,0,0.08,1,0.96,0
4,6,5,6,1,4,16,0.0,0,0.875,1,0.75,0
11,12,38,1,7,11,394,0.5,0,0.21590909100000003,8,2.7273,0
11,11,54,17,10,11,437,1.0,4,0.191919192,7,1.5455,2
3,0,7,0,0,3,19,1.0,0,0.666666667,1,0.6667,0
10,2,20,21,2,9,132,1.0,0,0.4,1,0.9,0
30,138,52,361,7,20,318,1.0,4,0.195833333,4,1.2,1
3,5,12,3,4,1,40,0.0,0,0.666666667,1,0.6667,0
9,5,28,12,5,8,217,1.0,0,0.481481481,1,0.7778,0
4,10,26,6,9,2,195,0.0,0,0.5,10,3.0,0
3,1,18,0,1,1,258,1.0,0,0.5,12,5.6667,0
6,14,24,15,0,5,116,0.0,0,0.3,2,1.0,0
28,6,80,272,6,12,777,1.0,1,0.290123457,27,2.5357,2
8,11,30,0,6,8,299,0.428571429,0,0.35,11,3.125,0
2,7,22,1,5,2,222,0.0,0,0.5,12,6.0,2
7,5,22,0,4,5,150,1.0,0,0.47619047600000003,4,1.1429,0
2,7,13,1,6,2,66,1.0,0,1.0,1,0.5,0
10,6,25,0,5,6,251,1.0,1,0.375,5,1.6,0
21,23,98,112,15,4,951,1.0,9,0.242857143,30,4.0476,1
4,4,16,0,4,4,59,1.0,0,0.875,5,1.75,0
3,4,6,0,3,3,34,1.0,0,0.666666667,2,1.0,0
4,14,7,4,3,3,22,1.0,1,0.5,1,0.5,0
4,6,15,0,2,4,83,1.0,0,0.4375,5,2.0,0
15,8,49,33,8,9,463,1.0,1,0.25,7,1.9333,3
18,21,71,43,16,17,661,1.0,5,0.177777778,17,3.0,3
4,6,13,6,5,3,83,0.0,0,0.5,1,0.75,0
7,7,8,0,0,7,89,1.0,0,0.428571429,4,1.0,0
1,20,1,0,1,1,1,0.0,0,1.0,1,1.0,0
2,4,4,0,3,1,16,1.0,1,0.666666667,1,0.5,0
9,5,24,26,3,5,169,1.0,0,0.444444444,1,0.8889,0
11,16,42,17,9,10,291,1.0,2,0.287878788,3,1.9091,1
4,12,5,0,4,3,18,1.0,1,0.4375,1,0.75,0
8,10,31,18,10,4,149,1.0,1,0.35714285700000004,2,0.875,0
2,2,8,1,2,1,37,0.0,0,0.5,1,0.5,0
7,5,18,0,4,5,126,1.0,0,0.47619047600000003,5,1.2857,0
7,10,69,15,10,2,453,1.0,0,0.367346939,14,2.8571,0
28,18,94,220,18,18,769,1.0,3,0.11904761900000001,22,2.7143,0
11,12,15,13,4,11,97,1.0,3,0.22077922100000003,1,0.7273,0
23,15,99,165,13,10,1007,1.0,6,0.158385093,5,1.3913,3
41,28,98,0,28,38,890,1.0,0,0.08059384900000001,16,1.6341,3
2,6,14,1,5,2,45,0.0,0,1.0,1,0.5,2
8,6,28,8,6,7,221,1.0,1,0.5,6,1.75,0
3,7,40,3,5,1,237,0.0,0,0.5555555560000001,8,3.0,0
15,243,27,0,1,15,157,1.0,1,0.322222222,2,0.6667,0
6,3,30,0,3,5,1270,1.0,0,0.5555555560000001,2,1.0,0
5,128,8,4,1,5,37,1.0,1,0.45,3,1.2,1
2,4,13,1,4,1,56,0.0,0,1.0,4,2.0,0
20,20,25,0,18,18,122,1.0,0,0.10277777800000001,1,0.95,0
13,7,39,0,6,7,424,1.0,0,0.292307692,9,1.4615,1
5,4,20,0,4,4,145,1.0,1,0.9,5,2.2,0
6,3,11,1,2,6,74,1.0,0,0.5555555560000001,1,0.8333,0
9,10,18,8,1,6,160,1.0,1,0.37777777799999995,1,0.8889,0
7,6,18,1,6,7,139,1.0,0,0.428571429,1,0.8571,0
12,11,27,0,9,11,90,1.0,1,0.333333333,3,1.0833,0
7,3,8,0,0,7,147,1.0,0,0.342857143,4,1.0,0
4,6,4,6,4,4,4,0.0,0,0.625,1,1.0,0
1,19,1,0,0,1,1,0.0,0,1.0,1,1.0,0
4,4,13,0,3,4,89,1.0,0,0.5,1,0.75,0
18,8,20,129,5,17,134,1.0,3,0.229166667,1,0.9444,0
11,14,39,19,13,9,332,1.0,1,0.327272727,21,3.0,0
11,17,26,31,2,7,362,0.615384615,1,0.3,5,2.1818,3
2,1,3,1,0,2,7,0.0,0,0.75,1,0.5,0
7,10,23,3,8,6,139,1.0,2,0.428571429,4,1.7143,0
100,202,247,4576,23,87,2015,0.588235294,4,0.090869565,7,1.4,5
16,6,36,58,5,13,366,1.0,0,0.2421875,5,1.75,2
75,27,121,2541,18,68,918,1.0,6,0.20571428600000002,8,1.4667,3
6,8,32,9,8,4,194,1.0,1,0.35,10,2.1667,1
12,17,87,20,17,9,687,0.25,2,0.260416667,2,1.0,1
7,1,11,7,0,7,105,0.0,0,0.7142857140000001,7,1.4286,0
21,13,52,90,11,15,522,1.0,1,0.226190476,14,1.7619,3
3,5,19,1,5,2,89,1.0,0,0.5,1,0.3333,0
6,5,15,1,5,6,75,1.0,0,0.5555555560000001,1,0.8333,1
6,18,8,3,3,6,39,1.0,0,0.5,3,1.3333,0
3,6,14,3,2,3,52,0.0,0,0.5555555560000001,3,1.6667,0
3,2,5,0,1,3,34,1.0,1,0.5,1,0.6667,0
22,12,68,133,6,16,677,1.0,0,0.26623376600000004,9,2.9545,3
5,13,28,10,12,1,225,0.5,0,0.333333333,2,1.0,1
26,9,56,225,8,20,537,1.0,2,0.24,7,1.1923,1
4,13,18,0,7,4,137,1.0,2,0.5,3,1.5,1
8,59,14,20,1,7,87,1.0,0,0.6875,5,1.5,0
1,2,1,0,0,0,2064,0.0,0,0.0,0,0.0,0
15,24,29,59,4,5,169,1.0,1,0.20952381,3,1.2667,0
4,11,19,2,11,4,102,1.0,1,0.5,4,2.0,0
11,8,27,55,7,9,218,0.5,0,0.284090909,8,1.9091,1
12,4,37,0,1,1,340,1.0,0,0.818181818,3,1.6667,0
3,0,4,3,0,3,20,0.0,0,0.5,2,1.0,0
7,7,32,9,7,5,128,0.5,1,0.5,2,0.8571,0
10,20,21,23,2,5,151,1.0,1,0.228571429,1,0.8,0
25,8,99,112,3,15,1445,0.923076923,8,0.213541667,2,1.0,1
48,25,109,964,20,44,819,0.9523809520000001,4,0.15416666699999998,7,1.375,0
3,1,10,0,1,1,67,1.0,1,0.666666667,1,0.6667,0
41,17,105,700,15,32,988,0.956521739,2,0.19512195100000002,10,1.6341,0
2,5,2,1,0,2,2,0.0,0,0.75,1,1.0,0
20,11,45,112,4,16,543,0.857142857,0,0.316666667,11,3.0,0
22,9,90,129,9,16,826,1.0,3,0.318181818,6,1.2727,1
8,1,42,24,0,7,485,1.0,0,0.346938776,11,4.0,0
5,6,12,10,3,3,86,0.0,0,0.533333333,1,0.8,0
7,8,25,0,8,7,141,1.0,0,0.857142857,1,0.8571,0
6,14,29,0,9,6,224,0.75,2,0.41666666700000005,8,2.6667,0
13,14,23,68,2,12,357,1.0,0,0.708333333,44,4.0769,0
10,9,31,15,7,10,166,1.0,1,0.3,3,1.4,0
3,7,19,3,6,2,93,0.0,0,0.5,1,0.6667,0
26,10,47,241,3,26,279,1.0,3,0.153846154,3,1.3077,1
0,1,0,0,0,0,7,0.0,0,0.0,0,0.0,0
34,21,132,283,16,23,1255,0.7857142859999999,3,0.19607843100000003,10,2.5882,2
2,1,5,1,1,2,10,0.0,0,0.75,1,0.5,0
16,13,48,58,13,12,485,1.0,2,0.25,4,1.5,0
10,1,22,29,0,9,117,1.0,0,0.333333333,1,0.6,0
49,24,126,926,8,31,1512,0.7,1,0.16346153800000002,12,1.9796,10
2,4,2,1,1,2,2,0.0,0,1.0,1,1.0,0
5,3,13,8,2,3,91,0.5,0,0.26666666699999997,4,1.6,1
17,6,42,134,1,14,936,1.0,1,0.208333333,47,6.8824,0
8,11,28,0,6,8,366,0.571428571,0,0.25,19,5.375,0
21,19,66,112,8,19,502,1.0,1,0.18095238100000002,12,2.0,1
6,3,18,0,3,6,128,1.0,0,0.5555555560000001,1,0.8333,0
9,7,61,28,7,3,749,0.6,0,0.28571428600000004,7,2.2222,1
8,6,21,28,3,6,70,0.0,0,0.175,3,1.25,0
