rfc,ce,lcom3,dam,moa,amc,bug
5,1,2.0,0.0,0,4.5,0
3,0,2.0,0.0,0,0.0,0
8,3,2.0,0.0,0,6.666666667,0
35,14,0.566666667,0.8,3,31.0,5
6,2,2.0,0.0,0,3.0,1
19,7,2.0,0.0,0,15.8,0
25,1,0.436363636,1.0,0,16.75,1
41,41,2.0,0.0,0,0.0,0
5,0,2.0,0.0,0,0.0,0
6,3,2.0,0.0,0,4.666666667,0
7,1,0.666666667,1.0,0,7.25,1
25,5,0.4,1.0,1,12.5,1
33,10,1.057142857,0.0,0,18.125,5
7,3,0.6875,1.0,0,7.2,1
20,9,2.0,0.0,0,33.5,1
16,5,1.333333333,0.0,0,19.5,3
78,5,0.8787878790000001,0.727272727,3,19.76,0
16,0,0.444444444,1.0,0,17.5,0
10,4,2.0,0.0,0,5.4,0
10,2,2.0,0.0,0,0.0,2
36,3,0.764705882,0.0,1,15.5,0
89,22,0.826530612,0.857142857,1,49.8,0
30,12,0.4,1.0,1,46.8,7
0,4,2.0,0.0,0,0.0,0
6,3,2.0,0.0,0,4.666666667,0
13,7,0.75,1.0,0,7.0,0
25,4,0.4,1.0,1,21.0,2
24,7,2.0,0.0,0,0.0,2
3,4,1.5,0.0,0,0.0,0
13,2,0.4,1.0,0,7.166666667,2
12,6,2.0,0.0,0,15.75,1
10,6,2.0,0.0,0,6.8,0
3,3,2.0,0.0,0,0.0,1
8,1,0.5,1.0,0,13.66666667,0
23,6,0.25,1.0,1,22.4,2
21,5,2.0,0.0,0,33.0,3
5,2,2.0,0.0,0,0.0,2
8,3,0.0,1.0,0,15.0,2
4,2,2.0,0.0,0,4.0,0
52,0,0.826666667,0.533333333,0,51.4375,1
52,44,0.011904762,1.0,0,6.860465116,1
1,1,2.0,0.0,0,0.0,1
22,7,2.0,0.0,0,38.25,1
40,11,0.663636364,1.0,3,50.72727273,2
3,1,2.0,0.0,0,0.0,1
4,0,2.0,0.0,0,0.0,0
6,1,0.625,1.0,1,4.6,1
27,3,0.473684211,1.0,1,5.4,1
26,9,2.0,0.0,0,39.8,2
40,3,0.962962963,1.0,0,45.7,0
17,5,0.333333333,0.0,2,20.75,2
12,5,0.875,0.75,1,18.0,2
1,0,2.0,0.0,0,0.0,1
11,4,0.875,0.5,0,6.0,0
3,0,2.0,0.0,0,0.0,0
6,3,2.0,0.0,0,4.666666667,0
50,16,0.811688312,1.0,1,30.73333333,8
6,3,2.0,0.0,0,4.666666667,0
27,10,0.69047619,0.833333333,0,22.93333333,2
15,3,0.80952381,1.0,0,10.0,2
1,1,2.0,0.0,0,0.0,1
28,2,0.0,1.0,1,5.857142857,4
31,4,1.083333333,0.333333333,2,28.8,3
8,7,2.0,0.0,0,4.75,1
74,0,0.956521739,1.0,0,29.41666667,1
10,8,2.0,0.0,0,8.25,0
11,8,2.0,0.0,0,5.4,0
17,3,2.0,0.0,0,54.0,3
30,11,2.0,0.0,0,67.0,3
4,1,1.333333333,0.0,0,0.0,1
32,8,2.0,0.0,0,79.33333333,2
1,0,2.0,0.0,0,276.0,2
26,1,0.0,1.0,0,24.0,1
4,2,2.0,0.0,0,4.0,0
2,1,2.0,0.0,0,0.0,0
132,30,0.794507576,0.590909091,7,27.16326531,8
39,9,0.5,1.0,0,33.0,2
12,0,2.0,0.0,0,11.5,0
52,8,0.672727273,0.2,2,9.434782608999999,5
25,1,2.0,0.0,0,35.25,0
1,0,2.0,0.0,0,168.0,3
10,5,2.0,0.0,0,6.0,0
123,4,0.804221995,0.272727273,1,136.3666667,5
9,4,0.25,1.0,1,6.2,1
21,9,2.0,0.0,0,41.0,1
37,17,0.533333333,1.0,1,51.16666667,5
20,2,0.5555555560000001,1.0,0,7.4,0
25,14,0.333333333,1.0,1,51.0,4
19,5,0.625,1.0,0,21.11111111,1
21,4,0.333333333,1.0,1,28.25,3
1,1,2.0,0.0,0,0.0,1
16,9,0.666666667,0.0,1,15.25,1
46,11,0.814814815,0.5,1,34.1,2
84,12,0.9285714290000001,1.0,0,24.13636364,0
7,4,2.0,0.0,0,5.0,0
2,2,2.0,0.0,0,0.0,0
21,9,2.0,0.0,0,29.8,1
10,1,2.0,0.0,0,20.0,1
17,2,0.4,1.0,0,22.33333333,1
32,16,0.75,1.0,1,43.2,9
3,0,2.0,0.0,0,0.0,1
13,6,0.25,1.0,0,11.2,1
60,10,2.0,0.0,0,3.433333333,2
37,1,0.933333333,0.25,0,59.72727273,4
37,24,0.428571429,1.0,2,31.75,9
6,4,2.0,0.0,0,8.5,0
36,3,0.79144385,0.545454545,5,19.22222222,1
7,4,2.0,0.0,0,4.0,0
9,4,0.8,1.0,0,3.5,0
3,1,2.0,0.0,0,0.0,1
12,0,2.0,0.0,0,0.0,0
4,0,1.4375,0.0,2,4.0,0
0,0,2.0,0.0,0,0.0,0
3,2,2.0,0.0,0,0.0,1
36,1,0.504347826,0.666666667,0,39.66666667,3
19,3,0.75,1.0,0,29.88888889,2
4,0,2.0,0.0,0,0.0,0
33,14,0.5,1.0,1,48.4,3
33,3,0.4,1.0,1,30.83333333,1
12,6,2.0,0.0,0,9.5,1
26,4,0.703296703,1.0,1,19.92857143,5
1,1,2.0,0.0,0,0.0,1
33,14,2.0,0.0,0,0.0,5
14,5,2.0,0.0,0,39.5,2
9,8,0.761904762,1.0,1,3.625,1
62,10,1.019607843,0.444444444,1,21.66666667,0
3,2,2.0,0.0,0,2.0,0
24,2,0.333333333,1.0,1,8.25,1
10,5,0.75,0.0,0,5.0,0
6,0,0.41666666700000005,1.0,0,19.0,0
17,2,0.5555555560000001,0.333333333,0,28.5,2
11,2,2.0,0.0,0,12.66666667,0
10,5,2.0,0.0,0,7.5,0
7,0,0.333333333,1.0,0,4.5,0
20,9,2.0,0.0,0,33.5,1
28,5,0.848484848,0.833333333,2,11.75,2
12,0,0.6,1.0,0,7.333333333,2
23,5,0.8472222220000001,1.0,2,6.692307692000001,2
86,43,1.0,1.0,1,6.772727272999999,1
66,16,0.764423077,1.0,1,69.14285714,8
14,3,0.9,1.0,0,41.33333333,2
1,1,2.0,0.0,0,0.0,1
16,5,0.166666667,1.0,1,20.0,2
11,6,2.0,0.0,0,9.4,0
9,0,0.611111111,1.0,0,4.714285714,1
6,2,2.0,0.0,0,1.6,1
6,1,1.5,1.0,0,4.333333333,1
40,8,0.683333333,0.0,3,6.523809524,4
18,8,0.666666667,1.0,1,15.0,1
0,0,2.0,0.0,0,0.0,0
78,15,0.7386363640000001,0.727272727,3,64.77777778,5
18,1,0.666666667,0.5,1,75.4,0
6,1,0.625,1.0,1,4.6,1
14,3,0.25,1.0,1,34.33333333,2
5,3,2.0,0.0,0,9.0,0
6,3,2.0,0.0,0,4.666666667,0
65,17,2.0,0.0,0,13.04,2
29,6,0.25,1.0,0,50.8,5
76,15,0.026315789,1.0,1,4.102564103,3
3,2,2.0,0.0,0,0.0,0
2,0,2.0,0.0,0,3.0,0
15,8,0.8,1.0,0,10.83333333,0
