wmc,cbo,rfc,lcom,ce,npm,loc,dam,moa,cam,amc,max_cc,avg_cc,bug
5,14,21,0,3,5,75,1.0,0,0.4,13.8,2,1.0,0
54,17,137,1241,0,16,1589,1.0,1,0.205450734,27.796296299999998,5,1.2037,0
5,4,9,2,3,5,61,0.8,0,0.333333333,10.2,1,0.8,0
37,26,120,570,26,24,1123,0.666666667,0,0.12012012,29.10810811,9,2.5676,2
10,9,15,29,6,8,67,1.0,1,0.65,5.3,2,1.0,0
8,6,32,20,6,4,221,1.0,0,0.4,26.375,5,2.0,0
2,4,5,0,2,1,19,1.0,1,0.625,8.0,1,0.5,0
20,8,29,108,3,20,188,1.0,1,0.23571428600000002,8.0,1,0.9,0
3,3,4,1,1,2,16,1.0,0,0.666666667,4.0,1,0.6667,0
3,9,23,0,8,2,125,1.0,2,0.444444444,39.66666667,1,0.6667,0
8,32,104,8,29,3,955,1.0,2,0.3125,118.0,4,1.5,3
8,16,52,16,0,5,336,1.0,1,0.46875,40.625,2,1.0,0
7,5,20,9,4,5,110,1.0,0,0.333333333,14.0,3,1.0,0
3,16,38,3,0,1,159,0.0,0,1.0,52.0,1,0.6667,0
5,6,24,2,0,5,88,1.0,0,0.7,16.2,1,0.8,0
9,20,71,36,20,5,476,0.0,0,0.296296296,51.88888889,9,3.1111,0
16,27,123,120,23,2,1851,0.0,0,0.204545455,114.6875,20,5.9375,0
4,5,22,6,2,3,100,0.0,0,0.41666666700000005,24.0,3,2.0,0
23,10,74,189,9,14,608,1.0,0,0.233766234,25.08695652,8,1.5652,0
7,7,34,15,6,2,288,0.5,1,0.333333333,39.85714286,5,1.5714,0
10,10,38,3,0,9,207,1.0,0,0.65,19.3,2,1.0,0
3,4,19,0,3,3,57,1.0,0,0.5,17.66666667,2,1.0,0
1,5,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
11,4,25,23,1,7,215,1.0,0,0.24242424199999998,18.0,3,1.0909,0
4,2,6,6,1,3,23,0.0,1,0.666666667,4.5,2,0.75,0
11,2,15,17,0,11,95,1.0,0,0.727272727,7.272727272999999,2,0.9091,0
18,23,83,151,5,15,638,1.0,0,0.194117647,34.33333333,5,1.5556,0
11,7,27,49,0,10,85,1.0,0,0.345454545,6.6363636360000005,2,1.0,0
4,4,13,0,0,3,41,1.0,1,0.583333333,9.0,1,0.75,0
12,7,29,30,5,11,171,1.0,1,0.25,12.75,2,1.1667,0
5,6,15,10,3,5,48,0.0,0,0.5,8.6,0,0.0,0
35,16,103,429,0,28,824,0.933333333,1,0.314285714,22.11428571,2,1.0,1
11,6,19,1,2,11,67,1.0,1,0.318181818,4.909090909,1,0.9091,0
74,40,190,2181,30,72,1443,1.0,8,0.067567568,18.17567568,6,1.4189,1
9,19,39,34,13,5,178,0.5,1,0.328125,18.55555556,1,0.7778,2
13,28,37,44,6,6,172,1.0,1,0.201923077,12.0,5,1.2308,0
5,3,13,4,2,5,48,1.0,0,0.4,8.4,3,1.2,0
4,11,17,4,3,2,77,0.0,1,0.333333333,18.0,4,1.75,0
9,83,9,36,3,9,9,0.0,0,1.0,0.0,1,1.0,0
7,3,22,21,0,7,68,0.0,0,0.857142857,8.714285713999999,3,1.1429,0
15,9,40,77,7,12,286,1.0,1,0.5,17.86666667,2,0.9333,0
27,33,78,219,13,24,394,1.0,5,0.150997151,13.37037037,4,1.2593,0
31,97,31,465,16,31,33,0.0,0,0.132258065,0.0,1,1.0,0
9,17,28,22,8,7,127,1.0,1,0.25,12.88888889,2,1.0,0
37,19,107,526,0,30,659,0.933333333,0,0.32972973,16.40540541,3,1.0270000000000001,0
2,3,16,1,1,1,98,0.0,0,0.5,48.0,7,3.5,0
15,13,64,57,0,14,411,1.0,0,0.306666667,26.0,5,1.2,1
2,30,65,0,29,2,412,1.0,3,0.571428571,203.5,1,0.5,0
8,6,22,6,1,6,145,1.0,0,0.541666667,16.375,2,1.125,0
5,6,14,2,4,4,60,1.0,2,0.333333333,10.2,1,0.8,0
7,10,63,21,8,5,1034,0.0,0,0.28571428600000004,146.71428569999998,10,4.8571,0
14,2,19,79,1,7,97,1.0,0,0.28571428600000004,5.5,2,1.0,0
20,4,30,142,2,18,183,1.0,0,0.5,7.95,2,1.05,0
5,13,30,4,10,3,149,1.0,1,0.5,28.6,5,1.8,0
13,14,35,52,4,13,204,1.0,2,0.282051282,14.53846154,5,1.2308,0
12,7,63,64,0,5,939,1.0,0,0.345238095,76.33333333,1,0.9167,0
2,2,18,0,1,2,99,1.0,0,0.666666667,47.5,3,1.5,0
5,7,26,4,6,3,158,1.0,0,0.525,30.2,4,1.8,0
6,27,6,15,2,6,6,0.0,0,0.541666667,0.0,1,1.0,0
4,4,5,6,1,2,17,0.0,1,0.666666667,3.0,1,0.5,0
11,7,12,25,2,11,74,1.0,1,0.290909091,5.272727273,1,0.9091,0
12,19,12,66,6,12,12,0.0,0,0.316666667,0.0,1,1.0,0
1,7,1,0,1,1,1,0.0,0,1.0,0.0,1,1.0,0
6,21,6,15,5,6,6,0.0,0,0.37037037,0.0,1,1.0,0
2,15,34,0,14,2,326,1.0,2,0.6,161.0,13,6.5,0
5,10,44,0,7,5,305,1.0,2,0.6,59.4,1,0.8,1
4,5,8,6,0,4,20,0.0,0,0.666666667,4.0,0,0.0,0
5,6,17,10,2,4,112,0.0,0,0.25,21.4,3,1.6,0
8,3,35,20,1,4,303,1.0,0,0.35714285700000004,36.5,4,1.25,1
8,2,13,14,0,6,69,1.0,0,0.625,7.375,3,1.25,0
5,2,22,8,1,5,97,1.0,0,0.4,18.2,1,0.6,0
5,3,6,6,3,5,24,1.0,2,0.46666666700000003,3.4,1,0.8,0
3,2,6,1,0,1,21,1.0,0,0.5,5.666666667,2,0.6667,0
4,12,5,0,1,4,24,1.0,1,0.5,4.5,1,0.75,0
4,3,11,6,2,4,48,0.0,0,0.666666667,11.0,2,1.0,0
3,3,7,3,0,3,17,0.0,0,1.0,4.666666667,1,0.6667,0
8,8,8,28,5,8,8,0.0,0,0.45833333299999995,0.0,1,1.0,0
6,1,7,3,0,6,34,1.0,0,0.5555555560000001,4.333333333,1,0.6667,0
3,8,20,1,6,3,155,1.0,0,0.444444444,50.0,4,2.0,0
3,5,9,0,4,3,40,0.666666667,2,0.5,11.33333333,1,0.6667,0
1,4,2,0,3,1,9,0.0,0,1.0,7.0,0,0.0,0
47,15,108,865,0,45,896,1.0,0,0.221884498,17.63829787,3,1.0426,0
22,16,59,0,15,22,354,0.6,2,0.162878788,14.86363636,3,1.4091,0
10,17,62,11,0,5,491,1.0,1,0.233333333,47.1,2,1.1,1
2,3,3,0,2,2,14,0.5,1,0.75,5.0,1,0.5,0
5,7,8,8,3,4,34,1.0,0,0.8,5.6,3,1.2,0
2,6,5,1,3,2,12,0.0,0,1.0,5.0,1,0.5,0
11,4,21,13,0,11,68,0.5,0,0.340909091,5.0,1,0.8182,0
59,31,148,0,31,57,895,1.0,1,0.190862196,14.15254237,4,1.0339,0
25,10,49,224,0,25,304,1.0,0,0.37,10.72,1,0.96,0
6,6,36,0,0,5,165,1.0,0,0.5,26.16666667,3,1.8333,0
5,1,22,10,0,3,103,1.0,0,0.2,19.2,2,1.0,0
3,13,22,0,11,2,201,1.0,3,0.583333333,64.0,6,3.3333,0
57,56,242,1504,54,27,2550,0.7857142859999999,3,0.113945578,43.49122807,9,2.0351,2
5,2,6,2,1,5,36,1.0,0,0.6,5.4,1,0.8,1
13,14,49,24,4,12,298,1.0,0,0.346153846,21.53846154,4,1.8462,0
2,3,5,0,2,1,15,1.0,0,1.0,6.0,0,0.0,0
29,21,104,236,20,22,733,1.0,0,0.143236074,24.13793103,5,1.7586,1
1,2,1,0,0,1,1,0.0,0,1.0,0.0,1,1.0,0
5,4,18,8,0,4,76,1.0,0,0.625,13.8,3,1.0,0
10,12,14,37,6,10,51,1.0,1,0.3,3.9,1,0.8,0
21,9,58,156,0,15,373,1.0,0,0.32,16.33333333,6,1.381,0
3,8,4,0,0,3,20,1.0,0,0.666666667,5.0,1,0.6667,0
25,8,90,112,7,21,1160,0.35714285700000004,1,0.239583333,44.84,29,2.96,0
2,6,7,1,4,2,18,0.0,0,0.625,8.0,1,0.5,0
23,7,33,213,3,15,284,0.47826087,2,0.239130435,10.34782609,5,1.4348,0
21,12,46,132,5,10,281,0.75,1,0.173160173,12.19047619,4,1.381,0
22,30,104,63,25,11,707,1.0,1,0.18465909100000003,31.04545455,9,1.7727,0
21,12,77,160,0,15,797,1.0,0,0.227513228,36.57142857,3,1.0952,0
9,7,30,0,7,9,228,1.0,0,0.333333333,24.22222222,3,2.1111,0
12,6,31,20,5,9,360,1.0,1,0.393939394,26.58333333,6,2.0833,0
3,16,3,3,1,3,3,0.0,0,1.0,0.0,1,1.0,0
38,21,104,613,0,29,839,1.0,1,0.22556391,20.71052632,18,1.8158,2
1,34,1,0,0,1,1,0.0,0,1.0,0.0,1,1.0,0
2,4,5,0,3,2,21,0.5,1,0.666666667,8.5,1,0.5,0
11,23,16,31,4,8,77,0.833333333,3,0.26,5.454545455,1,0.8182,0
3,3,5,3,0,1,18,0.0,1,0.75,4.666666667,1,0.3333,0
2,4,2,1,2,2,2,0.0,0,0.75,0.0,1,1.0,0
25,6,26,276,1,25,136,1.0,1,0.246666667,3.96,1,0.96,0
6,23,6,15,1,6,6,0.0,0,0.5555555560000001,0.0,1,1.0,0
8,5,25,6,5,6,145,1.0,0,0.37142857100000004,16.5,6,1.375,0
11,43,11,55,8,11,11,0.0,0,0.409090909,0.0,1,1.0,1
1,3,2,0,0,1,5,0.0,0,1.0,4.0,0,0.0,0
3,2,4,1,0,3,14,1.0,0,0.666666667,3.333333333,1,0.6667,0
10,2,12,25,0,10,53,1.0,0,0.7,3.9,1,0.9,0
12,35,18,30,4,12,99,1.0,4,0.27777777800000003,6.833333333,2,0.9167,0
9,4,11,28,1,9,60,1.0,2,0.481481481,5.222222222,2,1.1111,0
2,3,2,1,0,2,2,0.0,0,0.75,0.0,1,1.0,0
11,14,24,17,4,10,107,1.0,0,0.393939394,8.272727273,2,1.1818,1
13,16,26,46,3,12,243,1.0,1,0.19658119699999999,17.23076923,6,1.6154,0
30,27,78,267,12,30,543,1.0,1,0.123076923,16.8,5,1.4667,0
2,4,4,1,3,1,8,0.0,0,0.75,3.0,1,0.5,0
14,10,39,0,8,13,225,1.0,2,0.22448979600000002,14.71428571,4,1.7143,0
13,28,104,76,26,8,691,1.0,1,0.22727272699999998,52.07692308,8,1.6154,0
12,9,31,54,8,10,170,1.0,0,0.5,12.83333333,3,1.4167,0
1,7,1,0,1,1,1,0.0,0,1.0,0.0,1,1.0,0
23,57,23,253,16,23,23,0.0,0,0.12771739099999999,0.0,1,1.0,0
15,12,16,67,3,15,104,1.0,1,0.29333333300000003,5.466666667,1,0.9333,0
9,5,36,36,3,9,146,0.0,0,0.444444444,15.22222222,9,1.8889,0
21,21,38,170,4,21,224,1.0,1,0.253968254,9.476190476000001,1,0.7619,0
3,6,18,3,4,2,67,0.0,0,0.444444444,21.33333333,7,3.0,0
157,111,312,11794,75,142,2701,0.9375,12,0.062278839,15.89808917,6,1.5159,0
14,57,32,45,0,13,277,0.7142857140000001,0,0.307692308,18.28571429,7,1.7143,0
5,11,14,4,3,3,72,1.0,1,0.25,13.2,1,0.6,0
6,11,6,15,2,6,6,0.0,0,1.0,0.0,1,1.0,0
3,2,5,0,1,3,22,1.0,1,0.5555555560000001,6.0,2,1.0,0
25,62,25,300,8,25,25,0.0,0,0.29600000000000004,0.0,1,1.0,0
8,11,17,0,3,8,54,1.0,1,0.41666666700000005,5.5,1,0.875,0
6,9,9,3,3,5,52,0.5,3,0.46666666700000003,7.0,1,0.6667,0
11,6,12,25,2,11,78,1.0,1,0.363636364,5.6363636360000005,2,1.0,0
32,33,84,470,0,8,670,0.6,0,0.25,19.78125,5,1.7188,0
17,6,29,90,5,17,167,1.0,0,0.382352941,8.470588235,1,0.8824,0
3,7,12,3,5,1,53,0.0,0,0.5,16.66666667,2,1.0,0
7,54,7,21,0,7,7,0.0,0,0.571428571,0.0,1,1.0,0
9,13,38,12,12,8,197,1.0,1,0.37777777799999995,20.66666667,5,1.6667,0
28,17,70,300,17,21,488,0.666666667,0,0.129120879,16.21428571,8,1.8214,0
1,7,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
6,3,9,9,1,6,40,1.0,0,0.666666667,5.5,2,1.0,0
2,4,2,1,0,2,2,0.0,0,0.666666667,0.0,1,1.0,0
4,16,79,0,15,3,435,1.0,1,0.5,107.5,1,0.75,0
4,15,10,0,0,2,68,0.25,3,0.666666667,15.0,4,1.25,0
8,27,8,28,14,8,8,0.0,0,0.267857143,0.0,1,1.0,1
5,5,56,0,4,5,334,1.0,0,0.342857143,65.0,11,3.0,0
14,20,105,73,0,7,623,1.0,0,0.207792208,43.35714286,7,1.5714,0
6,3,14,7,2,6,63,1.0,1,0.4,9.166666667000001,2,1.0,0
10,9,38,15,0,8,197,1.0,0,0.4,18.3,7,1.6,0
1,3,2,0,2,1,8,0.0,0,1.0,6.0,0,0.0,0
4,2,6,0,1,4,35,1.0,2,0.5,7.25,3,1.25,0
20,106,45,182,5,17,124,0.28571428600000004,1,0.144736842,4.85,2,0.95,0
19,8,19,171,0,19,19,0.0,0,0.42105263200000004,0.0,1,1.0,0
2,9,2,1,3,2,4,0.0,0,0.625,0.0,1,1.0,0
8,9,61,28,7,6,544,1.0,0,0.375,66.875,4,1.625,1
13,25,69,78,24,12,420,0.0,0,0.174825175,31.30769231,4,1.2308,0
3,5,5,3,3,1,18,0.0,1,0.75,4.666666667,1,0.3333,0
2,1,4,1,1,2,10,0.0,0,0.666666667,4.0,1,0.5,0
4,7,17,0,2,2,58,0.5,1,0.833333333,13.0,2,0.75,0
9,3,11,26,1,9,60,1.0,0,0.36111111100000004,5.1111111110000005,1,0.8889,0
3,11,3,3,3,3,3,0.0,0,1.0,0.0,1,1.0,0
5,8,5,10,0,5,5,0.0,0,0.7,0.0,1,1.0,0
3,4,5,3,1,3,18,0.0,0,0.5555555560000001,5.0,1,0.3333,0
3,3,3,3,1,3,3,0.0,0,0.666666667,0.0,1,1.0,0
28,11,72,118,10,18,719,0.967741935,0,0.220238095,23.57142857,6,2.7143,1
14,10,34,65,0,13,207,1.0,0,0.404761905,13.21428571,3,1.1429,0
5,9,20,2,6,5,89,1.0,1,0.533333333,16.4,2,1.2,0
4,6,4,6,0,4,4,0.0,0,1.0,0.0,1,1.0,1
1,4,2,0,3,1,11,0.5,0,1.0,8.0,0,0.0,0
9,5,29,0,3,6,157,1.0,0,0.41666666700000005,16.22222222,3,1.4444,0
1,8,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
12,10,64,0,10,7,444,1.0,1,0.243055556,35.75,6,2.6667,2
4,6,38,6,4,2,242,0.0,0,0.375,59.25,9,4.5,0
2,34,2,1,1,2,7,0.0,0,0.75,0.0,1,1.0,0
17,6,39,110,4,17,165,1.0,1,0.344537815,8.588235294,2,1.0588,0
3,5,3,3,2,3,3,0.0,0,1.0,0.0,1,1.0,0
16,8,27,68,0,16,175,1.0,0,0.71875,9.5,1,0.9375,1
19,6,64,75,6,18,636,1.0,1,0.38596491200000005,32.15789474,6,2.3684,0
6,6,13,0,3,6,55,1.0,1,0.45833333299999995,7.833333333,2,1.0,0
6,8,23,0,0,6,143,1.0,0,0.666666667,22.5,1,0.8333,0
4,7,10,4,5,1,27,1.0,1,0.5,5.5,1,0.5,0
2,4,4,0,3,2,30,0.4,0,0.6,11.5,1,0.5,0
30,37,68,345,9,27,513,1.0,3,0.18226601,15.86666667,5,1.6,0
10,20,61,45,16,9,192,0.0,0,0.166666667,18.2,3,1.7,0
8,6,41,22,0,5,204,1.0,0,0.40625,24.375,5,1.75,0
2,6,13,1,6,2,46,0.0,0,0.666666667,22.0,5,2.5,0
4,2,6,6,1,3,23,0.0,1,0.666666667,4.5,2,0.75,0
2,24,2,1,0,2,2,0.0,0,0.75,0.0,1,1.0,0
10,9,44,13,0,9,176,1.0,0,0.46666666700000003,16.2,1,0.9,0
1,3,2,0,1,1,5,0.0,0,1.0,4.0,0,0.0,0
7,3,12,0,1,7,77,1.0,4,0.428571429,9.285714286000001,1,0.8571,0
6,6,40,13,4,5,227,1.0,0,0.666666667,36.66666667,1,0.6667,0
1,5,1,0,1,1,1,0.0,0,1.0,0.0,1,1.0,0
4,6,14,0,3,4,74,1.0,0,0.5,17.0,7,2.25,0
3,7,18,0,6,3,87,0.666666667,2,0.46666666700000003,27.0,1,0.6667,0
30,26,132,369,25,13,1096,1.0,0,0.171111111,35.43333333,18,2.6333,0
3,7,12,0,6,3,64,0.666666667,1,0.444444444,19.33333333,1,0.6667,0
6,11,13,0,2,6,44,1.0,1,0.444444444,6.0,1,0.8333,0
1,6,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
13,8,32,4,0,13,134,1.0,0,0.192307692,9.076923077,1,0.9231,0
13,13,14,78,2,12,24,0.0,1,0.533333333,0.615384615,1,0.9231,0
3,10,3,3,3,3,3,0.0,0,1.0,0.0,1,1.0,0
1,14,2,0,1,1,4,0.0,0,1.0,3.0,0,0.0,0
2,6,2,1,2,2,2,0.0,0,1.0,0.0,1,1.0,0
48,16,109,118,15,39,719,1.0,5,0.147569444,13.77083333,6,1.625,1
2,16,2,1,2,2,2,0.0,0,0.75,0.0,1,1.0,0
7,7,27,0,0,7,147,1.0,0,0.35714285700000004,19.57142857,1,0.8571,0
13,22,30,0,8,11,267,0.333333333,0,0.28571428600000004,19.30769231,7,2.3077,0
4,7,17,4,5,1,60,1.0,0,0.666666667,13.75,2,1.25,0
10,11,39,39,0,7,1308,1.0,0,0.174603175,129.7,7,2.8,0
7,3,8,15,0,6,51,1.0,0,0.535714286,5.857142857,1,0.5714,0
12,8,24,30,0,12,124,1.0,0,0.708333333,8.916666667000001,1,0.9167,1
2,5,2,1,2,2,2,0.0,0,1.0,0.0,1,1.0,0
2,6,4,1,3,2,8,0.0,0,0.625,3.0,1,0.5,0
5,4,21,0,4,4,144,1.0,0,0.533333333,27.2,5,2.4,0
4,4,7,0,3,4,31,1.0,2,0.4375,6.25,2,1.0,0
4,22,12,6,0,3,72,0.0,0,0.375,17.0,2,1.5,0
1,7,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
2,5,7,1,4,2,18,0.0,0,0.625,8.0,1,0.5,0
3,3,6,3,2,3,15,0.0,0,0.833333333,4.0,1,0.6667,0
29,21,97,316,0,20,677,0.9,1,0.20689655199999998,22.0,8,1.931,0
5,7,23,0,2,5,105,1.0,1,0.533333333,19.4,3,1.2,0
33,33,45,390,7,32,350,0.8125,1,0.163194444,9.121212121000001,4,1.0303,0
3,4,23,3,3,0,95,0.0,1,1.0,30.33333333,3,1.0,0
3,6,11,1,3,2,33,1.0,1,0.666666667,9.666666667000001,1,0.6667,0
1,5,2,0,4,1,9,0.0,0,1.0,7.0,0,0.0,0
6,5,22,0,3,4,84,1.0,2,0.444444444,12.5,2,1.0,1
8,16,8,28,6,8,8,0.0,0,0.34375,0.0,1,1.0,0
15,19,66,39,18,6,451,1.0,3,0.20952381,28.26666667,6,1.9333,0
5,5,9,0,2,5,34,1.0,0,0.533333333,5.6,1,0.6,0
17,15,78,84,0,15,413,1.0,0,0.254901961,22.82352941,6,1.2353,0
4,2,6,0,1,4,35,1.0,2,0.5,7.25,3,1.25,0
6,6,19,3,0,6,94,0.5,0,0.444444444,14.0,1,0.8333,0
2,4,14,0,3,2,54,0.5,1,0.625,25.0,1,0.5,0
2,5,4,1,3,1,8,0.0,0,0.75,3.0,1,0.5,0
7,2,20,21,1,7,67,0.0,0,0.571428571,8.571428571,2,1.0,0
2,3,6,0,2,2,26,1.0,0,0.666666667,11.5,2,1.0,0
1,6,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
8,11,32,18,0,7,149,1.0,0,0.5,17.25,2,1.0,0
2,5,4,0,2,2,14,1.0,1,0.75,5.5,1,0.5,0
5,17,6,6,2,5,25,1.0,0,0.4,3.6,1,0.8,0
3,6,5,3,3,1,18,0.0,1,0.75,4.666666667,1,0.3333,0
5,13,31,8,11,4,140,0.5,1,0.342857143,26.6,1,0.8,0
15,17,69,105,0,7,583,1.0,0,0.275,37.8,1,0.9333,0
9,22,117,36,21,3,1209,0.0,0,0.47619047600000003,133.2222222,16,4.6667,0
77,50,243,2706,49,49,2480,1.0,4,0.08755060699999999,30.8961039,11,1.9481,3
13,29,148,78,0,1,1407,0.333333333,0,0.192307692,107.0,8,2.3077,1
11,12,52,37,0,5,360,1.0,1,0.38333333299999994,31.36363636,8,1.8182,1
1,9,1,0,1,1,1,0.0,0,1.0,0.0,1,1.0,0
99,65,293,3615,42,73,2894,1.0,9,0.09050576800000001,28.05050505,21,2.202,3
2,19,2,1,0,2,2,0.0,0,1.0,0.0,1,1.0,0
6,2,19,0,0,4,86,1.0,0,0.36666666700000006,13.0,3,1.1667,0
10,5,21,0,1,9,84,1.0,1,0.5,7.3,1,0.2,0
13,11,50,46,0,10,267,1.0,0,0.323076923,19.15384615,8,1.5385,0
3,20,3,3,2,3,3,0.0,0,0.583333333,0.0,1,1.0,0
2,8,3,0,3,2,14,1.0,1,0.625,5.5,1,0.5,0
19,10,62,119,0,17,309,1.0,0,0.289473684,14.57894737,8,1.6316,0
3,5,10,0,3,2,39,1.0,2,0.46666666700000003,11.33333333,1,0.6667,0
29,39,116,90,38,22,1109,0.818181818,5,0.149350649,36.86206897,14,2.069,3
14,12,41,35,7,11,230,1.0,0,0.27678571399999996,15.35714286,3,1.1429,0
3,6,14,0,4,2,70,1.0,2,0.46666666700000003,21.66666667,1,0.6667,0
14,10,23,53,5,14,164,1.0,1,0.28571428600000004,10.14285714,1,0.7857,0
4,7,5,0,0,4,32,0.25,0,0.5,6.0,1,0.5,0
4,2,8,6,0,4,21,1.0,0,0.666666667,4.0,0,0.0,0
3,3,5,3,2,3,12,0.0,0,0.7777777779999999,3.0,1,0.6667,0
3,5,3,3,1,3,3,0.0,0,0.7777777779999999,0.0,1,1.0,0
2,4,4,1,2,2,10,0.0,0,0.666666667,4.0,1,0.5,0
3,11,22,3,11,3,101,0.0,0,0.41666666700000005,32.66666667,2,1.3333,0
3,11,38,1,10,3,215,1.0,0,0.41666666700000005,70.33333333,4,1.6667,0
4,2,8,4,2,4,24,1.0,1,0.5,4.75,1,0.75,0
33,54,277,194,48,20,2591,1.0,4,0.10955711,77.36363636,19,4.0,1
2,3,5,0,2,1,15,1.0,0,1.0,6.0,0,0.0,0
1,5,1,0,1,1,1,0.0,0,1.0,0.0,1,1.0,0
22,20,143,0,20,5,1648,1.0,2,0.331168831,73.36363636,16,2.8636,1
5,3,15,10,2,4,50,0.0,0,0.5,9.0,1,0.6,0
3,9,3,3,5,3,3,0.0,0,0.6190476189999999,0.0,1,1.0,0
4,10,10,6,8,4,27,0.0,0,0.375,5.75,1,0.75,0
13,19,77,0,15,12,1090,1.0,1,0.253846154,82.76923077,14,2.8462,0
5,16,65,10,16,4,598,0.0,0,0.3,118.6,2,1.0,0
10,6,30,27,4,0,290,1.0,1,0.36,27.5,4,1.4,0
12,3,21,0,0,11,222,1.0,1,0.316666667,17.0,2,1.0,0
11,11,44,49,3,8,279,0.5,0,0.233333333,23.63636364,8,1.5455,1
13,4,35,68,0,12,194,1.0,0,0.487179487,13.53846154,3,1.0769,0
4,24,104,0,22,3,763,1.0,2,0.375,189.25,1,0.75,0
2,2,8,1,0,1,49,0.0,0,0.5,23.5,4,2.0,0
11,7,20,37,0,10,132,1.0,0,0.393939394,10.63636364,3,1.4545,0
10,2,16,23,0,9,88,1.0,1,0.433333333,7.2,2,1.0,0
37,16,108,516,0,29,1130,0.9285714290000001,0,0.16953317,29.16216216,5,1.6486,0
9,7,28,10,5,8,124,1.0,2,0.25925925899999996,12.44444444,2,1.0,0
21,30,108,190,0,7,766,0.8888888890000001,1,0.292857143,35.04761905,10,1.9524,0
74,84,163,2213,46,70,1119,0.894736842,12,0.055222602999999995,13.86486486,11,1.2297,0
7,12,24,0,0,6,122,1.0,0,0.333333333,15.85714286,3,1.1429,0
19,32,29,107,3,19,186,0.875,3,0.195488722,8.368421052999999,5,1.2105,1
2,12,2,1,1,2,2,0.0,0,0.75,0.0,1,1.0,0
29,24,91,312,16,27,699,1.0,3,0.116710875,22.75862069,6,1.8276,0
65,41,131,2010,37,39,810,1.0,5,0.077591973,11.26153846,5,1.4,2
6,5,15,15,4,6,53,0.0,0,0.541666667,7.833333333,2,1.3333,0
4,5,9,0,1,4,34,1.0,1,0.5,7.0,1,0.75,0
3,10,5,3,3,1,18,0.0,1,0.75,4.666666667,1,0.3333,0
21,4,54,0,0,19,233,0.5,1,0.375,9.80952381,2,1.0,0
1,10,1,0,2,1,1,0.0,0,1.0,0.0,1,1.0,0
55,31,123,1255,15,41,1167,1.0,6,0.108932462,19.94545455,9,1.7091,1
7,9,8,13,4,7,30,1.0,1,0.314285714,3.0,1,0.8571,0
3,15,3,3,1,3,3,0.0,0,0.666666667,0.0,1,1.0,0
8,18,17,20,1,8,141,1.0,1,0.34375,16.125,6,1.625,0
10,15,10,45,3,10,10,0.0,0,0.36666666700000006,0.0,1,1.0,0
45,13,113,814,0,45,636,1.0,0,0.306666667,12.66666667,2,1.0,0
7,10,44,19,7,4,348,0.5,0,0.35416666700000005,48.42857143,1,0.7143,1
