wmc,cbo,rfc,ca,ce,npm,loc,cam,max_cc,avg_cc,bug
7,4,32,0,4,2,155,0.27777777800000003,2,1.0,0
4,3,8,0,3,4,76,0.5,6,2.5,0
5,0,16,0,0,2,268,0.333333333,4,2.0,0
6,9,10,7,2,2,174,0.44,6,1.8333,0
19,28,79,16,14,9,754,0.257309942,10,2.4211,2
5,1,17,0,1,4,58,0.666666667,1,0.8,0
4,2,5,0,2,4,12,0.5,1,0.75,0
10,7,27,1,7,8,145,0.7777777779999999,3,1.4,1
4,5,24,0,5,2,83,0.333333333,1,0.5,0
13,1,35,0,1,11,236,0.297619048,1,0.8462,0
8,7,42,0,7,2,308,0.23809523800000001,4,1.5,0
5,0,15,0,0,1,479,0.3125,7,2.0,0
13,4,40,0,4,2,516,0.15,7,2.7692,0
22,19,95,6,15,8,1176,0.21645021600000003,11,3.2273,3
6,6,12,3,3,6,54,0.444444444,1,0.8333,0
5,8,6,6,2,5,13,0.46666666700000003,1,0.8,1
3,9,10,8,1,1,49,1.0,1,0.6667,0
14,8,43,3,6,10,359,0.244897959,6,1.6429,1
4,4,12,4,0,4,111,0.35714285700000004,6,1.75,0
7,3,25,0,3,2,105,0.27777777800000003,2,1.1429,0
1,8,1,8,0,1,1,1.0,1,1.0,0
6,4,30,0,4,2,144,0.333333333,2,1.0,0
4,3,8,1,2,4,38,0.4,1,0.75,0
5,1,17,0,1,2,163,0.25,3,1.4,0
10,5,35,0,5,7,272,0.36111111100000004,5,1.8,0
1,3,1,2,1,1,1,1.0,1,1.0,0
1,8,1,8,1,1,1,1.0,1,1.0,0
8,6,49,0,6,2,389,0.257142857,3,1.75,1
8,15,41,4,14,2,691,0.375,21,6.25,1
1,5,1,4,1,1,1,1.0,1,1.0,0
2,2,4,1,1,1,8,0.75,1,0.5,0
9,4,37,0,4,7,314,0.21875,7,2.0,0
5,3,18,0,3,3,76,0.36,4,1.2,0
6,5,6,4,1,6,6,0.5555555560000001,1,1.0,0
2,15,2,14,1,2,2,0.75,1,1.0,0
5,7,31,0,7,2,145,0.3,3,1.4,0
4,6,20,2,5,4,77,0.625,3,1.5,0
5,7,41,1,7,5,250,0.4,3,1.6,0
7,3,27,0,3,2,196,0.333333333,4,1.7143,1
5,8,26,0,8,2,508,0.26666666699999997,3,1.4,0
2,4,15,1,3,2,77,0.666666667,2,1.0,0
13,22,54,20,6,10,537,0.18333333300000001,11,3.0,3
4,0,10,0,0,3,114,0.333333333,4,1.5,0
5,8,44,3,7,3,289,0.3,3,1.0,0
9,5,19,3,2,7,120,0.4375,4,1.6667,0
2,7,7,0,7,2,15,0.666666667,1,0.5,0
7,4,13,3,1,7,236,0.523809524,6,2.5714,1
2,4,4,2,2,1,10,0.75,1,0.5,0
4,3,10,1,2,4,41,0.5,1,0.75,0
4,3,10,1,2,3,37,0.583333333,1,0.75,0
12,9,39,0,9,12,174,0.375,4,1.3333,5
4,3,15,2,1,4,80,0.35714285700000004,2,0.75,0
4,7,27,0,7,2,134,0.333333333,3,1.5,0
2,2,16,0,2,2,100,0.75,3,1.5,0
7,4,29,0,4,2,154,0.333333333,2,1.0,0
7,2,24,0,2,2,117,0.27777777800000003,2,1.1429,0
7,2,32,0,2,1,168,0.27777777800000003,2,1.1429,0
4,2,9,1,1,2,47,0.5555555560000001,3,1.25,0
0,0,0,0,0,0,7,0.0,0,0.0,0
3,1,7,1,0,3,20,0.444444444,1,0.6667,0
4,4,8,0,4,4,69,0.5,4,2.0,1
9,13,18,9,4,8,114,0.518518519,3,1.2222,1
5,5,17,4,1,2,95,0.46666666700000003,3,1.4,2
8,6,30,0,6,2,324,0.28571428600000004,5,2.0,0
12,21,43,15,7,9,346,0.272727273,6,2.1667,2
6,3,8,0,3,6,34,0.5,2,0.8333,0
7,2,21,0,2,2,90,0.27777777800000003,2,1.0,0
1,1,2,0,1,0,4,1.0,0,0.0,0
8,4,38,0,4,2,322,0.214285714,2,1.0,1
1,2,3,1,1,0,7,1.0,0,0.0,0
2,3,16,1,3,1,51,0.666666667,2,1.0,0
5,3,11,1,2,4,37,0.533333333,1,0.8,0
7,2,26,0,2,2,131,0.27777777800000003,2,1.0,0
2,4,6,1,4,1,14,0.75,1,0.5,0
