noc,rfc,ce,loc,cam,ic,cbm,amc,max_cc,avg_cc,bug
7,22,8,73,0.3125,1,2,13.2,3,1.0,0
0,20,10,72,0.4,2,3,10.16666667,1,0.6667,0
11,8,4,36,0.666666667,0,0,17.0,5,2.5,0
0,8,7,32,0.5,0,0,6.75,2,0.75,0
0,4,2,4,0.666666667,0,0,0.0,1,1.0,0
0,14,12,77,0.75,0,0,37.0,4,2.0,0
0,34,13,185,0.35,0,0,29.16666667,12,2.5,0
0,28,11,216,0.41666666700000005,0,0,41.6,14,3.2,1
1,40,16,192,0.444444444,0,0,46.5,1,0.5,0
0,37,19,123,0.28,0,0,19.16666667,8,1.8333,0
0,54,13,377,0.3,3,3,20.64705882,24,2.2353,0
0,29,6,175,0.26666666699999997,0,0,23.28571429,4,1.2857,0
0,18,6,71,0.444444444,0,0,16.0,5,1.5,0
0,23,10,87,0.4,1,2,13.0,3,1.1667,0
0,47,9,47,0.13926499,0,0,0.0,1,1.0,0
7,32,6,123,0.27777777800000003,0,0,11.0,2,0.9,0
0,48,10,295,0.255102041,1,1,18.13333333,12,2.0,1
0,13,6,55,0.4,1,1,7.666666667,1,0.6667,0
0,61,24,274,0.267857143,0,0,29.0,2,0.8889,0
0,6,5,18,0.5,0,0,5.0,1,0.3333,0
0,2,2,2,0.666666667,0,0,0.0,1,1.0,0
0,26,3,288,0.6,0,0,56.2,9,4.2,0
0,28,9,106,0.41666666700000005,0,0,19.6,2,0.8,0
0,35,15,173,0.4,1,2,27.33333333,8,2.0,0
0,27,11,130,0.4,1,2,20.16666667,8,2.0,0
0,92,27,596,0.19615384600000002,0,0,20.55555556,11,2.3704,2
0,25,9,105,0.444444444,2,2,24.5,7,2.0,0
0,22,9,146,0.5,0,0,23.33333333,4,2.3333,0
0,34,4,196,0.194285714,0,0,6.038461538,3,1.2692,0
0,35,14,142,0.4,1,2,22.16666667,5,1.5,0
11,14,2,73,0.523809524,0,0,9.142857142999999,4,1.4286,0
0,30,0,186,0.29655172399999996,0,0,4.931034483,1,0.9655,0
0,38,14,336,0.35,0,0,54.5,18,4.0,1
0,32,11,228,0.36666666700000006,1,2,31.14285714,10,2.8571,0
0,1,2,1,1.0,0,0,0.0,1,1.0,0
0,20,8,116,0.41666666700000005,0,0,20.8,7,1.8,0
0,68,13,545,0.23214285699999998,0,0,59.22222222,25,5.2222,0
7,21,8,71,0.333333333,0,0,16.25,3,1.0,0
0,48,7,264,0.222222222,0,0,25.2,4,1.4,0
0,33,11,289,0.41666666700000005,0,0,56.2,19,4.2,0
0,21,5,158,0.514285714,0,0,17.75,5,1.75,0
0,31,12,129,0.4,1,2,20.0,6,1.6667,0
0,12,3,70,0.375,0,0,6.0,1,0.7778,0
0,25,1,200,0.36111111100000004,0,0,9.666666667000001,1,0.9444,0
0,15,15,63,0.5,0,0,30.5,7,3.5,0
0,59,20,491,0.5,1,1,96.4,1,0.6,0
0,32,6,197,0.36666666700000006,0,0,13.61538462,5,1.4615,0
0,3,0,12,1.0,0,0,4.0,0,0.0,0
0,44,10,525,0.28,0,0,44.72727273,5,1.5455,0
0,47,8,257,0.2,0,0,41.5,6,1.5,1
0,36,12,275,0.261904762,0,0,37.85714286,22,3.7143,2
0,36,9,267,0.3,2,2,22.72727273,8,1.9091,0
0,2,2,2,0.75,0,0,0.0,1,1.0,0
0,6,1,6,0.45833333299999995,0,0,0.0,1,1.0,0
0,21,10,83,0.4,1,2,12.33333333,3,1.1667,0
0,4,0,20,1.0,0,0,5.333333333,1,0.6667,0
0,6,0,17,0.7777777779999999,0,0,4.333333333,0,0.0,0
0,14,10,65,0.2,0,0,9.166666667000001,1,0.6667,0
3,17,2,88,0.45,0,0,16.6,5,2.0,0
0,19,1,157,0.475,0,0,14.4,2,1.2,0
0,14,10,91,0.5,0,0,44.5,7,3.5,0
0,30,12,161,0.4,1,2,25.33333333,9,2.1667,0
0,2,0,88,0.0,0,0,49.0,0,0.0,0
0,9,7,20,0.75,0,0,9.0,1,0.5,0
0,8,10,42,0.75,0,0,19.5,3,1.5,0
0,9,5,30,0.666666667,0,0,6.25,1,0.5,0
0,39,16,216,0.25,0,0,22.55555556,6,1.3333,1
0,12,1,75,0.288888889,0,0,6.8888888889999995,4,1.2222,0
0,42,17,210,0.23214285699999998,0,0,22.0,6,1.5556,0
0,23,4,94,0.3,0,0,9.0,2,1.0,0
0,31,12,228,0.41666666700000005,1,1,44.0,10,2.4,0
0,17,6,124,0.6,0,0,23.6,5,3.0,0
0,40,13,254,0.4,1,2,40.5,12,2.6667,0
0,61,16,522,0.3125,0,0,102.4,30,6.4,0
0,18,6,143,0.6,0,0,27.4,5,3.0,0
0,34,5,187,0.45833333299999995,0,0,25.42857143,10,2.0,0
0,36,7,227,0.288888889,0,0,21.1,12,1.9,0
0,62,15,459,0.294117647,0,0,23.88888889,13,2.0556,0
0,32,10,141,0.3,0,0,22.16666667,6,1.6667,0
0,31,6,383,0.333333333,0,0,50.57142857,3,1.1429,0
0,67,10,589,0.363636364,2,4,47.83333333,8,2.25,0
0,39,14,335,0.32,0,0,54.33333333,15,4.1667,0
0,28,9,113,0.333333333,0,0,17.5,1,0.6667,0
0,13,11,35,0.36111111100000004,0,0,4.833333333,1,0.8333,0
0,39,12,224,0.41666666700000005,0,0,43.2,13,3.0,0
0,29,20,193,0.5,0,0,37.0,8,2.0,0
0,48,9,312,0.222222222,0,0,29.6,6,1.8,0
0,39,13,171,0.23214285699999998,0,0,17.66666667,5,1.4444,0
0,4,1,4,0.7,0,0,0.0,1,1.0,0
0,24,7,103,0.35,0,0,19.2,4,1.2,0
0,30,12,128,0.41666666700000005,0,0,16.85714286,3,1.0,0
0,26,12,145,0.3125,0,0,27.0,6,1.6,0
0,5,3,5,0.45,0,0,0.0,1,1.0,1
0,108,37,604,0.19047619,0,0,59.2,6,2.2,4
0,17,5,93,0.5,2,2,17.0,6,1.8,0
0,8,4,33,0.5,0,0,15.5,3,1.5,0
0,22,4,169,0.316666667,0,0,15.4,7,1.9,0
0,18,7,61,0.3125,1,2,10.8,2,0.8,0
0,8,0,8,1.0,0,0,0.0,1,1.0,0
0,35,13,203,0.41666666700000005,1,1,27.0,9,1.8571,0
0,31,12,141,0.4,1,2,22.0,6,1.6667,0
0,44,8,479,0.3,0,0,30.26666667,27,2.6,1
0,31,9,185,0.333333333,0,0,44.75,11,3.0,0
0,58,10,465,0.25,0,0,50.33333333,30,4.5556,1
0,7,1,7,0.428571429,0,0,0.0,1,1.0,0
0,27,5,165,0.255102041,0,0,10.35714286,5,1.5714,0
0,27,10,120,0.3125,0,0,22.0,4,1.2,0
0,16,14,102,0.75,0,0,49.5,6,3.0,0
0,32,0,198,0.25,0,0,37.6,5,2.0,0
0,147,29,867,0.103954802,0,0,13.26666667,10,1.4667,1
0,88,15,595,0.257142857,2,2,35.5,9,2.125,0
0,4,1,4,0.5,0,0,0.0,1,1.0,0
0,11,6,39,0.333333333,1,1,8.25,1,0.5,0
0,23,10,87,0.4,1,2,13.0,3,1.1667,0
0,30,12,167,0.4,1,2,26.33333333,11,2.5,0
0,8,3,8,0.4375,0,0,0.0,1,1.0,0
0,7,3,76,0.5555555560000001,0,0,23.66666667,4,1.6667,0
0,136,28,806,0.11901306199999999,0,0,13.42592593,23,1.3704,0
0,23,10,87,0.4,1,2,13.0,3,1.1667,0
0,34,12,190,0.4,1,2,30.16666667,10,2.3333,0
0,96,32,527,0.36111111100000004,0,0,73.71428571,20,4.2857,1
