wmc,cbo,rfc,ca,ce,npm,lcom3,loc,dam,moa,cam,cbm,max_cc,avg_cc,bug
11,2,17,2,0,8,0.25,383,1.0,0,0.436363636,0,4,1.8182,0
18,17,98,4,17,3,0.784313725,639,1.0,3,0.194444444,4,15,2.7778,0
11,8,53,2,8,1,0.716666667,349,1.0,0,0.5,5,6,1.9091,0
1,12,2,10,2,1,2.0,5,0.0,0,1.0,0,0,0.0,0
19,13,99,4,11,9,0.7222222220000001,777,0.7777777779999999,0,0.111111111,0,14,2.8947,0
31,3,44,3,0,25,0.470588235,1283,0.705882353,0,0.301075269,0,7,1.4516,0
13,9,38,5,8,9,0.8125,177,1.0,2,0.307692308,3,2,1.0,2
9,8,12,4,4,6,0.75,91,1.0,3,0.37037037,0,3,1.3333,0
3,11,29,2,11,3,2.0,157,0.0,0,0.666666667,0,10,3.6667,0
6,10,16,9,1,4,1.128571429,183,0.0,2,0.32,0,2,0.8333,1
5,8,45,5,6,1,0.805555556,318,1.0,1,0.5,5,6,2.6,0
3,29,3,29,0,3,1.5,4,0.0,0,0.833333333,0,1,1.0,0
13,13,34,10,4,10,0.8125,168,0.5,0,0.17857142899999998,1,4,1.4615,0
23,38,113,31,18,12,0.903846154,1127,0.923076923,2,0.17391304300000002,7,19,3.0869999999999997,0
13,17,30,12,6,13,0.7333333329999999,278,1.0,3,0.33846153799999995,0,5,2.2308,3
11,11,57,3,8,7,0.533333333,513,1.0,0,0.35,0,3,1.1818,0
15,11,50,7,5,14,1.071428571,896,0.375,0,0.304761905,0,31,7.4,2
5,3,12,2,1,3,0.46875,272,1.0,0,0.6,0,10,3.8,0
16,112,50,112,2,7,0.88627451,456,0.588235294,1,0.14285714300000002,0,7,2.3125,0
4,3,5,1,2,3,1.0,15,0.0,1,0.533333333,0,1,0.5,0
5,3,29,1,3,3,0.625,109,1.0,1,1.0,12,1,0.8,0
11,7,28,3,6,9,0.75,161,0.5,0,0.386363636,2,5,2.2727,0
7,7,41,3,5,6,2.0,220,0.0,0,0.5,2,1,0.4286,0
24,9,80,5,7,7,0.8498023720000001,564,0.9090909090000001,3,0.162878788,4,7,1.875,0
58,123,174,109,20,52,0.944444444,1911,0.333333333,1,0.097007224,0,16,2.931,4
3,7,12,6,1,3,1.166666667,261,0.666666667,0,0.333333333,0,85,28.6667,1
8,5,31,3,4,1,0.761904762,121,0.666666667,1,0.5,12,1,0.75,0
6,6,9,4,3,6,2.0,34,0.0,0,0.611111111,0,2,1.0,0
20,18,84,5,18,5,0.821052632,499,1.0,3,0.33,5,12,1.65,1
3,3,8,3,0,3,0.0,24,0.0,0,0.666666667,0,1,0.6667,0
13,1,20,1,1,9,0.805555556,115,1.0,0,0.269230769,0,2,1.0769,0
27,37,96,13,26,18,0.873076923,927,0.6,3,0.21153846199999998,0,6,1.7037,0
3,12,18,2,12,3,2.0,89,0.0,0,0.666666667,0,4,1.6667,0
9,6,18,6,1,8,1.015625,368,0.10416666699999999,17,0.40625,0,2,1.0,0
10,14,73,12,12,1,0.904761905,358,0.7142857140000001,3,0.233333333,0,2,1.0,0
7,6,52,0,6,4,0.7142857140000001,341,0.28571428600000004,0,0.2,0,11,3.5714,0
11,22,57,1,21,1,0.8,455,1.0,0,0.409090909,1,1,0.8182,0
4,15,22,2,13,1,2.0,119,0.0,0,0.4375,1,1,0.75,0
8,13,17,13,0,4,1.0,160,0.0,0,0.5,0,8,2.125,0
12,23,97,8,21,5,0.805194805,569,1.0,3,0.26388888899999996,1,11,2.5,1
11,3,17,3,0,10,0.1,514,0.0,0,0.4,0,11,2.4545,0
3,11,17,1,10,2,2.0,149,0.0,0,0.5,1,1,0.6667,0
18,15,120,5,12,10,0.752941176,897,0.9,1,0.171717172,9,16,2.8889,0
6,8,36,3,7,3,0.666666667,219,1.0,1,0.3,13,8,2.6667,0
24,1,41,1,0,18,0.8242753620000001,749,0.166666667,9,0.149758454,0,13,2.5833,0
1,5,1,5,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
12,9,24,4,5,7,0.75,182,0.0,2,0.333333333,0,3,0.8333,0
10,5,42,2,5,9,0.666666667,219,1.0,0,0.375,1,4,1.6,1
5,11,24,1,10,1,1.0,309,0.0,0,0.333333333,1,4,2.0,0
5,6,45,1,5,4,0.611111111,368,1.0,2,0.4,0,6,2.6,0
5,5,29,1,4,4,0.5625,198,0.75,0,0.46666666700000003,7,8,2.2,0
3,2,17,0,2,3,0.5,303,1.0,0,1.0,4,6,2.3333,0
7,8,19,4,4,7,1.0,70,1.0,1,0.7857142859999999,0,4,1.2857,0
19,20,88,7,15,15,0.642857143,783,0.7142857140000001,1,0.25,0,17,4.2632,1
5,14,13,4,10,5,1.0,34,1.0,1,0.292307692,0,1,0.8,0
5,12,13,2,10,4,0.666666667,93,0.0,4,0.28,0,2,1.0,0
10,9,26,4,6,8,0.518518519,143,1.0,0,0.32,1,3,1.1,0
9,20,27,10,10,7,0.8125,288,0.75,0,0.27777777800000003,0,12,2.8889,0
5,10,21,2,8,4,0.625,187,0.0,0,0.44,1,1,0.8,0
4,5,8,4,3,1,1.0,239,0.2,3,0.5,0,6,3.25,0
51,25,131,18,15,48,0.971666667,923,0.13888888900000002,5,0.130718954,21,7,1.6078,1
4,46,12,43,4,3,2.0,50,0.0,0,0.625,0,3,1.0,0
13,9,56,3,9,1,0.7638888890000001,316,1.0,1,0.384615385,12,5,1.2308,0
6,14,7,14,0,6,0.8,38,1.0,0,0.375,0,1,0.8333,0
3,4,30,0,4,3,0.5,335,1.0,10,1.0,4,1,0.6667,0
11,11,54,5,8,8,0.7,302,0.333333333,0,0.2,0,10,2.0909,0
5,4,18,0,4,5,0.375,176,1.0,2,0.36666666700000006,3,7,2.6,0
9,17,34,15,3,8,0.708333333,142,1.0,0,0.375,15,3,1.2222,0
7,12,23,2,10,7,0.833333333,191,1.0,2,0.314285714,2,6,1.7143,0
15,28,47,12,19,10,0.635714286,523,0.7,3,0.195833333,0,3,0.9333,0
130,258,450,223,79,91,0.9272921679999999,5494,0.9655172409999999,10,0.051550387999999996,0,71,4.0,6
3,11,14,3,8,2,1.0,61,0.0,0,0.46666666700000003,3,1,0.6667,0
2,6,2,6,1,2,2.0,2,0.0,0,1.0,0,1,1.0,0
1,2,2,2,1,0,2.0,8,0.0,3,1.0,0,0,0.0,0
9,20,52,4,20,2,0.770833333,398,1.0,4,0.24691358,0,7,2.2222,6
6,9,14,8,3,5,0.933333333,86,0.166666667,1,0.4,1,1,0.6667,0
4,1,8,1,0,4,1.0,82,0.0,0,0.35,2,1,0.75,0
2,5,2,5,0,2,2.0,2,0.0,0,1.0,0,1,1.0,0
32,40,161,27,26,17,0.806451613,1927,0.882352941,4,0.192708333,0,18,3.5,2
3,12,31,2,12,3,2.0,153,0.0,0,0.666666667,0,10,3.6667,0
3,4,4,4,0,3,1.4375,23,0.0,2,0.5,0,2,1.0,0
2,9,7,1,8,1,1.0,29,0.0,0,0.625,1,1,0.5,0
10,4,34,1,4,1,0.848484848,313,1.0,0,0.5,5,5,1.6,0
4,2,5,1,1,3,0.0,59,1.0,0,0.666666667,0,3,1.75,0
14,20,27,19,1,10,0.653846154,386,0.125,1,0.342857143,0,6,2.3571,0
32,6,53,2,6,17,0.853046595,2884,0.9259259259999999,13,0.204301075,0,40,6.5,0
8,8,19,2,6,4,0.7662337659999999,379,0.9090909090000001,2,0.295454545,3,11,3.75,0
16,18,120,8,13,12,0.813333333,873,0.8,2,0.171875,12,29,4.75,1
6,8,47,3,8,3,0.8,300,1.0,0,0.38888888899999996,0,1,0.8333,0
6,16,50,6,11,2,0.55,546,1.0,1,0.3,0,5,1.8333,0
4,4,16,1,4,3,0.666666667,67,1.0,0,0.333333333,0,4,2.5,0
3,7,8,5,2,3,0.0,29,1.0,0,0.666666667,1,1,0.6667,0
1,1,2,0,1,1,2.0,5,0.0,0,1.0,0,0,0.0,0
2,7,5,2,5,2,1.0,22,0.0,0,0.625,1,1,0.5,0
5,11,6,11,0,5,0.75,36,1.0,0,0.46666666700000003,1,1,0.8,0
6,20,44,2,18,1,1.114285714,372,0.0,0,0.6190476189999999,0,1,0.8333,0
4,2,25,1,1,3,0.444444444,197,1.0,0,0.375,3,2,1.25,0
26,19,101,5,16,21,0.8685714290000001,787,0.857142857,1,0.14800000000000002,0,10,2.5,0
12,14,59,5,9,6,0.7412587409999999,1572,1.0,4,0.1875,0,45,9.3333,4
5,11,6,11,0,5,2.0,54,0.0,0,0.65,0,3,1.2,0
20,20,107,12,16,8,0.8229665070000001,569,1.0,1,0.21666666699999998,1,8,1.45,1
3,11,10,4,7,2,2.0,81,0.0,0,0.533333333,1,1,0.6667,0
16,3,35,3,0,14,0.653333333,679,0.8,0,0.34375,0,13,2.5,0
4,11,25,3,8,2,2.0,208,0.0,0,0.625,1,1,0.75,0
2,3,3,2,2,2,2.0,8,0.0,0,0.625,0,1,0.5,0
11,2,16,1,2,11,0.6,52,1.0,1,0.424242424,0,1,0.9091,0
2,5,6,3,2,2,2.0,65,0.0,0,0.625,0,7,3.5,0
26,20,65,9,13,0,0.675555556,1311,1.0,4,0.274038462,0,29,3.9615,1
8,4,10,4,0,8,0.5,75,1.0,0,0.75,0,2,0.875,0
8,10,26,2,8,6,0.28571428600000004,153,1.0,0,0.40625,2,4,1.875,0
5,5,33,1,5,3,0.7236842109999999,431,1.0,10,0.5,5,2,1.2,0
12,7,28,6,2,10,0.545454545,258,1.0,1,0.270833333,0,5,1.8333,0
16,1,34,1,0,2,0.5166666670000001,259,1.0,0,0.3875,0,5,1.5625,0
259,83,522,68,38,214,0.919835118,9932,0.666666667,10,0.072057787,18,30,3.6873,9
5,11,10,5,6,3,0.625,128,0.25,0,0.44,1,3,1.6,0
20,21,65,13,16,7,0.861244019,352,1.0,5,0.19166666699999999,1,5,1.4,2
6,16,35,2,16,4,0.95,162,0.0,0,0.19047619,0,5,2.1667,0
16,14,95,4,14,1,0.791666667,559,1.0,1,0.3125,13,5,1.625,0
4,2,6,2,0,3,2.0,83,0.0,0,0.5625,11,3,1.25,0
42,22,105,13,17,14,0.75,2076,0.625,6,0.201219512,0,23,4.3333,2
5,5,13,3,3,4,0.875,52,0.25,0,0.5,1,1,0.6,0
4,7,20,1,6,3,0.0,79,1.0,0,0.5,1,3,1.25,1
4,6,25,0,6,3,2.0,124,0.0,0,0.5,0,6,2.25,0
2,8,2,7,1,2,2.0,2,0.0,0,0.7,0,1,1.0,0
12,12,42,10,9,3,0.883116883,211,1.0,1,0.236111111,0,2,1.0,0
9,20,43,12,11,3,0.798076923,466,0.0,1,0.365079365,0,4,0.6667,0
5,7,34,3,6,1,0.8,203,1.0,2,0.35,0,1,0.8,0
4,9,9,3,6,2,1.0,47,0.0,0,0.6,1,2,0.75,0
5,7,46,1,7,1,0.568181818,395,1.0,2,0.5,4,6,3.2,0
1,2,2,1,1,1,2.0,6,0.0,0,1.0,0,0,0.0,0
5,3,32,0,3,4,0.5,300,0.0,0,0.375,0,11,2.6,0
13,7,33,5,2,12,0.604166667,261,1.0,0,0.252747253,0,7,1.4615,0
4,9,13,9,1,3,1.222222222,71,0.133333333,0,0.5,1,1,0.75,0
12,4,29,1,4,8,0.8383838379999999,216,1.0,2,0.319444444,2,5,1.9167,0
2,7,6,1,6,1,2.0,28,0.0,0,0.625,1,1,0.5,0
9,14,29,7,9,4,0.708333333,180,0.0,2,0.333333333,0,3,1.6667,0
11,12,55,4,11,5,0.75,231,1.0,0,0.295454545,12,2,1.0909,0
3,12,20,1,11,1,1.0,294,0.0,0,0.533333333,1,1,0.6667,0
2,5,3,3,2,2,2.0,13,0.0,0,0.75,0,0,0.0,0
21,17,67,10,11,19,0.764285714,492,0.857142857,2,0.19375,0,6,1.7143,0
14,14,95,2,13,4,0.7820512820000001,773,1.0,0,0.214285714,0,6,1.7857,0
2,12,10,1,11,1,1.125,136,0.625,4,0.625,1,1,0.5,0
6,10,29,5,9,1,0.7,139,1.0,3,0.38888888899999996,0,2,1.0,0
6,9,29,5,6,3,0.666666667,141,1.0,2,0.5,7,1,0.8333,0
10,11,24,4,7,7,2.0,99,0.0,0,0.32857142899999997,0,2,1.1,0
19,20,58,11,13,17,0.75,451,1.0,2,0.240601504,0,13,2.3158,0
351,51,443,1,51,88,0.6028571429999999,12200,0.538461538,8,0.126305793,0,18,2.8091,0
13,57,28,56,2,13,0.0,161,1.0,0,0.487179487,0,2,1.0769,0
25,29,87,15,22,10,0.8472222220000001,497,0.8888888890000001,3,0.146666667,12,6,1.6,2
6,7,14,3,4,4,1.0,147,1.0,2,0.5,2,1,0.3333,0
14,14,16,12,2,14,2.0,38,0.0,0,0.41428571399999997,0,1,0.9286,0
11,6,23,2,4,10,0.533333333,494,0.333333333,1,0.272727273,4,14,3.2727,0
8,6,60,2,6,3,0.8,294,1.0,0,0.375,5,5,1.375,0
86,9,97,0,9,84,2.0,709,0.0,0,0.05620155,0,3,1.0233,0
2,4,4,1,3,2,2.0,10,0.0,0,0.75,0,1,0.5,0
7,10,30,2,9,2,0.621212121,617,0.636363636,2,0.265306122,0,9,3.7143,0
13,14,124,3,14,3,0.943333333,1749,0.28,3,0.171597633,0,22,4.2308,0
3,8,14,6,3,3,2.0,46,0.0,0,0.833333333,0,1,0.6667,0
2,11,11,5,6,1,2.0,53,0.0,0,0.625,0,1,0.5,0
2,3,2,3,1,2,2.0,2,0.0,0,1.0,0,1,1.0,0
5,3,12,2,1,3,0.53125,254,1.0,0,0.6,0,10,3.8,0
3,6,9,4,2,3,0.0,36,1.0,0,0.666666667,1,1,0.6667,0
6,5,25,1,5,4,0.771428571,215,0.857142857,0,0.7222222220000001,3,7,3.0,0
2,1,4,0,1,2,2.0,16,0.0,0,0.75,1,2,1.0,0
6,4,7,3,1,6,0.133333333,118,1.0,0,0.5,0,4,2.0,0
3,4,9,1,3,0,0.5,106,1.0,0,0.444444444,2,11,4.0,0
11,20,37,12,13,8,0.45,353,0.0,2,0.214876033,0,7,1.6364,0
6,14,16,3,11,2,1.0,113,0.0,1,0.46666666700000003,0,2,1.0,0
13,26,20,24,3,13,0.583333333,71,1.0,0,0.307692308,0,1,0.9231,0
1,12,2,10,2,1,2.0,16,0.0,1,1.0,0,0,0.0,0
1,13,1,13,0,0,2.0,672,0.0,0,0.0,0,0,0.0,0
12,3,31,1,3,3,0.818181818,269,1.0,0,0.5,4,1,0.9167,0
64,154,268,134,46,46,0.9592999590000001,2220,0.487179487,10,0.07734375,9,36,3.1406,10
3,4,8,1,3,0,0.75,151,0.5,0,0.444444444,2,18,7.3333,0
21,8,32,4,4,19,0.825,841,1.0,1,0.380952381,0,17,3.2857,0
8,15,57,4,12,3,0.28571428600000004,429,1.0,1,0.3,11,36,6.125,0
6,5,26,5,1,6,2.0,193,0.0,0,0.233333333,0,5,2.3333,0
20,23,79,7,19,8,0.771929825,1578,0.5555555560000001,1,0.252631579,0,5,1.8,0
5,6,11,5,1,5,2.0,48,0.0,0,0.45,0,2,1.6,0
4,6,37,0,6,3,2.0,326,0.0,0,0.4375,0,19,5.75,0
3,12,16,3,10,2,1.0,123,0.0,1,0.5,2,1,0.6667,0
2,4,2,3,2,2,2.0,2,0.0,0,1.0,0,1,1.0,0
46,44,89,39,7,29,0.898412698,2089,0.071428571,2,0.08444444400000001,1,14,2.5869999999999997,0
32,25,114,16,17,14,2.0,1517,0.0,0,0.16796875,0,7,1.5313,0
21,15,49,14,5,9,0.85625,658,0.6875,5,0.16931216899999998,0,14,3.1905,0
5,21,16,21,3,4,0.5,56,1.0,1,0.44,0,1,0.6,0
4,4,17,2,3,4,2.0,86,0.0,0,0.6,1,2,1.0,0
15,24,33,22,2,13,0.6964285709999999,437,1.0,0,0.46666666700000003,0,2,1.1333,0
2,4,3,3,1,1,1.0,10,0.0,0,0.75,0,1,0.5,0
3,3,7,0,3,3,2.0,33,0.0,0,0.75,0,0,0.0,0
8,8,14,2,6,7,0.428571429,175,1.0,0,0.4375,0,11,3.125,0
8,9,25,8,2,5,0.28571428600000004,105,1.0,0,0.35,2,2,1.0,0
1,2,1,2,0,0,2.0,196,0.0,0,0.0,0,0,0.0,0
164,138,378,109,49,126,0.94432226,5866,0.679245283,11,0.08271474,0,57,3.4817,7
12,13,69,2,12,3,0.872727273,692,1.0,3,0.291666667,1,8,1.5,0
2,1,5,0,1,2,2.0,14,0.0,0,0.75,0,1,0.5,0
7,4,21,1,3,0,0.541666667,299,1.0,1,0.333333333,3,16,4.7143,0
5,5,22,1,4,0,0.125,206,1.0,0,0.35,3,11,4.0,0
4,2,7,1,1,3,0.222222222,62,1.0,0,0.666666667,0,3,1.75,0
5,7,5,7,1,5,2.0,5,0.0,0,1.0,0,1,1.0,0
10,20,22,14,9,10,0.8888888890000001,164,0.0,1,0.4,0,5,1.6,0
17,21,76,10,17,3,0.7857142859999999,496,1.0,5,0.20535714300000002,5,11,2.0,0
61,65,218,36,46,34,0.943421053,1885,0.552631579,8,0.128787879,12,22,2.4262,1
12,56,25,55,3,9,0.606060606,216,0.0,2,0.39583333299999995,2,3,1.6667,0
14,5,39,3,2,9,0.794871795,306,0.333333333,0,0.41071428600000004,2,6,1.9286,0
58,71,166,58,23,45,0.804385965,1720,0.2,5,0.117647059,0,34,1.6552,0
15,9,59,7,3,8,0.775510204,519,0.857142857,1,0.375,6,5,1.8667,1
14,10,56,2,10,1,0.538461538,708,1.0,3,0.5,3,3,1.3571,0
4,4,12,3,1,4,0.666666667,37,1.0,1,0.5,0,1,0.75,0
25,39,156,26,23,15,0.7666666670000001,936,0.7,5,0.172619048,2,29,3.04,0
15,8,87,4,8,3,0.7767857140000001,726,1.0,1,0.24,0,12,2.0667,0
2,15,24,1,14,1,1.0,177,0.0,0,0.625,1,4,2.0,0
6,13,45,5,10,5,0.8,545,0.5,0,0.27777777800000003,0,20,5.8333,2
3,5,27,1,5,3,1.0,111,1.0,0,0.666666667,0,1,0.6667,0
9,10,55,3,9,4,0.675,607,0.2,1,0.13888888900000002,0,12,5.7778,2
3,5,11,1,4,0,0.0,87,0.0,1,0.444444444,2,7,3.0,0
2,2,4,2,0,2,2.0,55,0.0,0,0.5,0,5,2.5,0
5,4,33,0,4,4,0.375,161,1.0,0,0.25,0,3,1.6,0
13,10,68,2,10,1,0.796296296,512,1.0,5,0.5,5,9,2.1538,0
2,9,4,9,0,2,2.0,9,0.0,0,0.75,0,0,0.0,0
8,12,41,2,11,7,0.542857143,212,1.0,3,0.46875,1,8,1.5,0
6,7,15,6,2,5,0.8666666670000001,68,0.333333333,0,0.4,1,1,0.6667,0
9,13,73,3,11,2,0.796875,922,0.958333333,4,0.25,0,14,2.6667,0
10,7,47,4,5,4,0.592592593,254,1.0,1,0.271428571,2,4,1.3,0
8,2,11,2,0,0,0.688311688,256,0.0,1,0.265625,0,12,2.75,0
10,11,36,4,8,9,0.694444444,291,0.75,1,0.37777777799999995,2,4,1.7,0
2,2,5,0,2,2,2.0,74,0.0,0,0.625,0,9,4.5,0
5,2,17,1,1,3,0.5,137,1.0,0,0.5,0,3,2.0,0
2,6,9,1,5,1,1.0,32,1.0,0,0.75,0,2,1.0,0
53,100,145,96,8,49,0.9884615379999999,2291,0.0,0,0.076923077,0,22,4.8113,3
7,39,7,39,0,7,2.0,7,0.0,0,0.523809524,0,1,1.0,0
6,4,12,1,3,3,0.6,343,1.0,0,0.46666666700000003,0,11,4.8333,0
2,19,4,18,1,1,1.0,72,0.0,0,1.0,0,0,0.0,0
2,10,7,1,9,1,1.0,79,0.0,0,0.625,1,1,0.5,0
1,22,2,22,0,1,2.0,5,0.0,0,1.0,0,0,0.0,0
12,13,61,11,3,11,0.787878788,435,0.8888888890000001,0,0.36111111100000004,0,16,3.6667,0
2,7,6,1,6,1,2.0,36,0.0,0,0.625,1,1,0.5,0
5,5,12,3,3,4,0.8,60,0.4,0,0.4375,1,1,0.6,0
10,9,67,4,9,3,0.7111111109999999,375,1.0,1,0.26,0,3,1.6,0
6,3,11,1,3,5,0.488888889,135,1.0,3,0.333333333,0,6,1.6667,0
5,4,21,1,4,3,0.833333333,106,0.0,0,0.3,0,4,1.4,0
5,7,21,1,6,2,0.5,154,0.0,0,0.36666666700000006,0,10,4.0,0
43,42,148,11,35,30,0.781746032,1738,0.916666667,4,0.098901099,0,26,2.7907,3
10,8,46,3,5,8,0.650793651,569,0.14285714300000002,0,0.166666667,0,25,6.8,0
4,2,7,1,1,3,0.0,59,1.0,0,0.666666667,0,3,1.75,0
7,30,25,26,4,4,0.611111111,182,0.666666667,1,0.208333333,0,7,1.7143,0
47,41,109,19,25,26,0.946488294,2547,0.46153846200000004,2,0.23007246399999998,2,11,1.766,0
1,3,2,1,2,1,2.0,5,0.0,0,1.0,0,0,0.0,0
6,4,22,1,3,0,1.0625,283,0.0,0,0.28571428600000004,2,24,5.0,0
5,2,5,1,1,5,2.0,5,0.0,0,0.64,0,1,1.0,0
1,5,2,3,2,1,2.0,5,0.0,0,1.0,0,0,0.0,0
74,53,147,41,20,48,0.913894325,1785,0.666666667,5,0.10697977800000001,0,6,1.6486,1
12,5,34,1,5,8,0.818181818,188,1.0,1,0.27380952399999997,4,4,1.5833,0
1,3,2,1,2,1,2.0,5,0.0,0,1.0,0,0,0.0,0
8,20,21,11,9,6,0.428571429,89,0.0,0,0.4375,1,1,0.875,0
11,5,34,1,5,4,0.91,321,0.6,0,0.272727273,1,7,1.6364,0
31,11,47,9,3,30,0.922807018,382,1.0,6,0.13030303,0,5,1.2258,0
11,2,14,2,1,11,0.8,50,1.0,1,0.454545455,0,1,0.9091,0
5,9,5,9,1,5,2.0,5,0.0,0,0.666666667,0,1,1.0,0
6,2,19,2,0,4,1.12,184,0.0,0,0.5,1,14,2.8333,0
10,11,38,7,4,10,0.656565657,611,0.090909091,1,0.26666666699999997,0,12,5.1,1
15,16,81,4,15,7,0.767857143,651,0.75,0,0.157142857,0,15,3.4667,0
3,7,19,3,6,1,0.0,91,0.0,0,0.666666667,0,1,0.6667,0
2,3,8,1,2,0,0.0,51,1.0,0,0.833333333,0,2,1.0,0
41,41,143,28,29,28,0.904411765,1660,0.529411765,5,0.1,15,11,2.7805,3
8,5,33,4,1,8,0.571428571,419,1.0,0,0.625,0,12,3.375,0
3,5,10,2,4,2,0.5,41,1.0,0,0.4,1,1,0.6667,0
5,5,40,3,4,3,0.75,219,1.0,0,0.3,5,1,0.8,1
11,3,24,2,1,7,0.833333333,177,0.0,0,0.303030303,3,6,2.0,0
4,3,49,1,2,4,0.7333333329999999,236,1.0,0,0.625,2,1,0.75,0
5,4,11,0,4,5,2.0,44,0.0,0,0.9,1,2,1.0,0
1,1,2,1,0,0,2.0,6,0.0,0,1.0,0,0,0.0,0
7,7,12,7,0,6,0.5,64,1.0,0,0.166666667,0,4,1.5714,0
22,8,85,4,7,7,0.761904762,698,1.0,1,0.185185185,5,5,1.0,0
8,17,25,4,14,2,0.48214285700000004,252,0.0,4,0.45,1,4,1.375,0
24,24,96,15,16,15,0.7888198759999999,463,1.0,3,0.15833333300000002,4,9,1.5417,1
3,4,23,0,4,1,0.5,208,1.0,1,1.0,3,2,1.0,0
14,8,35,5,4,11,0.7606837609999999,327,0.8888888890000001,1,0.22448979600000002,0,9,1.7857,0
8,15,9,13,2,0,0.761904762,65,1.0,2,0.35416666700000005,0,3,1.25,0
18,12,72,2,10,11,0.8805147059999999,1169,1.0,4,0.261904762,3,39,6.0,1
6,4,6,4,1,6,2.0,6,0.0,0,0.8888888890000001,0,1,1.0,0
16,20,25,19,1,9,0.833333333,119,0.0,0,0.322916667,0,5,1.0625,0
3,2,15,0,2,1,0.5,126,1.0,0,1.0,3,1,0.6667,0
51,5,67,1,4,7,0.7648,7191,0.16,1,0.4,0,167,8.902000000000001,0
7,7,10,7,1,2,0.625,64,1.0,1,0.428571429,0,2,1.1429,0
0,1,0,1,0,0,2.0,179,0.0,0,0.0,0,0,0.0,0
6,8,38,4,5,3,0.68,253,0.4,0,0.32,11,8,2.5,0
12,7,36,1,7,8,0.8656126479999999,504,1.0,4,0.319444444,3,14,3.6667,0
5,4,22,1,4,1,0.3125,450,1.0,4,0.5,3,5,1.6,0
4,4,8,1,3,0,0.666666667,55,1.0,0,0.375,2,6,2.0,0
29,26,94,23,6,15,0.790816327,621,1.0,1,0.221674877,7,15,2.4483,0
8,15,45,8,7,5,0.726190476,339,0.25,1,0.242857143,3,9,3.0,0
11,8,31,4,5,7,0.55,178,0.0,0,0.363636364,2,4,1.9091,0
13,9,40,2,7,10,0.666666667,418,0.333333333,1,0.333333333,1,5,2.2308,1
16,10,56,3,8,13,0.76,524,0.6,0,0.18,7,15,3.5625,0
6,1,6,1,0,6,2.0,6,0.0,0,0.75,0,1,1.0,0
4,21,12,11,11,2,0.0,169,0.0,0,0.583333333,1,1,0.75,0
1,35,1,35,1,1,2.0,1,0.0,0,1.0,0,1,1.0,0
4,13,14,4,9,2,2.0,113,0.0,0,0.6,1,1,0.75,0
7,42,16,42,1,7,0.333333333,62,1.0,0,0.428571429,0,1,0.7143,0
14,7,55,3,7,4,0.8888888890000001,357,0.8888888890000001,1,0.28571428600000004,0,3,1.0714,0
39,30,173,9,28,8,0.8149122809999999,1973,0.9,5,0.17293233100000002,4,15,2.359,0
2,8,2,8,0,2,2.0,2,0.0,0,0.75,0,1,1.0,0
12,19,68,6,18,0,0.690909091,437,1.0,1,0.3,0,6,1.8333,0
17,9,31,5,7,11,0.710227273,507,1.0,8,0.218487395,0,8,2.8235,0
4,7,17,5,5,2,0.5,61,1.0,1,0.41666666700000005,0,2,1.0,0
8,28,64,0,28,6,2.0,437,0.0,0,0.375,0,1,0.875,0
7,3,8,1,2,7,2.0,16,0.0,0,0.80952381,0,1,0.8571,0
3,4,5,1,3,0,2.0,20,0.0,0,0.46666666700000003,2,1,0.6667,0
