wmc,cbo,rfc,ce,lcom3,loc,dam,moa,cam,cbm,amc,max_cc,bug
1,5,1,2,2.0,1,0.0,0,1.0,0,0.0,1,0
3,8,14,8,2.0,45,0.0,0,0.5555555560000001,0,14.0,3,0
4,19,69,18,0.583333333,598,1.0,0,0.333333333,0,147.5,40,0
7,20,32,4,0.5,220,1.0,0,0.333333333,0,30.14285714,7,0
4,18,38,16,0.0,268,1.0,1,0.5,0,65.75,27,2
6,10,20,7,0.533333333,106,1.0,1,0.4,2,16.16666667,2,0
9,24,45,24,0.875,235,1.0,0,0.270833333,0,24.66666667,7,1
9,11,45,11,0.75,351,1.0,0,0.4,0,37.77777778,1,2
2,13,16,13,2.0,88,0.0,0,0.75,2,43.0,6,1
20,14,71,12,0.837320574,677,1.0,3,0.190789474,0,32.3,34,2
5,7,33,6,0.55,207,1.0,0,0.625,0,39.4,5,0
3,2,7,1,2.0,43,0.0,0,0.7777777779999999,2,13.33333333,2,0
7,48,7,1,2.0,7,0.0,0,0.428571429,0,0.0,1,1
3,9,15,8,0.5,50,1.0,0,0.5,0,15.33333333,3,1
11,11,38,9,0.56,336,1.0,1,0.28,0,29.09090909,3,0
2,10,8,10,2.0,38,0.0,0,0.75,2,18.0,3,0
67,44,172,37,0.952101662,1449,0.967741935,5,0.109090909,0,20.164179100000002,49,3
3,11,32,11,1.5,232,1.0,0,0.5555555560000001,0,75.33333333,16,2
5,26,18,7,1.0,154,1.0,0,0.45,0,26.8,5,0
14,15,26,7,0.7692307690000001,159,1.0,2,0.3,0,9.928571429,9,0
18,2,28,1,0.852941176,200,1.0,0,0.36111111100000004,0,9.666666667000001,1,0
4,5,9,5,0.666666667,31,1.0,0,0.666666667,0,6.5,1,0
2,4,5,0,1.689655172,88,0.0,0,1.0,0,28.5,0,2
3,7,15,7,2.0,46,0.0,0,0.5555555560000001,0,14.33333333,3,0
3,9,13,8,0.0,113,1.0,1,0.533333333,0,35.66666667,1,0
3,12,24,12,2.0,94,0.0,0,0.5555555560000001,0,30.33333333,8,0
7,10,37,9,0.75,227,1.0,0,0.375,0,31.14285714,20,0
3,10,21,10,2.0,110,0.0,0,0.5555555560000001,0,35.66666667,9,0
3,12,31,12,2.0,144,0.0,0,0.5555555560000001,0,47.0,11,1
2,6,9,6,2.0,20,0.0,0,0.75,0,9.0,1,0
12,10,37,8,0.8311688309999999,390,0.7142857140000001,1,0.3,0,30.91666667,30,1
2,11,14,11,2.0,63,0.0,0,0.75,2,30.5,4,0
5,11,38,11,0.75,220,1.0,1,0.4375,4,42.8,12,0
7,7,42,4,0.333333333,558,1.0,0,0.3,0,78.57142857,12,1
16,17,66,14,0.8,918,1.0,0,0.333333333,0,56.0,16,1
2,6,6,4,2.0,21,0.0,0,0.5,0,9.5,2,0
7,1,8,0,0.7222222220000001,113,1.0,0,0.428571429,0,14.28571429,7,0
10,11,33,7,0.746031746,248,1.0,0,0.314814815,0,23.1,6,1
9,10,30,5,0.671875,235,0.125,0,0.34375,0,24.22222222,3,1
5,12,19,9,1.0,143,1.0,0,0.583333333,0,27.4,1,0
2,11,2,1,2.0,2,0.0,0,0.75,0,0.0,1,0
4,7,4,1,2.0,4,0.0,0,0.7,0,0.0,1,0
6,11,37,10,0.4,214,1.0,0,0.26666666699999997,0,34.5,8,1
1,0,2,0,2.0,4,0.0,0,1.0,0,3.0,0,0
17,11,39,9,0.794642857,535,1.0,3,0.218487395,3,30.05882353,21,1
3,2,4,1,0.0,17,1.0,0,0.666666667,0,4.333333333,1,0
1,1,1,0,2.0,1,0.0,0,1.0,0,0.0,1,0
4,11,23,10,0.583333333,101,1.0,0,0.333333333,0,23.25,4,0
7,5,11,3,0.7666666670000001,68,1.0,2,0.4,0,8.0,3,2
2,16,21,16,2.0,145,0.0,0,0.75,3,71.5,8,1
8,28,44,23,0.9285714290000001,342,1.0,0,0.37142857100000004,0,41.5,19,1
5,22,45,20,0.25,165,1.0,0,0.3,0,31.8,15,2
15,21,53,19,0.728571429,357,1.0,3,0.192592593,0,22.46666667,13,1
8,12,60,9,0.75,709,0.0,0,0.6785714290000001,0,86.125,23,2
4,7,7,6,0.666666667,30,1.0,1,0.5,0,6.25,2,0
8,34,36,16,0.771428571,181,1.0,0,0.346938776,0,21.0,5,0
3,13,27,13,2.0,128,0.0,0,0.5555555560000001,0,41.66666667,8,0
22,25,64,23,0.865800866,544,0.818181818,2,0.304761905,0,23.22727273,22,1
3,11,3,1,2.0,3,0.0,0,0.666666667,0,0.0,1,0
9,14,39,10,0.5,406,1.0,1,0.3125,0,43.66666667,7,2
2,12,14,5,2.0,40,0.0,0,0.666666667,0,19.0,3,0
3,13,18,11,0.5,90,1.0,0,0.5,0,28.0,7,0
4,12,25,10,0.5,145,1.0,0,0.333333333,0,34.75,12,0
1,1,1,0,2.0,1,0.0,0,1.0,0,0.0,1,0
9,2,12,1,0.8125,75,1.0,2,0.288888889,0,6.8888888889999995,4,0
14,3,15,0,0.7230769229999999,126,0.6,0,0.446428571,0,7.642857143,4,0
2,4,2,2,2.0,2,0.0,0,0.75,0,0.0,1,0
14,19,71,13,0.666666667,442,0.666666667,0,0.255102041,0,30.35714286,7,2
4,10,22,10,0.666666667,174,1.0,0,0.666666667,0,42.0,15,0
1,4,1,2,2.0,1,0.0,0,1.0,0,0.0,1,0
4,5,9,5,0.666666667,30,1.0,0,0.666666667,0,6.25,1,0
3,7,16,5,2.0,74,0.0,0,0.833333333,2,23.66666667,8,1
52,78,52,10,2.0,52,0.0,0,0.126602564,0,0.0,1,0
5,7,18,6,0.75,80,1.0,1,0.5,5,14.8,3,1
4,7,16,7,1.0,48,1.0,0,0.5555555560000001,6,10.75,1,1
3,5,12,4,2.0,33,0.0,0,0.5555555560000001,0,10.0,2,0
7,8,43,7,0.166666667,245,1.0,0,0.4,0,33.85714286,12,1
5,12,31,12,1.0,132,0.25,0,0.5,0,24.6,1,0
4,12,24,8,2.0,188,0.0,0,0.5,0,46.0,10,0
22,2,22,0,2.0,22,0.0,0,0.204545455,0,0.0,1,0
3,11,26,9,0.5,158,1.0,0,0.5,0,51.33333333,11,0
6,5,17,3,0.7,76,0.75,1,0.3,0,11.0,2,0
6,11,22,9,0.4,202,1.0,0,0.6,0,32.33333333,8,0
1,1,1,0,2.0,1,0.0,0,1.0,0,0.0,1,0
6,7,28,6,0.55,163,0.25,0,0.3,0,25.5,4,0
6,7,28,6,0.8,139,1.0,1,0.45,3,22.0,6,1
4,4,13,4,0.666666667,51,1.0,1,0.444444444,1,11.5,3,0
4,11,23,11,0.666666667,117,1.0,1,0.444444444,2,28.0,6,1
5,10,35,10,1.027777778,435,1.0,0,0.5,0,84.2,30,0
4,10,28,10,0.666666667,260,1.0,0,0.666666667,0,62.75,19,0
4,7,19,7,0.666666667,66,1.0,0,0.666666667,0,14.75,3,0
4,9,14,6,0.5,89,1.0,0,0.583333333,0,20.75,5,3
11,23,65,18,0.4,566,1.0,0,0.2625,0,50.36363636,35,0
23,22,74,18,0.8818181820000001,461,1.0,3,0.25974026,1,18.60869565,23,0
4,13,22,12,0.583333333,126,1.0,0,0.333333333,0,29.5,6,0
3,13,17,12,2.0,82,0.0,0,0.5555555560000001,7,26.33333333,3,0
3,12,16,12,2.0,101,0.0,0,0.5,2,32.66666667,7,0
50,46,108,20,0.871985158,976,0.9090909090000001,2,0.135007849,0,18.3,8,4
4,5,9,5,0.666666667,30,1.0,0,0.666666667,0,6.25,1,0
2,14,15,7,2.0,46,0.0,0,0.5,0,22.0,3,0
2,5,18,3,2.0,106,0.0,0,0.666666667,5,52.0,7,1
1,0,2,0,2.0,10,0.0,0,1.0,0,3.0,0,0
4,9,27,9,0.666666667,150,1.0,0,0.666666667,0,36.25,11,1
12,16,51,14,0.818181818,435,0.666666667,1,0.23809523800000001,0,34.75,27,1
2,8,14,8,2.0,46,0.0,0,0.75,0,22.0,1,0
7,9,28,6,0.541666667,265,1.0,1,0.333333333,0,36.28571429,3,2
2,11,16,6,2.0,50,0.0,0,0.75,0,24.0,5,1
3,9,15,9,2.0,50,0.0,0,0.5555555560000001,0,15.66666667,4,0
2,10,23,8,2.0,114,0.0,0,0.75,2,56.0,11,1
3,8,19,8,2.0,88,0.0,0,0.5555555560000001,0,28.33333333,8,0
1,0,2,0,2.0,6,0.0,0,1.0,0,3.0,0,0
3,8,11,6,0.5,26,1.0,0,0.5,0,7.333333333,1,0
13,14,45,12,0.583333333,382,1.0,1,0.19047619,0,28.0,4,0
25,26,87,24,0.854166667,753,1.0,1,0.188,0,28.64,16,2
6,34,105,32,0.5,620,1.0,0,0.37142857100000004,0,102.0,7,1
4,13,27,13,0.666666667,167,1.0,0,0.666666667,0,40.0,5,0
8,33,105,28,2.0,455,0.0,0,0.2,0,55.875,6,3
4,13,29,13,0.696969697,222,1.0,0,0.666666667,0,51.75,12,0
2,6,8,4,2.0,33,0.0,0,0.5,0,15.5,3,3
2,1,13,0,0.0,57,0.0,0,0.625,0,26.0,1,0
4,14,29,14,1.0,156,1.0,0,0.5555555560000001,0,37.75,10,0
3,12,29,11,0.5,143,1.0,0,0.5,0,46.33333333,12,0
8,7,18,4,0.7142857140000001,79,1.0,1,0.314285714,0,8.5,3,1
5,23,23,9,0.5,77,1.0,0,0.4375,0,14.2,2,0
61,46,136,21,0.8816666670000001,776,1.0,2,0.111241218,0,11.55737705,11,1
1,2,1,0,2.0,1,0.0,0,1.0,0,0.0,1,0
4,6,11,6,0.666666667,49,1.0,0,0.666666667,0,10.75,3,0
4,9,4,3,2.0,4,0.0,0,0.6875,0,0.0,1,0
15,15,42,9,0.726190476,326,0.833333333,1,0.4,1,20.33333333,7,0
16,13,60,9,0.8666666670000001,483,0.375,0,0.258928571,0,28.6875,8,1
5,7,26,3,0.25,288,1.0,0,0.6,0,56.2,9,0
2,14,6,3,1.977777778,106,0.0,0,1.0,0,7.0,0,4
4,78,4,1,2.0,4,0.0,0,0.5,0,0.0,1,0
6,14,22,9,2.0,146,0.0,0,0.5,0,23.33333333,4,0
11,5,59,4,1.075609756,1312,0.975609756,0,0.271428571,0,114.54545449999999,10,1
4,9,36,9,0.8666666670000001,371,1.0,0,0.666666667,0,89.25,23,2
1,0,2,0,2.0,7,0.0,0,1.0,0,3.0,0,0
3,7,16,5,2.0,70,0.0,0,0.833333333,2,22.33333333,8,1
7,9,22,9,0.7,114,1.0,1,0.39285714299999996,0,14.57142857,5,0
3,10,21,10,2.0,107,0.0,0,0.5555555560000001,0,34.66666667,11,0
15,23,75,13,0.28571428600000004,940,1.0,0,0.154761905,0,61.6,12,2
4,4,10,4,0.666666667,43,1.0,1,0.444444444,1,9.5,2,0
6,3,15,2,0.5,60,1.0,1,0.45833333299999995,0,8.666666667000001,1,0
