wmc,rfc,lcom,ce,npm,lcom3,dam,cam,bug
15,43,0,7,11,0.589285714,1.0,0.19166666699999999,1
2,4,1,3,2,2.0,0.0,0.666666667,0
10,37,0,4,9,0.38888888899999996,1.0,0.34,1
6,19,15,0,4,1.12,0.0,0.5,0
4,39,0,6,0,0.8888888890000001,0.5,0.375,7
15,27,7,6,7,0.6122448979999999,1.0,0.2,1
15,18,103,0,15,0.9285714290000001,1.0,0.28,1
4,5,6,1,4,2.0,0.0,1.0,4
2,9,1,6,0,2.0,0.0,0.583333333,0
7,30,1,5,7,0.0,1.0,0.314285714,3
2,2,1,1,2,2.0,0.0,0.666666667,0
7,21,0,6,5,0.666666667,0.333333333,0.375,2
7,16,0,3,6,0.333333333,1.0,0.47619047600000003,0
2,6,0,4,2,0.0,1.0,0.75,1
26,55,0,10,22,0.344,1.0,0.184615385,5
5,18,0,1,5,0.375,0.0,0.46666666700000003,0
13,38,0,7,4,0.7666666670000001,0.533333333,0.21153846199999998,3
5,18,0,1,4,0.55,0.4,0.4,0
4,5,0,3,3,0.666666667,0.666666667,0.47619047600000003,0
17,43,48,8,13,0.5625,1.0,0.135746606,1
2,4,1,2,0,2.0,0.0,0.666666667,0
5,6,4,1,5,0.5,1.0,0.8,1
6,10,15,3,6,2.0,0.0,0.666666667,0
1,2,0,0,1,2.0,0.0,1.0,0
1,2,0,3,0,2.0,0.0,1.0,1
7,46,0,12,7,0.69047619,1.0,0.30952381,0
4,10,0,2,0,0.484848485,1.0,0.625,0
1,1,0,0,0,2.0,0.0,0.0,0
36,52,282,4,7,0.720300752,0.21052631600000002,0.40571428600000004,4
3,7,3,5,2,2.0,0.0,0.666666667,0
7,20,9,7,6,0.5,0.0,0.265306122,1
6,8,15,1,6,2.0,0.0,0.583333333,0
6,12,1,11,6,0.64,1.0,0.35,0
27,84,193,16,21,0.8241758240000001,1.0,0.168350168,5
9,31,0,9,7,0.545454545,1.0,0.28571428600000004,0
7,22,9,6,6,0.7777777779999999,0.333333333,0.333333333,1
9,26,0,8,8,0.3125,0.0,0.222222222,2
7,22,9,6,6,0.7777777779999999,0.333333333,0.333333333,2
5,18,4,3,4,0.8214285709999999,1.0,0.35,1
9,14,8,2,6,0.5,1.0,0.40740740700000005,0
8,8,28,2,8,2.0,0.0,0.3,0
45,137,732,28,20,0.899793388,0.590909091,0.131118881,11
14,47,73,16,4,0.826923077,0.75,0.256410256,5
5,15,0,2,5,0.125,1.0,0.55,0
2,3,1,0,2,2.0,0.0,0.666666667,0
2,4,1,1,1,2.0,0.0,0.666666667,0
13,31,0,6,11,0.375,1.0,0.20879120899999998,0
3,17,1,4,2,0.5,1.0,0.75,1
8,19,8,6,7,0.428571429,1.0,0.25,1
13,31,0,14,13,0.0,1.0,0.205128205,0
24,50,0,11,19,0.0,1.0,0.199074074,2
8,27,18,1,6,0.428571429,1.0,0.314285714,1
4,6,6,3,3,1.0,0.0,0.833333333,1
7,12,1,0,6,0.27777777800000003,1.0,0.6190476189999999,2
2,3,1,1,2,2.0,0.0,0.75,1
13,14,78,8,12,1.041666667,0.0,0.42708333299999995,1
7,10,21,0,7,2.0,0.0,0.321428571,1
7,32,1,1,6,0.583333333,1.0,0.444444444,0
16,68,8,9,4,0.683333333,1.0,0.236111111,11
3,10,1,2,3,0.5,1.0,0.666666667,3
1,1,0,0,0,2.0,0.0,0.0,2
6,6,15,0,6,2.0,0.0,0.375,0
3,8,3,0,0,1.333333333,0.0,0.5,3
30,75,349,8,23,0.9367816090000001,0.666666667,0.155172414,8
11,21,0,6,11,2.0,0.0,0.352272727,2
5,13,0,5,4,0.4375,0.5,0.5,2
2,4,1,3,2,2.0,0.0,0.666666667,1
28,89,86,10,23,0.8444444440000001,0.8,0.265432099,11
4,10,2,3,3,0.666666667,1.0,0.625,2
11,42,0,6,10,0.45,1.0,0.22077922100000003,0
5,12,0,1,5,0.125,0.5,0.46666666700000003,0
5,7,6,3,4,0.75,1.0,0.625,0
1,2,0,0,1,2.0,0.0,1.0,0
15,41,25,5,7,0.747252747,0.846153846,0.202380952,0
2,6,0,3,2,0.0,0.0,0.666666667,1
15,34,0,19,14,0.35714285700000004,0.5,0.18974359,2
5,18,0,1,4,0.55,0.4,0.4,3
6,6,15,4,6,2.0,0.0,0.41666666700000005,0
9,11,34,3,7,0.875,1.0,0.41666666700000005,1
62,125,1757,27,46,0.877794337,1.0,0.102822581,11
5,17,0,6,5,0.0,1.0,0.4,1
7,13,0,5,6,0.5,0.5,0.333333333,0
10,37,17,8,0,0.5555555560000001,1.0,0.27777777800000003,11
22,38,153,4,7,0.8503401359999999,0.11428571400000001,0.380952381,0
7,27,9,3,4,0.333333333,1.0,0.571428571,2
3,13,3,3,3,2.0,0.0,0.444444444,3
3,4,3,0,3,1.4375,0.0,0.5,0
2,6,0,3,2,0.0,1.0,0.666666667,2
9,32,0,8,9,0.291666667,1.0,0.25925925899999996,2
6,28,0,8,6,0.0,1.0,0.333333333,0
15,29,15,8,11,0.6,0.7,0.28571428600000004,6
7,22,9,6,6,0.7777777779999999,0.333333333,0.333333333,1
7,21,0,6,5,0.666666667,0.666666667,0.375,2
4,10,0,2,4,0.0,0.0,0.4,1
5,14,4,1,4,0.583333333,0.666666667,0.5,1
2,4,1,1,1,2.0,0.0,0.666666667,0
14,28,0,3,8,0.288461538,1.0,0.320512821,0
18,28,51,4,15,0.8099547509999999,1.0,0.198412698,2
14,38,0,6,11,0.384615385,1.0,0.171428571,2
11,102,1,20,0,0.7333333329999999,1.0,0.22727272699999998,0
2,5,1,0,0,1.0,0.0,1.0,0
7,27,1,8,6,0.333333333,1.0,0.342857143,0
12,29,26,7,7,0.609090909,1.0,0.305555556,0
3,7,3,4,3,2.0,0.0,0.5555555560000001,0
6,33,3,16,6,0.4,1.0,0.351851852,1
10,21,0,4,6,0.412698413,1.0,0.3,1
13,22,24,1,13,0.75,0.166666667,0.384615385,8
6,12,3,4,5,2.0,0.0,0.305555556,0
14,25,3,1,13,0.602564103,0.0,0.404761905,0
6,20,5,4,5,0.825,0.0,0.333333333,0
1,2,0,0,1,2.0,0.0,1.0,0
14,22,61,1,13,0.692307692,0.0,0.320512821,2
1,2,0,3,0,2.0,0.0,1.0,3
80,171,1344,22,52,0.843178622,0.7222222220000001,0.10059960000000001,47
17,35,72,7,4,0.65,1.0,0.31372549,4
14,24,69,13,12,0.963369963,0.571428571,0.205128205,0
13,34,0,7,6,0.666666667,1.0,0.21978022,0
2,10,1,5,2,1.0,1.0,0.75,1
1,2,0,1,0,2.0,0.0,1.0,0
2,4,0,2,2,0.0,1.0,0.666666667,0
13,21,64,0,11,0.611111111,1.0,0.292307692,0
4,8,6,0,4,2.0,0.0,0.666666667,0
1,2,0,0,0,2.0,0.0,1.0,1
5,10,0,2,4,0.375,1.0,0.6,2
21,58,104,15,10,0.65625,1.0,0.2375,1
