wmc,cbo,rfc,ce,npm,lcom3,moa,cam,amc,bug
6,11,24,9,5,2.0,0,0.333333333,31.83333333,0
9,2,27,2,7,0.825,0,0.4,24.66666667,2
28,12,60,9,28,0.0,1,0.25,8.892857142999999,2
6,2,20,2,5,0.95,0,0.46666666700000003,16.66666667,0
3,6,9,5,1,0.5,2,0.46666666700000003,15.66666667,0
5,11,12,8,5,2.0,0,0.4,11.4,0
5,4,26,4,5,0.916666667,0,0.48,22.6,2
8,46,14,3,8,0.80952381,0,0.375,8.125,0
1,4,1,1,1,2.0,0,1.0,0.0,0
25,80,46,5,21,0.166666667,1,0.213333333,6.88,0
6,7,27,4,3,1.076923077,2,0.333333333,22.0,3
4,9,8,7,4,2.0,0,0.39285714299999996,4.75,2
24,11,74,0,23,0.956521739,0,0.16847826100000002,29.41666667,0
4,10,10,8,4,2.0,0,0.39285714299999996,8.25,0
5,10,11,8,5,2.0,0,0.37142857100000004,5.4,0
5,6,19,4,5,2.0,0,0.3,48.4,0
3,1,10,0,2,0.5,0,0.5,26.66666667,0
15,18,63,17,8,0.6031746029999999,3,0.333333333,53.73333333,0
4,8,11,5,3,2.0,0,0.45833333299999995,10.5,0
9,12,29,10,7,0.75,0,0.26388888899999996,21.0,2
41,48,41,41,41,2.0,0,0.069767442,0.0,1
7,1,26,1,6,0.0,0,0.46428571399999996,20.14285714,0
1,4,2,1,1,2.0,0,1.0,4.0,0
4,4,21,3,3,0.5555555560000001,0,0.45833333299999995,49.0,0
6,6,9,4,5,0.8,0,0.4,3.5,0
6,3,6,1,6,2.0,0,0.916666667,0.0,0
8,9,39,9,5,0.5,0,0.375,34.75,0
4,0,12,0,4,2.0,0,0.5,11.5,0
3,2,6,2,1,2.0,0,0.666666667,3.0,0
6,8,30,8,4,0.333333333,1,0.41666666700000005,25.66666667,0
32,65,56,14,31,0.913978495,7,0.175,11.28125,1
15,28,83,23,13,0.735294118,1,0.251851852,79.26666667,12
6,6,14,4,5,0.9,0,0.375,38.5,1
1,5,1,1,1,2.0,0,1.0,0.0,0
4,7,17,6,3,0.166666667,1,0.5,22.0,0
5,9,10,6,5,2.0,0,0.4,9.6,0
7,3,9,0,7,0.611111111,0,0.523809524,4.714285714,0
5,3,6,2,5,2.0,0,0.48,1.6,2
5,14,31,14,5,2.0,0,0.44,46.8,4
2,2,4,2,2,2.0,0,0.666666667,4.0,0
16,11,52,0,12,0.826666667,0,0.226666667,51.4375,0
8,7,41,7,6,0.6,0,0.325,51.5,0
40,19,78,16,39,0.025641026,1,0.105128205,4.175,1
3,2,3,2,3,2.0,0,0.5555555560000001,0.0,0
1,2,1,0,1,2.0,0,1.0,0.0,0
5,6,11,4,5,0.875,0,0.4,6.0,1
3,6,3,0,3,2.0,0,0.666666667,0.0,0
5,15,5,4,5,2.0,0,0.68,0.0,2
4,9,14,0,3,2.0,0,0.41666666700000005,15.5,2
2,2,5,1,1,2.0,0,0.833333333,4.5,0
3,6,3,0,3,2.0,0,0.666666667,0.0,0
12,4,12,0,12,2.0,0,0.583333333,0.0,0
3,25,4,0,3,1.4375,2,0.5,4.0,0
3,2,6,2,1,2.0,0,0.666666667,3.0,0
5,9,10,6,5,2.0,0,0.4,9.6,0
12,2,25,1,12,0.436363636,0,0.39583333299999995,19.66666667,0
4,8,4,0,4,2.0,0,1.0,0.0,0
6,5,34,4,6,0.4,1,0.5,33.5,0
14,7,33,6,9,0.721153846,0,0.384615385,23.0,1
5,28,7,3,5,0.6875,0,0.5,7.2,0
3,16,13,5,3,2.0,0,0.444444444,23.66666667,0
10,26,11,8,10,0.7777777779999999,1,0.271428571,4.0,3
2,2,3,2,2,2.0,0,0.666666667,2.0,0
5,5,10,5,5,0.75,0,0.44,5.0,2
4,4,18,3,2,0.5555555560000001,0,0.45,30.25,1
6,14,38,13,5,0.6,1,0.36111111100000004,47.66666667,6
1,6,1,4,1,2.0,0,1.0,0.0,0
3,7,6,4,3,2.0,0,0.533333333,4.333333333,0
6,21,8,1,5,0.6,0,0.444444444,5.333333333,0
20,7,31,5,19,0.8815789470000001,2,0.18125,6.6,1
44,44,86,43,44,1.0,1,0.064646465,6.772727272999999,1
1,6,1,1,1,2.0,0,1.0,0.0,0
2,11,16,6,2,2.0,0,1.0,42.5,0
4,1,8,0,4,0.0,0,0.666666667,6.5,0
5,5,10,4,5,2.0,0,0.666666667,5.4,0
18,3,36,3,18,0.764705882,1,0.333333333,15.5,0
5,2,6,0,4,0.41666666700000005,0,0.46666666700000003,19.0,0
3,3,11,2,2,2.0,0,0.666666667,12.66666667,0
4,1,7,0,4,0.333333333,0,0.625,4.5,0
13,17,33,6,12,0.8472222220000001,2,0.24175824199999998,18.15384615,1
10,12,46,11,7,0.814814815,1,0.42222222200000004,34.1,2
22,12,84,12,20,0.9285714290000001,0,0.30909090899999997,24.13636364,0
3,4,7,4,3,2.0,0,0.5,5.0,0
2,4,2,2,2,2.0,0,0.666666667,0.0,0
5,11,18,9,5,2.0,0,0.4,25.0,1
2,1,10,1,2,2.0,0,0.75,20.0,0
6,5,17,2,5,0.4,0,0.38888888899999996,18.83333333,2
6,18,48,18,5,0.8,1,0.35714285700000004,52.0,3
3,5,3,0,3,2.0,0,1.0,0.0,0
5,8,13,6,5,0.25,0,0.433333333,11.2,0
30,10,60,10,30,2.0,0,0.133333333,3.433333333,0
9,3,29,2,4,1.0,0,0.236111111,50.22222222,1
9,26,45,24,8,0.8,2,0.365079365,40.0,2
5,32,5,0,5,2.0,0,0.666666667,0.0,0
5,17,38,15,5,0.41666666700000005,1,0.46666666700000003,60.4,0
4,8,12,6,4,2.0,0,0.41666666700000005,9.75,0
4,2,12,0,3,1.0,0,0.375,106.25,0
6,7,20,0,4,0.7,0,0.4,29.16666667,0
5,10,11,6,5,2.0,0,0.4,5.2,0
5,11,18,9,5,2.0,0,0.4,24.8,1
2,5,2,1,2,2.0,0,0.75,0.0,0
11,9,44,9,6,0.728571429,0,0.28571428600000004,49.18181818,0
10,7,20,2,10,0.5555555560000001,0,0.38,7.4,0
5,27,35,15,5,0.25,1,0.5,62.6,5
9,33,19,5,9,0.625,0,0.355555556,21.11111111,0
4,7,24,6,2,0.333333333,1,0.541666667,30.25,0
1,5,1,1,1,2.0,0,1.0,0.0,0
4,9,16,9,4,0.666666667,1,0.4375,15.5,2
6,12,18,8,3,0.666666667,1,0.41666666700000005,15.0,0
0,1,0,0,0,2.0,0,0.0,0.0,0
10,15,81,15,5,0.747474747,3,0.44,63.8,2
3,9,3,1,3,2.0,0,0.666666667,0.0,0
4,6,4,0,4,2.0,0,0.5,0.0,0
5,6,6,1,4,0.625,1,0.46666666700000003,4.6,0
2,4,5,3,2,2.0,0,0.5,9.0,0
3,3,6,3,3,2.0,0,0.533333333,4.666666667,0
25,13,59,12,25,2.0,0,0.16,7.8,2
10,3,40,3,4,0.962962963,0,0.38888888899999996,45.7,0
3,3,6,3,3,2.0,0,0.533333333,4.666666667,0
9,18,44,14,9,0.7638888890000001,1,0.25,44.11111111,7
3,5,6,3,3,2.0,0,0.533333333,4.666666667,0
15,17,28,10,15,0.69047619,0,0.177777778,23.33333333,0
7,13,31,13,5,0.5,0,0.428571429,41.28571429,1
7,8,20,8,6,0.5,0,0.5,11.57142857,0
5,8,12,6,5,0.25,0,0.433333333,9.6,0
19,25,22,4,19,0.916666667,2,0.203007519,5.315789474,1
12,8,30,7,11,1.0,0,0.606060606,6.583333333,0
5,3,19,3,3,0.666666667,1,0.333333333,29.8,0
3,2,6,2,1,2.0,0,0.666666667,3.0,0
6,8,20,8,5,1.0,0,0.41666666700000005,13.5,0
0,5,0,0,0,2.0,0,0.0,0.0,5
1,3,1,1,1,2.0,0,1.0,0.0,0
5,14,36,14,5,0.75,0,0.44,63.2,2
4,15,4,1,4,1.333333333,0,0.55,0.0,2
5,10,39,9,2,0.75,0,0.3,67.6,2
1,2,1,0,0,2.0,0,0.0,276.0,6
3,2,14,1,3,0.0,0,0.5555555560000001,12.66666667,0
1,5,1,1,1,2.0,0,1.0,0.0,0
2,2,4,2,2,2.0,0,0.666666667,4.0,0
2,8,2,1,2,2.0,0,0.625,0.0,2
62,42,165,39,48,0.827512473,7,0.135483871,25.90322581,8
3,2,6,1,3,1.5,0,0.7777777779999999,4.333333333,0
3,9,14,6,3,2.0,0,0.533333333,15.0,0
5,11,18,9,5,2.0,0,0.4,25.0,1
4,1,25,1,2,2.0,0,0.875,35.25,0
1,2,1,0,0,2.0,0,0.0,168.0,6
4,8,12,6,4,2.0,0,0.41666666700000005,15.75,0
5,9,10,6,5,2.0,0,0.4,6.8,0
3,9,3,3,3,2.0,0,0.933333333,0.0,1
3,4,8,1,0,0.5,0,0.5,13.66666667,0
5,9,24,7,3,0.25,1,0.457142857,23.6,0
4,7,26,6,2,1.0,0,0.583333333,31.75,0
3,3,3,1,3,2.0,0,0.833333333,0.0,0
3,2,13,0,2,0.5,0,0.5,30.33333333,1
3,38,6,1,3,1.5,0,0.7777777779999999,4.333333333,0
28,11,54,8,28,0.6790123459999999,3,0.17857142899999998,5.964285714,1
4,6,18,6,4,0.333333333,1,0.5,17.0,0
3,5,12,5,3,0.875,1,0.5555555560000001,18.0,1
28,8,55,5,28,0.0,1,0.17857142899999998,4.75,1
1,6,2,0,1,2.0,0,1.0,3.0,0
6,9,15,8,5,0.8,0,0.4,10.83333333,1
2,6,6,4,1,2.0,0,0.75,8.5,0
18,4,36,3,13,0.79144385,5,0.22689075600000003,19.22222222,0
4,6,7,4,4,2.0,0,0.41666666700000005,4.0,0
6,6,9,4,5,0.8,0,0.4,3.5,0
3,4,8,3,3,2.0,0,0.5,6.666666667,0
7,16,36,14,5,0.604166667,3,0.326530612,36.57142857,0
7,16,23,11,6,0.5,0,0.387755102,22.14285714,0
0,16,0,0,0,2.0,0,0.0,0.0,0
3,4,3,2,3,2.0,0,0.5555555560000001,0.0,0
24,2,36,1,21,0.508152174,0,0.3125,40.33333333,0
3,3,6,3,3,2.0,0,0.533333333,4.666666667,0
6,7,24,6,6,0.4,1,0.45833333299999995,13.83333333,0
9,9,26,9,5,0.85,2,0.296296296,11.66666667,1
40,73,40,16,40,2.0,0,0.1875,0.0,1
6,7,12,6,6,0.0,2,0.5277777779999999,15.0,2
4,1,16,0,4,0.444444444,0,0.625,17.5,0
17,5,17,2,17,2.0,0,0.21008403399999998,0.0,1
15,22,89,22,11,0.826530612,1,0.373333333,49.8,0
0,67,0,4,0,2.0,0,0.0,0.0,0
4,6,10,5,4,2.0,0,0.5,7.5,0
5,9,13,7,5,0.75,0,0.4,7.0,4
25,54,25,7,25,2.0,0,0.24,0.0,1
3,6,3,4,3,1.5,0,0.583333333,0.0,1
7,2,14,2,7,0.41666666700000005,0,0.857142857,7.714285714,0
