dit,cbo,rfc,ce,lcom3,dam,moa,cam,ic,cbm,max_cc,avg_cc,bug
1,4,2,2,2.0,0.0,0,1.0,0,0,1,1.0,0
1,41,77,5,0.795454545,0.25,2,0.083333333,0,0,12,2.0222,0
1,23,109,14,2.0,0.0,0,0.155982906,0,0,30,3.1111,0
1,1,2,0,2.0,0.0,0,1.0,0,0,0,0.0,0
1,12,51,6,0.8730158729999999,0.8,5,0.140909091,0,0,11,2.6818,1
1,5,12,0,0.5,1.0,0,0.166666667,0,0,4,1.5714,0
7,5,80,4,0.875,1.0,0,0.1875,1,3,5,1.1765,0
4,3,2,1,2.0,0.0,0,1.0,0,0,0,0.0,0
6,19,13,3,1.0,1.0,1,0.5,0,0,1,0.6667,0
5,13,77,10,0.813131313,1.0,3,0.19883040899999999,0,0,9,2.0526,17
6,4,24,3,0.5,1.0,1,1.0,1,3,1,0.6667,1
3,5,6,0,0.75,1.0,0,0.46666666700000003,1,1,1,0.8,0
3,8,2,2,2.0,0.0,0,1.0,0,0,0,0.0,0
5,17,27,2,0.805555556,1.0,0,0.5,0,0,2,1.1,1
1,15,9,2,0.761904762,1.0,2,0.35416666700000005,0,0,3,1.25,0
2,11,75,11,0.8888888890000001,1.0,5,0.23391812899999997,1,1,33,5.5789,2
1,29,89,24,0.900621118,1.0,0,0.155279503,0,0,6,1.875,6
1,10,46,8,0.9511111109999999,0.48,1,0.314285714,0,0,32,8.5,1
2,5,20,3,0.28571428600000004,1.0,0,0.40625,1,2,2,1.375,0
1,2,1,0,2.0,0.0,0,0.0,0,0,0,0.0,0
1,34,108,27,0.64,1.0,2,0.112903226,0,0,23,3.1289999999999996,9
1,5,66,4,0.75170068,0.166666667,1,0.5,0,0,163,8.68,0
1,2,7,1,0.0,1.0,0,0.666666667,0,0,3,1.75,0
1,22,29,3,0.72,1.0,1,0.16,0,0,5,1.7273,0
1,1,37,0,0.7,0.8,0,0.323529412,0,0,13,2.1176,0
6,4,27,3,0.5,1.0,1,1.0,2,4,3,1.6667,0
6,6,31,4,0.761904762,0.666666667,1,0.5,4,12,2,0.875,1
2,10,23,7,2.0,0.0,0,0.583333333,1,1,1,0.75,0
2,7,38,7,0.8636363640000001,1.0,4,0.319444444,1,3,12,3.3333,1
1,3,40,0,0.529411765,0.705882353,0,0.296296296,0,0,7,1.5926,0
2,5,16,4,0.80952381,1.0,0,0.39285714299999996,1,1,3,1.4286,1
5,6,16,5,0.5,1.0,1,0.41666666700000005,0,0,2,1.0,0
2,4,9,3,0.5,1.0,0,0.444444444,1,2,6,2.3333,0
6,109,200,30,0.8923611109999999,0.875,8,0.0784689,1,1,13,2.5091,5
1,23,36,6,0.9931972790000001,0.14285714300000002,0,0.392045455,0,0,4,1.3182,4
1,15,31,9,0.7662337659999999,0.0,1,0.375,0,0,1,0.375,0
2,4,5,3,2.0,0.0,0,0.46666666700000003,1,2,1,0.6667,0
2,4,9,3,0.444444444,1.0,0,0.35714285700000004,1,2,5,1.75,0
7,7,56,6,0.833333333,1.0,0,0.3,0,0,5,1.3,0
8,11,23,11,2.0,0.0,0,0.75,1,2,7,3.5,1
1,2,40,2,0.6,0.0,0,0.28,0,0,11,3.0,0
3,4,13,1,1.222222222,0.133333333,0,0.5,1,1,1,0.75,0
2,11,9,8,2.0,0.0,0,0.625,0,0,1,0.5,0
1,10,37,3,0.8888888890000001,1.0,1,0.157407407,0,0,3,1.16,0
1,19,71,15,0.708333333,0.625,1,0.274853801,0,0,5,1.6316,0
8,4,15,4,2.0,0.0,0,1.0,0,0,0,0.0,1
1,19,28,1,0.669642857,0.125,1,0.333333333,0,0,6,2.2667,0
3,4,18,4,0.375,1.0,2,0.36666666700000006,2,3,7,2.6,0
2,2,23,1,0.833333333,0.666666667,0,0.303030303,2,2,4,1.5455,0
1,4,2,0,2.0,0.0,0,0.666666667,0,0,1,1.0,2
3,3,19,1,0.44,0.4,1,0.333333333,1,1,14,4.3333,0
1,5,4,0,1.4375,0.0,2,0.5,0,0,2,1.0,0
2,8,100,8,2.0,0.0,0,0.054675365,1,2,3,1.023,0
3,5,4,4,2.0,0.0,0,0.75,0,0,1,0.5,0
2,7,27,7,0.6166666670000001,0.6,2,0.28571428600000004,0,0,5,3.1429,5
5,16,62,14,0.794117647,0.583333333,5,0.317647059,0,0,7,1.9444,8
2,10,6,5,2.0,0.0,0,0.625,0,0,1,0.5,0
1,3,2,1,2.0,0.0,0,1.0,0,0,1,1.0,0
5,4,26,1,0.25,1.0,0,0.6,0,0,12,4.2,0
6,3,13,2,2.0,0.0,0,0.5,2,2,1,0.6667,0
6,14,75,13,0.814814815,1.0,0,0.5,3,5,12,2.3077,1
3,7,4,0,2.0,0.0,0,0.75,0,0,0,0.0,0
2,5,31,5,0.8,1.0,0,0.4,1,3,8,2.2727,2
8,9,25,8,2.0,0.0,0,0.75,3,4,9,4.5,2
7,15,74,15,0.814814815,1.0,1,0.25,4,7,9,2.3,4
1,8,23,4,0.68,0.0,1,0.45833333299999995,0,0,2,1.3333,1
6,17,83,7,0.691666667,1.0,1,0.22448979600000002,3,7,13,2.7619,2
2,10,9,9,1.0,0.0,0,0.625,1,1,1,0.5,0
2,11,18,10,1.0,0.0,0,0.533333333,1,1,1,0.6667,0
7,5,33,4,2.0,0.0,0,0.5555555560000001,0,0,1,0.6667,1
6,4,35,3,0.711538462,1.0,0,0.5,3,5,6,2.0,1
1,50,30,7,0.8888888890000001,0.5,4,0.233082707,0,0,6,1.6316,0
2,12,10,11,1.125,0.625,4,0.625,1,1,1,0.5,0
2,10,9,8,2.0,0.0,0,0.6,1,2,1,0.5,0
1,5,1,1,2.0,0.0,0,1.0,0,0,1,1.0,0
1,8,22,3,0.91875,1.0,4,0.18382352899999999,0,0,4,1.4118,1
6,10,33,8,0.666666667,1.0,2,0.4,1,1,1,0.8,1
6,7,33,6,0.7777777779999999,1.0,3,0.28571428600000004,0,0,1,0.8571,1
3,14,14,5,0.9272727270000001,0.181818182,1,0.4,1,1,1,0.6667,0
1,9,5,2,2.0,0.0,0,0.6,0,0,1,1.0,0
1,47,487,47,0.71839196,0.8,8,0.18337510399999998,0,0,46,5.5439,0
1,3,16,1,2.0,0.0,0,0.363636364,0,0,6,3.5455,0
3,2,19,0,1.12,0.0,0,0.5,1,1,14,2.8333,0
1,11,61,10,0.833333333,1.0,0,0.180555556,0,0,6,2.5385,1
2,7,7,6,2.0,0.0,0,0.625,1,1,1,0.5,0
7,10,72,9,0.7820512820000001,1.0,0,0.217948718,0,0,7,1.7692,0
2,7,6,6,2.0,0.0,0,0.625,1,1,1,0.5,0
2,8,34,6,0.7142857140000001,1.0,0,0.291666667,0,0,8,2.0,0
5,20,72,11,0.857142857,0.9285714290000001,3,0.257142857,2,5,6,1.7857,4
2,4,18,4,0.75,0.0,0,0.333333333,1,2,3,1.2,0
1,19,32,6,0.745454545,1.0,3,0.41666666700000005,0,0,5,2.0,1
2,7,20,6,0.5,0.0,0,0.36666666700000006,0,0,10,4.0,0
5,5,32,4,0.575757576,0.9090909090000001,0,0.375,0,0,11,4.0,4
2,8,29,5,0.333333333,0.0,0,0.425,1,2,4,1.9,0
1,8,39,4,2.0,0.0,0,0.301587302,0,0,20,6.0,5
6,4,24,3,0.5,1.0,1,1.0,2,4,3,1.6667,0
1,3,12,1,0.46875,1.0,0,0.6,0,0,10,3.8,0
1,64,55,1,0.886904762,0.571428571,0,0.17857142899999998,0,0,7,2.3077,0
3,51,20,1,0.1,0.0,1,0.575757576,1,1,2,1.1818,0
1,5,15,2,0.428571429,1.0,1,0.39583333299999995,0,0,5,1.375,0
5,14,45,11,0.833333333,1.0,3,0.32,0,0,3,1.4,0
2,11,88,7,0.673076923,1.0,1,0.6190476189999999,1,7,10,2.0714,4
3,6,52,5,0.672727273,1.0,0,0.303030303,1,4,17,4.3333,5
6,7,71,6,0.9,1.0,2,0.16931216899999998,1,1,8,1.8571,1
1,1,6,0,2.0,0.0,0,0.75,0,0,1,1.0,0
2,14,10,9,2.0,0.0,0,0.6,1,1,1,0.6667,0
2,9,6,6,1.0,0.0,0,0.666666667,1,2,1,0.5,0
1,3,12,2,0.666666667,1.0,1,0.5,0,0,2,1.0,0
6,11,64,9,0.775,1.0,0,0.363636364,0,0,12,1.9091,3
2,8,8,7,2.0,0.0,0,0.625,1,1,1,0.5,0
1,6,8,3,2.0,0.0,0,0.5555555560000001,0,0,2,1.0,0
5,14,65,14,0.6333333329999999,1.0,2,0.323076923,2,5,8,1.6154,3
1,8,28,7,0.6785714290000001,1.0,2,0.234375,0,0,6,2.0,0
7,4,33,4,1.0,1.0,0,0.666666667,0,0,1,0.6667,2
1,26,75,19,0.7857142859999999,1.0,3,0.247619048,0,0,13,4.4,4
3,5,13,4,0.875,0.25,0,0.5,1,1,1,0.6,0
2,11,13,10,1.0,0.0,0,0.444444444,1,1,6,2.3333,0
1,23,25,2,0.8,1.0,0,0.20535714300000002,0,0,3,1.1875,0
2,6,50,5,0.8,1.0,0,0.305555556,0,0,8,2.0,4
8,10,24,10,2.0,0.0,0,0.333333333,1,7,5,2.1667,0
6,6,38,5,0.392344498,1.0,2,0.5,1,3,5,1.4167,3
7,24,106,24,0.8692307690000001,1.0,2,0.174603175,0,0,9,2.2143,2
2,5,28,5,0.771428571,1.0,0,0.7222222220000001,1,3,7,3.0,1
1,5,3,1,2.0,0.0,0,0.444444444,0,0,1,1.0,0
2,4,3,3,2.0,0.0,0,0.75,0,0,1,0.5,0
1,45,60,2,2.0,0.0,0,0.18367346899999998,0,0,14,3.7143,4
2,4,9,3,0.5,1.0,0,0.444444444,1,2,11,4.0,0
2,1,23,1,0.6,1.0,0,0.47619047600000003,1,2,3,1.3333,0
1,5,16,4,0.666666667,1.0,1,0.265306122,0,0,14,4.1429,3
7,5,52,4,0.642857143,1.0,0,0.4,0,0,6,2.6,0
2,5,28,4,0.5625,1.0,0,0.46666666700000003,1,7,8,2.2,1
3,102,316,40,0.95255814,0.790697674,7,0.068783069,1,1,25,3.5317,25
7,12,91,11,0.8080357140000001,1.0,3,0.283333333,1,1,7,1.3333,6
1,24,3,0,1.5,0.0,0,0.833333333,0,0,1,1.0,0
4,16,2,0,2.0,0.0,0,1.0,0,0,0,0.0,0
1,10,47,3,0.622222222,1.0,0,0.35,0,0,10,2.8,0
1,6,13,0,2.0,0.0,0,0.43076923100000003,0,0,1,1.0,0
1,6,2,0,2.0,0.0,1,1.0,0,0,0,0.0,0
5,4,37,3,0.5,1.0,0,0.5,0,0,2,1.0,0
6,11,60,10,0.816666667,1.0,1,0.243589744,4,12,5,1.9231,0
7,8,47,8,0.8,1.0,0,0.38888888899999996,0,0,1,0.8333,0
7,8,21,2,2.0,0.0,0,1.0,0,0,0,0.0,0
1,12,2,0,2.0,0.0,0,1.0,0,0,1,1.0,0
1,2,11,2,0.666666667,1.0,0,0.333333333,0,0,4,2.0,0
5,5,34,5,0.4,1.0,1,0.27777777800000003,0,0,1,0.8333,1
2,11,14,10,0.875,0.0,2,0.5555555560000001,1,3,1,0.6667,0
6,13,65,9,0.7857142859999999,1.0,0,0.333333333,2,4,9,2.2308,1
2,7,5,5,1.0,0.0,0,0.625,1,1,1,0.5,0
2,4,19,4,2.0,0.0,0,0.5,1,3,2,1.0,1
2,8,34,4,0.7606837609999999,1.0,1,0.22448979600000002,0,0,8,1.7143,1
2,16,35,14,1.142857143,0.0,0,0.72,0,0,1,0.8,0
1,12,96,10,0.773109244,1.0,0,0.10457516300000001,0,0,16,2.7222,0
2,4,3,1,1.0,0.0,0,0.75,0,0,1,0.5,0
2,10,96,10,0.828571429,0.5,3,0.23636363600000002,0,0,17,4.9091,9
1,9,24,7,0.375,1.0,0,0.296296296,0,0,6,1.8889,0
6,5,18,2,2.0,0.0,0,0.444444444,0,0,2,1.0,0
1,15,17,1,0.7777777779999999,0.0,0,0.4,0,0,1,0.7,1
1,4,7,0,1.8,0.0,2,0.666666667,0,0,1,0.5,1
4,15,122,8,0.899521531,1.0,3,0.136752137,3,18,12,2.0889,16
2,11,10,7,2.0,0.0,0,0.533333333,1,1,1,0.6667,0
1,10,5,0,0.666666667,1.0,0,0.5,0,0,1,0.75,0
1,8,10,2,0.65,1.0,1,0.41666666700000005,0,0,2,1.0,2
2,34,107,25,0.93006993,0.46153846200000004,2,0.231060606,1,2,9,1.7778,0
3,3,2,2,2.0,0.0,0,1.0,0,0,0,0.0,0
2,4,22,3,1.0625,0.0,0,0.28571428600000004,1,2,25,5.1667,0
3,4,18,4,0.375,1.0,2,0.36666666700000006,2,3,7,2.6,0
3,4,2,2,2.0,0.0,0,1.0,0,0,0,0.0,0
2,4,8,3,0.666666667,1.0,0,0.375,1,2,6,2.0,0
1,44,135,18,0.949090909,0.818181818,4,0.11176470599999999,0,0,6,1.5882,0
1,12,1,0,2.0,0.0,0,0.0,0,0,0,0.0,0
3,4,2,2,2.0,0.0,0,1.0,0,0,0,0.0,0
1,2,5,1,0.0,1.0,0,0.666666667,0,0,2,1.5,0
6,14,59,9,0.8984375,1.0,1,0.213235294,3,6,5,1.3529,1
2,4,8,3,0.75,0.5,0,0.444444444,1,2,18,7.3333,0
6,7,35,6,0.833333333,1.0,2,0.333333333,0,0,1,0.8333,0
2,9,7,6,1.0,0.0,0,0.666666667,1,2,1,0.3333,0
1,6,180,1,0.921125975,0.7173913040000001,1,0.138067061,0,0,9,1.4492,0
1,39,64,13,0.8585858590000001,1.0,3,0.103896104,0,0,9,1.4783,2
1,5,20,2,0.5,1.0,0,0.25925925899999996,0,0,3,1.5556,0
1,3,25,1,0.436363636,1.0,0,0.39583333299999995,0,0,3,1.3333,0
1,1,24,0,2.0,0.0,0,0.3,0,0,6,3.0,0
1,2,3,0,1.0,0.0,0,0.75,0,0,0,0.0,0
1,5,4,0,2.0,0.0,0,1.0,0,0,1,1.0,0
2,5,12,3,0.375,1.0,0,0.3,1,2,4,1.6,0
1,4,12,1,2.0,0.0,0,0.41666666700000005,0,0,2,1.5,0
7,9,72,8,0.943181818,0.875,1,0.222222222,1,3,5,1.25,4
2,16,45,13,2.0,0.0,0,0.229166667,1,1,1,0.8333,0
1,8,16,2,2.0,0.0,0,0.41428571399999997,0,0,1,0.9286,0
3,6,13,4,0.833333333,0.333333333,0,0.5,1,1,1,0.6,0
7,6,18,4,0.8,1.0,0,0.25,0,0,1,0.8333,2
8,9,22,9,2.0,0.0,0,1.0,0,0,0,0.0,0
2,11,33,10,0.625,0.0,0,0.433333333,1,1,1,0.8,0
2,9,7,8,1.0,0.0,0,0.625,1,1,1,0.5,0
2,4,8,3,0.5,1.0,0,0.444444444,1,2,5,2.0,0
1,11,26,8,0.5,0.0,0,0.46666666700000003,0,0,5,1.8,2
1,2,5,1,0.0,1.0,0,0.666666667,0,0,3,1.75,0
4,18,26,5,0.1,0.0,0,0.545454545,2,2,2,0.9091,0
1,3,12,1,0.53125,1.0,0,0.6,0,0,10,3.8,0
2,18,37,17,2.0,0.0,0,0.363636364,1,1,1,0.875,0
2,12,17,11,2.0,0.0,0,0.625,1,1,1,0.5,0
2,6,9,2,0.0,1.0,0,0.666666667,1,1,1,0.6667,0
2,8,5,6,1.0,0.0,0,0.666666667,0,0,1,0.5,0
2,7,6,6,2.0,0.0,0,0.625,1,1,1,0.5,0
1,13,20,10,0.5555555560000001,0.333333333,2,0.35714285700000004,0,0,2,1.0,0
5,5,14,4,2.0,0.0,0,1.0,0,0,1,0.6667,0
1,1,2,0,2.0,0.0,0,1.0,0,0,0,0.0,0
2,12,94,9,0.94,0.6,0,0.375,2,4,16,3.1905,6
7,5,38,4,0.611111111,1.0,1,0.3,3,13,8,2.1429,2
1,162,325,48,0.9151020409999999,1.0,7,0.059417705999999994,0,0,56,4.0707,23
3,3,2,2,2.0,0.0,0,1.0,0,0,0,0.0,0
2,16,17,8,0.333333333,0.0,0,0.457142857,1,1,1,0.8571,0
2,4,20,3,0.95,0.75,0,0.541666667,1,3,4,1.3333,0
1,11,25,9,0.611111111,0.833333333,3,0.583333333,0,0,3,1.0,4
2,14,40,14,0.72,1.0,3,0.305555556,1,1,10,2.3333,3
2,4,10,2,2.0,0.0,0,0.583333333,0,0,2,1.0,0
2,13,47,10,0.780952381,1.0,2,0.24107142899999998,0,0,14,2.625,6
1,2,2,1,2.0,0.0,0,0.75,0,0,1,1.0,0
1,9,14,2,0.0,1.0,0,0.46666666700000003,0,0,4,2.0,0
3,1,8,0,1.0,0.0,0,0.35,2,2,1,0.75,0
1,39,25,2,0.0,1.0,0,0.484848485,0,0,2,1.1818,0
5,17,53,12,0.875,0.833333333,1,0.26153846199999997,3,12,10,1.6923,2
