wmc,cbo,rfc,lcom,ce,lcom3,loc,dam,moa,cam,ic,cbm,amc,max_cc,bug
2,4,3,1,1,2.0,8,0.0,0,0.75,0,0,3.0,1,0
9,2,12,36,2,2.0,50,0.0,0,0.5555555560000001,0,0,4.555555556,1,0
20,1,29,58,0,0.547368421,547,0.2,3,0.31,0,0,26.1,10,1
9,3,12,36,3,2.0,50,0.0,0,0.5555555560000001,1,6,4.555555556,1,0
1,0,2,0,0,2.0,9,0.0,0,1.0,0,0,3.0,0,0
4,2,4,6,1,2.0,4,0.0,0,0.75,0,0,0.0,1,0
1,3,2,0,3,2.0,6,0.0,0,1.0,0,0,5.0,0,0
10,6,29,43,4,0.944444444,115,0.5,0,0.325,2,8,10.3,6,1
29,17,75,80,9,0.738095238,665,0.666666667,1,0.33793103399999996,2,13,21.82758621,11,1
26,0,26,325,0,2.0,26,0.0,0,0.487179487,0,0,0.0,1,0
6,9,21,15,3,1.2,88,0.0,0,0.333333333,1,4,13.5,2,0
45,13,63,862,10,0.896780303,962,0.875,6,0.119298246,1,5,19.84444444,5,2
36,0,69,246,0,0.804761905,436,1.0,6,0.125925926,0,0,10.94444444,2,0
11,8,38,35,7,0.833333333,253,0.666666667,2,0.232323232,0,0,21.18181818,6,2
6,3,21,3,2,0.9,192,0.5,0,0.611111111,3,3,30.33333333,3,1
14,0,14,91,0,2.0,14,0.0,0,0.5,0,0,0.0,1,0
9,10,12,0,4,0.65,183,1.0,3,0.46666666700000003,0,0,18.22222222,2,0
11,3,14,55,3,2.0,61,0.0,0,0.545454545,1,4,4.545454545,1,0
17,0,17,136,0,2.0,17,0.0,0,0.45588235299999996,0,0,0.0,1,2
23,55,42,253,3,2.0,249,0.0,0,0.456521739,1,2,9.826086957000001,4,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
13,2,16,78,2,2.0,72,0.0,0,0.538461538,0,0,4.538461538,1,0
20,10,38,62,5,0.708133971,601,0.636363636,4,0.233082707,0,0,28.5,11,0
6,2,11,0,0,0.8444444440000001,608,0.0,0,0.45833333299999995,0,0,98.83333333,8,0
10,22,10,45,2,1.111111111,51,0.0,0,0.3,0,0,0.0,1,0
22,8,49,41,2,0.843537415,596,0.857142857,1,0.22727272699999998,0,0,25.77272727,11,0
7,3,10,21,3,2.0,39,0.0,0,0.571428571,1,6,4.571428571,1,0
7,1,9,13,0,1.083333333,720,1.0,0,0.25,0,0,100.1428571,11,0
3,3,12,1,2,0.0,159,0.0,1,0.8888888890000001,0,0,51.0,9,0
8,0,8,28,0,2.0,8,0.0,0,0.5,0,0,0.0,1,0
4,6,9,0,5,0.380952381,583,1.0,0,0.40625,1,3,143.0,1,1
18,6,18,153,2,2.0,18,0.0,0,0.4,0,0,0.0,1,0
35,3,43,595,3,2.0,200,0.0,0,0.308571429,0,0,4.714285714,1,0
14,2,14,91,1,2.0,14,0.0,0,0.5,0,0,0.0,1,0
9,11,26,16,10,0.875,191,1.0,0,0.333333333,0,0,19.66666667,2,0
8,0,8,28,0,2.0,8,0.0,0,0.46875,0,0,0.0,1,0
6,9,14,3,2,0.728571429,132,0.0,2,0.5,1,1,18.66666667,1,0
7,2,14,21,2,2.0,42,0.0,0,0.342857143,0,0,5.0,1,0
15,5,51,105,2,2.0,527,0.0,0,0.4,0,0,34.13333333,5,0
2,9,18,0,9,0.0,239,1.0,0,0.571428571,2,2,118.0,1,0
3,2,6,3,2,2.0,17,0.0,0,0.666666667,0,0,4.666666667,1,0
53,21,126,740,19,0.908216783,1257,1.0,11,0.106971154,0,0,22.30188679,3,3
12,0,12,66,0,2.0,12,0.0,0,0.75,0,0,0.0,1,0
10,10,40,15,8,0.577777778,745,0.9,2,0.275,0,0,72.5,4,0
0,1,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0
11,3,14,55,3,2.0,61,0.0,0,0.545454545,1,6,4.545454545,1,0
1,0,1,0,0,2.0,1,0.0,0,1.0,0,0,0.0,1,0
4,0,4,6,0,2.0,4,0.0,0,1.0,0,0,0.0,1,0
3,2,6,3,2,2.0,17,0.0,0,0.666666667,0,0,4.666666667,1,0
81,37,257,1504,36,0.788671875,10701,0.96875,10,0.135526316,0,0,130.7160494,25,30
30,11,64,0,10,0.522988506,2603,0.833333333,3,0.201149425,1,2,85.36666667,4,0
11,0,11,55,0,2.0,11,0.0,0,0.34848484799999996,0,0,0.0,1,0
1,0,1,0,0,2.0,1,0.0,0,1.0,0,0,0.0,1,0
6,0,6,15,0,2.0,6,0.0,0,1.0,0,0,0.0,1,0
4,2,4,6,1,2.0,4,0.0,0,0.75,0,0,0.0,1,0
36,6,58,630,6,1.0,471,1.0,2,0.214285714,0,0,12.02777778,7,0
0,2,0,0,1,2.0,0,0.0,0,0.0,0,0,0.0,0,0
4,2,4,6,1,2.0,4,0.0,0,0.75,0,0,0.0,1,0
17,2,23,136,2,2.0,96,0.0,0,0.397058824,0,0,4.647058824,1,0
2,2,2,1,1,2.0,2,0.0,0,0.75,0,0,0.0,1,0
65,51,167,1798,24,0.931490385,1475,0.923076923,2,0.1375,2,19,21.49230769,23,6
6,3,21,3,2,0.96,240,0.4,0,0.611111111,3,3,38.16666667,3,1
4,5,14,0,5,0.666666667,60,0.5,0,0.5,2,7,13.5,2,2
17,2,27,136,2,2.0,123,0.0,0,0.317647059,0,0,6.235294118,3,0
7,2,12,21,2,2.0,39,0.0,0,0.428571429,0,0,4.571428571,1,0
9,6,19,0,4,0.625,120,1.0,0,0.38888888899999996,1,2,12.0,2,0
31,15,60,0,14,0.81372549,2714,0.647058824,3,0.18888888899999998,1,4,86.0,5,0
5,3,8,10,3,2.0,28,0.0,0,0.6,1,4,4.6,1,0
3,0,8,3,0,2.0,25,0.0,0,0.333333333,0,0,7.333333333,1,0
30,10,38,0,2,0.816696915,1224,1.0,2,0.333333333,0,0,39.16666667,6,2
5,4,21,0,2,0.25,264,1.0,1,0.44,0,0,50.6,22,0
4,6,20,0,6,0.666666667,103,0.5,0,0.5,3,11,24.25,4,3
4,2,8,4,2,0.666666667,31,1.0,1,0.5,0,0,6.5,1,0
4,1,12,6,1,2.0,39,0.0,0,0.583333333,0,0,8.75,1,2
6,0,6,15,0,2.0,6,0.0,0,0.75,0,0,0.0,1,0
3,2,7,3,2,2.0,19,0.0,0,0.666666667,0,0,5.333333333,1,0
7,1,9,13,0,0.875,194,1.0,0,0.25,0,0,26.14285714,4,0
11,7,49,25,7,2.0,760,0.0,0,0.324675325,1,9,68.09090909,13,2
8,2,32,10,2,1.040816327,223,0.214285714,0,0.46875,1,1,25.125,6,0
11,0,21,55,0,2.0,99,0.0,0,0.24675324699999998,0,0,8.0,1,2
0,2,0,0,1,2.0,0,0.0,0,0.0,0,0,0.0,0,0
16,0,16,120,0,2.0,16,0.0,0,0.5,0,0,0.0,1,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
12,3,22,0,1,0.53030303,332,0.0,0,0.35,0,0,26.16666667,8,0
0,2,0,0,1,2.0,0,0.0,0,0.0,0,0,0.0,0,0
5,2,14,0,1,1.24380805,1114,0.009287926,0,0.5,0,0,157.2,9,1
55,3,99,473,3,0.7989417990000001,2660,0.0,7,0.246464646,0,0,47.10909091,20,0
9,3,12,36,3,2.0,50,0.0,0,0.5555555560000001,1,5,4.555555556,1,0
1,0,2,0,0,2.0,5,0.0,0,1.0,0,0,4.0,0,0
18,0,19,153,0,2.0,40,0.0,0,0.28571428600000004,0,0,1.222222222,1,0
4,5,19,0,5,0.666666667,117,0.5,0,0.5,4,9,27.75,7,3
11,0,11,55,0,2.0,11,0.0,0,0.515151515,0,0,0.0,1,0
12,9,19,24,2,0.924242424,827,0.0,0,0.291666667,1,1,66.41666667,26,0
8,9,14,18,2,0.904761905,69,0.666666667,2,0.41666666700000005,1,3,7.25,2,0
3,5,4,1,1,0.5,16,1.0,0,0.666666667,0,0,4.0,1,0
27,2,35,351,2,2.0,171,0.0,0,0.37962963,0,0,5.333333333,3,0
13,0,30,4,0,0.7333333329999999,238,0.8,2,0.375,0,0,16.92307692,4,0
4,39,23,4,3,0.982905983,580,0.051282050999999995,0,0.5555555560000001,1,1,134.25,1,0
6,0,6,15,0,1.2,9,0.0,0,0.333333333,0,0,0.0,1,0
22,6,39,89,5,0.703296703,1528,0.692307692,4,0.23214285699999998,0,0,67.86363636,24,0
8,3,20,22,3,0.9285714290000001,108,0.5,0,0.28571428600000004,0,0,12.25,1,0
0,1,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0
4,36,4,6,0,2.0,4,0.0,0,0.75,0,0,0.0,1,0
7,8,21,17,7,0.791666667,134,0.75,3,0.333333333,0,0,17.57142857,1,1
1,4,2,0,0,2.0,14,0.0,0,1.0,0,0,3.0,0,0
2,8,5,1,8,2.0,145,0.0,0,0.571428571,0,0,71.5,1,0
9,14,14,28,2,0.982142857,116,0.571428571,2,0.288888889,0,0,11.11111111,3,1
6,0,6,15,0,2.0,6,0.0,0,0.611111111,0,0,0.0,1,0
26,0,26,325,0,2.0,26,0.0,0,0.5,0,0,0.0,1,0
6,2,6,15,1,2.0,6,0.0,0,0.75,0,0,0.0,1,0
9,3,12,36,3,2.0,50,0.0,0,0.5555555560000001,1,5,4.555555556,1,0
5,0,5,10,0,2.0,5,0.0,0,0.7,0,0,0.0,1,0
4,2,4,6,1,2.0,4,0.0,0,0.75,0,0,0.0,1,0
11,9,37,45,6,0.666666667,895,1.0,3,0.214876033,0,0,79.0,1,0
7,7,13,5,6,0.36666666700000006,1019,1.0,3,0.387755102,0,0,143.8571429,1,0
5,2,8,10,2,2.0,28,0.0,0,0.6,0,0,4.6,1,0
7,3,10,21,3,2.0,39,0.0,0,0.571428571,1,6,4.571428571,1,0
24,0,24,276,0,1.043478261,28,0.0,0,0.270833333,0,0,0.0,1,0
4,5,17,0,5,0.666666667,85,0.5,0,0.5,2,7,19.75,1,4
5,6,7,10,0,2.0,107,0.0,0,0.35,0,0,20.4,3,0
1,0,1,0,0,2.0,1,0.0,0,1.0,0,0,0.0,1,0
3,2,7,3,2,2.0,19,0.0,0,0.666666667,0,0,5.333333333,1,0
3,0,3,3,0,2.0,3,0.0,0,0.666666667,0,0,0.0,1,0
7,0,7,21,0,2.0,7,0.0,0,0.428571429,0,0,0.0,1,0
5,0,5,10,0,2.0,5,0.0,0,0.6,0,0,0.0,1,0
1,0,2,0,0,2.0,8,0.0,0,1.0,0,0,3.0,0,0
12,0,24,0,0,0.303030303,178,0.0,0,0.4375,0,0,13.58333333,2,0
26,0,40,0,0,0.08,723,0.0,0,0.528846154,0,0,26.73076923,5,1
4,6,13,0,6,0.666666667,84,0.5,0,0.5,2,7,19.5,2,2
1,0,2,0,0,2.0,10,0.0,0,1.0,0,0,7.0,0,0
7,3,10,21,3,2.0,39,0.0,0,0.571428571,1,6,4.571428571,1,0
5,4,22,0,4,0.75,118,0.5,0,0.46666666700000003,2,8,22.2,7,2
16,2,16,120,1,2.0,16,0.0,0,0.375,0,0,0.0,1,0
12,0,12,66,0,2.0,12,0.0,0,0.5,0,0,0.0,1,0
7,0,7,21,0,2.0,7,0.0,0,0.25,0,0,0.0,1,0
3,0,4,1,0,0.5,2145,0.0,0,1.0,0,0,713.6666667000001,1,1
4,4,8,4,4,0.666666667,31,0.0,1,0.444444444,0,0,6.5,1,0
1,6,2,0,1,2.0,12,0.0,2,1.0,0,0,3.0,0,0
13,0,13,78,0,2.0,13,0.0,0,0.538461538,0,0,0.0,1,0
5,3,8,10,3,2.0,28,0.0,0,0.6,1,4,4.6,1,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
39,28,83,607,19,0.902046784,2503,1.0,9,0.144230769,0,0,62.25641026,13,0
50,15,105,711,13,0.850863422,3171,0.076923077,0,0.194285714,0,0,61.64,55,2
49,10,124,608,8,0.9,1409,1.0,6,0.131944444,2,9,27.55102041,3,1
5,5,12,0,3,0.0,55,1.0,1,0.45,1,2,9.8,1,0
69,23,112,1936,8,0.971362229,1158,0.894736842,1,0.11817168300000001,0,0,15.50724638,31,0
4,6,17,0,6,0.666666667,75,0.5,0,0.5,2,8,17.25,3,2
3,3,4,3,2,1.5,13,0.0,0,0.5555555560000001,1,4,3.0,1,0
3,2,6,3,2,2.0,17,0.0,0,0.666666667,0,0,4.666666667,1,0
2,6,4,1,0,2.0,9,0.0,0,0.75,0,0,3.5,0,0
0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0
8,2,8,28,1,2.0,8,0.0,0,0.5,0,0,0.0,1,0
9,3,12,36,3,2.0,50,0.0,0,0.5555555560000001,1,4,4.555555556,1,0
61,25,109,1294,22,0.89047619,2565,0.9523809520000001,1,0.226229508,2,10,40.70491803,12,8
3,2,7,3,2,2.0,19,0.0,0,0.666666667,0,0,5.333333333,1,0
22,0,22,231,0,2.0,22,0.0,0,0.281818182,0,0,0.0,1,0
7,3,10,21,3,2.0,39,0.0,0,0.571428571,1,6,4.571428571,1,0
11,3,14,55,3,2.0,61,0.0,0,0.545454545,1,6,4.545454545,1,0
5,3,10,10,2,2.0,76,0.0,0,0.55,1,1,14.2,2,0
3,1,5,0,0,1.0,224,1.0,0,0.833333333,0,0,72.66666667,8,0
71,17,193,1133,16,0.924860853,7189,1.0,15,0.147959184,0,0,99.16901408,3,1
20,0,20,190,0,2.0,20,0.0,0,0.75,0,0,0.0,1,0
5,4,8,4,0,0.5,56,0.0,0,0.55,0,0,9.6,2,0
22,0,43,127,0,0.6984126979999999,161,0.0,3,0.15034965,0,0,6.181818182000001,2,0
17,3,34,0,2,0.4625,403,1.0,0,0.18300653600000003,1,15,22.41176471,8,0
3,4,9,0,4,0.75,44,0.5,0,0.5555555560000001,3,11,13.0,2,2
3,2,3,3,0,2.0,3,0.0,0,0.5,0,0,0.0,1,0
9,3,12,36,3,2.0,50,0.0,0,0.5555555560000001,1,5,4.555555556,1,0
3,2,6,3,2,2.0,17,0.0,0,0.666666667,0,0,4.666666667,1,0
18,7,54,141,6,0.891640867,1392,0.15789473699999998,2,0.189814815,0,0,75.27777778,4,0
7,8,29,17,7,0.75,374,1.0,2,0.333333333,0,0,51.28571429,1,0
10,0,10,45,0,2.0,10,0.0,0,0.75,0,0,0.0,1,0
3,2,6,3,2,2.0,17,0.0,0,0.5,0,0,4.666666667,1,0
9,7,23,0,5,0.375,147,1.0,1,0.355555556,1,2,15.11111111,2,0
19,2,24,171,2,2.0,105,0.0,0,0.39473684200000003,0,0,4.526315789,1,0
46,4,111,683,4,0.838888889,2103,1.0,2,0.13777777800000002,0,0,44.54347826,19,0
1,0,1,0,0,2.0,17,0.0,0,1.0,0,0,0.0,1,0
15,3,38,105,2,2.0,195,0.0,0,0.32,1,1,12.0,6,0
4,2,4,6,1,2.0,4,0.0,0,0.75,0,0,0.0,1,0
2,0,2,1,0,2.0,2,0.0,0,1.0,0,0,0.0,1,0
8,2,8,28,1,2.0,8,0.0,0,0.75,0,0,0.0,1,0
8,7,13,0,0,0.767857143,284,1.0,0,0.40625,1,2,33.5,2,0
5,8,8,0,6,0.5,34,1.0,2,0.4,0,0,5.4,1,1
5,3,14,0,1,1.203488372,296,0.046511628,0,0.5,0,0,49.6,9,3
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
18,6,28,47,1,0.720588235,357,1.0,1,0.17901234600000002,0,0,18.38888889,3,0
3,0,4,1,0,0.5,260,0.0,0,1.0,0,0,85.33333333,1,0
4,3,12,2,0,0.666666667,427,1.0,0,0.5,0,0,105.25,1,3
3,3,9,1,2,1.166666667,183,0.333333333,1,0.5,0,0,59.0,4,0
10,0,15,37,0,0.7777777779999999,64,1.0,0,0.375,0,0,5.0,1,0
6,10,11,0,2,0.133333333,240,1.0,1,0.5,0,0,38.5,4,0
8,0,8,28,0,2.0,8,0.0,0,0.75,0,0,0.0,1,0
9,6,32,20,5,0.5,865,0.9411764709999999,2,0.301587302,0,0,93.22222222,1,0
2,2,2,1,1,2.0,2,0.0,0,0.75,0,0,0.0,1,0
16,0,16,120,0,2.0,16,0.0,0,0.6875,0,0,0.0,1,0
3,2,6,3,2,2.0,17,0.0,0,0.666666667,0,0,4.666666667,1,0
8,1,14,0,0,0.14285714300000002,574,0.0,0,0.520833333,0,0,70.375,8,0
49,16,87,866,11,0.995138889,2172,0.36666666700000006,20,0.1875,0,0,42.10204082,24,1
56,10,124,864,7,0.778181818,1899,0.933333333,4,0.135989011,0,0,32.64285714,13,1
19,1,50,149,0,0.9673202609999999,709,0.9411764709999999,0,0.233333333,0,0,35.42105263,15,0
14,5,29,91,4,1.0,172,1.0,1,0.35714285700000004,0,0,11.21428571,4,0
7,3,10,21,3,2.0,39,0.0,0,0.571428571,1,6,4.571428571,1,0
2,2,2,1,1,2.0,2,0.0,0,0.75,0,0,0.0,1,0
6,4,10,9,2,0.9,46,0.5,0,0.5,1,5,6.333333333,2,0
6,13,9,0,7,0.666666667,42,1.0,3,0.333333333,0,0,5.5,1,1
6,0,10,0,0,0.0,54,1.0,0,0.5555555560000001,1,2,7.833333333,3,0
63,25,228,729,20,0.8741935479999999,5748,0.9,6,0.15207373300000002,2,18,89.76190476,6,7
1,1,2,0,0,2.0,6,0.0,0,1.0,0,0,5.0,0,0
21,2,25,210,2,2.0,120,0.0,0,0.523809524,0,0,4.714285714,1,0
15,2,30,105,2,2.0,126,0.0,0,0.4,0,0,7.4,3,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
5,10,5,10,4,2.0,5,0.0,0,0.4,0,0,0.0,1,0
12,6,75,16,4,2.0,994,0.0,0,0.25,2,7,81.83333333,30,2
7,2,11,21,2,2.0,43,0.0,0,0.571428571,0,0,5.1428571430000005,1,0
0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0
10,8,31,33,7,0.857142857,195,0.7142857140000001,2,0.24444444399999998,0,0,17.8,4,3
3,3,6,3,2,2.0,17,0.0,0,0.666666667,0,0,4.666666667,1,0
14,13,58,41,12,0.779264214,1675,1.0,7,0.307692308,0,0,117.0,3,0
5,2,10,10,2,2.0,31,0.0,0,0.45,1,2,5.2,1,0
2,2,2,1,1,2.0,2,0.0,0,0.75,0,0,0.0,1,0
23,0,23,253,0,2.0,23,0.0,0,0.347826087,0,0,0.0,1,0
6,5,14,0,3,0.2,154,1.0,2,0.41666666700000005,1,2,24.33333333,1,0
4,2,4,6,1,2.0,4,0.0,0,0.75,0,0,0.0,1,0
1,0,2,0,0,2.0,11,0.0,0,1.0,0,0,7.0,0,0
25,0,25,300,0,1.041666667,37,0.0,0,0.33,0,0,0.0,1,0
3,4,7,0,4,0.75,33,0.5,0,0.5555555560000001,2,7,9.333333332999999,1,2
3,0,3,3,0,2.0,3,0.0,0,0.5555555560000001,0,0,0.0,1,0
13,17,43,30,10,0.8611111109999999,498,1.0,4,0.2,0,0,35.92307692,6,1
3,0,3,3,0,2.0,3,0.0,0,1.0,0,0,0.0,1,2
38,3,49,703,3,2.0,229,0.0,0,0.294736842,1,3,5.026315789,3,0
25,3,32,300,3,2.0,142,0.0,0,0.312,1,7,4.68,1,0
5,3,8,10,3,2.0,28,0.0,0,0.6,1,4,4.6,1,0
23,5,41,253,5,0.954545455,183,1.0,1,0.246376812,1,1,6.913043478,3,0
20,2,20,190,1,2.0,20,0.0,0,0.375,0,0,0.0,1,0
8,3,22,0,2,0.6190476189999999,109,1.0,1,0.3,1,1,12.25,1,2
5,7,13,2,4,0.833333333,52,0.666666667,1,0.4,2,6,8.8,2,0
5,6,14,0,1,1.1590909090000001,205,0.13636363599999998,0,0.5,0,0,35.6,9,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
3,0,4,1,0,0.5,923,0.0,0,1.0,0,0,306.3333333,1,0
5,18,37,2,11,0.791666667,454,1.0,2,0.36,0,0,88.6,1,1
16,0,16,120,0,2.0,16,0.0,0,0.645833333,0,0,0.0,1,0
7,4,12,15,2,0.916666667,80,0.75,0,0.523809524,1,4,9.857142857000001,3,0
16,5,35,112,4,2.0,261,0.0,0,0.21875,1,10,15.3125,6,0
4,6,6,0,1,0.0,73,0.0,1,0.55,0,0,16.5,2,0
7,3,10,21,3,2.0,39,0.0,0,0.571428571,1,6,4.571428571,1,0
6,0,6,15,0,2.0,6,0.0,0,0.5,0,0,0.0,1,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
5,3,10,10,3,2.0,52,0.0,0,0.6,0,0,9.4,3,0
5,2,10,10,2,2.0,28,0.0,0,0.45,0,0,4.6,1,0
8,2,8,28,1,2.0,8,0.0,0,0.75,0,0,0.0,1,0
8,6,17,4,3,0.653061224,184,1.0,2,0.303571429,0,0,21.125,2,0
9,2,15,36,2,2.0,52,0.0,0,0.41666666700000005,0,0,4.777777778,1,0
9,3,12,36,3,2.0,50,0.0,0,0.5555555560000001,1,6,4.555555556,1,0
18,2,18,153,1,2.0,18,0.0,0,0.75,0,0,0.0,1,0
12,0,12,66,0,2.0,12,0.0,0,0.638888889,0,0,0.0,1,0
11,11,37,11,9,0.5,480,1.0,2,0.284090909,0,0,41.81818182,4,0
20,6,42,190,6,1.0,284,0.0,1,0.275,0,0,13.15,4,0
12,0,12,66,0,2.0,12,0.0,0,0.35416666700000005,0,0,0.0,1,0
8,11,8,28,5,2.0,8,0.0,0,0.363636364,0,0,0.0,1,0
23,3,32,253,3,2.0,149,0.0,0,0.295652174,1,3,5.47826087,3,0
2,8,14,1,8,2.0,140,0.0,0,0.571428571,2,2,69.0,1,0
10,2,10,45,1,2.0,10,0.0,0,0.75,0,0,0.0,1,0
4,7,28,0,7,0.666666667,176,0.5,0,0.5,2,5,42.5,8,3
34,0,34,561,0,2.0,34,0.0,0,0.282352941,0,0,0.0,1,0
29,0,29,406,0,2.0,29,0.0,0,0.370689655,0,0,0.0,1,0
0,2,0,0,1,2.0,0,0.0,0,0.0,0,0,0.0,0,0
95,59,297,2425,55,0.944105337,6959,0.967213115,41,0.08547368400000001,0,0,70.96842105,17,19
3,2,8,3,2,2.0,20,0.0,0,0.5,0,0,5.666666667,1,0
8,7,12,20,6,0.333333333,464,1.0,2,0.46428571399999996,0,0,56.25,1,0
10,0,10,45,0,1.111111111,13,0.0,0,0.4,0,0,0.0,1,0
11,3,13,35,0,0.9,87,0.1,2,0.393939394,0,0,6.0,1,0
5,2,7,10,0,2.0,20,0.0,0,0.6,0,0,3.0,1,0
4,0,4,6,0,2.0,4,0.0,0,0.75,0,0,0.0,1,0
6,7,20,9,7,0.0,136,1.0,0,0.433333333,1,2,21.5,5,0
6,4,18,13,2,0.8,150,0.0,1,0.533333333,0,0,23.83333333,20,3
13,3,16,78,3,2.0,72,0.0,0,0.538461538,1,7,4.538461538,1,0
5,19,6,10,2,1.25,13,1.0,0,0.533333333,0,0,1.4,1,1
8,21,12,0,1,0.28571428600000004,64,1.0,0,0.4375,0,0,6.75,1,0
24,10,39,234,9,1.023550725,268,0.0,1,0.19565217399999998,0,0,9.166666667000001,2,0
11,40,16,25,0,0.05,191,0.0,0,0.409090909,1,1,16.0,7,0
2,0,2,1,0,2.0,2,0.0,0,1.0,0,0,0.0,1,0
53,31,143,1146,20,0.9061771559999999,6637,0.090909091,6,0.192307692,1,1,123.6037736,147,0
14,0,15,81,0,0.876923077,75,1.0,0,0.39285714299999996,0,0,4.0,1,0
1,7,1,0,2,2.0,1,0.0,0,1.0,0,0,0.0,1,0
62,24,130,753,17,0.850197852,2272,0.8620689659999999,12,0.138248848,0,0,35.17741935,6,0
1,0,2,0,0,2.0,4,0.0,0,1.0,0,0,3.0,0,0
3,0,3,3,0,2.0,3,0.0,0,0.7777777779999999,0,0,0.0,1,0
7,7,27,15,6,0.75,380,1.0,1,0.333333333,1,1,52.14285714,1,0
9,3,12,36,3,2.0,50,0.0,0,0.5555555560000001,1,6,4.555555556,1,0
11,5,37,0,5,0.716666667,332,1.0,3,0.318181818,0,0,28.63636364,1,0
11,6,24,0,4,0.5,112,1.0,1,0.515151515,0,0,9.0,2,0
21,3,28,210,3,2.0,118,0.0,0,0.314285714,1,7,4.619047619,1,0
15,0,16,105,0,2.0,34,0.0,0,0.28571428600000004,0,0,1.266666667,1,0
5,2,10,10,2,2.0,52,0.0,0,0.6,0,0,9.4,3,0
3,6,3,3,3,2.0,3,0.0,0,0.666666667,0,0,0.0,1,0
9,10,9,36,2,2.0,9,0.0,0,0.5555555560000001,0,0,0.0,1,0
22,0,22,231,0,2.0,22,0.0,0,0.75,0,0,0.0,1,0
2,0,2,1,0,2.0,2,0.0,0,0.75,0,0,0.0,1,0
4,3,8,6,3,1.0,32,1.0,1,0.583333333,0,0,6.75,2,0
13,2,21,78,2,2.0,103,0.0,0,0.403846154,0,0,6.923076922999999,3,0
4,0,4,6,0,2.0,4,0.0,0,1.0,0,0,0.0,1,0
8,5,15,26,4,0.7142857140000001,49,1.0,1,0.28571428600000004,0,0,5.0,1,0
3,0,3,3,0,2.0,3,0.0,0,0.666666667,0,0,0.0,1,0
0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0,0
8,19,12,0,1,0.28571428600000004,64,1.0,0,0.4375,0,0,6.75,1,0
