wmc,noc,cbo,rfc,ca,npm,lcom3,loc,dam,moa,cam,cbm,max_cc,avg_cc,bug
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
5,0,9,9,2,2,0.75,36,1.0,1,0.3,0,1,0.6,0
4,0,7,17,1,4,2.0,39,0.0,0,0.625,0,1,0.75,0
5,0,10,18,0,3,0.25,62,1.0,1,0.4,3,1,0.8,0
3,0,6,8,2,2,2.0,31,0.0,0,0.333333333,0,1,0.6667,0
14,0,11,37,3,13,0.634615385,236,1.0,1,0.257142857,16,6,1.5,0
27,6,26,61,12,22,0.666666667,265,1.0,1,0.113756614,3,4,1.0741,8
7,2,7,10,2,4,0.333333333,44,1.0,0,0.28571428600000004,0,3,1.0,0
3,0,8,9,2,2,0.5,44,1.0,3,0.4,0,2,1.0,0
4,0,1,6,0,3,0.0,21,1.0,0,0.625,2,1,0.75,0
50,0,8,84,5,48,0.947648625,726,0.869565217,0,0.1825,0,9,1.5,0
1,0,14,1,13,1,2.0,1,0.0,0,1.0,0,1,1.0,2
3,0,4,9,1,3,0.0,47,1.0,0,0.5,0,2,1.0,0
6,0,5,10,1,5,1.0,43,1.0,0,0.444444444,0,1,0.5,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
1,0,7,1,5,1,2.0,1,0.0,0,1.0,0,1,1.0,0
20,0,20,98,15,12,0.6315789470000001,880,1.0,0,0.276315789,0,15,2.85,0
2,0,6,7,2,1,2.0,21,0.0,0,0.5,0,1,0.5,0
2,0,4,7,2,2,0.0,25,1.0,1,0.666666667,0,1,0.5,1
2,0,38,2,37,2,2.0,2,0.0,0,0.875,0,1,1.0,0
4,0,4,11,1,4,0.166666667,67,1.0,0,0.5,0,2,1.0,0
4,0,6,4,5,4,1.333333333,5,0.0,0,0.5625,0,1,1.0,0
2,0,4,4,2,2,2.0,8,0.0,0,0.75,0,1,0.5,0
2,1,9,9,2,1,2.0,26,0.0,0,0.666666667,1,1,0.5,0
21,1,15,52,1,12,0.828571429,292,1.0,1,0.2,2,3,1.0,0
2,0,7,6,0,1,2.0,19,0.0,0,0.666666667,1,1,0.5,0
2,0,4,4,1,2,2.0,9,0.0,0,1.0,0,1,0.5,0
8,0,7,15,3,4,0.6190476189999999,100,1.0,1,0.35416666700000005,0,2,0.875,0
3,0,10,25,1,2,0.0,136,1.0,0,0.5,1,2,1.0,0
4,0,7,6,2,4,0.0,30,1.0,0,0.45,1,1,0.5,0
6,0,4,15,0,4,0.3,71,1.0,0,0.375,1,2,1.0,0
7,2,7,23,2,3,2.0,133,0.0,0,0.666666667,0,5,1.8571,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
3,0,10,22,1,2,0.5,141,1.0,1,0.666666667,0,6,2.0,0
5,0,5,7,1,4,0.0,34,1.0,0,0.533333333,1,1,0.6,1
16,1,11,43,7,14,0.6,275,1.0,0,0.4875,0,1,0.875,1
1,0,0,2,0,0,2.0,12,0.0,0,1.0,0,0,0.0,0
1,0,16,1,15,1,2.0,1,0.0,0,1.0,0,1,1.0,0
26,0,14,61,4,23,0.7120000000000001,303,1.0,2,0.18803418800000002,3,4,1.1923,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
6,0,16,31,2,3,0.7333333329999999,108,1.0,1,0.4,1,3,1.0,0
10,0,7,17,1,10,0.5555555560000001,82,1.0,1,0.375,1,2,0.8,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
9,3,12,25,3,8,0.6875,202,1.0,0,0.296296296,0,4,1.1111,0
5,4,11,11,4,1,2.0,33,0.0,0,0.44,0,1,0.2,1
18,0,3,27,0,17,0.774509804,165,1.0,0,0.17222222199999998,0,1,0.8333,0
6,0,7,34,1,2,2.0,138,0.0,0,0.41666666700000005,0,2,1.0,0
6,0,2,9,1,6,0.2,41,1.0,0,0.5,0,2,0.8333,0
2,0,5,10,1,2,2.0,58,0.0,0,0.75,0,1,0.5,0
10,2,9,18,4,10,0.666666667,86,1.0,3,0.28571428600000004,0,3,1.2,0
3,0,12,17,0,1,2.0,67,0.0,0,0.666666667,3,1,0.6667,0
6,0,4,10,1,6,0.6,46,1.0,0,0.333333333,0,1,0.8333,0
3,0,2,4,1,3,0.5,15,1.0,0,0.666666667,0,1,0.6667,0
9,0,7,9,4,9,2.0,9,0.0,0,0.311111111,0,1,1.0,0
120,0,38,200,14,113,0.9733455879999999,1370,0.9375,2,0.081822203,0,33,1.5417,0
11,0,4,15,1,10,0.2,62,1.0,0,0.590909091,5,1,0.8182,0
20,0,8,30,2,20,0.879699248,148,1.0,0,0.20625,0,2,0.95,0
15,0,8,17,3,15,0.761904762,89,1.0,3,0.253333333,20,1,0.9333,0
5,0,6,9,1,4,0.75,36,1.0,0,0.4,1,1,0.8,0
4,0,6,7,1,4,0.333333333,22,1.0,0,0.5,0,1,0.75,0
4,0,3,7,2,2,0.962962963,111,0.111111111,9,0.444444444,1,1,0.5,0
10,0,73,24,72,8,0.977777778,259,0.2,9,0.37037037,1,4,1.8,0
29,0,18,57,3,27,0.920634921,201,1.0,2,0.144827586,0,2,0.9655,0
4,1,7,7,5,4,0.666666667,24,1.0,0,0.5,0,1,0.5,0
53,1,24,87,9,44,0.684615385,614,1.0,3,0.240566038,1,9,1.2642,5
6,2,6,12,2,4,0.0,38,1.0,0,0.666666667,1,1,0.8333,0
5,0,4,10,1,4,0.5,36,1.0,0,0.36,2,1,0.6,0
9,7,11,17,7,5,0.375,125,1.0,2,0.444444444,0,2,1.0,0
3,0,4,10,1,3,0.5,34,1.0,1,0.5555555560000001,0,1,0.6667,1
3,0,6,6,4,2,2.0,23,0.0,0,0.833333333,0,2,1.0,0
11,2,10,28,4,9,0.6,118,1.0,0,0.25974026,0,2,1.0,0
2,0,4,4,0,1,2.0,9,0.0,0,0.75,1,1,0.5,1
5,0,9,21,1,4,0.875,106,0.5,1,0.4375,0,1,0.6,1
3,0,2,15,1,0,2.0,63,0.0,0,0.5,0,1,0.6667,0
2,0,9,2,8,2,2.0,2,0.0,0,0.75,0,1,1.0,0
7,0,8,13,3,5,0.166666667,41,1.0,1,0.47619047600000003,1,1,0.7143,2
1,0,7,1,5,1,2.0,1,0.0,0,1.0,0,1,1.0,0
20,0,16,20,3,20,2.0,20,0.0,0,0.225,0,1,1.0,0
1,0,2,3,1,1,2.0,7,0.0,0,1.0,0,0,0.0,0
7,0,11,14,4,7,0.444444444,66,1.0,2,0.4,0,1,0.5714,0
8,27,32,16,27,6,0.28571428600000004,47,1.0,1,0.34375,1,1,0.875,0
12,0,20,24,7,11,2.0,74,0.0,0,0.333333333,0,1,0.9167,1
4,0,8,4,5,4,2.0,4,0.0,0,0.75,0,1,1.0,0
16,1,8,31,2,12,0.8,150,1.0,2,0.26666666699999997,0,3,1.25,2
5,0,7,17,1,4,0.625,68,1.0,1,0.4375,0,5,1.4,0
27,0,32,60,19,24,0.835164835,345,1.0,1,0.16923076899999998,6,3,1.0741,0
10,0,11,18,0,9,0.5555555560000001,97,1.0,4,0.21111111100000002,0,1,0.9,0
39,0,24,76,4,37,0.904135338,453,1.0,1,0.155263158,1,2,0.9744,0
7,2,11,31,2,1,1.166666667,163,1.0,0,0.6,0,5,2.4286,0
19,1,15,47,7,18,0.38888888899999996,474,1.0,2,0.31578947399999996,0,8,2.1053,1
16,0,14,33,4,16,0.966666667,144,1.0,1,0.1953125,0,1,0.9375,0
2,0,3,7,2,1,2.0,29,0.0,0,1.0,0,1,0.5,0
4,0,5,7,4,2,0.8888888890000001,45,0.333333333,3,0.444444444,1,1,0.5,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
4,2,10,20,2,1,1.333333333,85,1.0,0,0.5,0,5,2.0,0
8,0,15,36,1,5,0.642857143,135,1.0,1,0.35714285700000004,1,2,0.875,0
18,0,4,35,0,16,0.81372549,200,1.0,0,0.311111111,2,5,1.2778,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
21,0,14,25,8,16,0.8,119,1.0,1,0.217687075,3,1,0.8571,0
4,0,0,14,0,1,2.0,79,0.0,0,0.375,0,5,2.0,0
2,0,4,4,0,1,2.0,11,0.0,0,0.666666667,1,1,0.5,0
15,0,15,38,3,10,0.589285714,217,1.0,4,0.314285714,1,5,1.4,8
3,0,3,5,1,1,2.0,25,0.0,0,0.7777777779999999,2,1,0.6667,0
26,1,9,47,4,24,0.08,236,1.0,1,0.258241758,0,2,1.0,1
2,0,5,11,1,2,0.0,39,1.0,1,0.666666667,0,1,0.5,1
0,0,0,0,0,0,2.0,19,0.0,0,0.0,0,0,0.0,0
3,0,3,21,1,1,0.5,88,1.0,0,0.5,0,5,1.6667,1
13,4,14,33,6,9,0.625,187,1.0,1,0.23076923100000002,0,3,1.1538,1
2,0,40,2,40,2,2.0,2,0.0,0,1.0,0,1,1.0,1
6,0,7,13,1,4,0.0,46,1.0,1,0.375,1,1,0.8333,0
6,0,7,5,3,6,0.666666667,36,1.0,3,0.444444444,20,1,0.8333,0
17,0,25,53,8,13,0.8660714290000001,305,0.7142857140000001,1,0.18125,1,2,0.7647,4
3,0,6,7,1,3,0.0,29,1.0,0,0.533333333,0,1,0.6667,1
22,0,182,22,182,22,2.0,22,0.0,0,0.25974026,0,1,1.0,2
6,0,9,19,0,4,2.0,90,0.0,0,0.25,2,2,1.0,0
2,0,3,3,1,2,0.0,12,1.0,1,0.75,0,1,0.5,0
1,0,2,4,1,1,2.0,14,0.0,0,1.0,0,0,0.0,0
15,0,14,35,4,10,0.8,195,0.8,3,0.24107142899999998,0,6,1.0667,0
8,0,13,11,1,8,0.7857142859999999,49,1.0,1,0.222222222,1,1,0.875,0
12,0,25,71,1,5,0.727272727,391,1.0,1,0.272727273,3,2,0.9167,0
4,0,6,14,1,4,0.222222222,90,1.0,1,0.45833333299999995,0,3,1.25,0
16,0,17,29,7,16,0.813333333,150,0.8,0,0.21875,1,1,0.8125,0
6,1,3,14,3,6,0.2,55,1.0,0,0.666666667,0,1,0.8333,1
9,0,16,50,1,1,0.375,239,1.0,0,0.41666666700000005,4,10,2.1111,0
1,1,5,2,2,1,2.0,11,0.5,1,1.0,0,0,0.0,0
4,0,24,27,2,3,0.904761905,156,1.0,2,0.583333333,0,3,1.0,0
14,1,20,32,3,11,0.788461538,188,1.0,3,0.20535714300000002,2,5,1.2143,0
7,0,11,21,6,6,0.666666667,90,1.0,0,0.375,0,2,1.0,0
2,0,12,15,2,2,0.0,70,1.0,3,0.571428571,0,1,0.5,1
14,0,4,33,0,13,0.692307692,231,1.0,0,0.26153846199999997,0,1,0.8571,0
5,0,14,26,1,4,2.0,77,0.0,0,0.36666666700000006,0,1,0.6,0
3,0,5,13,1,3,2.0,58,0.0,0,0.666666667,0,3,1.3333,0
2,0,3,5,1,1,2.0,17,0.0,0,0.666666667,2,1,0.5,0
2,0,2,3,0,2,2.0,7,0.0,0,0.75,0,1,0.5,0
9,0,11,60,1,1,0.708333333,407,0.833333333,1,0.291666667,4,1,0.7778,0
2,1,9,3,5,2,2.0,5,0.0,0,0.75,0,1,0.5,0
10,0,10,28,5,10,0.518518519,136,1.0,1,0.257142857,0,2,0.9,0
3,0,6,8,3,1,2.0,60,0.0,0,0.5,1,3,1.3333,0
2,0,6,11,0,1,2.0,39,0.0,0,0.666666667,2,1,0.5,0
6,2,14,21,5,4,0.4,96,1.0,1,0.36666666700000006,0,2,1.1667,1
20,0,10,24,4,16,0.7894736840000001,114,1.0,1,0.22142857100000002,3,1,0.85,0
2,0,3,8,2,1,2.0,40,0.0,0,1.0,0,1,0.5,0
10,0,7,24,2,9,0.911111111,110,1.0,1,0.444444444,0,4,1.6,7
15,0,6,32,1,14,0.595238095,168,1.0,0,0.36666666700000006,3,2,0.9333,0
10,0,11,10,8,10,2.0,10,0.0,0,0.255555556,0,1,1.0,0
6,0,6,12,0,5,2.0,45,0.0,0,0.3,0,1,0.3333,0
4,0,6,4,4,4,2.0,4,0.0,0,0.55,0,1,1.0,0
4,0,8,38,1,2,0.5555555560000001,201,1.0,0,0.5,0,1,0.5,0
3,0,8,12,0,2,2.0,39,0.0,0,0.666666667,1,1,0.6667,0
5,0,4,10,1,3,2.0,31,0.0,0,0.46666666700000003,1,1,0.8,0
4,0,1,12,1,4,0.333333333,52,1.0,0,0.625,0,1,0.75,0
4,0,4,8,1,4,2.0,19,0.0,0,1.0,0,1,0.75,0
7,0,28,33,2,3,2.0,180,0.0,0,0.28571428600000004,4,1,0.5714,0
11,3,9,30,3,4,0.666666667,127,1.0,0,0.3,1,1,0.8182,1
28,0,8,44,3,27,0.910493827,248,1.0,0,0.13636363599999998,0,4,1.1429,0
18,2,20,64,7,9,0.745098039,377,1.0,1,0.2,1,3,0.9444,8
7,0,2,9,0,6,0.583333333,39,1.0,1,0.314285714,1,1,0.7143,0
75,1,56,171,15,61,0.9306698,1510,1.0,8,0.069256757,1,7,1.36,18
5,0,9,10,3,5,2.0,30,0.0,0,0.36,1,1,0.6,0
48,1,45,124,2,42,0.929078014,824,1.0,4,0.093617021,0,6,1.2292,0
8,0,8,32,0,7,0.571428571,159,1.0,0,0.267857143,0,2,1.0,0
7,0,12,35,3,3,0.944444444,156,0.333333333,1,0.32857142899999997,2,3,1.2857,5
5,0,17,61,3,3,0.75,295,1.0,0,0.314285714,1,18,5.0,0
3,0,3,6,2,3,1.5,17,1.0,0,0.7777777779999999,0,0,0.0,0
3,0,2,9,1,3,0.5,34,1.0,1,0.5,0,1,0.6667,0
5,0,9,16,0,3,0.5,84,1.0,0,0.4,2,2,1.2,0
9,0,5,24,1,9,0.0,213,1.0,0,0.37037037,0,1,0.8889,0
10,0,15,29,3,6,0.666666667,181,1.0,4,0.355555556,1,3,1.1,5
16,0,17,35,4,10,0.8583333329999999,189,1.0,3,0.222222222,0,3,1.125,0
6,0,3,6,3,6,2.0,6,0.0,0,0.5555555560000001,0,1,1.0,0
2,0,3,4,2,2,2.0,12,1.0,0,0.833333333,0,0,0.0,0
13,0,9,37,1,9,0.5555555560000001,226,1.0,2,0.307692308,1,8,1.3846,2
38,0,21,68,3,38,0.8243243240000001,326,1.0,7,0.10526315800000001,0,2,1.0263,11
14,0,11,32,4,13,0.23076923100000002,171,1.0,0,0.271428571,7,4,1.3571,0
13,0,13,44,1,4,0.708333333,222,1.0,1,0.305555556,1,3,1.1538,3
4,0,3,22,1,2,0.333333333,86,1.0,0,0.4375,3,3,1.25,0
4,0,10,17,1,3,0.666666667,71,1.0,2,0.833333333,0,1,0.5,0
6,4,5,7,5,5,0.6,23,1.0,0,0.5,0,1,0.6667,0
8,0,12,15,3,8,0.28571428600000004,60,1.0,0,0.303571429,0,1,0.625,0
8,2,16,43,2,2,2.0,208,0.0,0,0.375,0,2,1.0,0
5,0,10,27,5,5,0.25,112,1.0,1,0.44,0,3,1.2,0
4,0,9,13,0,3,2.0,54,0.0,0,0.25,0,1,0.75,0
5,1,5,8,3,4,0.75,29,1.0,0,0.583333333,0,1,0.6,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
7,0,9,8,3,7,0.666666667,44,1.0,3,0.35714285700000004,20,1,0.8571,0
3,0,8,7,1,1,1.0,17,1.0,0,0.75,1,1,0.3333,0
2,0,1,2,1,2,2.0,2,0.0,0,1.0,0,1,1.0,0
4,0,7,17,1,4,0.333333333,74,1.0,0,0.41666666700000005,0,1,0.5,0
26,0,17,54,1,25,0.875,279,1.0,2,0.13636363599999998,0,3,1.1154,0
4,0,10,18,1,3,0.666666667,81,1.0,0,0.4375,0,6,2.25,0
9,0,10,10,3,9,0.708333333,58,1.0,3,0.333333333,21,1,0.8889,0
3,0,4,12,1,3,2.0,60,0.0,0,0.666666667,0,6,2.3333,0
1,3,4,2,4,1,2.0,7,1.0,0,1.0,0,0,0.0,0
4,0,8,12,4,3,2.0,62,0.0,0,0.5625,0,2,1.0,1
9,0,9,21,1,9,0.25,75,1.0,0,0.355555556,3,1,0.5556,0
6,0,9,14,3,3,0.8,44,1.0,0,0.4,1,1,0.6667,0
2,0,12,18,2,1,2.0,75,1.0,0,0.666666667,1,1,0.5,0
1,0,1,1,1,1,2.0,1,0.0,0,1.0,0,1,1.0,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
3,0,4,5,1,3,2.0,20,0.0,0,0.833333333,0,1,0.6667,0
18,0,20,24,6,18,0.951871658,141,1.0,0,0.130952381,1,1,0.9444,0
19,1,7,36,1,16,0.857142857,184,1.0,1,0.15789473699999998,0,2,1.0,2
8,0,4,15,1,8,0.5,89,1.0,1,0.34375,1,3,1.25,0
3,0,5,7,1,1,0.0,24,1.0,1,0.5,1,1,0.6667,1
4,0,3,9,1,4,0.666666667,45,1.0,1,0.4375,0,1,0.75,0
1,0,5,1,4,1,2.0,1,0.0,0,1.0,0,1,1.0,0
30,0,16,87,3,17,0.880636605,793,1.0,1,0.166144201,1,17,2.7333,11
1,0,6,1,6,1,2.0,1,0.0,0,1.0,0,1,1.0,0
6,0,14,28,2,3,0.666666667,213,1.0,0,0.4,1,1,0.6667,0
0,0,1,0,1,0,2.0,0,0.0,0,0.0,0,0,0.0,0
8,0,6,19,1,6,0.935064935,166,0.090909091,8,0.314285714,1,1,0.75,0
4,0,25,11,24,4,0.5,52,1.0,0,0.5,0,2,1.0,1
24,1,25,80,8,16,0.90942029,444,1.0,5,0.14229249,1,5,1.5833,0
5,16,21,15,17,3,0.75,53,1.0,0,0.5,3,3,1.2,1
3,0,4,9,0,1,2.0,33,0.0,0,0.7777777779999999,1,1,0.6667,0
2,0,3,3,2,2,2.0,6,0.0,0,0.75,0,1,0.5,0
14,1,6,22,5,14,0.807692308,173,1.0,0,0.535714286,0,5,1.2857,0
3,0,5,6,2,3,2.0,18,0.0,0,0.5555555560000001,0,1,0.6667,0
10,0,8,17,1,9,0.7222222220000001,86,1.0,0,0.311111111,0,3,1.0,0
21,0,37,50,8,13,0.725,266,1.0,1,0.192857143,3,5,1.0952,0
5,0,7,8,4,5,0.625,31,1.0,1,0.46666666700000003,0,1,0.8,0
11,0,5,25,2,7,0.6333333329999999,108,1.0,1,0.327272727,2,3,1.0,1
3,0,8,22,5,2,2.0,193,0.0,0,0.583333333,0,10,5.6667,0
1,0,6,1,5,1,2.0,1,0.0,0,1.0,0,1,1.0,0
4,0,1,13,0,3,0.833333333,47,1.0,0,0.5,0,2,0.75,0
26,0,448,26,446,26,1.04,29,0.0,0,0.157692308,0,1,1.0,28
2,0,2,3,1,2,2.0,7,0.0,0,1.0,0,1,0.5,0
34,0,5,57,1,34,0.903030303,277,1.0,2,0.134803922,0,11,1.2647,0
3,0,9,3,7,3,2.0,3,0.0,0,1.0,0,1,1.0,0
4,0,23,38,1,2,0.666666667,221,1.0,2,0.4375,1,7,2.25,0
5,0,3,13,1,3,0.916666667,67,1.0,0,0.36,0,2,1.0,2
3,0,6,10,1,2,2.0,33,0.0,0,0.41666666700000005,0,2,1.0,3
9,0,9,30,1,5,0.8125,138,1.0,2,0.265625,0,3,1.2222,0
4,3,3,11,3,4,0.333333333,31,1.0,0,0.625,0,1,0.75,0
6,0,12,10,8,5,0.7333333329999999,48,1.0,1,0.36666666700000006,0,1,0.6667,0
59,0,24,97,7,53,0.9443573670000001,617,0.954545455,3,0.13362069,2,11,1.2034,9
2,0,6,6,1,2,0.0,31,1.0,0,0.625,0,1,0.5,3
6,0,3,13,0,6,2.0,37,0.0,0,0.444444444,2,1,0.5,0
10,0,10,22,3,10,0.611111111,87,1.0,1,0.32,3,2,0.9,0
7,0,5,26,1,5,0.666666667,95,1.0,0,0.433333333,3,2,1.0,0
14,0,14,42,2,11,0.794871795,213,1.0,1,0.23076923100000002,0,3,1.3571,1
11,0,1,17,1,11,0.725,105,1.0,0,0.409090909,0,3,1.2727,0
7,0,7,26,1,5,0.166666667,152,1.0,1,0.35714285700000004,1,4,1.2857,1
6,0,17,43,2,4,0.5,162,1.0,1,0.444444444,1,1,0.8333,0
3,0,7,13,1,2,0.5,72,1.0,0,0.6,0,6,2.0,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
1,0,3,6,1,1,2.0,13,0.0,0,1.0,0,0,0.0,0
4,0,3,6,3,3,0.666666667,37,1.0,0,0.45,0,2,0.75,0
15,0,10,30,3,13,0.892857143,129,1.0,0,0.314285714,0,4,1.0,0
2,0,2,2,2,2,2.0,2,0.0,0,1.0,0,1,1.0,1
2,0,6,2,6,2,2.0,2,0.0,0,1.0,0,1,1.0,0
12,2,21,20,12,7,0.545454545,83,1.0,1,0.333333333,0,1,0.5,0
1,0,4,1,3,1,2.0,1,0.0,0,1.0,0,1,1.0,0
15,6,12,33,6,11,0.8214285709999999,179,1.0,0,0.20535714300000002,1,3,0.9333,1
7,0,8,9,3,7,0.666666667,51,1.0,3,0.35714285700000004,20,1,0.8571,0
19,0,16,26,4,18,0.944444444,111,1.0,0,0.215277778,1,1,0.7895,0
61,0,14,99,1,49,0.661111111,811,1.0,0,0.12222222199999999,0,6,1.2131,0
1,0,4,1,3,1,2.0,1,0.0,0,1.0,0,1,1.0,0
27,0,16,67,5,14,0.8888888890000001,410,1.0,3,0.157342657,0,7,1.5556,1
5,0,5,8,1,5,0.0,39,1.0,1,0.5,0,1,0.6,2
14,0,11,27,2,14,0.653846154,167,1.0,0,0.3,1,5,1.2857,0
4,0,10,17,1,3,0.666666667,71,1.0,2,0.833333333,0,1,0.5,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
12,0,8,22,0,12,0.727272727,64,1.0,1,0.10416666699999999,0,1,0.9167,0
2,0,6,8,0,2,2.0,23,0.0,0,0.75,0,1,0.5,0
6,0,6,5,1,6,0.666666667,36,1.0,3,0.444444444,20,1,0.8333,0
9,0,7,17,1,6,0.40625,131,1.0,2,0.333333333,0,1,0.6667,0
2,0,3,4,1,1,2.0,12,0.0,0,0.666666667,1,1,0.5,0
6,0,2,11,1,6,0.2,45,1.0,0,0.41666666700000005,0,2,0.8333,0
10,14,26,19,22,7,0.111111111,81,1.0,1,0.5,1,1,0.8,2
6,0,8,23,4,4,0.6,111,1.0,0,0.375,4,4,1.3333,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
13,0,38,76,3,9,0.7666666670000001,264,1.0,3,0.333333333,0,1,0.8462,0
1,0,6,1,4,1,2.0,1,0.0,0,1.0,0,1,1.0,0
6,0,3,15,0,5,2.0,45,0.0,0,0.291666667,0,1,0.8333,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
3,0,10,15,2,3,2.0,54,0.0,0,0.5,0,2,1.0,1
3,0,4,11,1,3,2.0,48,0.0,0,0.533333333,0,1,0.6667,0
6,0,7,17,1,3,0.5,62,1.0,1,0.45833333299999995,1,1,0.8333,0
1,0,8,1,8,1,2.0,1,0.0,0,1.0,0,1,1.0,0
7,0,10,22,2,2,0.7333333329999999,88,1.0,3,0.3,1,1,0.7143,0
4,0,3,7,2,2,0.944444444,78,0.166666667,6,0.444444444,1,1,0.5,0
9,0,7,24,1,5,0.71875,96,1.0,0,0.375,0,1,0.6667,0
9,0,6,34,1,8,0.5,185,0.666666667,0,0.333333333,0,4,1.8889,0
22,0,23,53,3,22,0.8714285709999999,302,1.0,6,0.123376623,0,6,1.4091,4
3,0,4,5,0,3,2.0,18,0.0,0,0.833333333,0,1,0.6667,0
