wmc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,cam,amc,max_cc,avg_cc,bug
0,0,0,0,0,0,0,2.0,17,0.0,0.0,0.0,0,0.0,1
0,0,0,0,0,0,0,2.0,6,0.0,0.0,0.0,0,0.0,0
4,12,20,4,0,12,2,0.833333333,77,0.5,0.41666666700000005,17.75,2,0.75,0
5,10,15,8,2,9,4,0.75,43,1.0,0.36666666700000006,7.4,2,1.0,0
17,17,62,52,1,17,14,0.8125,700,0.5,0.3125,40.05882353,11,2.2353,0
2,23,42,1,0,23,2,2.0,158,0.0,0.666666667,78.0,7,3.5,0
8,3,21,18,2,1,8,0.988095238,152,0.41666666700000005,0.375,16.5,3,1.375,0
10,9,23,31,2,7,5,0.938271605,119,0.444444444,0.288888889,10.0,3,1.0,0
3,7,9,3,1,6,1,1.0,36,0.0,0.444444444,10.66666667,2,1.0,0
2,1,5,1,0,1,2,2.0,45,0.0,0.75,21.5,9,4.5,0
2,6,8,1,0,6,1,2.0,31,1.0,0.75,14.0,5,2.5,0
1,3,1,0,2,1,1,2.0,9,0.0,1.0,0.0,1,1.0,0
5,16,38,0,1,15,2,0.0,250,1.0,0.6,48.8,1,0.8,0
2,7,17,1,0,7,2,2.0,150,0.0,0.75,74.0,14,7.0,0
2,16,34,1,0,16,2,2.0,119,0.0,0.75,58.5,4,2.0,1
11,22,55,41,1,21,8,0.94,195,0.4,0.3,16.27272727,3,1.3636,1
2,1,5,1,0,1,2,2.0,45,0.0,0.75,21.5,9,4.5,0
4,24,53,4,0,24,2,0.8888888890000001,198,0.333333333,0.444444444,47.75,4,1.25,0
5,8,15,10,0,8,3,2.0,41,0.0,0.52,7.2,1,0.8,0
13,21,54,40,10,14,7,0.625,519,0.75,0.291666667,38.61538462,6,1.6923,0
0,0,0,0,0,0,0,2.0,50,0.0,0.0,0.0,0,0.0,3
28,171,68,272,165,6,24,0.808641975,625,0.5,0.24444444399999998,21.10714286,3,1.3571,0
6,3,19,15,2,1,4,1.0,106,0.0,0.433333333,16.33333333,2,1.3333,0
5,25,40,8,0,25,2,0.833333333,139,0.333333333,0.4,26.2,3,1.4,0
2,7,8,1,0,7,1,2.0,38,1.0,0.75,17.5,7,3.5,0
0,0,0,0,0,0,0,2.0,5,0.0,0.0,0.0,0,0.0,0
5,32,72,4,0,32,2,0.8125,272,0.25,0.35714285700000004,52.6,3,1.4,0
9,13,51,28,4,13,2,0.8125,319,1.0,0.5,34.22222222,3,1.3333,2
25,48,116,216,2,47,16,1.0054347829999999,856,0.086956522,0.166666667,32.32,10,2.32,1
2,2,3,1,1,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
2,3,12,1,0,3,1,2.0,44,0.0,0.75,21.0,3,1.5,0
3,10,18,3,0,10,1,1.0,55,0.0,0.5,17.0,2,1.0,0
5,15,33,10,0,15,3,1.0,136,0.2,0.5,25.2,6,1.6,1
3,6,11,3,0,6,3,2.0,27,0.0,0.7777777779999999,8.0,1,0.6667,0
2,3,6,1,0,3,2,2.0,26,0.0,0.75,12.0,3,1.5,0
7,20,46,9,15,19,1,0.833333333,455,0.85,0.261904762,61.14285714,2,1.0,0
10,24,49,39,1,23,2,0.833333333,213,0.0,0.26666666699999997,20.1,5,1.6,0
3,2,9,0,2,0,3,0.75,51,1.0,0.5555555560000001,15.33333333,5,2.3333,0
8,15,34,6,0,15,6,0.7857142859999999,207,1.0,0.325,24.375,10,2.5,0
4,8,7,6,7,1,4,1.333333333,22,1.0,0.625,4.25,1,0.25,0
9,40,46,34,23,17,3,0.75,237,0.5,0.303571429,25.11111111,2,1.3333,0
7,24,8,15,22,2,7,0.833333333,34,1.0,0.35714285700000004,3.428571429,1,0.8571,0
5,12,31,10,0,12,4,1.0,138,0.0,0.4,26.4,3,1.2,0
2,5,8,1,0,5,2,2.0,27,0.0,0.666666667,12.5,1,0.5,0
1,7,1,0,5,2,1,2.0,1,0.0,1.0,0.0,1,1.0,0
0,0,0,0,0,0,0,2.0,22,0.0,0.0,0.0,0,0.0,0
0,0,0,0,0,0,0,2.0,4,0.0,0.0,0.0,0,0.0,0
2,9,15,1,0,9,1,2.0,59,1.0,0.75,28.0,5,2.5,0
2,7,14,1,0,7,1,2.0,39,1.0,0.75,18.0,2,1.0,0
0,0,0,0,0,0,0,2.0,4,0.0,0.0,0.0,0,0.0,0
5,20,52,8,1,19,3,0.8,216,0.8,0.4,41.2,6,2.2,2
27,27,48,229,24,3,27,0.903846154,381,1.0,0.206349206,12.74074074,7,1.4444,0
2,18,26,1,0,18,2,2.0,88,0.0,1.0,43.0,5,2.5,0
2,2,3,1,1,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
27,46,129,327,17,39,6,0.966346154,1050,0.5625,0.12962963,37.2962963,16,1.9259,0
12,89,24,54,84,5,12,0.818181818,108,1.0,0.226190476,7.833333333,1,0.9167,0
2,3,2,1,3,0,2,2.0,2,0.0,1.0,0.0,1,1.0,0
10,18,53,41,2,17,4,0.988888889,413,0.2,0.291666667,39.3,7,3.1,0
3,6,11,3,0,6,3,2.0,27,0.0,0.7777777779999999,8.0,1,0.6667,0
5,5,30,8,0,5,3,0.875,153,0.5,0.375,29.2,8,2.0,0
0,0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,0
2,9,17,1,0,9,1,2.0,82,1.0,0.75,39.5,9,4.5,0
7,1,8,15,1,0,7,0.833333333,34,1.0,0.7142857140000001,3.428571429,1,0.8571,0
2,0,7,1,0,0,2,2.0,79,0.0,0.75,38.5,14,7.0,0
35,20,59,563,8,13,34,0.9650735290000001,507,1.0,0.08907563,13.02857143,4,1.1714,0
5,29,6,6,26,3,5,0.75,30,1.0,0.46666666700000003,4.6,2,1.0,0
2,15,13,1,0,15,2,2.0,62,1.0,0.75,29.0,2,1.0,0
1,2,1,0,2,0,1,2.0,1,0.0,1.0,0.0,1,1.0,0
2,3,13,1,0,3,1,2.0,106,0.0,0.666666667,52.0,9,4.5,0
2,9,15,1,0,9,2,2.0,40,0.0,0.666666667,19.0,1,0.5,0
2,14,20,1,0,14,2,2.0,60,0.0,0.666666667,29.0,3,1.5,0
2,4,5,1,0,4,1,2.0,24,1.0,0.75,10.5,4,2.0,0
7,4,15,1,1,3,6,0.166666667,42,1.0,0.380952381,4.8571428569999995,1,0.8571,0
5,16,38,0,1,15,2,0.0,303,1.0,0.6,59.4,1,0.8,0
2,6,8,1,0,6,1,2.0,31,1.0,0.75,14.0,5,2.5,0
5,12,26,6,0,12,2,0.8125,160,0.5,0.35,30.2,10,2.8,0
3,12,18,3,2,10,2,1.1875,105,0.5,0.444444444,31.33333333,4,1.6667,1
1,4,1,0,3,1,1,2.0,1,0.0,1.0,0.0,1,1.0,0
2,8,16,1,0,8,1,2.0,64,1.0,0.75,30.0,7,3.5,0
2,2,6,1,0,2,1,2.0,23,0.0,0.75,10.5,2,1.0,0
5,7,14,10,0,7,1,2.0,33,0.0,0.533333333,5.6,1,0.8,0
2,4,5,1,0,4,1,2.0,24,1.0,0.75,10.5,4,2.0,0
23,43,113,103,17,30,19,0.974025974,950,0.380952381,0.106060606,39.39130435,13,3.3913,0
1,22,1,0,21,1,1,2.0,1,0.0,1.0,0.0,1,1.0,0
3,24,51,3,1,23,2,2.0,170,0.0,0.5,55.66666667,6,2.3333,0
2,3,5,1,0,3,1,2.0,16,0.0,0.75,6.5,2,1.0,0
2,7,19,1,1,6,1,2.0,166,0.0,0.666666667,82.0,10,5.0,0
3,9,12,1,2,7,2,0.75,51,0.5,0.444444444,15.33333333,2,1.0,0
2,4,10,1,1,3,2,2.0,59,0.0,0.75,28.5,5,2.5,0
17,23,50,116,5,19,6,0.9722222220000001,201,0.666666667,0.1875,10.29411765,4,1.0588,0
3,8,18,3,0,8,2,2.0,58,0.0,0.5,18.33333333,3,1.3333,0
2,2,5,1,0,2,1,2.0,30,1.0,0.75,13.5,5,2.5,0
2,11,15,1,0,11,2,2.0,59,1.0,0.666666667,28.0,3,1.5,0
2,3,4,1,0,3,1,2.0,9,0.0,0.75,3.5,1,0.5,0
10,15,36,43,5,14,2,1.0,174,0.6,0.5,15.9,4,1.2,0
4,8,14,6,1,7,1,2.0,31,0.0,0.583333333,6.75,2,1.0,0
4,30,52,4,1,29,2,0.916666667,186,0.5,0.41666666700000005,44.5,4,1.25,0
8,6,21,6,0,6,6,0.7857142859999999,151,1.0,0.325,17.375,5,1.875,0
3,8,14,1,0,8,2,0.5,66,1.0,0.666666667,20.66666667,4,1.3333,0
6,24,73,15,0,24,3,1.0,331,0.0,0.38888888899999996,53.0,8,3.1667,1
2,4,5,1,0,4,1,2.0,23,1.0,0.75,10.0,3,1.5,0
2,11,16,1,0,11,2,2.0,62,0.0,0.666666667,30.0,6,3.0,1
7,8,29,1,1,7,1,0.583333333,109,0.5,0.233333333,14.28571429,3,1.2857,0
4,29,58,4,0,29,2,0.833333333,220,0.5,0.444444444,53.5,8,2.25,1
14,19,119,61,7,15,2,0.7606837609999999,561,0.8888888890000001,0.246153846,38.42857143,7,1.5,0
5,2,20,8,0,2,2,1.0625,79,0.75,0.666666667,14.0,5,1.4,0
0,0,0,0,0,0,0,2.0,16,0.0,0.0,0.0,0,0.0,0
0,0,0,0,0,0,0,2.0,3,0.0,0.0,0.0,0,0.0,0
8,12,36,26,2,11,3,0.8214285709999999,189,1.0,0.34375,22.125,4,1.5,0
11,18,45,35,1,17,7,0.8666666670000001,186,0.333333333,0.2875,15.63636364,2,1.0,0
14,18,69,59,1,17,12,0.9,492,0.8,0.269230769,33.42857143,2,1.1429,0
41,59,160,664,18,46,23,0.9614583329999999,1159,0.41666666700000005,0.1275,26.68292683,15,2.5122,3
0,0,0,0,0,0,0,2.0,10,0.0,0.0,0.0,0,0.0,0
9,16,29,0,5,11,7,0.55,243,0.8,0.37777777799999995,25.44444444,11,2.0,0
7,11,27,7,0,11,7,0.833333333,219,1.0,0.37142857100000004,29.42857143,9,2.8571,0
1,6,1,0,6,0,1,2.0,6,0.0,1.0,0.0,1,1.0,0
14,31,80,91,3,30,5,1.076923077,808,0.0,0.303571429,56.42857143,22,2.5714,1
2,4,6,1,0,4,1,2.0,25,1.0,0.75,11.0,4,2.0,0
4,11,8,6,1,10,4,2.0,31,0.0,0.666666667,6.75,1,0.75,0
4,13,16,6,0,13,2,2.0,88,0.0,0.666666667,21.0,6,2.5,0
17,3,18,88,1,2,17,0.875,108,1.0,0.382352941,4.882352941000001,1,0.9412,0
5,7,18,8,0,7,2,1.0,95,0.666666667,0.5,17.4,8,2.0,0
2,7,11,1,0,7,2,2.0,31,0.0,0.75,14.5,1,0.5,0
8,13,45,16,1,12,1,1.023809524,204,0.833333333,0.23809523800000001,23.75,2,0.875,0
2,8,16,1,1,8,1,2.0,69,1.0,1.0,32.5,5,2.5,0
5,5,6,0,5,0,5,0.5,30,1.0,0.6,4.6,1,0.8,0
7,8,50,15,2,7,1,0.541666667,220,1.0,0.27777777800000003,29.85714286,2,0.7143,0
3,13,18,1,1,12,3,2.0,94,0.0,0.46666666700000003,30.33333333,2,1.3333,1
2,5,18,1,0,5,1,2.0,134,0.0,0.666666667,66.0,4,2.0,0
3,7,19,3,0,7,2,1.0,63,0.0,0.444444444,19.66666667,3,1.3333,0
8,14,34,20,12,2,5,0.904761905,217,0.833333333,0.346938776,25.375,10,1.875,0
9,13,38,16,1,12,7,0.825,269,0.8,0.194444444,28.33333333,9,2.8889,0
12,14,37,58,4,10,6,0.9636363640000001,152,0.8,0.22727272699999998,11.25,4,1.0833,0
3,10,12,1,1,9,2,0.625,63,0.75,0.4,18.66666667,2,1.0,0
3,9,12,1,6,3,2,2.0,43,0.0,0.666666667,13.33333333,1,0.6667,0
2,7,8,1,0,7,1,2.0,38,1.0,0.75,17.5,7,3.5,0
2,2,3,1,1,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
8,16,25,16,4,13,4,0.857142857,89,0.666666667,0.375,9.75,1,0.875,0
5,12,31,10,0,12,4,1.0,138,0.0,0.4,26.4,3,1.2,0
15,32,67,97,18,14,11,0.976190476,485,0.666666667,0.17032967,30.73333333,10,3.5333,1
3,19,51,3,0,19,2,1.0,171,0.0,0.41666666700000005,55.66666667,8,3.0,0
3,20,3,3,19,1,3,1.5,5,0.0,0.583333333,0.0,1,1.0,0
3,10,24,3,5,6,1,2.0,77,0.0,1.0,24.66666667,2,1.0,0
1,1,2,0,0,1,1,2.0,4,0.0,1.0,3.0,0,0.0,0
3,14,28,1,0,14,3,1.0,125,0.25,0.5,39.33333333,4,1.6667,0
2,1,5,1,0,1,2,2.0,26,1.0,0.833333333,11.5,3,1.5,0
7,4,15,1,1,3,6,0.166666667,42,1.0,0.380952381,4.8571428569999995,1,0.8571,0
12,36,95,64,2,34,5,0.96969697,768,1.0,0.318181818,62.5,14,4.0,1
4,3,13,4,1,2,1,0.833333333,49,0.5,0.333333333,10.75,3,1.0,0
17,142,17,136,136,6,17,2.0,17,0.0,0.264705882,0.0,1,1.0,0
5,5,7,10,5,0,4,1.25,45,0.0,0.2,7.4,4,1.4,0
2,6,8,1,0,6,1,2.0,31,1.0,0.75,14.0,5,2.5,0
22,16,22,231,13,4,22,1.047619048,37,0.0,0.17272727300000001,0.0,1,1.0,0
4,25,4,6,25,0,4,2.0,4,0.0,1.0,0.0,1,1.0,0
2,6,9,1,0,6,2,2.0,19,0.0,0.666666667,8.5,1,0.5,0
5,15,39,10,1,14,3,2.0,157,0.0,0.28571428600000004,30.4,3,1.6,0
2,2,7,1,0,2,1,2.0,36,0.0,0.75,16.5,5,2.5,0
2,4,5,1,0,4,1,2.0,24,1.0,0.75,10.5,4,2.0,0
24,17,98,0,2,15,3,0.9765886290000001,1885,0.923076923,0.21256038600000002,77.0,8,3.9167,0
0,0,0,0,0,0,0,2.0,0,0.0,0.0,0.0,0,0.0,0
18,19,62,81,5,17,7,0.682352941,368,0.8,0.19117647100000001,19.16666667,4,1.6111,0
11,15,47,55,1,14,8,2.0,295,0.0,0.5,25.81818182,3,2.2727,0
3,9,18,3,0,9,2,1.0,65,0.0,0.444444444,20.33333333,5,2.0,1
9,4,42,16,3,2,1,0.875,229,0.857142857,0.625,23.66666667,5,1.4444,0
4,12,20,4,0,12,2,0.833333333,77,0.5,0.41666666700000005,17.75,2,0.75,0
6,23,38,15,3,20,5,1.2,299,1.0,0.583333333,48.66666667,6,2.8333,0
6,14,26,7,2,12,4,0.966666667,134,0.333333333,0.46666666700000003,20.33333333,6,1.1667,1
2,6,5,1,0,6,2,2.0,17,0.0,0.666666667,7.5,2,1.0,0
5,9,17,10,0,9,3,1.0,56,0.0,0.5,10.0,2,1.0,0
2,14,20,1,0,14,2,2.0,60,0.0,0.666666667,29.0,3,1.5,0
15,48,124,89,1,48,2,0.9285714290000001,644,0.375,0.25,41.4,14,2.6,0
2,5,2,1,4,1,2,2.0,2,0.0,1.0,0.0,1,1.0,0
3,7,9,3,1,6,1,1.0,36,0.0,0.444444444,10.66666667,2,1.0,0
5,9,21,6,1,8,3,0.9375,84,0.75,0.3125,15.0,3,1.0,0
2,2,3,1,1,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
6,19,37,15,4,19,1,2.0,271,0.0,0.5,44.16666667,11,2.8333,0
3,6,11,1,1,5,2,0.75,40,0.5,0.5,11.66666667,2,1.0,0
2,3,10,1,0,3,2,2.0,31,0.0,0.666666667,14.5,2,1.0,0
0,0,0,0,0,0,0,2.0,11,0.0,0.0,0.0,0,0.0,0
4,9,23,6,0,9,3,1.0,82,0.0,0.5,19.25,2,1.0,0
14,60,98,87,20,40,2,0.961538462,505,0.75,0.275510204,34.78571429,13,3.1429,1
5,198,5,10,194,4,5,2.0,5,0.0,1.0,0.0,1,1.0,0
2,4,7,1,0,4,1,2.0,27,1.0,0.75,12.0,4,2.0,0
2,17,25,1,0,17,2,2.0,72,0.0,0.666666667,35.0,3,1.5,0
6,30,82,7,0,30,2,0.8,743,1.0,0.316666667,122.0,23,6.8333,0
9,51,9,36,51,0,9,1.125,10,0.0,0.518518519,0.0,1,1.0,1
4,6,14,6,0,6,4,2.0,34,0.0,0.4375,7.5,2,1.0,0
2,19,26,1,0,19,2,2.0,107,0.0,0.75,52.0,7,3.5,0
2,8,15,1,1,7,1,2.0,41,0.0,0.75,19.5,2,1.0,0
2,5,4,1,0,5,2,2.0,19,0.0,0.666666667,8.5,2,1.0,0
4,5,9,4,1,5,3,1.0,33,0.5,0.583333333,6.75,1,0.75,0
14,12,29,51,2,10,13,0.835164835,173,0.857142857,0.28571428600000004,10.85714286,5,1.2143,0
5,10,20,10,0,10,3,1.0,69,0.0,0.5,12.6,2,1.2,0
12,30,54,62,3,28,7,0.984848485,195,0.5,0.233766234,14.75,3,1.25,0
5,28,72,8,1,28,2,0.916666667,330,0.333333333,0.35,64.4,9,3.8,0
4,11,16,2,1,10,2,0.8,94,0.6,0.41666666700000005,21.25,4,1.25,0
9,10,30,22,3,7,9,0.9,149,0.6,0.333333333,15.0,5,1.7778,0
2,9,18,1,0,9,2,2.0,65,1.0,0.666666667,30.5,2,1.0,0
2,2,3,1,1,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
4,4,8,6,1,3,1,2.0,25,0.0,0.625,5.25,2,1.0,0
11,26,51,41,5,21,8,0.7,570,0.5,0.36,50.63636364,12,4.4545,1
4,11,19,0,2,9,3,0.666666667,95,0.666666667,0.375,22.0,2,1.0,0
1,5,1,0,2,3,1,2.0,1,0.0,1.0,0.0,1,1.0,0
8,11,30,28,1,10,1,0.857142857,171,1.0,1.0,20.125,7,1.625,0
2,4,4,1,0,4,1,2.0,12,0.0,0.75,5.0,1,0.5,0
4,25,44,6,3,22,4,2.0,196,0.0,0.428571429,48.0,6,2.25,0
3,9,11,3,0,9,3,2.0,34,0.0,0.5,10.33333333,3,1.3333,0
7,2,8,3,2,0,7,0.666666667,43,1.0,0.46428571399999996,4.714285714,1,0.8571,0
4,11,18,6,1,10,1,2.0,49,0.0,0.583333333,11.25,1,0.75,0
6,3,9,0,2,1,5,0.6,39,0.333333333,1.0,5.0,1,0.6667,0
2,8,11,1,2,6,2,2.0,67,0.0,0.666666667,32.5,3,1.5,0
0,0,0,0,0,0,0,2.0,3,0.0,0.0,0.0,0,0.0,0
13,15,60,28,8,13,4,0.875,344,0.9,0.23076923100000002,24.69230769,4,1.3846,0
2,1,3,1,0,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
13,10,13,78,8,2,13,2.0,13,0.0,1.0,0.0,1,1.0,0
4,14,19,6,4,10,3,1.0,81,0.0,0.5,19.0,6,2.0,0
5,21,45,8,0,21,2,1.0,285,0.666666667,0.5,55.4,10,2.4,0
9,8,31,8,4,6,2,0.875,192,0.5,0.291666667,19.22222222,1,0.7778,0
2,21,2,1,20,1,2,2.0,2,0.0,0.833333333,0.0,1,1.0,0
2,2,3,1,1,1,1,2.0,7,0.0,1.0,2.5,1,0.5,0
4,26,56,6,0,26,2,1.0,173,0.0,0.375,42.0,2,1.25,0
3,9,3,3,3,6,3,2.0,3,0.0,0.833333333,0.0,1,1.0,0
5,5,32,8,0,5,3,0.875,159,0.5,0.375,30.4,7,1.8,0
0,0,0,0,0,0,0,2.0,4,0.0,0.0,0.0,0,0.0,0
5,8,26,8,2,6,1,0.916666667,98,0.333333333,0.375,18.0,2,1.0,0
2,1,3,1,0,1,2,2.0,7,0.0,0.75,2.5,1,0.5,0
2,8,11,1,0,8,2,2.0,42,1.0,0.666666667,19.5,2,1.0,0
11,274,11,55,263,11,11,2.0,11,0.0,1.0,0.0,1,1.0,0
3,6,5,1,5,1,1,0.5,25,1.0,0.666666667,7.0,2,1.3333,0
2,1,9,0,1,0,2,1.5,81,0.5,0.666666667,37.5,9,4.5,0
3,4,4,3,1,3,1,2.0,10,0.0,0.533333333,2.333333333,1,0.6667,0
6,23,9,5,17,6,6,0.8,46,1.0,0.333333333,5.833333333,1,0.8333,0
2,4,7,1,0,4,1,2.0,24,1.0,0.75,10.5,2,1.0,0
12,18,54,38,0,18,8,0.9090909090000001,373,0.5555555560000001,0.233766234,29.33333333,11,2.5,0
3,15,22,3,0,15,3,2.0,61,0.0,0.666666667,19.33333333,3,1.3333,0
3,2,14,0,2,0,3,0.5,84,1.0,0.5555555560000001,26.0,4,1.3333,0
6,6,27,15,1,6,3,1.0,217,1.0,0.444444444,34.66666667,4,1.5,0
6,0,17,15,0,0,5,1.2,96,1.0,0.36111111100000004,14.83333333,7,2.0,0
8,27,85,22,1,27,2,0.7571428570000001,913,0.9,0.28571428600000004,111.875,33,10.25,0
4,4,4,6,4,0,4,2.0,4,0.0,1.0,0.0,1,1.0,0
0,0,0,0,0,0,0,2.0,8,0.0,0.0,0.0,0,0.0,0
3,17,25,3,1,17,2,2.0,75,0.0,0.666666667,24.0,3,1.3333,0
2,1,6,1,0,1,2,2.0,27,1.0,0.833333333,12.0,3,1.5,0
5,3,5,10,3,0,5,2.0,5,0.0,0.666666667,0.0,1,1.0,0
10,12,32,43,4,9,3,1.0185185190000001,169,0.666666667,0.21666666699999998,15.3,4,1.3,0
2,16,22,1,0,16,1,2.0,71,1.0,0.75,34.0,8,4.0,0
3,15,26,3,0,15,2,1.0,96,0.0,0.41666666700000005,30.66666667,3,1.3333,0
2,2,5,1,0,2,2,2.0,12,0.0,0.666666667,5.0,1,0.5,0
2,18,2,1,16,2,2,2.0,2,0.0,1.0,0.0,1,1.0,0
15,36,101,103,1,36,1,1.035714286,713,0.5,0.177777778,46.13333333,12,2.8,0
2,9,16,1,1,8,1,2.0,44,0.0,0.75,21.0,2,1.0,0
6,26,40,15,4,22,2,2.0,161,0.0,0.36111111100000004,25.83333333,7,2.3333,0
4,3,17,4,0,3,1,1.0,54,0.666666667,0.444444444,11.75,2,0.75,0
2,23,48,1,0,23,2,2.0,229,1.0,0.666666667,110.0,19,9.5,0
2,6,5,1,0,6,2,2.0,17,0.0,0.666666667,7.5,2,1.0,0
4,3,8,6,1,2,1,2.0,19,0.0,1.0,3.75,1,0.75,0
2,7,12,1,0,7,2,2.0,56,0.0,0.666666667,27.0,4,2.0,0
3,1,13,3,0,1,2,1.5,78,1.0,0.333333333,24.33333333,4,1.6667,0
4,18,26,6,4,17,1,2.0,87,0.0,0.583333333,20.75,3,1.75,0
3,7,19,1,0,7,2,1.0,81,1.0,0.75,25.33333333,7,2.3333,0
8,11,8,28,2,9,8,1.142857143,11,0.0,0.3375,0.0,1,1.0,0
3,3,3,3,3,0,3,2.0,3,0.0,1.0,0.0,1,1.0,0
2,16,23,1,0,16,2,2.0,63,0.0,1.0,30.5,3,1.5,0
9,37,107,28,3,34,2,0.930555556,899,0.8888888890000001,0.3625,97.88888889,39,6.6667,0
23,13,24,231,1,12,23,0.954545455,114,1.0,0.123188406,3.47826087,1,0.9565,0
8,10,31,16,1,10,4,0.80952381,204,1.0,0.34375,24.125,4,1.625,0
0,0,0,0,0,0,0,2.0,4,0.0,0.0,0.0,0,0.0,0
2,4,6,1,0,4,1,2.0,25,1.0,0.75,11.0,4,2.0,0
5,28,47,8,6,22,1,0.875,178,0.5,0.4,34.2,6,1.8,0
2,7,10,1,0,7,2,2.0,33,0.0,0.666666667,15.5,1,0.5,0
3,11,22,3,0,11,2,1.25,89,0.5,0.41666666700000005,28.0,3,1.3333,0
2,9,13,1,0,9,2,2.0,42,0.0,0.75,19.5,1,0.5,0
5,8,15,10,0,8,1,2.0,35,0.0,0.533333333,6.0,1,0.8,0
2,5,6,1,0,5,1,2.0,27,1.0,0.75,12.0,3,1.5,0
2,8,12,1,0,8,2,2.0,36,0.0,0.666666667,17.0,1,0.5,0
5,31,31,10,20,11,3,1.0,185,0.0,0.2,35.8,6,2.2,0
4,9,23,6,0,9,3,1.0,82,0.0,0.5,19.25,2,1.0,0
2,3,4,1,0,3,1,2.0,9,0.0,0.75,3.5,1,0.5,0
2,1,3,1,0,1,1,2.0,8,1.0,0.75,2.5,1,0.5,0
12,9,25,0,8,1,11,0.318181818,132,1.0,0.28125,9.833333332999999,2,1.25,0
0,0,0,0,0,0,0,2.0,8,0.0,0.0,0.0,0,0.0,0
3,19,22,3,5,14,2,1.5,88,1.0,0.5,28.0,3,1.3333,0
2,17,17,0,13,4,2,0.0,115,1.0,0.6,55.5,11,5.5,0
5,16,38,0,1,15,2,0.0,303,1.0,0.6,59.4,1,0.8,0
4,8,14,6,1,7,1,2.0,31,0.0,0.583333333,6.75,2,1.0,0
